Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbated01.shtml"">E. Abbaticchio</a>",BSN,26,562,489,61,111,1,142,46,52,23,36,.227,.306,.290,.597,.292,0.00
"<a href=""https://www.baseball-reference.com/players/a/abbotfr01.shtml"">Fred Abbott</a>",CLE,28,276,255,25,60,1,80,25,7,8,25,.235,.270,.314,.583,.277,1.08
"<a href=""https://www.baseball-reference.com/players/a/adkindo01.shtml"">Doc Adkins</a>",NYA,30,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.05
"<a href=""https://www.baseball-reference.com/players/a/altroni01.shtml"">Nick Altrock</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnotealtroni01"" style=""display:none;""></input><label for=""footnotealtroni01"" class=""footnoteLabel"">2</label><div id=""footnoteDivaltroni01"">BOS, CHA</div></span>",26,37,33,6,11,0,11,3,4,1,9,.333,.405,.333,.739,.362,0.38
"<a href=""https://www.baseball-reference.com/players/a/amesre01.shtml"">Red Ames</a>",NY1,20,6,6,0,0,0,0,1,0,0,5,.000,.000,.000,.000,.000,0.00
"<a href=""https://www.baseball-reference.com/players/a/anderjo01.shtml"">J. Anderson</a>",SLA,29,577,550,65,156,2,212,78,23,16,39,.284,.312,.385,.698,.328,3.41
"<a href=""https://www.baseball-reference.com/players/a/aubreha01.shtml"">Chub Aubrey</a>",BSN,21,357,325,26,69,0,81,27,18,7,36,.212,.264,.249,.514,.251,-1.61
"<a href=""https://www.baseball-reference.com/players/b/babbch01.shtml"">Charlie Babb</a>",NY1,30,502,424,68,105,0,136,46,45,22,64,.248,.350,.321,.671,.330,1.61
"<a href=""https://www.baseball-reference.com/players/b/barclge01.shtml"">G. Barclay</a>",SLN,27,440,419,37,104,0,130,42,15,12,48,.248,.278,.310,.588,.279,0.00
"<a href=""https://www.baseball-reference.com/players/b/barreji01.shtml"">J. Barrett</a>",DET,28,615,517,95,163,2,202,31,74,27,67,.315,.407,.391,.798,.385,5.12
"<a href=""https://www.baseball-reference.com/players/b/barrysh01.shtml"">Shad Barry</a>",PHI,24,600,550,75,152,1,189,60,30,26,39,.276,.321,.344,.664,.317,0.00
"<a href=""https://www.baseball-reference.com/players/b/bartlbi01.shtml"">Bill Bartley</a>",NY1,18,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/b/bayha01.shtml"">Harry Bay</a>",CLE,25,636,579,94,169,1,211,35,29,45,44,.292,.329,.364,.693,.329,2.70
"<a href=""https://www.baseball-reference.com/players/b/beaumgi01.shtml"">G. Beaumont</a>",PIT,26,674,613,137,209,7,272,68,44,23,18,.341,.390,.444,.833,.394,4.32
"<a href=""https://www.baseball-reference.com/players/b/becklja01.shtml"">Jake Beckley</a>",CIN,35,512,459,85,150,2,205,81,42,23,13,.327,.384,.447,.831,.391,2.78
"<a href=""https://www.baseball-reference.com/players/b/bemisha01.shtml"">Harry Bemis</a>",CLE,29,332,314,31,82,1,111,41,8,5,31,.261,.295,.354,.648,.307,1.78
"<a href=""https://www.baseball-reference.com/players/b/bendech01.shtml"">Chief Bender</a>",PHA,19,129,120,10,22,0,28,8,3,3,14,.183,.216,.233,.449,.216,-0.11
"<a href=""https://www.baseball-reference.com/players/b/bergebi01.shtml"">Bill Bergen</a>",CIN,25,218,207,21,47,0,55,19,7,2,22,.227,.252,.266,.518,.248,-0.26
