Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/aaronha01.shtml"">Hank Aaron</a>",ATL,39,465,392,84,118,40,252,96,68,1,51,0.3010204081632653,0.4021505376344086,0.6428571428571429,1.0450076804915516,0,0
"<a href=""https://www.baseball-reference.com/players/a/acostcy01.shtml"">Cy Acosta</a>",CHA,26,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0
"<a href=""https://www.baseball-reference.com/players/a/adamsmi02.shtml"">Mike Adams</a>",MIN,24,84,66,21,14,3,25,6,17,2,18,0.21212121212121213,0.38095238095238093,0.3787878787878788,0.7597402597402597,0,0
"<a href=""https://www.baseball-reference.com/players/a/ageeto01.shtml"">Tommie Agee</a>",2,30,288,266,38,59,11,106,22,21,3,68,0.22180451127819548,0.28125,0.39849624060150374,0.6797462406015038,0,0
"<a href=""https://www.baseball-reference.com/players/a/akerja01.shtml"">Jack Aker</a>",CHN,32,7,7,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0
"<a href=""https://www.baseball-reference.com/players/a/alexama01.shtml"">Matt Alexander</a>",CHN,26,6,5,4,1,0,1,1,1,2,1,0.2,0.3333333333333333,0.2,0.5333333333333333,0,0
"<a href=""https://www.baseball-reference.com/players/a/allenbe01.shtml"">Bernie Allen</a>",2,34,118,107,10,22,2,32,13,10,0,9,0.205607476635514,0.27350427350427353,0.29906542056074764,0.5725696940650211,0,0
"<a href=""https://www.baseball-reference.com/players/a/allendi01.shtml"">Dick Allen</a>",CHA,31,288,250,39,79,16,153,41,33,7,51,0.316,0.39372822299651566,0.612,1.0057282229965157,0,0
"<a href=""https://www.baseball-reference.com/players/a/allenha02.shtml"">Hank Allen</a>",CHA,32,40,39,2,4,0,6,0,1,0,9,0.10256410256410256,0.125,0.15384615384615385,0.27884615384615385,0,0
"<a href=""https://www.baseball-reference.com/players/a/alleyge01.shtml"">Gene Alley</a>",PIT,32,181,158,25,32,2,45,8,20,1,28,0.20253164556962025,0.29213483146067415,0.2848101265822785,0.5769449580429526,0,0
"<a href=""https://www.baseball-reference.com/players/a/alomasa01.shtml"">Sandy Alomar</a>",CAL,29,519,470,45,112,0,121,28,34,25,44,0.23829787234042554,0.2879684418145957,0.2574468085106383,0.545415250325234,0,0
"<a href=""https://www.baseball-reference.com/players/a/aloufe01.shtml"">Felipe Alou</a>",2,38,343,328,29,76,5,104,31,11,0,29,0.23170731707317074,0.2536443148688047,0.3170731707317073,0.5707174856005119,0,0
"<a href=""https://www.baseball-reference.com/players/a/alouje01.shtml"">Jesus Alou</a>",2,31,169,163,17,46,2,57,19,3,0,12,0.2822085889570552,0.30357142857142855,0.3496932515337423,0.6532646801051709,0,0
"<a href=""https://www.baseball-reference.com/players/a/alouma01.shtml"">Matty Alou</a>",2,34,550,508,60,150,2,180,29,31,5,43,0.2952755905511811,0.3382352941176471,0.3543307086614173,0.6925660027790643,0,0
"<a href=""https://www.baseball-reference.com/players/a/alvarlu01.shtml"">Luis Alvarado</a>",CHA,24,211,203,21,47,0,58,20,4,6,20,0.2315270935960591,0.25,0.2857142857142857,0.5357142857142857,0,0
"<a href=""https://www.baseball-reference.com/players/a/alvaror01.shtml"">Orlando Alvarez</a>",LAN,21,4,4,0,1,0,2,0,0,0,1,0.25,0.25,0.5,0.75,0,0
"<a href=""https://www.baseball-reference.com/players/a/anderdw01.shtml"">Dwain Anderson</a>",2,25,144,124,16,15,0,15,3,18,2,33,0.12096774193548387,0.2323943661971831,0.12096774193548387,0.353362108132667,0,0
"<a href=""https://www.baseball-reference.com/players/a/andermi01.shtml"">Mike Anderson</a>",PHI,22,215,193,32,49,9,87,28,19,0,53,0.2538860103626943,0.3209302325581395,0.45077720207253885,0.7717074346306784,0,0
"<a href=""https://www.baseball-reference.com/players/a/andrejo02.shtml"">John Andrews</a>",SLN,24,2,2,0,1,0,1,0,0,0,0,0.5,0.5,0.5,1.0,0,0
"<a href=""https://www.baseball-reference.com/players/a/andremi01.shtml"">Mike Andrews</a>",2,29,209,180,11,36,0,46,10,26,0,29,0.2,0.30097087378640774,0.25555555555555554,0.5565264293419633,0,0
"<a href=""https://www.baseball-reference.com/players/a/aparilu01.shtml"">Luis Aparicio</a>",BOS,39,561,499,56,135,0,154,49,43,13,33,0.27054108216432865,0.3242258652094718,0.30861723446893785,0.6328430996784096,0,0
"<a href=""https://www.baseball-reference.com/players/a/arlinst01.shtml"">Steve Arlin</a>",SDN,27,67,60,2,10,0,11,5,4,0,21,0.16666666666666666,0.23076923076923078,0.18333333333333332,0.4141025641025641,0,0
"<a href=""https://www.baseball-reference.com/players/a/armbred01.shtml"">Ed Armbrister</a>",CIN,24,41,37,5,8,1,16,5,2,0,8,0.21621621621621623,0.25,0.43243243243243246,0.6824324324324325,0,0
"<a href=""https://www.baseball-reference.com/players/a/arnolch01.shtml"">Chris Arnold</a>",SFN,25,63,54,7,16,1,21,13,8,0,11,0.2962962962962963,0.38095238095238093,0.3888888888888889,0.7698412698412698,0,0
"<a href=""https://www.baseball-reference.com/players/a/ashbyal01.shtml"">Alan Ashby</a>",CLE,21,31,29,4,5,1,9,3,2,0,11,0.1724137931034483,0.22580645161290322,0.3103448275862069,0.5361512791991101,0,0
"<a href=""https://www.baseball-reference.com/players/a/auerbri01.shtml"">Rick Auerbach</a>",ML4,23,10,10,2,1,0,2,0,0,0,1,0.1,0.1,0.2,0.30000000000000004,0,0
"<a href=""https://www.baseball-reference.com/players/a/augusda01.shtml"">Dave Augustine</a>",PIT,23,7,7,1,2,0,3,0,0,0,1,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.7142857142857142,0,0
"<a href=""https://www.baseball-reference.com/players/b/bailebo01.shtml"">Bob Bailey</a>",MON,30,607,513,77,140,26,251,86,88,5,99,0.2729044834307992,0.3791390728476821,0.48927875243664715,0.8684178252843293,0,0
"<a href=""https://www.baseball-reference.com/players/b/bakerdu01.shtml"">Dusty Baker</a>",ATL,24,686,604,101,174,21,274,99,67,24,72,0.28807947019867547,0.35912408759124087,0.45364238410596025,0.8127664716972012,0,0
"<a href=""https://www.baseball-reference.com/players/b/bakerfr03.shtml"">Frank Baker</a>",BAL,26,71,63,10,12,1,20,11,7,0,7,0.19047619047619047,0.2676056338028169,0.31746031746031744,0.5850659512631343,0,0
"<a href=""https://www.baseball-reference.com/players/b/bandosa01.shtml"">Sal Bando</a>",OAK,29,689,592,97,170,29,295,98,82,4,84,0.28716216216216217,0.37481698389458273,0.4983108108108108,0.8731277947053935,0,0
"<a href=""https://www.baseball-reference.com/players/b/baneydi01.shtml"">Dick Baney</a>",CIN,26,11,9,0,2,0,2,0,0,0,2,0.2222222222222222,0.3,0.2222222222222222,0.5222222222222221,0,0
"<a href=""https://www.baseball-reference.com/players/b/barnelu01.shtml"">Lute Barnes</a>",NYN,26,2,2,2,1,0,1,1,0,0,1,0.5,0.5,0.5,1.0,0,0
"<a href=""https://www.baseball-reference.com/players/b/barrji01.shtml"">Jim Barr</a>",SFN,25,81,66,5,10,0,12,1,1,0,16,0.15151515151515152,0.18840579710144928,0.18181818181818182,0.3702239789196311,0,0
"<a href=""https://www.baseball-reference.com/players/b/bartobo01.shtml"">Bob Barton</a>",CIN,31,2,1,0,0,0,0,0,1,0,0,0.0,0.5,0.0,0.5,0,0
"<a href=""https://www.baseball-reference.com/players/b/batisra01.shtml"">Rafael Batista</a>",HOU,27,16,15,2,4,0,4,2,1,0,6,0.26666666666666666,0.3125,0.26666666666666666,0.5791666666666666,0,0
"<a href=""https://www.baseball-reference.com/players/b/baylodo01.shtml"">Don Baylor</a>",BAL,24,459,405,64,116,11,177,51,35,32,48,0.28641975308641976,0.3572984749455338,0.43703703703703706,0.7943355119825708,0,0
"<a href=""https://www.baseball-reference.com/players/b/beaucji01.shtml"">Jim Beauchamp</a>",NYN,33,70,61,5,17,0,20,14,7,1,11,0.2786885245901639,0.34285714285714286,0.32786885245901637,0.6707259953161593,0,0
"<a href=""https://www.baseball-reference.com/players/b/beckegl01.shtml"">Glenn Beckert</a>",CHN,32,410,372,38,95,0,108,29,30,0,15,0.2553763440860215,0.312807881773399,0.2903225806451613,0.6031304624185603,0,0
"<a href=""https://www.baseball-reference.com/players/b/belanma01.shtml"">Mark Belanger</a>",BAL,29,544,470,60,106,0,123,27,49,13,54,0.225531914893617,0.30245746691871456,0.26170212765957446,0.564159594578289,0,0
"<a href=""https://www.baseball-reference.com/players/b/bellbu01.shtml"">Buddy Bell</a>",CLE,21,689,631,86,169,14,248,59,49,7,47,0.26782884310618066,0.3251088534107402,0.393026941362916,0.7181357947736562,0,0
"<a href=""https://www.baseball-reference.com/players/b/benchjo01.shtml"">Johnny Bench</a>",CIN,25,651,557,83,141,25,239,104,83,4,83,0.25314183123877915,0.3446153846153846,0.42908438061041293,0.7736997652257975,0,0
"<a href=""https://www.baseball-reference.com/players/b/berryke01.shtml"">Ken Berry</a>",CAL,32,452,415,48,118,3,142,36,26,1,50,0.28433734939759037,0.32657657657657657,0.3421686746987952,0.6687452512753718,0,0
"<a href=""https://www.baseball-reference.com/players/b/bevacku01.shtml"">Kurt Bevacqua</a>",KCA,26,309,276,39,71,2,91,40,25,2,42,0.2572463768115942,0.31699346405228757,0.32971014492753625,0.6467036089798238,0,0
"<a href=""https://www.baseball-reference.com/players/b/bibbyji01.shtml"">Jim Bibby</a>",2,28,3,2,1,0,0,0,0,1,0,2,0.0,0.3333333333333333,0.0,0.3333333333333333,0,0
"<a href=""https://www.baseball-reference.com/players/b/biittla01.shtml"">Larry Biittner</a>",TEX,26,281,258,19,65,1,80,12,20,1,21,0.25193798449612403,0.30714285714285716,0.31007751937984496,0.6172203765227021,0,0
"<a href=""https://www.baseball-reference.com/players/b/billidi01.shtml"">Dick Billings</a>",TEX,30,305,280,17,50,3,70,32,20,1,43,0.17857142857142858,0.23684210526315788,0.25,0.48684210526315785,0,0
"<a href=""https://www.baseball-reference.com/players/b/billija01.shtml"">Jack Billingham</a>",CIN,30,109,93,2,6,0,9,4,3,0,32,0.06451612903225806,0.09375,0.0967741935483871,0.1905241935483871,0,0
"<a href=""https://www.baseball-reference.com/players/b/blairpa01.shtml"">Paul Blair</a>",BAL,29,554,500,73,140,10,201,64,43,18,72,0.28,0.33394160583941607,0.402,0.7359416058394161,0,0
"<a href=""https://www.baseball-reference.com/players/b/blancda01.shtml"">Damaso Blanco</a>",SFN,31,13,12,4,0,0,0,0,1,0,2,0.0,0.07692307692307693,0.0,0.07692307692307693,0,0
"<a href=""https://www.baseball-reference.com/players/b/blankla01.shtml"">Larvell Blanks</a>",ATL,23,19,18,1,4,0,4,0,1,0,3,0.2222222222222222,0.2631578947368421,0.2222222222222222,0.4853801169590643,0,0
"<a href=""https://www.baseball-reference.com/players/b/blassst01.shtml"">Steve Blass</a>",PIT,31,29,24,2,10,0,12,1,0,0,2,0.4166666666666667,0.4166666666666667,0.5,0.9166666666666667,0,0
"<a href=""https://www.baseball-reference.com/players/b/blombro01.shtml"">Ron Blomberg</a>",NYA,24,338,301,45,99,12,150,57,34,2,25,0.3289036544850498,0.39465875370919884,0.4983388704318937,0.8929976241410925,0,0
"<a href=""https://www.baseball-reference.com/players/b/bluevi01.shtml"">Vida Blue</a>",OAK,23,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
"<a href=""https://www.baseball-reference.com/players/b/boccajo01.shtml"">John Boccabella</a>",MON,32,440,403,25,94,7,128,46,26,1,57,0.23325062034739455,0.279445727482679,0.3176178660049628,0.5970635934876418,0,0
"<a href=""https://www.baseball-reference.com/players/b/bondsbo01.shtml"">Bobby Bonds</a>",SFN,27,738,643,131,182,39,341,96,87,43,148,0.28304821150855364,0.3699186991869919,0.5303265940902022,0.900245293277194,0,0
"<a href=""https://www.baseball-reference.com/players/b/bonhabi01.shtml"">Bill Bonham</a>",CHN,24,49,43,1,4,0,4,1,0,0,17,0.09302325581395349,0.09302325581395349,0.09302325581395349,0.18604651162790697,0,0
"<a href=""https://www.baseball-reference.com/players/b/boonebo01.shtml"">Bob Boone</a>",PHI,25,575,521,42,136,10,190,61,41,3,36,0.26103646833013433,0.3105263157894737,0.3646833013435701,0.6752096171330437,0,0
"<a href=""https://www.baseball-reference.com/players/b/borbope01.shtml"">Pedro Borbon</a>",CIN,26,15,15,2,5,0,5,0,0,1,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,0
"<a href=""https://www.baseball-reference.com/players/b/borgmgl01.shtml"">Glenn Borgmann</a>",MIN,23,41,34,7,9,0,11,9,6,0,10,0.2647058823529412,0.375,0.3235294117647059,0.6985294117647058,0,0
