Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/aaronha01.shtml"">Hank Aaron</a>",ATL,34,676,606,84,174,29,302,86,64,28,62,.287,.354,.498,.852,.376,6.80
"<a href=""https://www.baseball-reference.com/players/a/aaronto01.shtml"">Tommie Aaron</a>",ATL,28,307,283,21,69,1,88,25,21,3,37,.244,.295,.311,.606,.278,-0.92
"<a href=""https://www.baseball-reference.com/players/a/abernte02.shtml"">T. Abernathy</a>",CIN,35,20,17,2,0,0,0,0,3,0,12,.000,.150,.000,.150,.102,-0.06
"<a href=""https://www.baseball-reference.com/players/a/adairje01.shtml"">Jerry Adair</a>",BOS,31,224,208,18,45,2,52,12,9,0,28,.216,.252,.250,.502,.230,-1.00
"<a href=""https://www.baseball-reference.com/players/a/adamsmi01.shtml"">Mike Adamson</a>",BAL,20,3,3,0,1,0,1,0,0,0,2,.333,.333,.333,.667,.303,0.04
"<a href=""https://www.baseball-reference.com/players/a/adlesda01.shtml"">Dave Adlesh</a>",HOU,24,112,104,3,19,0,22,4,5,0,27,.183,.227,.212,.439,.197,-0.59
"<a href=""https://www.baseball-reference.com/players/a/ageeto01.shtml"">Tommie Agee</a>",NYN,25,391,368,30,80,5,113,17,15,13,103,.217,.255,.307,.562,.256,-0.08
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",LAN,37,3,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,-0.04
"<a href=""https://www.baseball-reference.com/players/a/akerja01.shtml"">Jack Aker</a>",OAK,27,8,7,1,1,0,1,0,0,0,5,.143,.143,.143,.286,.130,0.00
"<a href=""https://www.baseball-reference.com/players/a/alcarlu01.shtml"">Luis Alcaraz</a>",LAN,27,115,106,4,16,2,23,5,9,1,23,.151,.217,.217,.434,.200,-0.72
"<a href=""https://www.baseball-reference.com/players/a/allenbe01.shtml"">Bernie Allen</a>",WS2,29,405,373,31,90,6,128,40,28,2,35,.241,.301,.343,.644,.294,0.00
"<a href=""https://www.baseball-reference.com/players/a/allendi01.shtml"">Dick Allen</a>",PHI,26,605,521,87,137,33,271,90,74,7,161,.263,.352,.520,.872,.387,3.51
"<a href=""https://www.baseball-reference.com/players/a/allenha02.shtml"">Hank Allen</a>",WS2,27,137,128,16,28,1,37,9,7,0,16,.219,.265,.289,.554,.253,0.00
"<a href=""https://www.baseball-reference.com/players/a/alleyge01.shtml"">Gene Alley</a>",PIT,27,530,474,48,116,4,152,39,39,13,78,.245,.307,.321,.628,.286,5.17
"<a href=""https://www.baseball-reference.com/players/a/allisbo01.shtml"">Bob Allison</a>",MIN,33,526,469,63,116,22,214,52,52,9,98,.247,.324,.456,.780,.354,2.08
"<a href=""https://www.baseball-reference.com/players/a/alomasa01.shtml"">Sandy Alomar</a>",CHA,24,395,363,41,92,0,104,12,20,21,42,.253,.292,.287,.578,.265,0.00
"<a href=""https://www.baseball-reference.com/players/a/aloufe01.shtml"">Felipe Alou</a>",ATL,33,718,662,72,210,11,290,57,48,12,56,.317,.365,.438,.803,.359,0.00
"<a href=""https://www.baseball-reference.com/players/a/alouje01.shtml"">Jesus Alou</a>",SFN,26,436,419,26,110,0,133,39,9,1,23,.263,.278,.317,.596,.268,-0.80
"<a href=""https://www.baseball-reference.com/players/a/alouma01.shtml"">Matty Alou</a>",PIT,29,598,558,59,185,0,221,52,27,18,26,.332,.362,.396,.758,.341,0.00
"<a href=""https://www.baseball-reference.com/players/a/alvarlu01.shtml"">L. Alvarado</a>",BOS,19,49,46,3,6,0,8,1,1,0,11,.130,.167,.174,.341,.161,0.00
"<a href=""https://www.baseball-reference.com/players/a/alvisma01.shtml"">Max Alvis</a>",CLE,30,503,452,38,101,8,148,37,41,5,91,.223,.292,.327,.619,.284,1.38
"<a href=""https://www.baseball-reference.com/players/a/alyeabr01.shtml"">Brant Alyea</a>",WS2,27,161,150,18,40,6,71,23,10,0,39,.267,.317,.473,.790,.361,0.85
"<a href=""https://www.baseball-reference.com/players/a/amaroru01.shtml"">Ruben Amaro</a>",NYA,32,50,41,3,5,0,6,0,9,0,6,.122,.280,.146,.426,.222,-0.55
"<a href=""https://www.baseball-reference.com/players/a/andremi01.shtml"">Mike Andrews</a>",BOS,24,634,536,77,145,7,190,45,81,3,57,.271,.368,.354,.723,.336,3.68
"<a href=""https://www.baseball-reference.com/players/a/aparilu01.shtml"">L. Aparicio</a>",CHA,34,664,622,55,164,4,208,36,33,17,43,.264,.302,.334,.636,.290,3.40
"<a href=""https://www.baseball-reference.com/players/a/arciajo01.shtml"">Jose Arcia</a>",CHN,24,89,84,15,16,1,23,8,3,0,24,.190,.218,.274,.492,.227,-0.96
"<a href=""https://www.baseball-reference.com/players/a/arrigge01.shtml"">Gerry Arrigo</a>",CIN,27,73,67,3,5,0,8,0,3,0,30,.075,.114,.119,.234,.112,-0.36
"<a href=""https://www.baseball-reference.com/players/a/asprobo01.shtml"">B. Aspromonte</a>",HOU,30,457,409,25,92,1,108,46,35,1,57,.225,.285,.264,.549,.248,-1.22
"<a href=""https://www.baseball-reference.com/players/a/azcuejo01.shtml"">Joe Azcue</a>",CLE,28,389,357,23,100,4,122,42,28,1,33,.280,.331,.342,.672,.305,0.00
"<a href=""https://www.baseball-reference.com/players/b/bahnsst01.shtml"">Stan Bahnsen</a>",NYA,23,98,81,4,4,0,4,3,6,0,49,.049,.114,.049,.163,.088,0.00
"<a href=""https://www.baseball-reference.com/players/b/bailebo01.shtml"">Bob Bailey</a>",LAN,25,365,322,24,73,8,112,39,38,1,69,.227,.308,.348,.656,.300,0.00
