Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/addybo01.shtml"">Bob Addy</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteaddybo01"" style=""display:none;""></input><label for=""footnoteaddybo01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivaddybo01"">PH2, BS1</div></span>",31,207,203,49,70,1,86,42,4,7,1,.345,.357,.424,.781,.357,0.18
"<a href=""https://www.baseball-reference.com/players/a/allisar01.shtml"">Art Allison</a>",ELI,24,100,100,12,32,0,34,11,0,0,2,.320,.320,.340,.660,.309,0.00
"<a href=""https://www.baseball-reference.com/players/a/allisdo01.shtml"">Doug Allison</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteallisdo01"" style=""display:none;""></input><label for=""footnoteallisdo01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivallisdo01"">ELI, NY2</div></span>",26,131,128,17,34,0,40,11,3,0,1,.266,.282,.312,.595,.264,0.46
"<a href=""https://www.baseball-reference.com/players/a/ansonca01.shtml"">Cap Anson</a>",PH1,21,259,254,53,101,0,114,36,5,1,2,.398,.409,.449,.858,.400,2.00
"<a href=""https://www.baseball-reference.com/players/a/atkined01.shtml"">Ed Atkinson</a>",WS5,?,8,8,2,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.13
"<a href=""https://www.baseball-reference.com/players/a/austihe01.shtml"">Henry Austin</a>",ELI,28,101,101,10,25,0,34,11,0,1,5,.248,.248,.337,.584,.261,-0.15
"<a href=""https://www.baseball-reference.com/players/b/barloto01.shtml"">Tom Barlow</a>",BR2,?,274,269,48,74,1,81,12,5,3,1,.275,.288,.301,.589,.277,0.00
"<a href=""https://www.baseball-reference.com/players/b/barnero01.shtml"">Ross Barnes</a>",BS1,23,340,320,125,138,2,197,60,20,43,2,.431,.465,.616,1.080,.482,4.59
"<a href=""https://www.baseball-reference.com/players/b/barrebi01.shtml"">Bill Barrett</a>",BL1,?,4,4,0,1,0,1,0,0,0,0,.250,.250,.250,.500,.237,-0.07
"<a href=""https://www.baseball-reference.com/players/b/battijo01.shtml"">Joe Battin</a>",PH1,19,6,5,4,3,0,3,2,1,0,0,.600,.667,.600,1.267,.605,0.00
"<a href=""https://www.baseball-reference.com/players/b/bealsto01.shtml"">Tommy Beals</a>",WS5,22,170,169,35,46,0,65,22,1,3,1,.272,.276,.385,.661,.294,0.54
"<a href=""https://www.baseball-reference.com/players/b/bechtge01.shtml"">G. Bechtel</a>",PH2,24,267,258,53,63,1,80,39,9,2,1,.244,.270,.310,.580,.269,0.00
"<a href=""https://www.baseball-reference.com/players/b/bellast01.shtml"">Steve Bellan</a>",NY2,23,34,32,4,7,0,9,3,2,0,0,.219,.265,.281,.546,.259,-0.21
"<a href=""https://www.baseball-reference.com/players/b/bielaos01.shtml"">O. Bielaski</a>",WS5,26,177,173,35,49,0,56,20,4,1,6,.283,.299,.324,.623,.292,0.32
"<a href=""https://www.baseball-reference.com/players/b/birdsda01.shtml"">D. Birdsall</a>",BS1,34,13,11,4,1,0,1,0,2,1,0,.091,.231,.091,.322,.194,-0.15
