Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotku01.shtml"">Kurt Abbott</a>",FLO,25,371,345,41,86,9,136,33,16,3,98,.249,.291,.394,.685,.299,0.00
"<a href=""https://www.baseball-reference.com/players/a/aldremi01.shtml"">Mike Aldrete</a>",OAK,33,201,178,23,43,4,60,18,20,2,35,.242,.313,.337,.651,.292,0.00
"<a href=""https://www.baseball-reference.com/players/a/alicelu01.shtml"">Luis Alicea</a>",SLN,28,242,205,32,57,5,94,29,30,4,38,.278,.373,.459,.832,.359,1.14
"<a href=""https://www.baseball-reference.com/players/a/alomaro01.shtml"">R. Alomar</a>",TOR,26,455,392,78,120,8,177,38,51,19,41,.306,.386,.452,.838,.369,0.00
"<a href=""https://www.baseball-reference.com/players/a/alomasa02.shtml"">Sandy Alomar</a>",CLE,28,320,292,44,84,14,143,43,25,8,31,.288,.347,.490,.837,.361,0.00
"<a href=""https://www.baseball-reference.com/players/a/aloumo01.shtml"">Moises Alou</a>",MON,27,471,422,81,143,22,250,78,42,7,63,.339,.397,.592,.989,.415,5.06
"<a href=""https://www.baseball-reference.com/players/a/amarari01.shtml"">Rich Amaral</a>",SEA,32,262,228,37,60,4,86,18,24,5,28,.263,.333,.377,.711,.317,-0.29
"<a href=""https://www.baseball-reference.com/players/a/amaroru02.shtml"">Ruben Amaro</a>",CLE,29,25,23,5,5,2,12,5,2,2,3,.217,.280,.522,.802,.338,0.09
"<a href=""https://www.baseball-reference.com/players/a/anderbr01.shtml"">B. Anderson</a>",BAL,30,525,453,78,119,12,190,48,57,31,75,.263,.356,.419,.776,.344,2.62
"<a href=""https://www.baseball-reference.com/players/a/anderga01.shtml"">G. Anderson</a>",CAL,22,13,13,0,5,0,5,1,0,0,2,.385,.385,.385,.769,.346,0.10
"<a href=""https://www.baseball-reference.com/players/a/anderla02.shtml"">L. Andersen</a>",PHI,41,1,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,.716,0.04
"<a href=""https://www.baseball-reference.com/players/a/anthoer01.shtml"">Eric Anthony</a>",SEA,26,288,262,31,62,10,108,30,23,6,66,.237,.297,.412,.709,.305,-0.83
"<a href=""https://www.baseball-reference.com/players/a/aquinlu01.shtml"">Luis Aquino</a>",FLO,30,7,6,1,1,0,1,0,0,0,0,.167,.167,.167,.333,.150,-0.01
"<a href=""https://www.baseball-reference.com/players/a/ariasal01.shtml"">Alex Arias</a>",FLO,26,125,113,4,27,0,32,15,9,0,19,.239,.298,.283,.582,.268,-0.28
"<a href=""https://www.baseball-reference.com/players/a/arochre01.shtml"">Rene Arocha</a>",SLN,30,13,9,0,1,0,2,0,1,0,5,.111,.200,.222,.422,.197,0.02
"<a href=""https://www.baseball-reference.com/players/a/ashbyan01.shtml"">Andy Ashby</a>",SDN,26,59,49,2,8,0,8,0,1,0,19,.163,.180,.163,.343,.158,0.00
"<a href=""https://www.baseball-reference.com/players/a/ashlebi01.shtml"">Billy Ashley</a>",LAN,23,6,6,0,2,0,3,0,0,0,2,.333,.333,.500,.833,.359,0.00
"<a href=""https://www.baseball-reference.com/players/a/astacpe01.shtml"">P. Astacio</a>",LAN,25,51,47,2,3,0,3,0,0,0,22,.064,.064,.064,.128,.057,0.00
"<a href=""https://www.baseball-reference.com/players/a/ausmubr01.shtml"">Brad Ausmus</a>",SDN,25,366,327,45,82,7,117,24,30,5,63,.251,.314,.358,.672,.287,0.00
"<a href=""https://www.baseball-reference.com/players/a/averyst01.shtml"">Steve Avery</a>",ATL,24,58,49,4,5,0,7,5,1,0,16,.102,.115,.143,.258,.114,-0.12
"<a href=""https://www.baseball-reference.com/players/b/baergca01.shtml"">C. Baerga</a>",CLE,25,469,442,81,139,19,232,80,10,8,45,.314,.333,.525,.858,.364,0.00
"<a href=""https://www.baseball-reference.com/players/b/bagweje01.shtml"">Jeff Bagwell</a>",HOU,26,479,400,104,147,39,300,116,65,15,65,.368,.451,.750,1.201,.488,8.19
"<a href=""https://www.baseball-reference.com/players/b/baineha01.shtml"">H. Baines</a>",BAL,35,357,326,44,96,16,158,54,30,0,49,.294,.356,.485,.840,.361,0.00
"<a href=""https://www.baseball-reference.com/players/b/ballaje01.shtml"">Jeff Ballard</a>",PIT,30,2,2,0,1,0,1,0,0,0,0,.500,.500,.500,1.000,.450,0.04
"<a href=""https://www.baseball-reference.com/players/b/bankswi01.shtml"">Willie Banks</a>",CHN,25,50,41,3,5,0,6,0,1,0,13,.122,.163,.146,.309,.147,0.00
"<a href=""https://www.baseball-reference.com/players/b/barbebr01.shtml"">B. Barberie</a>",FLO,26,406,372,40,112,5,151,31,23,2,65,.301,.356,.406,.762,.338,1.44
"<a href=""https://www.baseball-reference.com/players/b/barnesk01.shtml"">S. Barnes</a>",DET,37,21,21,4,6,1,9,4,0,0,2,.286,.286,.429,.714,.309,-0.11
"<a href=""https://www.baseball-reference.com/players/b/basske01.shtml"">Kevin Bass</a>",HOU,35,235,203,37,63,6,98,35,28,2,24,.310,.393,.483,.876,.376,1.35
