Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,37,101,92,2,17,0,21,4,6,0,13,.185,.235,.228,.463,.226,0.08
"<a href=""https://www.baseball-reference.com/players/a/adamsbe01.shtml"">Bert Adams</a>",PHI,28,241,232,14,54,1,68,17,6,4,27,.233,.252,.293,.545,.259,-0.31
"<a href=""https://www.baseball-reference.com/players/a/adamswi01.shtml"">Willie Adams</a>",PHA,28,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.04
"<a href=""https://www.baseball-reference.com/players/a/agnewsa01.shtml"">Sam Agnew</a>",WS1,32,118,98,6,23,0,30,10,10,1,8,.235,.312,.306,.618,.302,0.74
"<a href=""https://www.baseball-reference.com/players/a/ainsmed01.shtml"">E. Ainsmith</a>",DET,29,422,364,42,99,3,149,32,45,9,30,.272,.354,.409,.763,.363,0.00
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">P. Alexander</a>",CHN,32,84,70,6,12,0,13,4,10,0,18,.171,.275,.186,.461,.239,0.14
"<a href=""https://www.baseball-reference.com/players/a/allenbo02.shtml"">Bob Allen</a>",PHA,24,26,22,3,3,0,4,0,3,0,7,.136,.269,.182,.451,.240,-0.35
"<a href=""https://www.baseball-reference.com/players/a/allenho01.shtml"">Horace Allen</a>",BRO,20,7,7,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,-0.17
"<a href=""https://www.baseball-reference.com/players/a/allenni01.shtml"">Nick Allen</a>",CIN,30,28,25,7,8,0,10,5,2,0,6,.320,.393,.400,.793,.380,0.27
"<a href=""https://www.baseball-reference.com/players/a/amesre01.shtml"">Red Ames</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnoteamesre01"" style=""display:none;""></input><label for=""footnoteamesre01"" class=""footnoteLabel"">2</label><div id=""footnoteDivamesre01"">SLN, PHI</div></span>",36,24,23,0,6,0,7,2,0,0,8,.261,.261,.304,.565,.267,-0.01
"<a href=""https://www.baseball-reference.com/players/a/anderwa01.shtml"">W. Anderson</a>",PHA,21,5,4,0,0,0,0,0,0,0,3,.000,.000,.000,.000,.000,-0.11
"<a href=""https://www.baseball-reference.com/players/a/austiji01.shtml"">Jimmy Austin</a>",SLA,39,450,396,54,94,1,124,21,42,8,31,.237,.314,.313,.627,.305,0.58
"<a href=""https://www.baseball-reference.com/players/a/ayersdo01.shtml"">Doc Ayers</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnoteayersdo01"" style=""display:none;""></input><label for=""footnoteayersdo01"" class=""footnoteLabel"">2</label><div id=""footnoteDivayersdo01"">WS1, DET</div></span>",28,40,36,1,8,0,9,2,1,0,3,.222,.263,.250,.513,.251,0.19
"<a href=""https://www.baseball-reference.com/players/b/bagbyji01.shtml"">Jim Bagby</a>",CLE,29,101,89,8,23,1,30,8,8,0,13,.258,.320,.337,.657,.317,0.58
"<a href=""https://www.baseball-reference.com/players/b/bailege01.shtml"">Gene Bailey</a>",BSN,25,6,6,0,2,0,2,1,0,1,2,.333,.333,.333,.667,.317,0.00
"<a href=""https://www.baseball-reference.com/players/b/bailesw01.shtml"">S. Bailey</a>",CHN,24,21,18,1,7,0,8,1,3,0,3,.389,.476,.444,.921,.441,0.00
"<a href=""https://www.baseball-reference.com/players/b/bairdal01.shtml"">Al Baird</a>",NY1,24,89,83,8,20,0,21,5,5,3,9,.241,.284,.253,.537,.262,0.20
"<a href=""https://www.baseball-reference.com/players/b/bairddo01.shtml"">Doug Baird</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnotebairddo01"" style=""display:none;""></input><label for=""footnotebairddo01"" class=""footnoteLabel"">3</label><div id=""footnoteDivbairddo01"">PHI, SLN, BRO</div></span>",27,377,335,43,79,2,108,42,25,18,41,.236,.291,.322,.613,.270,0.52
