playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
acostme01,1915,1,WS1,AL,72,163,20,34,4,1,0,18,8,4,28,15,,4,9,,
adamsba01,1915,1,PIT,NL,40,85,4,12,1,0,0,7,0,,4,14,,0,2,,
adamsbe01,1915,1,PHI,NL,24,27,1,3,0,0,0,2,0,,2,3,,0,2,,
adamsda01,1915,1,KCF,FL,11,9,0,1,0,0,0,1,0,,1,0,,0,0,,
adamska01,1915,1,CHN,NL,26,30,0,0,0,0,0,0,0,,0,16,,0,1,,
aglerjo01,1915,1,BUF,FL,25,73,11,13,1,2,0,2,2,,20,14,,0,1,,
aglerjo01,1915,2,BLF,FL,72,214,28,46,4,2,0,14,15,,34,38,,1,6,,
agnewsa01,1915,1,SLA,AL,104,295,18,60,4,2,0,19,5,2,12,36,,5,7,,
ainsmed01,1915,1,WS1,AL,47,120,13,24,4,2,0,6,7,4,10,18,,1,4,,
aitchra01,1915,1,BRO,NL,7,8,0,0,0,0,0,0,0,,2,5,,0,0,,
alexape01,1915,1,PHI,NL,49,130,9,22,3,0,1,8,0,1,6,23,,0,5,,
alexawa01,1915,1,SLA,AL,1,1,0,0,0,0,0,0,0,,0,0,,0,0,,
alexawa01,1915,2,NYA,AL,25,68,7,17,4,0,1,5,2,1,13,16,,0,4,,
allenfr01,1915,1,PTF,FL,41,89,3,7,3,1,0,2,0,,8,44,,1,4,,
allenni01,1915,1,BUF,FL,84,215,14,44,7,1,0,17,4,,18,34,,1,4,,
altroni01,1915,1,WS1,AL,1,1,0,0,0,0,0,0,0,,0,0,,0,0,,
amesre01,1915,1,CIN,NL,17,20,1,1,0,0,0,0,1,,2,7,,0,0,,
amesre01,1915,2,SLN,NL,15,35,0,4,0,0,0,2,0,1,2,17,,0,3,,
anckewa01,1915,1,PHA,AL,4,6,0,0,0,0,0,0,0,,0,4,,0,0,,
anderfr01,1915,1,BUF,FL,36,80,4,12,1,0,0,2,0,,2,21,,0,1,,
anderge01,1915,1,BRF,FL,136,511,70,135,23,9,2,39,20,,52,54,,8,9,,
appleed01,1915,1,BRO,NL,34,44,3,7,0,1,0,0,0,,2,15,,0,0,,
