Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/aaronha01.shtml"">Hank Aaron</a>",ML1,30,634,570,103,187,24,293,95,62,22,46,.328,.393,.514,.907,.396,6.82
"<a href=""https://www.baseball-reference.com/players/a/abernte02.shtml"">T. Abernathy</a>",CLE,31,7,6,0,0,0,0,0,0,0,3,.000,.000,.000,.000,.000,0.00
"<a href=""https://www.baseball-reference.com/players/a/acklefr01.shtml"">Fritz Ackley</a>",CHA,27,2,1,0,1,0,2,1,1,0,0,1.000,1.000,2.000,3.000,.991,0.13
"<a href=""https://www.baseball-reference.com/players/a/adairje01.shtml"">Jerry Adair</a>",BAL,27,605,569,56,141,9,194,47,28,3,72,.248,.283,.341,.624,.272,0.00
"<a href=""https://www.baseball-reference.com/players/a/adcocjo01.shtml"">Joe Adcock</a>",LAA,36,415,366,39,98,21,174,64,48,0,61,.268,.352,.475,.827,.364,1.81
"<a href=""https://www.baseball-reference.com/players/a/adlesda01.shtml"">Dave Adlesh</a>",HOU,20,10,10,0,2,0,2,0,0,0,5,.200,.200,.200,.400,.179,-0.05
"<a href=""https://www.baseball-reference.com/players/a/ageeto01.shtml"">Tommie Agee</a>",CLE,21,12,12,0,2,0,2,0,0,0,3,.167,.167,.167,.333,.149,-0.23
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",DET,33,58,53,1,3,0,4,3,1,0,32,.057,.074,.075,.150,.070,-0.55
"<a href=""https://www.baseball-reference.com/players/a/akerja01.shtml"">Jack Aker</a>",KC1,23,3,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,0.00
"<a href=""https://www.baseball-reference.com/players/a/allenbe01.shtml"">Bernie Allen</a>",MIN,25,281,243,28,52,6,80,20,33,1,30,.214,.309,.329,.639,.283,0.00
"<a href=""https://www.baseball-reference.com/players/a/allendi01.shtml"">Dick Allen</a>",PHI,22,708,632,125,201,29,352,91,67,3,138,.318,.382,.557,.939,.404,8.81
"<a href=""https://www.baseball-reference.com/players/a/alleyge01.shtml"">Gene Alley</a>",PIT,23,234,209,30,44,6,67,13,21,0,56,.211,.286,.321,.607,.274,0.81
"<a href=""https://www.baseball-reference.com/players/a/allisbo01.shtml"">Bob Allison</a>",MIN,29,594,492,90,141,32,272,86,92,10,99,.287,.404,.553,.957,.417,6.42
"<a href=""https://www.baseball-reference.com/players/a/alomasa01.shtml"">Sandy Alomar</a>",ML1,20,53,53,3,13,0,14,6,0,1,11,.245,.245,.264,.509,.227,0.00
"<a href=""https://www.baseball-reference.com/players/a/aloufe01.shtml"">Felipe Alou</a>",ML1,29,455,415,60,105,9,164,51,30,5,41,.253,.306,.395,.701,.308,0.00
"<a href=""https://www.baseball-reference.com/players/a/alouje01.shtml"">Jesus Alou</a>",SFN,22,398,376,42,103,3,123,28,13,6,35,.274,.305,.327,.632,.283,0.21
