Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamssp01.shtml"">Sparky Adams</a>",SLN,35,631,570,98,179,0,233,55,45,7,27,0.3140350877192982,0.3652597402597403,0.4087719298245614,0.7740316700843017,0,0
"<a href=""https://www.baseball-reference.com/players/a/akersbi01.shtml"">Bill Akers</a>",DET,25,277,233,36,65,9,110,40,36,5,34,0.27896995708154504,0.3754646840148699,0.4721030042918455,0.8475676883067154,0,1.57
"<a href=""https://www.baseball-reference.com/players/a/alexada01.shtml"">Dale Alexander</a>",DET,27,660,602,86,196,20,305,135,42,6,56,0.32558139534883723,0.3715170278637771,0.5066445182724253,0.8781615461362025,0,0
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">Pete Alexander</a>",PHI,43,6,4,0,0,0,0,0,2,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0,0.0
"<a href=""https://www.baseball-reference.com/players/a/allenet01.shtml"">Ethan Allen</a>",2,26,311,284,58,83,10,127,38,17,6,25,0.29225352112676056,0.33222591362126247,0.4471830985915493,0.7794090122128118,0,0
"<a href=""https://www.baseball-reference.com/players/a/applepe01.shtml"">Pete Appleton</a>",CLE,26,44,40,4,8,0,9,2,3,0,9,0.2,0.2558139534883721,0.225,0.4808139534883721,0,0
"<a href=""https://www.baseball-reference.com/players/a/applilu01.shtml"">Luke Appling</a>",CHA,23,26,26,2,8,0,10,2,0,2,0,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.6923076923076923,0,0.02
"<a href=""https://www.baseball-reference.com/players/a/ashke01.shtml"">Ken Ash</a>",CIN,28,11,11,2,2,0,2,0,0,0,2,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365,0,-0.07
"<a href=""https://www.baseball-reference.com/players/a/autrych02.shtml"">Chick Autry</a>",CHA,27,78,71,1,18,0,21,5,4,0,8,0.2535211267605634,0.29333333333333333,0.29577464788732394,0.5891079812206572,0,-0.1
"<a href=""https://www.baseball-reference.com/players/a/averiea01.shtml"">Earl Averill</a>",CLE,28,605,534,102,181,19,287,119,56,10,48,0.3389513108614232,0.40371621621621623,0.5374531835205992,0.9411693997368155,0,4.04
"<a href=""https://www.baseball-reference.com/players/b/badgrre01.shtml"">Red Badgro</a>",SLA,27,254,234,30,56,1,83,27,13,3,27,0.23931623931623933,0.285140562248996,0.3547008547008547,0.6398414169498507,0,-1.16
"<a href=""https://www.baseball-reference.com/players/b/bancrda01.shtml"">Dave Bancroft</a>",NY1,39,19,17,0,1,0,2,0,2,0,1,0.058823529411764705,0.15789473684210525,0.11764705882352941,0.27554179566563464,0,-0.25
"<a href=""https://www.baseball-reference.com/players/b/barnefr01.shtml"">Frank Barnes</a>",NYA,30,7,6,1,2,0,3,2,1,0,0,0.3333333333333333,0.42857142857142855,0.5,0.9285714285714286,0,0.1
"<a href=""https://www.baseball-reference.com/players/b/barnere01.shtml"">Red Barnes</a>",2,26,312,278,49,68,1,98,31,26,4,23,0.2446043165467626,0.3114754098360656,0.35251798561151076,0.6639933954475763,0,-0.18
"<a href=""https://www.baseball-reference.com/players/b/barnhle01.shtml"">Les Barnhart</a>",CLE,25,4,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.08
