Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/albergu01.shtml"">Gus Alberts</a>",ML3,30,50,41,6,4,0,4,2,7,1,5,.098,.260,.098,.358,.219,-0.55
"<a href=""https://www.baseball-reference.com/players/a/allenbo01.shtml"">Bob Allen</a>",PHI,23,481,438,46,97,1,115,51,43,12,44,.221,.291,.263,.554,.279,0.70
"<a href=""https://www.baseball-reference.com/players/a/alvorbi01.shtml"">Billy Alvord</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotealvorbi01"" style=""display:none;""></input><label for=""footnotealvorbi01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivalvorbi01"">CL4, WS9</div></span>",27,383,371,35,90,1,113,37,11,3,45,.243,.266,.305,.571,.269,-0.98
"<a href=""https://www.baseball-reference.com/players/a/andreed01.shtml"">Ed Andrews</a>",CN3,32,390,356,47,75,0,90,26,33,22,35,.211,.279,.253,.532,.269,-1.16
"<a href=""https://www.baseball-reference.com/players/a/ansonca01.shtml"">Cap Anson</a>",CHN,39,616,540,81,157,8,221,120,75,17,29,.291,.378,.409,.788,.382,4.11
"<a href=""https://www.baseball-reference.com/players/b/bakelje01.shtml"">J. Bakley</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebakelje01"" style=""display:none;""></input><label for=""footnotebakelje01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbakelje01"">WS9, BL3</div></span>",27,77,66,4,12,0,14,5,10,0,18,.182,.299,.212,.511,.268,0.02
"<a href=""https://www.baseball-reference.com/players/b/baldwma01.shtml"">Mark Baldwin</a>",PIT,27,192,177,11,27,1,37,12,15,1,67,.153,.219,.209,.428,.216,0.00
"<a href=""https://www.baseball-reference.com/players/b/barrbo01.shtml"">Bob Barr</a>",NY1,34,13,11,0,1,0,1,0,2,0,3,.091,.231,.091,.322,.194,-0.06
"<a href=""https://www.baseball-reference.com/players/b/bassech01.shtml"">C. Bassett</a>",NY1,28,564,524,60,136,4,183,68,36,16,29,.260,.312,.349,.661,.320,0.00
"<a href=""https://www.baseball-reference.com/players/b/bastich01.shtml"">C. Bastian</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebastich01"" style=""display:none;""></input><label for=""footnotebastich01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbastich01"">CN3, PHI</div></span>",33,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.09
"<a href=""https://www.baseball-reference.com/players/b/beardol01.shtml"">Ollie Beard</a>",LS2,29,291,257,35,62,0,76,24,33,7,9,.241,.330,.296,.626,.315,0.62
"<a href=""https://www.baseball-reference.com/players/b/beatied01.shtml"">Ed Beatin</a>",CL4,24,13,13,0,1,0,1,0,0,0,2,.077,.077,.077,.154,.075,-0.17
"<a href=""https://www.baseball-reference.com/players/b/becklja01.shtml"">Jake Beckley</a>",PIT,23,606,554,94,162,4,232,73,44,13,46,.292,.353,.419,.772,.369,0.00
"<a href=""https://www.baseball-reference.com/players/b/beeched01.shtml"">Ed Beecher</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebeeched01"" style=""display:none;""></input><label for=""footnotebeeched01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbeeched01"">WS9, PH4</div></span>",31,341,306,44,72,2,105,35,30,24,13,.235,.314,.343,.657,.302,0.15
"<a href=""https://www.baseball-reference.com/players/b/bellch01.shtml"">Charlie Bell</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebellch01"" style=""display:none;""></input><label for=""footnotebellch01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbellch01"">LS2, CN3</div></span>",22,38,32,4,3,0,3,1,6,0,8,.094,.237,.094,.331,.199,-0.22
"<a href=""https://www.baseball-reference.com/players/b/bennech01.shtml"">C. Bennett</a>",BSN,36,301,256,35,55,5,85,39,42,3,61,.215,.332,.332,.664,.331,1.55
"<a href=""https://www.baseball-reference.com/players/b/bergetu01.shtml"">Tun Berger</a>",PIT,23,149,134,15,32,1,39,14,12,4,10,.239,.315,.291,.606,.305,0.06
"<a href=""https://www.baseball-reference.com/players/b/bierblo01.shtml"">L. Bierbauer</a>",PIT,25,531,500,60,103,1,131,47,28,12,19,.206,.252,.262,.514,.253,-0.28
"<a href=""https://www.baseball-reference.com/players/b/boonege01.shtml"">George Boone</a>",LS2,20,6,6,0,2,0,2,0,0,0,1,.333,.333,.333,.667,.324,0.03
"<a href=""https://www.baseball-reference.com/players/b/bowmabi01.shtml"">Bill Bowman</a>",CHN,24,51,45,2,4,0,5,5,5,0,9,.089,.196,.111,.307,.176,-0.40
"<a href=""https://www.baseball-reference.com/players/b/bowmasu01.shtml"">S. Bowman</a>",PH4,24,56,54,8,13,0,17,2,2,1,12,.241,.268,.315,.583,.280,-0.10
"<a href=""https://www.baseball-reference.com/players/b/boyleja01.shtml"">Jack Boyle</a>",SL4,25,490,434,76,122,5,171,79,44,18,35,.281,.363,.394,.757,.368,2.09
"<a href=""https://www.baseball-reference.com/players/b/breitte01.shtml"">T. Breitenst</a>",SL4,22,14,12,2,0,0,0,0,2,1,0,.000,.143,.000,.143,.111,-0.14
"<a href=""https://www.baseball-reference.com/players/b/brigggr01.shtml"">Grant Briggs</a>",LS2,26,4,4,0,1,0,1,0,0,0,0,.250,.250,.250,.500,.243,-0.01
"<a href=""https://www.baseball-reference.com/players/b/brodist01.shtml"">Steve Brodie</a>",BSN,22,596,523,84,136,2,167,78,63,25,39,.260,.351,.319,.670,.336,0.00
"<a href=""https://www.baseball-reference.com/players/b/broutda01.shtml"">D. Brouthers</a>",BS2,33,597,486,117,170,5,249,109,87,31,20,.350,.471,.512,.983,.471,5.88
"<a href=""https://www.baseball-reference.com/players/b/brownpe01.shtml"">P. Browning</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebrownpe01"" style=""display:none;""></input><label for=""footnotebrownpe01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbrownpe01"">PIT, CIN</div></span>",30,473,419,64,133,4,177,61,51,16,54,.317,.395,.422,.818,.384,0.00
"<a href=""https://www.baseball-reference.com/players/b/brownto01.shtml"">Tom Brown</a>",BS2,30,663,589,177,189,5,276,72,70,106,96,.321,.397,.469,.865,.412,3.20
"<a href=""https://www.baseball-reference.com/players/b/brownwi01.shtml"">W. Brown</a>",PHI,?,479,441,62,107,0,135,50,34,7,35,.243,.303,.306,.609,.301,0.70
"<a href=""https://www.baseball-reference.com/players/b/buckldi01.shtml"">Dick Buckley</a>",NY1,32,267,253,23,55,4,78,31,11,3,30,.217,.258,.308,.567,.273,0.00
"<a href=""https://www.baseball-reference.com/players/b/buffich01.shtml"">C. Buffinton</a>",BS2,30,201,181,16,34,1,41,16,19,0,15,.188,.269,.227,.495,.255,-0.31
"<a href=""https://www.baseball-reference.com/players/b/burdoja01.shtml"">Jack Burdock</a>",BRO,39,13,12,1,1,0,1,1,1,0,1,.083,.154,.083,.237,.135,-0.05
"<a href=""https://www.baseball-reference.com/players/b/burkeed01.shtml"">Eddie Burke</a>",ML3,24,166,144,31,34,2,49,21,12,7,19,.236,.337,.340,.678,.338,0.00
"<a href=""https://www.baseball-reference.com/players/b/burkeje01.shtml"">J. Burkett</a>",CL4,22,190,167,29,45,0,60,13,23,1,19,.269,.358,.359,.717,.353,0.29
"<a href=""https://www.baseball-reference.com/players/b/burkejo01.shtml"">Joe Burke</a>",CN3,23,4,4,0,1,0,1,1,0,0,2,.250,.250,.250,.500,.243,-0.03
"<a href=""https://www.baseball-reference.com/players/b/burnsji01.shtml"">Jim Burns</a>",WS9,?,90,82,15,26,0,32,10,6,2,10,.317,.378,.390,.768,.375,0.12
"<a href=""https://www.baseball-reference.com/players/b/burnsoy01.shtml"">Oyster Burns</a>",BRO,26,523,470,75,134,4,196,83,53,21,30,.285,.358,.417,.775,.371,2.63
"<a href=""https://www.baseball-reference.com/players/b/burnsto01.shtml"">Tom Burns</a>",CHN,34,264,243,36,55,1,68,17,21,18,21,.226,.288,.280,.568,.282,-0.21
"<a href=""https://www.baseball-reference.com/players/b/burrebu01.shtml"">B. Burrell</a>",NY1,24,57,53,1,5,0,5,1,3,2,12,.094,.158,.094,.252,.140,-0.98
"<a href=""https://www.baseball-reference.com/players/b/burreha01.shtml"">H. Burrell</a>",SL4,24,20,20,2,4,0,5,3,0,0,5,.200,.200,.250,.450,.213,-0.11
"<a href=""https://www.baseball-reference.com/players/c/cahilto01.shtml"">Tom Cahill</a>",LS2,22,477,430,68,109,3,149,44,41,38,51,.253,.327,.347,.674,.330,0.92
"<a href=""https://www.baseball-reference.com/players/c/calihwi01.shtml"">Will Calihan</a>",PH4,23,61,56,6,11,0,12,4,5,0,8,.196,.262,.214,.477,.245,-0.08
"<a href=""https://www.baseball-reference.com/players/c/canavji01.shtml"">Jim Canavan</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecanavji01"" style=""display:none;""></input><label for=""footnotecanavji01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivcanavji01"">CN3, ML3</div></span>",24,616,568,107,135,10,216,87,43,28,54,.238,.297,.380,.677,.298,-0.22
"<a href=""https://www.baseball-reference.com/players/c/carnejo01.shtml"">Jack Carney</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecarnejo01"" style=""display:none;""></input><label for=""footnotecarnejo01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivcarnejo01"">CN3, ML3</div></span>",24,531,477,69,135,6,188,66,48,20,26,.283,.356,.394,.750,.345,2.01
"<a href=""https://www.baseball-reference.com/players/c/carrocl01.shtml"">C. Carroll</a>",CHN,31,580,515,87,132,7,189,80,50,31,42,.256,.340,.367,.707,.345,1.21
"<a href=""https://www.baseball-reference.com/players/c/carrofr01.shtml"">Fred Carroll</a>",PIT,26,403,353,55,77,4,110,48,48,22,36,.218,.315,.312,.627,.312,1.06
"<a href=""https://www.baseball-reference.com/players/c/carseki01.shtml"">Kid Carsey</a>",WS9,18,208,187,25,28,0,37,15,19,2,38,.150,.236,.198,.433,.225,-0.56
"<a href=""https://www.baseball-reference.com/players/c/carutbo01.shtml"">B. Caruthers</a>",BRO,27,196,171,24,48,2,65,23,25,4,13,.281,.372,.380,.753,.369,1.25
"<a href=""https://www.baseball-reference.com/players/c/cassied01.shtml"">Ed Cassian</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecassied01"" style=""display:none;""></input><label for=""footnotecassied01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivcassied01"">PHI, WS9</div></span>",23,43,43,4,11,0,14,5,0,0,8,.256,.256,.326,.581,.274,0.04
"<a href=""https://www.baseball-reference.com/players/c/chambel01.shtml"">I. Chamberlain</a>",PH4,23,198,176,21,33,2,52,19,21,3,33,.188,.278,.295,.573,.283,0.16
"<a href=""https://www.baseball-reference.com/players/c/childcu01.shtml"">Cupid Childs</a>",CL4,23,655,551,120,155,2,206,83,97,39,32,.281,.395,.374,.769,.382,3.50
"<a href=""https://www.baseball-reference.com/players/c/clarkar01.shtml"">Artie Clarke</a>",NY1,26,189,174,17,33,0,39,21,15,5,16,.190,.254,.224,.478,.243,-0.58
"<a href=""https://www.baseball-reference.com/players/c/clarkbo01.shtml"">Bob Clark</a>",CIN,28,61,54,2,6,0,6,3,6,3,9,.111,.213,.111,.324,.185,-0.56
"<a href=""https://www.baseball-reference.com/players/c/clarkda01.shtml"">Dad Clarke</a>",CL6,26,12,10,2,1,0,2,0,2,0,5,.100,.250,.200,.450,.242,0.00
"<a href=""https://www.baseball-reference.com/players/c/clarkda02.shtml"">Dad Clarkson</a>",NY1,24,11,9,0,4,0,4,0,2,0,2,.444,.545,.444,.990,.495,0.00
"<a href=""https://www.baseball-reference.com/players/c/clarkjo01.shtml"">J. Clarkson</a>",BSN,29,205,187,28,42,0,57,26,18,2,50,.225,.293,.305,.597,.294,0.22
"<a href=""https://www.baseball-reference.com/players/c/clemeja01.shtml"">J. Clements</a>",PHI,26,471,423,58,131,4,180,75,43,3,19,.310,.380,.426,.806,.388,3.45
"<a href=""https://www.baseball-reference.com/players/c/cleveel01.shtml"">E. Cleveland</a>",CL6,28,54,41,12,7,0,7,4,12,4,9,.171,.370,.171,.541,.314,-0.02
"<a href=""https://www.baseball-reference.com/players/c/clinemo01.shtml"">Monk Cline</a>",LS2,33,86,70,11,21,0,26,11,16,2,2,.300,.430,.371,.802,.403,0.39
"<a href=""https://www.baseball-reference.com/players/c/clingbi01.shtml"">B. Clingman</a>",CN3,21,5,5,0,1,0,2,0,0,0,0,.200,.200,.400,.600,.269,-0.01
"<a href=""https://www.baseball-reference.com/players/c/clymebi01.shtml"">Bill Clymer</a>",PH4,18,13,11,0,0,0,0,0,1,1,2,.000,.154,.000,.154,.122,-0.24
"<a href=""https://www.baseball-reference.com/players/c/collibi01.shtml"">Bill Collins</a>",CL4,?,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,0.03
"<a href=""https://www.baseball-reference.com/players/c/collihu01.shtml"">Hub Collins</a>",BRO,27,496,435,82,120,3,155,31,59,32,63,.276,.365,.356,.721,.357,1.20
"<a href=""https://www.baseball-reference.com/players/c/comisch01.shtml"">C. Comiskey</a>",SL4,31,612,572,84,148,2,174,88,33,38,25,.259,.307,.304,.611,.302,0.78
"<a href=""https://www.baseball-reference.com/players/c/connoro01.shtml"">Roger Connor</a>",NY1,33,566,479,112,139,7,215,94,83,27,39,.290,.399,.449,.848,.408,5.87
"<a href=""https://www.baseball-reference.com/players/c/cookpa01.shtml"">Paul Cook</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecookpa01"" style=""display:none;""></input><label for=""footnotecookpa01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivcookpa01"">LS2, SL4</div></span>",28,192,178,24,40,0,45,24,12,4,19,.225,.281,.253,.534,.259,-0.62
"<a href=""https://www.baseball-reference.com/players/c/cooneji01.shtml"">Jimmy Cooney</a>",CHN,25,515,465,84,114,0,135,42,48,21,17,.245,.318,.290,.609,.306,3.14
"<a href=""https://www.baseball-reference.com/players/c/corcoto01.shtml"">T. Corcoran</a>",PH4,22,550,511,84,130,7,192,71,29,30,56,.254,.307,.376,.683,.326,1.70
"<a href=""https://www.baseball-reference.com/players/c/corkhpo01.shtml"">Pop Corkhill</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecorkhpo01"" style=""display:none;""></input><label for=""footnotecorkhpo01"" class=""footnoteLabel"">3</label><div class=""footnoteDiv"" id=""footnoteDivcorkhpo01"">PH4, CIN, PIT</div></span>",33,534,498,66,106,3,139,51,33,19,26,.213,.266,.279,.545,.254,-1.27
"<a href=""https://www.baseball-reference.com/players/c/cotteto01.shtml"">Tom Cotter</a>",BS2,24,13,12,1,3,0,3,4,1,0,2,.250,.308,.250,.558,.284,-0.01
