playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
abbated01,1897,1,PHI,NL,3,10,0,3,0,0,0,0,0,,1,2,,0,0,,
abbeych01,1897,1,WAS,NL,80,300,52,78,14,8,3,34,9,,27,15,,4,3,,
allenbo01,1897,1,BSN,NL,34,119,33,38,5,0,1,24,1,,18,8,,0,3,,
amoledo01,1897,1,BLN,NL,11,28,1,3,0,0,0,5,0,,1,3,,2,0,,
anderjo01,1897,1,BRO,NL,117,492,93,160,28,12,4,85,29,,17,14,,7,11,,
ansonca01,1897,1,CHN,NL,114,424,67,121,17,3,3,75,11,,60,27,,4,9,,
beckebo01,1897,1,PHI,NL,5,9,1,1,0,0,0,1,0,,2,3,,0,0,,
becklja01,1897,1,NY1,NL,17,68,8,17,2,3,1,11,2,,2,2,,3,0,,
becklja01,1897,2,CIN,NL,97,365,76,126,17,9,7,76,23,,18,12,,12,4,,
beeched02,1897,1,SLN,NL,3,12,1,4,0,0,0,1,1,,0,0,,0,0,,
beldeir01,1897,1,CL4,NL,8,30,5,8,0,2,0,4,0,,2,6,,1,2,,
bergema01,1897,1,BSN,NL,87,327,47,81,11,3,2,45,5,,18,23,,4,2,,
bierblo01,1897,1,SLN,NL,12,46,1,10,0,0,0,1,2,,0,2,,0,3,,
blackge01,1897,1,BLN,NL,5,13,1,1,0,0,0,0,0,,0,2,,0,0,,
blakeha01,1897,1,CL4,NL,32,117,17,30,3,1,1,15,5,,12,13,,1,2,,
bowerfr01,1897,1,BLN,NL,38,130,16,41,5,0,1,21,3,,1,13,,2,1,,
boyleja01,1897,1,PHI,NL,75,288,37,73,9,1,2,36,3,,19,13,,3,5,,
breitte01,1897,1,CIN,NL,41,124,16,33,4,6,0,23,5,,6,5,,0,4,,
bresnro01,1897,1,WAS,NL,6,16,1,6,0,0,0,3,0,,1,2,,0,0,,
briggbu01,1897,1,CHN,NL,22,81,5,13,0,1,0,5,1,,3,15,,0,2,,
brodist01,1897,1,PIT,NL,100,370,47,108,7,12,2,53,11,,25,13,,7,8,,
brownch01,1897,1,CL4,NL,4,11,1,3,1,0,0,1,0,,0,3,,0,0,,
brownjo02,1897,1,BRO,NL,1,2,0,1,0,0,0,0,0,,0,0,,0,0,,
brownst01,1897,1,CIN,NL,2,5,0,0,0,0,0,0,0,,0,2,,0,0,,
brownto01,1897,1,WAS,NL,116,469,91,137,17,2,5,45,25,,52,63,,1,8,,
burkeed01,1897,1,CIN,NL,95,387,71,103,17,1,1,41,22,,29,17,,6,4,,
burkeje01,1897,1,CL4,NL,127,517,129,198,28,7,2,60,28,,76,25,,7,10,,
burrebu01,1897,1,BRO,NL,33,103,15,25,2,0,2,18,1,,10,9,,0,2,,
butledi01,1897,1,LS3,NL,10,38,3,7,0,0,0,2,1,,0,2,,0,1,,
callani01,1897,1,CHN,NL,94,360,60,105,18,6,3,47,12,,10,25,,5,8,,
canavji01,1897,1,BRO,NL,63,240,25,52,9,3,2,34,9,,26,18,,2,1,,
carseki01,1897,1,PHI,NL,4,13,1,3,0,0,0,1,0,,0,0,,0,1,,
carseki01,1897,2,SLN,NL,13,43,2,13,2,2,0,5,1,,1,6,,0,0,,
cartwed01,1897,1,WAS,NL,33,124,19,29,4,0,0,15,9,,8,8,,1,0,,
childcu01,1897,1,CL4,NL,114,444,105,150,15,9,1,61,25,,74,19,,2,17,,
clarkbo02,1897,1,BLN,NL,64,241,32,65,7,1,1,38,5,,9,12,,9,0,,
clarkda01,1897,1,NY1,NL,6,13,4,3,0,0,0,1,0,,1,1,,0,0,,
clarkda01,1897,2,LS3,NL,7,22,0,5,0,0,0,2,0,,0,3,,0,0,,
clarkfr01,1897,1,LS3,NL,130,526,122,205,30,13,6,67,59,,45,26,,25,3,,
clarkhe01,1897,1,CL4,NL,7,25,3,7,0,0,0,3,0,,2,0,,0,0,,
clarkwi01,1897,1,NY1,NL,117,436,63,122,17,12,1,75,18,,37,29,,9,4,,
clarkwi03,1897,1,LS3,NL,4,16,2,3,0,0,0,2,1,,1,4,,0,0,,
clemeja01,1897,1,PHI,NL,55,185,18,44,4,2,6,36,3,,12,3,,6,4,,
clingbi01,1897,1,LS3,NL,115,403,61,92,14,7,2,47,14,,37,52,,5,8,,
cogandi01,1897,1,BLN,NL,1,1,0,0,0,0,0,0,0,,0,1,,0,0,,
colempe01,1897,1,SLN,NL,13,31,2,7,0,0,0,3,0,,1,5,,2,0,,
colliji01,1897,1,BSN,NL,134,529,103,183,28,13,6,132,14,,41,16,,7,8,,
connoji01,1897,1,CHN,NL,77,285,40,83,10,5,3,38,10,,24,20,,4,5,,
connoro01,1897,1,SLN,NL,22,83,13,19,3,1,1,12,3,,13,6,,0,1,,
cookefr01,1897,1,CL4,NL,5,17,2,5,2,0,0,3,0,,3,1,,0,1,,
cooledu01,1897,1,PHI,NL,133,566,124,186,14,13,4,40,31,,51,39,,2,10,,
corbejo01,1897,1,BLN,NL,42,150,27,37,6,1,0,22,4,,4,11,,1,1,,
corcoto01,1897,1,CIN,NL,109,445,76,128,30,5,3,57,15,,13,6,,2,12,,
crigelo01,1897,1,CL4,NL,39,138,15,31,4,1,0,22,5,,23,12,,1,3,,
crossla01,1897,1,PHI,NL,88,344,37,89,17,5,3,51,10,,10,15,,1,11,,
crossmo01,1897,1,SLN,NL,132,465,60,133,17,11,4,55,38,,62,44,,7,13,,
cunnibe01,1897,1,LS3,NL,32,97,13,22,0,1,2,10,1,,1,13,,1,5,,
cuppyni01,1897,1,CL4,NL,21,55,5,8,0,1,0,3,0,,5,4,,0,1,,
dahlebi01,1897,1,CHN,NL,75,276,67,80,18,8,6,40,15,,43,25,,7,13,,
dammabi01,1897,1,CIN,NL,16,31,4,5,0,2,0,6,0,,4,5,,0,0,,
daubda01,1897,1,BRO,NL,19,49,11,11,3,0,0,4,2,,9,6,,1,2,,
davisge01,1897,1,NY1,NL,131,521,112,184,31,10,10,135,65,,43,23,,7,5,,
davisha01,1897,1,PIT,NL,111,429,70,131,10,28,2,63,21,,26,40,,10,10,,
deckege01,1897,1,CHN,NL,111,428,72,124,12,7,5,63,11,,24,14,,4,9,,
delahed01,1897,1,PHI,NL,129,530,109,200,40,15,5,96,26,,60,23,,3,5,,
delahto01,1897,1,LS3,NL,1,4,1,1,1,0,0,2,0,,0,0,,0,0,,
demonge01,1897,1,WAS,NL,133,566,92,193,27,8,3,93,30,,21,35,,1,14,,
denzero01,1897,1,CHN,NL,12,39,4,6,1,0,0,1,0,,1,10,,0,0,,
dextech01,1897,1,LS3,NL,76,257,43,72,12,5,2,46,12,,21,30,,3,2,,
dohened01,1897,1,NY1,NL,10,35,5,7,1,0,0,0,2,,1,4,,0,0,,
dolanjo02,1897,1,LS3,NL,36,133,10,28,2,2,0,7,6,,8,17,,3,0,,
donahre01,1897,1,SLN,NL,49,155,11,33,7,2,1,14,1,,4,36,,0,4,,
donahti01,1897,1,CHN,NL,58,188,28,45,7,3,0,21,3,,9,9,,2,4,,
donneji01,1897,1,PIT,NL,44,161,22,31,4,0,0,14,14,,16,5,,1,3,,
donneji01,1897,2,NY1,NL,23,85,19,16,3,0,0,11,6,,9,5,,0,1,,
donovpa01,1897,1,PIT,NL,120,479,82,154,16,7,0,57,34,,25,23,,4,9,,
douglkl01,1897,1,SLN,NL,126,519,77,170,15,3,6,50,12,,52,20,,13,3,,
dowdto01,1897,1,SLN,NL,35,145,25,38,9,1,0,9,11,,6,6,,0,6,,
dowdto01,1897,2,PHI,NL,91,391,68,114,14,4,0,43,30,,19,10,,0,8,,
dowlipe01,1897,1,LS3,NL,4,10,1,2,1,0,0,0,0,,0,2,,0,0,,
doyleja01,1897,1,BLN,NL,114,460,91,163,29,4,2,87,62,,29,23,,1,2,,
duffyhu01,1897,1,BSN,NL,134,550,130,187,25,10,11,129,41,,52,17,,6,13,,
dunklda01,1897,1,PHI,NL,7,23,2,4,1,0,0,1,0,,2,9,,0,1,,
dunnja01,1897,1,BRO,NL,36,131,20,29,4,0,0,17,2,,4,10,,0,4,,
dwyerfr01,1897,1,CIN,NL,37,94,13,25,1,1,0,10,0,,5,5,,1,7,,
ehretre01,1897,1,CIN,NL,34,66,6,13,2,0,0,6,2,,4,3,,1,2,,
elybo01,1897,1,PIT,NL,133,516,63,146,20,8,2,74,10,,25,24,,1,15,,
esperdu01,1897,1,SLN,NL,8,25,2,8,0,0,0,3,0,,1,2,,0,0,,
evansro01,1897,1,SLN,NL,3,3,0,0,0,0,0,0,0,,3,2,,0,0,,
evansro01,1897,2,LS3,NL,9,23,1,3,0,0,0,3,0,,2,9,,0,0,,
everibi01,1897,1,CHN,NL,92,379,63,119,14,7,5,39,26,,36,37,,0,11,,
ewingbu01,1897,1,CIN,NL,1,1,0,0,0,0,0,0,0,,0,0,,1,0,,
farredu01,1897,1,WAS,NL,78,261,41,84,9,6,0,53,8,,17,4,,1,5,,
fifieja01,1897,1,PHI,NL,27,77,11,18,3,0,2,6,0,,9,12,,0,2,,
fishech04,1897,1,BRO,NL,20,59,7,12,0,1,0,8,0,,6,9,,0,1,,
foxbi01,1897,1,WAS,NL,4,14,4,4,0,0,0,0,0,,1,2,,0,0,,
frasech01,1897,1,LS3,NL,37,115,10,18,1,0,2,11,2,,10,19,,1,2,,
frienda01,1897,1,CHN,NL,25,88,12,25,5,0,0,9,1,,5,5,,0,1,,
ganzech01,1897,1,BSN,NL,30,105,15,28,4,3,0,14,2,,4,3,,1,3,,
gardnji01,1897,1,PIT,NL,27,76,13,12,2,1,1,8,3,,9,11,,2,2,,
gearda01,1897,1,CL4,NL,7,24,3,4,1,0,0,2,2,,3,4,,1,0,,
geierph01,1897,1,PHI,NL,92,316,51,88,6,2,1,35,19,,56,31,,3,5,,
germale01,1897,1,WAS,NL,19,44,8,15,2,0,0,3,0,,3,2,,0,1,,
