Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abercda01.shtml"">F. Abercrombie</a>",TRO,21,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.07
"<a href=""https://www.baseball-reference.com/players/a/addybo01.shtml"">Bob Addy</a>",RC1,29,122,118,30,32,0,38,13,4,8,0,.271,.295,.322,.617,.286,0.00
"<a href=""https://www.baseball-reference.com/players/a/allisar01.shtml"">Art Allison</a>",CL1,22,139,137,28,40,0,54,19,2,3,5,.292,.302,.394,.696,.308,0.00
"<a href=""https://www.baseball-reference.com/players/a/allisdo01.shtml"">Doug Allison</a>",WS3,24,133,133,28,44,2,64,27,0,1,2,.331,.331,.481,.812,.348,0.00
"<a href=""https://www.baseball-reference.com/players/a/ansonca01.shtml"">Cap Anson</a>",RC1,19,122,120,29,39,0,56,16,2,6,1,.325,.336,.467,.803,.350,0.85
"<a href=""https://www.baseball-reference.com/players/a/armstsa01.shtml"">R. Armstrong</a>",FW1,20,49,49,9,11,0,15,5,0,0,1,.224,.224,.306,.531,.232,-0.14
"<a href=""https://www.baseball-reference.com/players/b/barkeal01.shtml"">Al Barker</a>",RC1,32,5,4,0,1,0,1,2,1,0,0,.250,.400,.250,.650,.347,0.03
"<a href=""https://www.baseball-reference.com/players/b/barnero01.shtml"">Ross Barnes</a>",BS1,21,170,157,66,63,0,91,34,13,11,1,.401,.447,.580,1.027,.452,2.26
"<a href=""https://www.baseball-reference.com/players/b/barrebi01.shtml"">Bill Barrett</a>",FW1,?,5,5,1,1,0,2,1,0,0,0,.200,.200,.400,.600,.242,0.00
"<a href=""https://www.baseball-reference.com/players/b/barrofr01.shtml"">F. Barrows</a>",BS1,26,86,86,13,13,0,17,11,0,1,0,.151,.151,.198,.349,.154,-0.89
"<a href=""https://www.baseball-reference.com/players/b/bassjo01.shtml"">John Bass</a>",CL1,?,92,89,18,27,3,57,18,3,0,4,.303,.326,.640,.967,.382,0.52
"<a href=""https://www.baseball-reference.com/players/b/battijo01.shtml"">Joe Battin</a>",CL1,17,4,3,0,0,0,0,0,1,0,0,.000,.250,.000,.250,.199,0.00
"<a href=""https://www.baseball-reference.com/players/b/bealsto01.shtml"">Tommy Beals</a>",WS3,20,38,36,6,7,0,7,1,2,2,0,.194,.237,.194,.431,.215,0.00
"<a href=""https://www.baseball-reference.com/players/b/beavee.01.shtml"">E. Beavens</a>",TRO,?,15,15,7,6,0,6,5,0,2,0,.400,.400,.400,.800,.375,0.11
"<a href=""https://www.baseball-reference.com/players/b/bechtge01.shtml"">G. Bechtel</a>",PH1,22,96,94,24,33,1,47,21,2,4,2,.351,.365,.500,.865,.377,0.00
"<a href=""https://www.baseball-reference.com/players/b/bellast01.shtml"">Steve Bellan</a>",TRO,21,137,128,26,32,0,41,23,9,4,2,.250,.299,.320,.620,.289,-0.08
"<a href=""https://www.baseball-reference.com/players/b/berkena01.shtml"">N. Berkenstock</a>",PH1,38,4,4,0,0,0,0,0,0,0,3,.000,.000,.000,.000,.000,-0.12
"<a href=""https://www.baseball-reference.com/players/b/berryto01.shtml"">Tom Berry</a>",PH1,28,4,4,0,1,0,1,0,0,0,0,.250,.250,.250,.500,.234,-0.01
"<a href=""https://www.baseball-reference.com/players/b/berthha01.shtml"">H. Berthrong</a>",WS3,27,77,73,17,17,0,20,8,4,3,2,.233,.273,.274,.547,.259,-0.08
"<a href=""https://www.baseball-reference.com/players/b/biermch01.shtml"">C. Bierman</a>",FW1,?,3,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333,.266,0.00
"<a href=""https://www.baseball-reference.com/players/b/birdge01.shtml"">George Bird</a>",RC1,21,109,106,19,28,0,40,13,3,1,2,.264,.284,.377,.662,.292,-0.11
"<a href=""https://www.baseball-reference.com/players/b/birdsda01.shtml"">D. Birdsall</a>",BS1,32,156,152,51,46,0,55,24,4,6,4,.303,.321,.362,.682,.312,0.21
"<a href=""https://www.baseball-reference.com/players/b/brainas01.shtml"">Asa Brainard</a>",WS3,?,141,134,24,30,0,34,21,7,4,2,.224,.262,.254,.516,.247,0.00
"<a href=""https://www.baseball-reference.com/players/b/brannmi01.shtml"">M. Brannock</a>",CH1,19,14,14,2,1,0,1,0,0,0,0,.071,.071,.071,.143,.067,-0.23
"<a href=""https://www.baseball-reference.com/players/b/burrohe01.shtml"">H. Burroughs</a>",WS3,26,64,63,11,15,1,26,14,1,0,1,.238,.250,.413,.663,.275,0.06
"<a href=""https://www.baseball-reference.com/players/c/careyto01.shtml"">Tom Carey</a>",FW1,24,89,87,16,20,0,22,10,2,5,1,.230,.247,.253,.500,.235,-0.23
"<a href=""https://www.baseball-reference.com/players/c/carleji01.shtml"">Jim Carleton</a>",CL1,22,135,127,31,32,0,42,18,8,2,3,.252,.296,.331,.627,.290,0.36
"<a href=""https://www.baseball-reference.com/players/c/conefr01.shtml"">Fred Cone</a>",BS1,23,85,77,17,20,0,25,16,8,12,2,.260,.329,.325,.654,.311,-0.01
"<a href=""https://www.baseball-reference.com/players/c/connone01.shtml"">Ned Connor</a>",TRO,?,33,33,6,7,0,7,2,0,0,0,.212,.212,.212,.424,.199,-0.15
"<a href=""https://www.baseball-reference.com/players/c/cravebi01.shtml"">Bill Craver</a>",TRO,27,121,118,26,38,0,48,26,3,6,0,.322,.339,.407,.746,.337,0.00
"<a href=""https://www.baseball-reference.com/players/c/cuthbne01.shtml"">Ned Cuthbert</a>",PH1,26,160,150,47,37,3,63,30,10,16,2,.247,.294,.420,.714,.307,0.48
"<a href=""https://www.baseball-reference.com/players/d/deaneha01.shtml"">Harry Deane</a>",FW1,25,24,22,3,4,0,6,2,2,0,0,.182,.250,.273,.523,.244,0.07
"<a href=""https://www.baseball-reference.com/players/d/donnepe01.shtml"">P. Donnelly</a>",FW1,?,35,34,7,7,0,10,3,1,0,2,.206,.229,.294,.523,.233,-0.35
"<a href=""https://www.baseball-reference.com/players/d/duffyed01.shtml"">Ed Duffy</a>",CH1,?,124,121,30,28,0,33,15,3,11,2,.231,.250,.273,.523,.242,-0.25
"<a href=""https://www.baseball-reference.com/players/e/eggleda01.shtml"">Dave Eggler</a>",NY2,22,151,147,37,47,0,60,18,4,14,3,.320,.338,.408,.746,.336,1.13
"<a href=""https://www.baseball-reference.com/players/e/ewellge01.shtml"">George Ewell</a>",CL1,20,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.05
"<a href=""https://www.baseball-reference.com/players/f/fergubo01.shtml"">Bob Ferguson</a>",NY2,26,161,158,30,38,0,46,25,3,4,2,.241,.255,.291,.546,.250,0.50
"<a href=""https://www.baseball-reference.com/players/f/fishech01.shtml"">C. Fisher</a>",RC1,26,126,123,24,28,1,40,22,3,1,1,.228,.246,.325,.571,.251,-0.31
"<a href=""https://www.baseball-reference.com/players/f/fislewe01.shtml"">Wes Fisler</a>",PH1,27,150,147,43,41,0,53,16,3,6,2,.279,.293,.361,.654,.294,0.09
"<a href=""https://www.baseball-reference.com/players/f/fleetfr01.shtml"">Frank Fleet</a>",NY2,?,6,6,1,2,0,2,1,0,0,0,.333,.333,.333,.667,.313,0.00
"<a href=""https://www.baseball-reference.com/players/f/flowedi01.shtml"">D. Flowers</a>",TRO,?,109,105,39,33,0,46,18,4,8,0,.314,.339,.438,.778,.345,0.36
"<a href=""https://www.baseball-reference.com/players/f/flynncl01.shtml"">C. Flynn</a>",TRO,22,146,142,43,48,0,56,27,4,3,2,.338,.356,.394,.751,.345,0.75
"<a href=""https://www.baseball-reference.com/players/f/foleyto01.shtml"">Tom Foley</a>",CH1,?,87,84,18,22,0,27,13,3,1,2,.262,.287,.321,.609,.280,-0.20
"<a href=""https://www.baseball-reference.com/players/f/foranji01.shtml"">Jim Foran</a>",FW1,?,91,89,21,31,1,41,18,2,1,1,.348,.363,.461,.823,.364,0.47
"<a href=""https://www.baseball-reference.com/players/f/forceda01.shtml"">Davy Force</a>",WS3,21,166,162,45,45,0,62,29,4,8,0,.278,.295,.383,.678,.301,0.00
"<a href=""https://www.baseball-reference.com/players/f/fulmech01.shtml"">Chick Fulmer</a>",RC1,20,68,63,11,17,0,24,3,5,0,1,.270,.324,.381,.704,.320,0.31
"<a href=""https://www.baseball-reference.com/players/g/glennjo01.shtml"">John Glenn</a>",WS3,21,123,120,25,37,0,44,21,3,1,1,.308,.325,.367,.692,.317,0.00
"<a href=""https://www.baseball-reference.com/players/g/goldswa01.shtml"">W. Goldsmith</a>",FW1,22,92,88,8,18,0,19,12,4,0,2,.205,.239,.216,.455,.221,-0.72
"<a href=""https://www.baseball-reference.com/players/g/gouldch01.shtml"">C. Gould</a>",BS1,23,154,151,38,43,2,62,32,3,6,1,.285,.299,.411,.709,.309,0.14
"<a href=""https://www.baseball-reference.com/players/h/hallge01.shtml"">George Hall</a>",WS3,22,144,136,31,40,2,55,17,8,2,0,.294,.333,.404,.738,.330,1.07
"<a href=""https://www.baseball-reference.com/players/h/halliji01.shtml"">J. Hallinan</a>",FW1,22,27,25,7,5,0,5,2,2,1,0,.200,.259,.200,.459,.233,0.00
"<a href=""https://www.baseball-reference.com/players/h/hamra01.shtml"">Ralph Ham</a>",RC1,22,114,113,25,28,0,32,12,1,6,7,.248,.254,.283,.538,.247,-0.47
"<a href=""https://www.baseball-reference.com/players/h/hastisc01.shtml"">S. Hastings</a>",RC1,23,120,118,27,30,0,44,20,2,11,4,.254,.267,.373,.640,.279,0.00
"<a href=""https://www.baseball-reference.com/players/h/hatfijo01.shtml"">J. Hatfield</a>",NY2,23,172,168,41,43,0,50,22,4,10,0,.256,.273,.298,.571,.264,0.47
"<a href=""https://www.baseball-reference.com/players/h/heubege01.shtml"">G. Heubel</a>",PH1,22,77,75,18,23,0,31,13,2,1,0,.307,.325,.413,.738,.329,0.25
"<a href=""https://www.baseball-reference.com/players/h/highadi01.shtml"">Dick Higham</a>",NY2,19,96,94,21,34,0,39,9,2,3,0,.362,.375,.415,.790,.363,0.66
"<a href=""https://www.baseball-reference.com/players/h/hodesch01.shtml"">C. Hodes</a>",CH1,?,137,130,32,36,2,48,25,7,3,0,.277,.314,.369,.683,.308,0.38
"<a href=""https://www.baseball-reference.com/players/j/jackssa01.shtml"">Sam Jackson</a>",BS1,22,77,76,17,17,0,28,11,1,0,4,.224,.234,.368,.602,.255,-0.07
"<a href=""https://www.baseball-reference.com/players/j/johnsca01.shtml"">W. Johnson</a>",CL1,23,67,67,10,15,0,16,7,0,1,1,.224,.224,.239,.463,.214,-0.37
"<a href=""https://www.baseball-reference.com/players/k/kellybi01.shtml"">Bill Kelly</a>",FW1,?,73,67,16,15,0,18,7,6,0,1,.224,.288,.269,.556,.269,-0.06
"<a href=""https://www.baseball-reference.com/players/k/kimbage01.shtml"">Gene Kimball</a>",CL1,20,134,131,18,25,0,26,9,3,5,2,.191,.209,.198,.407,.195,-0.83
"<a href=""https://www.baseball-reference.com/players/k/kingma01.shtml"">M. King</a>",CH1,21,109,101,23,21,2,28,16,8,5,1,.208,.266,.277,.543,.254,-0.27
"<a href=""https://www.baseball-reference.com/players/k/kingst01.shtml"">Steve King</a>",TRO,?,145,144,45,57,0,79,34,1,3,1,.396,.400,.549,.949,.414,1.18
"<a href=""https://www.baseball-reference.com/players/k/kohlehe01.shtml"">Henry Kohler</a>",FW1,19,12,12,0,2,0,3,1,0,0,0,.167,.167,.250,.417,.179,-0.12
"<a href=""https://www.baseball-reference.com/players/l/lennobi01.shtml"">Bill Lennon</a>",FW1,26,49,48,5,11,0,14,5,1,1,0,.229,.245,.292,.537,.244,-0.06
"<a href=""https://www.baseball-reference.com/players/l/leonaan01.shtml"">Andy Leonard</a>",WS3,25,151,148,33,43,0,57,30,3,14,1,.291,.305,.385,.690,.308,0.45
"<a href=""https://www.baseball-reference.com/players/m/mackde01.shtml"">Denny Mack</a>",RC1,21,130,122,34,30,0,39,17,8,12,7,.246,.292,.320,.612,.284,0.18
"<a href=""https://www.baseball-reference.com/players/m/malonfe01.shtml"">Fergy Malone</a>",PH1,26,143,134,33,46,1,58,33,9,9,4,.343,.385,.433,.817,.373,0.92
"<a href=""https://www.baseball-reference.com/players/m/mathebo01.shtml"">B. Mathews</a>",FW1,19,91,89,15,24,0,29,10,2,2,0,.270,.286,.326,.612,.280,0.00
"<a href=""https://www.baseball-reference.com/players/m/mcatebu01.shtml"">Bub McAtee</a>",CH1,26,140,135,34,37,0,49,10,5,5,2,.274,.300,.363,.663,.299,0.16
"<a href=""https://www.baseball-reference.com/players/m/mcbridi01.shtml"">Dick McBride</a>",PH1,24,139,132,36,31,0,34,17,7,4,1,.235,.273,.258,.531,.255,-0.37
"<a href=""https://www.baseball-reference.com/players/m/mcderjo01.shtml"">J. McDermott</a>",FW1,?,9,8,3,2,0,2,1,1,1,1,.250,.333,.250,.583,.297,-0.06
"<a href=""https://www.baseball-reference.com/players/m/mcgeami01.shtml"">Mike McGeary</a>",TRO,20,154,148,42,39,0,43,12,6,20,0,.264,.292,.291,.583,.276,0.00
"<a href=""https://www.baseball-reference.com/players/m/mcmuljo01.shtml"">J. McMullin</a>",TRO,22,144,136,38,38,0,48,32,8,11,6,.279,.319,.353,.672,.310,0.02
"<a href=""https://www.baseball-reference.com/players/m/mcveyca01.shtml"">Cal McVey</a>",BS1,21,154,153,43,66,0,85,43,1,6,2,.431,.435,.556,.991,.440,1.65
"<a href=""https://www.baseball-reference.com/players/m/meyerle01.shtml"">Levi Meyerle</a>",PH1,21,132,130,45,64,4,91,40,2,4,1,.492,.500,.700,1.200,.517,1.66
"<a href=""https://www.baseball-reference.com/players/m/millsch01.shtml"">C. Mills</a>",NY2,26,147,146,27,36,0,46,22,1,2,0,.247,.252,.315,.567,.253,0.24
"<a href=""https://www.baseball-reference.com/players/m/millsev01.shtml"">E. Mills</a>",WS3,26,160,157,38,43,1,60,24,3,2,1,.274,.288,.382,.670,.294,0.47
"<a href=""https://www.baseball-reference.com/players/m/minched01.shtml"">Ed Mincher</a>",FW1,20,36,36,4,8,0,8,5,0,1,0,.222,.222,.222,.444,.208,-0.17
"<a href=""https://www.baseball-reference.com/players/n/nortofr01.shtml"">Frank Norton</a>",WS3,26,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/p/paborch01.shtml"">C. Pabor</a>",CL1,24,143,142,24,42,0,52,18,1,1,3,.296,.301,.366,.667,.299,0.00
"<a href=""https://www.baseball-reference.com/players/p/patteda01.shtml"">T. Patterson</a>",NY2,?,152,151,31,31,0,33,13,1,2,0,.205,.211,.219,.429,.200,-0.48
"<a href=""https://www.baseball-reference.com/players/p/pearcdi01.shtml"">D. Pearce</a>",NY2,35,167,163,31,44,0,49,20,4,0,1,.270,.287,.301,.588,.274,0.60
"<a href=""https://www.baseball-reference.com/players/p/phelpne01.shtml"">Nealy Phelps</a>",FW1,30,4,3,0,0,0,0,0,1,0,0,.000,.250,.000,.250,.199,0.00
"<a href=""https://www.baseball-reference.com/players/p/pikeli01.shtml"">Lip Pike</a>",TRO,26,135,130,43,49,4,85,39,5,3,7,.377,.400,.654,1.054,.436,1.13
"<a href=""https://www.baseball-reference.com/players/p/pinkhed01.shtml"">Ed Pinkham</a>",CH1,24,113,95,27,25,1,43,17,18,5,3,.263,.381,.453,.833,.375,1.10
"<a href=""https://www.baseball-reference.com/players/p/prattal01.shtml"">Al Pratt</a>",CL1,23,131,130,31,34,0,56,20,1,1,0,.262,.267,.431,.698,.294,-0.02
"<a href=""https://www.baseball-reference.com/players/p/prattto01.shtml"">Tom Pratt</a>",PH1,27,6,6,2,2,0,2,1,0,0,0,.333,.333,.333,.667,.313,-0.04
"<a href=""https://www.baseball-reference.com/players/q/questjo01.shtml"">Joe Quest</a>",CL1,18,14,13,1,3,0,4,2,1,0,0,.231,.286,.308,.593,.277,0.00
"<a href=""https://www.baseball-reference.com/players/q/quinnpa02.shtml"">Paddy Quinn</a>",FW1,21,21,17,8,4,0,4,2,4,3,0,.235,.381,.235,.616,.330,0.00
"<a href=""https://www.baseball-reference.com/players/r/radcljo01.shtml"">J. Radcliff</a>",PH1,23,151,145,47,44,0,61,22,6,5,1,.303,.331,.421,.752,.335,0.95
"<a href=""https://www.baseball-reference.com/players/r/reachal01.shtml"">Al Reach</a>",PH1,31,138,133,43,47,0,66,34,5,2,6,.353,.377,.496,.873,.385,0.94
"<a href=""https://www.baseball-reference.com/players/s/sagerpo01.shtml"">Pony Sager</a>",RC1,22,41,39,9,11,0,11,5,2,5,2,.282,.317,.282,.599,.291,-0.06
