Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abernte01.shtml"">T. Abernathy</a>",PHA,21,4,4,0,1,0,1,0,0,0,2,.250,.250,.250,.500,.238,-0.01
"<a href=""https://www.baseball-reference.com/players/a/adamsac01.shtml"">Ace Adams</a>",NY1,33,36,32,3,4,0,4,1,2,0,4,.125,.176,.125,.301,.155,-0.14
"<a href=""https://www.baseball-reference.com/players/a/adamsbu01.shtml"">Buster Adams</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnoteadamsbu01"" style=""display:none;""></input><label for=""footnoteadamsbu01"" class=""footnoteLabel"">2</label><div id=""footnoteDivadamsbu01"">SLN, PHI</div></span>",28,484,429,49,108,4,149,39,43,2,71,.252,.320,.347,.667,.321,-0.08
"<a href=""https://www.baseball-reference.com/players/a/alderda01.shtml"">D. Alderson</a>",CHN,25,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.05
"<a href=""https://www.baseball-reference.com/players/a/alenoch01.shtml"">Chuck Aleno</a>",CIN,26,12,10,0,3,0,3,1,2,0,1,.300,.417,.300,.717,.360,0.05
"<a href=""https://www.baseball-reference.com/players/a/allenjo02.shtml"">Johnny Allen</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnoteallenjo02"" style=""display:none;""></input><label for=""footnoteallenjo02"" class=""footnoteLabel"">2</label><div id=""footnoteDivallenjo02"">BRO, NY1</div></span>",38,26,21,3,3,0,4,1,2,0,3,.143,.217,.190,.408,.188,0.02
"<a href=""https://www.baseball-reference.com/players/a/andrena01.shtml"">Nate Andrews</a>",BSN,29,105,90,4,14,0,17,7,9,0,22,.156,.232,.189,.421,.214,-0.03
"<a href=""https://www.baseball-reference.com/players/a/ankenpa01.shtml"">Pat Ankenman</a>",BRO,30,2,2,1,1,0,1,0,0,0,0,.500,.500,.500,1.000,.476,0.04
"<a href=""https://www.baseball-reference.com/players/a/applilu01.shtml"">Luke Appling</a>",CHA,36,677,585,63,192,3,238,80,90,27,29,.328,.419,.407,.825,.398,7.30
"<a href=""https://www.baseball-reference.com/players/a/arntzor01.shtml"">Orie Arntzen</a>",PHA,33,54,50,3,8,0,9,1,2,0,16,.160,.192,.180,.372,.183,-0.15
"<a href=""https://www.baseball-reference.com/players/b/bagbyji02.shtml"">Jim Bagby</a>",CLE,26,114,112,7,30,0,33,11,1,1,10,.268,.274,.295,.569,.270,0.62
"<a href=""https://www.baseball-reference.com/players/b/bakerbi01.shtml"">Bill Baker</a>",PIT,32,198,172,12,47,1,62,26,22,3,6,.273,.365,.360,.726,.353,0.73
"<a href=""https://www.baseball-reference.com/players/b/bakerfl01.shtml"">Floyd Baker</a>",SLA,26,53,46,5,8,0,10,4,6,0,4,.174,.269,.217,.487,.247,0.00
"<a href=""https://www.baseball-reference.com/players/b/barbare01.shtml"">Red Barbary</a>",WS1,23,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/b/barklre01.shtml"">Red Barkley</a>",BRO,30,57,51,6,16,0,19,7,4,1,7,.314,.364,.373,.736,.354,0.21
"<a href=""https://www.baseball-reference.com/players/b/barnaba01.shtml"">Babe Barna</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnotebarnaba01"" style=""display:none;""></input><label for=""footnotebarnaba01"" class=""footnoteLabel"">2</label><div id=""footnoteDivbarnaba01"">NY1, BOS</div></span>",28,257,225,30,42,3,64,22,31,5,33,.187,.285,.284,.570,.271,-0.31
"<a href=""https://www.baseball-reference.com/players/b/barnere02.shtml"">Rex Barney</a>",BRO,18,19,18,0,1,0,1,0,1,0,5,.056,.105,.056,.161,.089,-0.25
"<a href=""https://www.baseball-reference.com/players/b/barredi01.shtml"">Dick Barrett</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnotebarredi01"" style=""display:none;""></input><label for=""footnotebarredi01"" class=""footnoteLabel"">2</label><div id=""footnoteDivbarredi01"">CHN, PHI</div></span>",36,72,58,6,8,0,8,1,7,0,8,.138,.231,.138,.369,.196,-0.05
"<a href=""https://www.baseball-reference.com/players/b/barrejo01.shtml"">J. Barrett</a>",PIT,27,329,290,41,67,1,88,32,32,5,23,.231,.316,.303,.619,.304,0.00
"<a href=""https://www.baseball-reference.com/players/b/barrere01.shtml"">Red Barrett</a>",BSN,28,90,81,2,11,0,12,6,0,0,10,.136,.146,.148,.294,.142,-0.49
"<a href=""https://www.baseball-reference.com/players/b/bartedi01.shtml"">Dick Bartell</a>",NY1,35,396,337,48,91,5,120,28,47,5,27,.270,.371,.356,.727,.356,2.54
"<a href=""https://www.baseball-reference.com/players/b/bartlbo01.shtml"">Boyd Bartley</a>",BRO,23,23,21,0,1,0,1,1,1,0,3,.048,.091,.048,.139,.076,-0.47
