Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/aberscl01.shtml"">C. Aberson</a>",CHN,26,37,32,1,6,1,10,6,5,0,10,.188,.297,.312,.610,.295,-0.14
"<a href=""https://www.baseball-reference.com/players/a/adamsbo03.shtml"">Bobby Adams</a>",CIN,26,295,262,33,78,1,107,21,25,6,23,.298,.361,.408,.770,.360,0.00
"<a href=""https://www.baseball-reference.com/players/a/adamshe01.shtml"">Herb Adams</a>",CHA,20,13,11,1,3,0,4,0,1,0,1,.273,.333,.364,.697,.329,0.01
"<a href=""https://www.baseball-reference.com/players/a/anderan01.shtml"">A. Anderson</a>",SLA,25,96,87,13,24,1,34,12,8,0,15,.276,.337,.391,.728,.340,0.19
"<a href=""https://www.baseball-reference.com/players/a/applilu01.shtml"">Luke Appling</a>",CHA,41,594,497,63,156,0,176,47,94,10,35,.314,.423,.354,.777,.379,3.43
"<a href=""https://www.baseball-reference.com/players/a/arftha01.shtml"">Hank Arft</a>",SLA,26,296,248,25,59,5,90,38,45,1,43,.238,.355,.363,.718,.344,-0.36
"<a href=""https://www.baseball-reference.com/players/a/ashburi01.shtml"">R. Ashburn</a>",PHI,21,530,463,78,154,2,185,40,60,32,22,.333,.410,.400,.810,.385,4.70
"<a href=""https://www.baseball-reference.com/players/b/bakerbi01.shtml"">Bill Baker</a>",SLN,37,134,119,13,35,0,47,15,15,1,7,.294,.373,.395,.768,.363,0.78
"<a href=""https://www.baseball-reference.com/players/b/bakerfl01.shtml"">Floyd Baker</a>",CHA,31,412,335,47,72,0,86,18,73,4,26,.215,.359,.257,.615,.314,0.00
"<a href=""https://www.baseball-reference.com/players/b/bambeha01.shtml"">H. Bamberger</a>",NY1,23,13,12,0,1,0,1,0,1,0,2,.083,.154,.083,.237,.129,-0.17
"<a href=""https://www.baseball-reference.com/players/b/bantaja01.shtml"">Jack Banta</a>",BRO,23,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/b/barnere02.shtml"">Rex Barney</a>",BRO,23,90,84,5,14,0,14,2,2,0,40,.167,.186,.167,.353,.170,-0.46
"<a href=""https://www.baseball-reference.com/players/b/barrere01.shtml"">Red Barrett</a>",BSN,33,43,39,0,7,0,7,3,0,0,11,.179,.179,.179,.359,.169,-0.17
"<a href=""https://www.baseball-reference.com/players/b/basgamo01.shtml"">M. Basgall</a>",PIT,26,54,51,12,11,2,18,6,3,0,5,.216,.259,.353,.612,.284,0.00
"<a href=""https://www.baseball-reference.com/players/b/battsma01.shtml"">Matt Batts</a>",BOS,26,137,118,13,37,1,52,24,15,0,9,.314,.391,.441,.832,.389,0.00
"<a href=""https://www.baseball-reference.com/players/b/bauerha01.shtml"">Hank Bauer</a>",NYA,25,56,50,6,9,1,15,9,6,1,13,.180,.268,.300,.568,.272,-0.30
"<a href=""https://www.baseball-reference.com/players/b/baumhfr01.shtml"">F. Baumholtz</a>",CIN,29,449,415,57,123,4,164,30,27,8,32,.296,.344,.395,.739,.345,0.00
"<a href=""https://www.baseball-reference.com/players/b/beardge01.shtml"">Gene Bearden</a>",CLE,27,97,90,14,23,2,32,14,5,0,9,.256,.295,.356,.650,.304,0.00
"<a href=""https://www.baseball-reference.com/players/b/beardte01.shtml"">Ted Beard</a>",PIT,27,95,81,15,16,0,23,7,12,5,18,.198,.316,.284,.600,.295,0.39
"<a href=""https://www.baseball-reference.com/players/b/beazljo01.shtml"">J. Beazley</a>",BSN,30,5,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.07
"<a href=""https://www.baseball-reference.com/players/b/behrmha01.shtml"">Hank Behrman</a>",BRO,27,33,28,2,3,0,3,1,1,0,12,.107,.138,.107,.245,.123,-0.28
"<a href=""https://www.baseball-reference.com/players/b/bentoal01.shtml"">Al Benton</a>",DET,37,13,11,1,2,0,3,1,0,0,6,.182,.182,.273,.455,.206,-0.05
"<a href=""https://www.baseball-reference.com/players/b/berarjo01.shtml"">J. Berardino</a>",CLE,31,179,147,19,28,2,41,10,27,0,16,.190,.328,.279,.607,.303,0.08
