Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/aaronha01.shtml"">Hank Aaron</a>",ML1,23,675,615,118,198,44,369,132,57,1,58,.322,.378,.600,.978,.419,7.96
"<a href=""https://www.baseball-reference.com/players/a/aberal01.shtml"">Al Aber</a>",2,29,10,9,0,2,0,2,1,1,0,4,.222,.300,.222,.522,.251,.06
"<a href=""https://www.baseball-reference.com/players/a/abernte02.shtml"">Ted Abernathy</a>",WS1,24,28,24,3,4,0,5,1,1,0,5,.167,.231,.208,.439,.209,.00
"<a href=""https://www.baseball-reference.com/players/a/ackerto01.shtml"">Tom Acker</a>",CIN,27,25,19,1,1,0,1,0,3,0,15,.053,.217,.053,.270,.163,-.11
"<a href=""https://www.baseball-reference.com/players/a/adamsbo03.shtml"">Bobby Adams</a>",CHN,35,211,187,21,47,1,64,10,17,0,28,.251,.320,.342,.663,.303,.06
"<a href=""https://www.baseball-reference.com/players/a/adcocjo01.shtml"">Joe Adcock</a>",ML1,29,231,209,31,60,12,113,38,20,0,51,.287,.351,.541,.891,.386,1.61
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",CLE,26,4,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-.07
"<a href=""https://www.baseball-reference.com/players/a/alexabo01.shtml"">Bob Alexander</a>",CLE,34,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-.02
"<a href=""https://www.baseball-reference.com/players/a/alstoto01.shtml"">Tom Alston</a>",SLN,31,18,17,2,5,0,6,2,1,0,5,.294,.333,.353,.686,.311,-.11
"<a href=""https://www.baseball-reference.com/players/a/altobjo01.shtml"">Joe Altobelli</a>",CLE,25,97,87,9,18,0,25,9,5,3,14,.207,.253,.287,.540,.243,-.34
"<a href=""https://www.baseball-reference.com/players/a/amorosa01.shtml"">Sandy Amoros</a>",BRO,27,292,238,40,66,7,96,26,46,3,42,.277,.399,.403,.803,.365,.00
"<a href=""https://www.baseball-reference.com/players/a/amorvi01.shtml"">Vicente Amor</a>",CIN,24,6,6,0,1,0,1,0,0,0,1,.167,.167,.167,.333,.150,.04
"<a href=""https://www.baseball-reference.com/players/a/anderbo01.shtml"">Bob Anderson</a>",CHN,21,4,4,0,0,0,0,0,0,0,3,.000,.000,.000,.000,.000,-.07
"<a href=""https://www.baseball-reference.com/players/a/anderha02.shtml"">Harry Anderson</a>",PHI,25,451,400,53,107,17,181,61,36,2,61,.268,.333,.452,.785,.342,.00
