Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/allenet01.shtml"">Ethan Allen</a>",PHI,31,700,645,90,198,8,270,63,43,5,54,.307,.351,.419,.770,.354,0.00
"<a href=""https://www.baseball-reference.com/players/a/allenjo02.shtml"">Johnny Allen</a>",NYA,30,73,67,12,15,1,19,12,3,0,13,.224,.257,.284,.541,.253,0.00
"<a href=""https://www.baseball-reference.com/players/a/almadme01.shtml"">Mel Almada</a>",BOS,22,676,607,85,176,3,230,59,55,20,34,.290,.350,.379,.729,.339,0.00
"<a href=""https://www.baseball-reference.com/players/a/andreiv01.shtml"">Ivy Andrews</a>",SLA,28,74,68,5,9,0,9,4,2,0,11,.132,.157,.132,.289,.141,-0.59
"<a href=""https://www.baseball-reference.com/players/a/applilu01.shtml"">Luke Appling</a>",CHA,28,654,525,94,161,1,204,71,122,12,40,.307,.437,.389,.826,.396,7.01
"<a href=""https://www.baseball-reference.com/players/a/aukerel01.shtml"">Elden Auker</a>",DET,24,80,74,8,16,0,23,8,2,0,17,.216,.237,.311,.548,.249,0.14
"<a href=""https://www.baseball-reference.com/players/a/averiea01.shtml"">Earl Averill</a>",CLE,33,638,563,109,162,19,279,79,70,8,58,.288,.368,.496,.863,.389,3.80
"<a href=""https://www.baseball-reference.com/players/b/babicjo01.shtml"">J. Babich</a>",BRO,22,52,49,4,9,0,11,4,0,1,16,.184,.200,.224,.424,.198,-0.11
"<a href=""https://www.baseball-reference.com/players/b/bakerto01.shtml"">Tom Baker</a>",BRO,22,20,19,3,9,0,10,0,1,0,0,.474,.500,.526,1.026,.474,0.45
"<a href=""https://www.baseball-reference.com/players/b/bartedi01.shtml"">Dick Bartell</a>",NY1,27,603,539,60,141,14,219,53,37,5,52,.262,.316,.406,.722,.331,2.60
"<a href=""https://www.baseball-reference.com/players/b/beanbe01.shtml"">Belve Bean</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebeanbe01"" style=""display:none;""></input><label for=""footnotebeanbe01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbeanbe01"">CLE, WS1</div></span>",30,9,8,2,3,1,8,2,1,0,4,.375,.444,1.000,1.444,.601,0.26
"<a href=""https://www.baseball-reference.com/players/b/bejmaol01.shtml"">Ollie Bejma</a>",SLA,27,230,198,18,38,2,56,26,27,1,21,.192,.289,.283,.572,.276,-0.92
"<a href=""https://www.baseball-reference.com/players/b/bellbe01.shtml"">Beau Bell</a>",SLA,27,237,220,20,55,3,76,17,16,1,16,.250,.304,.345,.649,.302,0.00
"<a href=""https://www.baseball-reference.com/players/b/bengera01.shtml"">Ray Benge</a>",BRO,33,48,47,3,9,0,9,4,0,0,4,.191,.191,.191,.383,.178,-0.16
"<a href=""https://www.baseball-reference.com/players/b/bentoal01.shtml"">Al Benton</a>",PHA,24,28,25,1,1,0,1,0,2,0,11,.040,.111,.040,.151,.089,-0.36
"<a href=""https://www.baseball-reference.com/players/b/bentola01.shtml"">Larry Benton</a>",BSN,37,23,20,1,4,0,5,1,1,0,4,.200,.238,.250,.488,.230,0.06
"<a href=""https://www.baseball-reference.com/players/b/bergebo01.shtml"">Boze Berger</a>",CLE,25,504,461,62,119,5,171,43,34,7,97,.258,.310,.371,.681,.314,0.52
"<a href=""https://www.baseball-reference.com/players/b/bergewa01.shtml"">Wally Berger</a>",BSN,29,644,589,91,174,34,323,130,50,3,80,.295,.355,.548,.903,.401,0.00
"<a href=""https://www.baseball-reference.com/players/b/bergmo01.shtml"">Moe Berg</a>",BOS,33,105,98,13,28,2,39,12,5,0,3,.286,.320,.398,.718,.329,-0.04
"<a href=""https://www.baseball-reference.com/players/b/berrych02.shtml"">C. Berry</a>",PHA,32,202,190,14,48,3,70,29,10,0,20,.253,.290,.368,.658,.301,0.34
"<a href=""https://www.baseball-reference.com/players/b/bettshu01.shtml"">Huck Betts</a>",BSN,38,50,44,1,7,0,7,1,3,0,5,.159,.229,.159,.388,.198,0.00
"<a href=""https://www.baseball-reference.com/players/b/birkora01.shtml"">R. Birkofer</a>",PIT,26,59,58,5,14,0,19,4,0,0,8,.241,.254,.328,.582,.265,0.24
"<a href=""https://www.baseball-reference.com/players/b/bishoma01.shtml"">Max Bishop</a>",BOS,35,162,122,19,28,1,36,14,28,0,14,.230,.377,.295,.673,.335,0.14
"<a href=""https://www.baseball-reference.com/players/b/bivinji01.shtml"">Jim Bivin</a>",PHI,25,52,48,3,7,0,10,1,4,0,28,.146,.212,.208,.420,.204,-0.14
"<a href=""https://www.baseball-reference.com/players/b/blaehge01.shtml"">G. Blaeholder</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteblaehge01"" style=""display:none;""></input><label for=""footnoteblaehge01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivblaehge01"">SLA, PHA</div></span>",31,59,50,0,2,0,2,0,2,0,24,.040,.077,.040,.117,.064,-0.08
"<a href=""https://www.baseball-reference.com/players/b/blancal01.shtml"">Al Blanche</a>",BSN,25,6,6,0,1,0,1,0,0,0,0,.167,.167,.167,.333,.155,-0.02
"<a href=""https://www.baseball-reference.com/players/b/blantcy01.shtml"">Cy Blanton</a>",PIT,26,104,97,3,13,0,14,6,4,0,19,.134,.168,.144,.313,.153,-0.67
"<a href=""https://www.baseball-reference.com/players/b/bluegos01.shtml"">Ossie Bluege</a>",WS1,34,363,320,44,84,0,104,34,37,2,21,.262,.341,.325,.666,.317,0.77
"<a href=""https://www.baseball-reference.com/players/b/bolaned01.shtml"">Ed Boland</a>",PHI,27,51,47,5,10,0,10,4,4,1,6,.213,.275,.213,.487,.241,-0.46
"<a href=""https://www.baseball-reference.com/players/b/boltocl01.shtml"">Cliff Bolton</a>",WS1,28,436,375,47,114,2,160,55,58,0,13,.304,.399,.427,.825,.384,2.47
"<a href=""https://www.baseball-reference.com/players/b/bonurze01.shtml"">Zeke Bonura</a>",CHA,26,611,550,107,162,21,267,92,57,4,28,.295,.364,.485,.849,.385,0.00
"<a href=""https://www.baseball-reference.com/players/b/bordafr01.shtml"">F. Bordagaray</a>",BRO,25,453,422,69,119,1,153,39,17,18,29,.282,.319,.363,.682,.315,0.58
"<a href=""https://www.baseball-reference.com/players/b/bottoji01.shtml"">J. Bottomley</a>",CIN,35,423,399,44,103,1,129,49,18,3,24,.258,.294,.323,.617,.287,-0.90
"<a href=""https://www.baseball-reference.com/players/b/bowerst01.shtml"">Stew Bowers</a>",BOS,20,6,5,1,1,0,1,0,1,0,2,.200,.333,.200,.533,.278,0.00
"<a href=""https://www.baseball-reference.com/players/b/bowmajo01.shtml"">Joe Bowman</a>",PHI,25,72,67,6,13,1,19,7,4,1,7,.194,.239,.284,.523,.243,0.10
"<a href=""https://www.baseball-reference.com/players/b/boylebu01.shtml"">Buzz Boyle</a>",BRO,27,522,475,51,129,4,176,44,43,7,45,.272,.332,.371,.703,.326,0.79
"<a href=""https://www.baseball-reference.com/players/b/bramhar01.shtml"">Art Bramhall</a>",PHI,26,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.03
