Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,42,12,11,1,2,0,3,1,0,0,1,.182,.182,.273,.455,.205,-0.03
"<a href=""https://www.baseball-reference.com/players/a/adamssp01.shtml"">Sparky Adams</a>",CHN,29,473,418,66,117,1,141,27,40,15,20,.280,.344,.337,.682,.326,0.00
"<a href=""https://www.baseball-reference.com/players/a/ainsmed01.shtml"">E. Ainsmith</a>",NY1,34,5,5,0,3,0,3,0,0,0,0,.600,.600,.600,1.200,.565,0.11
"<a href=""https://www.baseball-reference.com/players/a/aldrivi01.shtml"">Vic Aldridge</a>",CHN,30,94,85,6,15,0,18,11,2,0,7,.176,.195,.212,.407,.192,-0.33
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">P. Alexander</a>",CHN,37,71,65,3,15,1,20,10,2,0,8,.231,.254,.308,.561,.262,0.09
"<a href=""https://www.baseball-reference.com/players/a/altroni01.shtml"">Nick Altrock</a>",WS1,47,1,1,1,1,0,3,0,0,0,0,1.000,1.000,3.000,4.000,1.657,0.10
"<a href=""https://www.baseball-reference.com/players/a/archdma01.shtml"">M. Archdeacon</a>",CHA,25,343,288,59,92,0,107,25,40,11,30,.319,.410,.372,.781,.377,1.07
"<a href=""https://www.baseball-reference.com/players/a/autrych02.shtml"">Chick Autry</a>",NYA,21,1,0,1,0,0,0,0,0,0,0,.000,1.000,.000,1.000,.778,0.03
"<a href=""https://www.baseball-reference.com/players/b/bailege01.shtml"">Gene Bailey</a>",BRO,30,57,46,7,11,1,17,4,7,1,6,.239,.340,.370,.709,.337,0.10
"<a href=""https://www.baseball-reference.com/players/b/baldwha01.shtml"">H. Baldwin</a>",NY1,24,12,11,4,4,0,4,0,0,0,2,.364,.364,.364,.727,.342,0.10
"<a href=""https://www.baseball-reference.com/players/b/bancrda01.shtml"">D. Bancroft</a>",BSN,33,362,319,49,89,2,108,21,37,4,24,.279,.356,.339,.694,.334,1.26
"<a href=""https://www.baseball-reference.com/players/b/barnebo01.shtml"">Bob Barnes</a>",CHA,22,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.04
"<a href=""https://www.baseball-reference.com/players/b/barneep01.shtml"">Eppie Barnes</a>",PIT,23,5,5,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.13
"<a href=""https://www.baseball-reference.com/players/b/barneje01.shtml"">Jesse Barnes</a>",BSN,31,100,90,6,20,0,23,9,1,0,6,.222,.231,.256,.486,.227,-0.04
"<a href=""https://www.baseball-reference.com/players/b/barnevi01.shtml"">V. Barnes</a>",NY1,27,87,77,8,14,0,14,4,6,0,26,.182,.241,.182,.423,.213,0.00
"<a href=""https://www.baseball-reference.com/players/b/barnhcl01.shtml"">C. Barnhart</a>",PIT,28,390,344,49,95,3,132,51,30,8,17,.276,.338,.384,.721,.338,0.79
"<a href=""https://www.baseball-reference.com/players/b/barrebi02.shtml"">Bill Barrett</a>",CHA,24,447,406,52,110,2,144,56,30,15,38,.271,.326,.355,.680,.321,0.00
"<a href=""https://www.baseball-reference.com/players/b/barrebo01.shtml"">Bob Barrett</a>",CHN,25,144,133,12,32,5,55,21,7,1,29,.241,.279,.414,.692,.315,0.00
"<a href=""https://www.baseball-reference.com/players/b/bassljo01.shtml"">J. Bassler</a>",DET,29,456,379,43,131,1,160,68,62,2,11,.346,.441,.422,.864,.412,4.30
"<a href=""https://www.baseball-reference.com/players/b/batchjo01.shtml"">J. Batchelder</a>",BSN,25,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/b/baumgst01.shtml"">S. Baumgartner</a>",PHA,29,68,60,5,13,0,16,3,3,0,7,.217,.254,.267,.521,.247,-0.04
"<a href=""https://www.baseball-reference.com/players/b/baynebi01.shtml"">Bill Bayne</a>",SLA,25,16,14,3,6,0,8,3,2,0,1,.429,.500,.571,1.071,.493,0.29
"<a href=""https://www.baseball-reference.com/players/b/beallwa01.shtml"">Walter Beall</a>",NYA,24,7,7,0,1,0,1,2,0,0,0,.143,.143,.143,.286,.134,-0.07
