Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abernbr01.shtml"">Brent Abernathy</a>",MIN,27,79,67,5,16,1,20,6,7,2,9,0.23880597014925373,0.3157894736842105,0.29850746268656714,0.6142969363707776,0,0
"<a href=""https://www.baseball-reference.com/players/a/abreubo01.shtml"">Bobby Abreu</a>",PHI,31,719,588,104,168,24,279,102,117,31,134,0.2857142857142857,0.4047287899860918,0.4744897959183674,0.8792185859044592,0,0
"<a href=""https://www.baseball-reference.com/players/a/accarje01.shtml"">Jeremy Accardo</a>",SFN,23,2,2,0,1,0,1,0,0,0,0,0.5,0.5,0.5,1.0,0,0
"<a href=""https://www.baseball-reference.com/players/a/acevejo01.shtml"">Jose Acevedo</a>",COL,27,11,8,0,1,0,1,0,1,0,6,0.125,0.3,0.125,0.425,0,0
"<a href=""https://www.baseball-reference.com/players/a/adamsru01.shtml"">Russ Adams</a>",TOR,24,545,481,68,123,8,184,63,50,11,57,0.25571725571725573,0.3247232472324723,0.38253638253638256,0.7072596297688549,0,0
"<a href=""https://www.baseball-reference.com/players/a/aguilch01.shtml"">Chris Aguila</a>",FLO,26,81,78,11,19,0,22,4,3,0,19,0.24358974358974358,0.2716049382716049,0.28205128205128205,0.553656220322887,0,0
"<a href=""https://www.baseball-reference.com/players/a/alexama02.shtml"">Manny Alexander</a>",SDN,34,21,18,0,2,0,3,0,2,0,5,0.1111111111111111,0.23809523809523808,0.16666666666666666,0.40476190476190477,0,0
"<a href=""https://www.baseball-reference.com/players/a/alfoned01.shtml"">Edgardo Alfonzo</a>",SFN,31,402,368,36,102,2,127,43,27,2,34,0.27717391304347827,0.3266832917705736,0.3451086956521739,0.6717919874227475,0,0
"<a href=""https://www.baseball-reference.com/players/a/allench01.shtml"">Chad Allen</a>",TEX,30,56,53,5,15,0,18,5,2,0,13,0.2830188679245283,0.3090909090909091,0.33962264150943394,0.648713550600343,0,0
"<a href=""https://www.baseball-reference.com/players/a/alomasa02.shtml"">Sandy Alomar</a>",TEX,39,137,128,11,35,0,42,14,5,0,12,0.2734375,0.30597014925373134,0.328125,0.6340951492537313,0,0
"<a href=""https://www.baseball-reference.com/players/a/aloumo01.shtml"">Moises Alou</a>",SFN,38,490,427,67,137,19,221,63,56,5,43,0.32084309133489464,0.4,0.5175644028103045,0.9175644028103045,0,0
"<a href=""https://www.baseball-reference.com/players/a/alvarwi01.shtml"">Wilson Alvarez</a>",LAN,35,3,2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0
"<a href=""https://www.baseball-reference.com/players/a/ambrech01.shtml"">Chip Ambres</a>",KCA,25,167,145,25,35,4,55,9,16,3,32,0.2413793103448276,0.3231707317073171,0.3793103448275862,0.7024810765349032,0,0
"<a href=""https://www.baseball-reference.com/players/a/amezaal01.shtml"">Alfredo Amezaga</a>",2,27,7,6,2,1,0,1,0,1,1,0,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.45238095238095233,0,0
"<a href=""https://www.baseball-reference.com/players/a/anderbr03.shtml"">Brian Anderson</a>",CHA,23,35,34,3,6,2,13,3,0,1,12,0.17647058823529413,0.17647058823529413,0.38235294117647056,0.5588235294117647,0,0
"<a href=""https://www.baseball-reference.com/players/a/anderga01.shtml"">Garret Anderson</a>",LAA,33,603,575,68,163,17,250,96,23,1,84,0.28347826086956524,0.30845771144278605,0.43478260869565216,0.7432403201384382,0,0
"<a href=""https://www.baseball-reference.com/players/a/anderma02.shtml"">Marlon Anderson</a>",NYN,31,260,235,31,62,7,92,19,18,6,45,0.26382978723404255,0.31640625,0.39148936170212767,0.7078956117021277,0,0
"<a href=""https://www.baseball-reference.com/players/a/andinro01.shtml"">Robert Andino</a>",FLO,21,50,44,4,7,0,11,1,5,1,8,0.1590909090909091,0.24489795918367346,0.25,0.49489795918367346,0,0
"<a href=""https://www.baseball-reference.com/players/a/ardoida01.shtml"">Danny Ardoin</a>",COL,30,248,210,28,48,6,76,22,20,1,69,0.22857142857142856,0.31950207468879666,0.3619047619047619,0.6814068365935586,0,0
"<a href=""https://www.baseball-reference.com/players/a/armasto02.shtml"">Tony Armas</a>",WAS,27,34,32,1,4,0,4,0,1,0,13,0.125,0.15151515151515152,0.125,0.2765151515151515,0,0
"<a href=""https://www.baseball-reference.com/players/a/arroybr01.shtml"">Bronson Arroyo</a>",BOS,28,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0
"<a href=""https://www.baseball-reference.com/players/a/astacez01.shtml"">Ezequiel Astacio</a>",HOU,25,23,21,0,3,0,3,0,0,0,12,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0,0
"<a href=""https://www.baseball-reference.com/players/a/astacpe01.shtml"">Pedro Astacio</a>",2,36,23,17,1,1,0,1,1,1,0,5,0.058823529411764705,0.1111111111111111,0.058823529411764705,0.16993464052287582,0,0
"<a href=""https://www.baseball-reference.com/players/a/atkinga01.shtml"">Garrett Atkins</a>",COL,25,573,519,62,149,13,221,89,45,0,72,0.28709055876685935,0.3472949389179756,0.4258188824662813,0.7731138213842569,0,0
"<a href=""https://www.baseball-reference.com/players/a/aurilri01.shtml"">Rich Aurilia</a>",CIN,33,468,426,61,120,14,189,68,37,2,67,0.28169014084507044,0.33832976445396146,0.44366197183098594,0.7819917362849473,0,0
"<a href=""https://www.baseball-reference.com/players/a/ausmubr01.shtml"">Brad Ausmus</a>",HOU,36,451,387,35,100,3,128,47,51,5,48,0.25839793281653745,0.35135135135135137,0.330749354005168,0.6821007053565193,0,0
"<a href=""https://www.baseball-reference.com/players/a/ayalalu01.shtml"">Luis Ayala</a>",WAS,27,4,3,0,1,0,1,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,0
"<a href=""https://www.baseball-reference.com/players/a/aybarwi01.shtml"">Willy Aybar</a>",LAN,22,105,86,12,28,1,39,10,18,3,11,0.32558139534883723,0.44761904761904764,0.45348837209302323,0.9011074197120709,0,0
"<a href=""https://www.baseball-reference.com/players/b/backebr01.shtml"">Brandon Backe</a>",HOU,27,53,45,5,10,0,16,6,3,1,12,0.2222222222222222,0.2708333333333333,0.35555555555555557,0.6263888888888889,0,0
"<a href=""https://www.baseball-reference.com/players/b/baergca01.shtml"">Carlos Baerga</a>",WAS,36,174,158,18,40,2,53,19,7,0,17,0.25316455696202533,0.3179190751445087,0.33544303797468356,0.6533621131191922,0,0
"<a href=""https://www.baseball-reference.com/players/b/bagweje01.shtml"">Jeff Bagwell</a>",HOU,37,123,100,11,25,3,38,19,18,0,21,0.25,0.35772357723577236,0.38,0.7377235772357724,0,0
"<a href=""https://www.baseball-reference.com/players/b/bakerje03.shtml"">Jeff Baker</a>",COL,24,43,38,6,8,1,15,4,5,0,12,0.21052631578947367,0.3023255813953488,0.39473684210526316,0.697062423500612,0,0
"<a href=""https://www.baseball-reference.com/players/b/bakopa01.shtml"">Paul Bako</a>",LAN,33,47,40,1,10,0,12,4,7,0,12,0.25,0.3617021276595745,0.3,0.6617021276595745,0,0
"<a href=""https://www.baseball-reference.com/players/b/baldwja01.shtml"">James Baldwin</a>",3,33,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
"<a href=""https://www.baseball-reference.com/players/b/barajro01.shtml"">Rod Barajas</a>",TEX,29,449,410,53,104,21,191,60,26,0,70,0.25365853658536586,0.3056179775280899,0.4658536585365854,0.7714716360646753,0,0
"<a href=""https://www.baseball-reference.com/players/b/bardjo01.shtml"">Josh Bard</a>",CLE,27,95,83,6,16,1,23,9,9,0,11,0.1927710843373494,0.26595744680851063,0.27710843373493976,0.5430658805434504,0,0
"<a href=""https://www.baseball-reference.com/players/b/barmecl01.shtml"">Clint Barmes</a>",COL,26,377,350,55,101,10,152,46,16,6,36,0.2885714285714286,0.3297587131367292,0.4342857142857143,0.7640444274224435,0,0
"<a href=""https://www.baseball-reference.com/players/b/barremi01.shtml"">Michael Barrett</a>",CHN,28,477,424,48,117,16,203,61,40,0,61,0.2759433962264151,0.3452631578947368,0.47877358490566035,0.8240367428003972,0,0
"<a href=""https://www.baseball-reference.com/players/b/bartlja01.shtml"">Jason Bartlett</a>",MIN,25,252,224,33,54,3,75,16,21,4,37,0.24107142857142858,0.316,0.33482142857142855,0.6508214285714286,0,0
"<a href=""https://www.baseball-reference.com/players/b/bartocl01.shtml"">Cliff Bartosh</a>",CHN,25,1,1,0,1,0,1,0,0,0,0,1.0,1.0,1.0,2.0,0,0
"<a href=""https://www.baseball-reference.com/players/b/bautijo02.shtml"">Jose Bautista</a>",PIT,24,31,28,3,4,0,5,1,3,1,7,0.14285714285714285,0.22580645161290322,0.17857142857142858,0.4043778801843318,0,0
"<a href=""https://www.baseball-reference.com/players/b/bayja01.shtml"">Jason Bay</a>",PIT,26,707,599,110,183,32,335,101,95,21,142,0.3055091819699499,0.4016973125884017,0.5592654424040067,0.9609627549924084,0,0
"<a href=""https://www.baseball-reference.com/players/b/bazaryo01.shtml"">Yorman Bazardo</a>",FLO,20,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0
"<a href=""https://www.baseball-reference.com/players/b/beckejo02.shtml"">Josh Beckett</a>",FLO,25,71,59,5,9,1,15,6,7,0,17,0.15254237288135594,0.23880597014925373,0.2542372881355932,0.49304325828484696,0,0
