Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/aaronha01.shtml"">Hank Aaron</a>",ML1,27,671,603,115,197,34,358,120,56,21,64,.327,.381,.594,.974,.410,9.45
"<a href=""https://www.baseball-reference.com/players/a/adairje01.shtml"">Jerry Adair</a>",BAL,24,428,386,41,102,9,152,37,35,5,51,.264,.326,.394,.719,.319,.00
"<a href=""https://www.baseball-reference.com/players/a/adcocjo01.shtml"">Joe Adcock</a>",ML1,33,629,562,77,160,35,285,108,59,2,94,.285,.354,.507,.861,.376,3.76
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",DET,30,13,9,0,0,0,0,1,0,0,8,.000,.000,.000,.000,.000,-.22
"<a href=""https://www.baseball-reference.com/players/a/allenbo04.shtml"">Bob Allen</a>",CLE,23,13,12,0,2,0,3,0,0,0,5,.167,.167,.250,.417,.182,-.03
"<a href=""https://www.baseball-reference.com/players/a/allisbo01.shtml"">Bob Allison</a>",MIN,26,677,556,83,136,29,250,105,103,2,100,.245,.363,.450,.813,.362,2.15
"<a href=""https://www.baseball-reference.com/players/a/aloufe01.shtml"">Felipe Alou</a>",SFN,26,447,415,59,120,18,193,52,26,11,41,.289,.333,.465,.798,.350,.00
"<a href=""https://www.baseball-reference.com/players/a/alouma01.shtml"">Matty Alou</a>",SFN,22,217,200,38,62,6,91,24,15,3,18,.310,.356,.455,.811,.357,.00
"<a href=""https://www.baseball-reference.com/players/a/altmage01.shtml"">George Altman</a>",CHN,28,573,518,77,157,27,290,96,40,6,92,.303,.353,.560,.913,.392,4.12
"<a href=""https://www.baseball-reference.com/players/a/altobjo01.shtml"">Joe Altobelli</a>",MIN,29,109,95,10,21,3,34,14,13,0,14,.221,.312,.358,.670,.304,-.03
"<a href=""https://www.baseball-reference.com/players/a/alusige01.shtml"">George Alusik</a>",DET,26,16,14,0,2,0,2,2,1,0,4,.143,.188,.143,.330,.157,-.29
"<a href=""https://www.baseball-reference.com/players/a/amalfjo01.shtml"">Joey Amalfitano</a>",SFN,27,433,384,64,98,2,123,23,44,7,59,.255,.331,.320,.651,.299,.34
"<a href=""https://www.baseball-reference.com/players/a/amaroru01.shtml"">Ruben Amaro</a>",PHI,25,447,381,34,98,1,133,32,53,1,59,.257,.351,.349,.700,.320,2.49
"<a href=""https://www.baseball-reference.com/players/a/anderbo01.shtml"">Bob Anderson</a>",CHN,25,45,42,5,6,2,12,5,1,0,22,.143,.163,.286,.449,.197,.05
"<a href=""https://www.baseball-reference.com/players/a/andercr01.shtml"">Craig Anderson</a>",SLN,22,9,9,2,3,0,4,0,0,0,1,.333,.333,.444,.778,.343,.09
"<a href=""https://www.baseball-reference.com/players/a/anderha02.shtml"">Harry Anderson</a>",CIN,29,4,4,0,1,0,1,0,0,0,1,.250,.250,.250,.500,.226,-.02
"<a href=""https://www.baseball-reference.com/players/a/antonjo02.shtml"">Johnny Antonelli</a>",2,31,17,16,4,4,0,6,0,0,0,3,.250,.250,.375,.625,.226,.15
"<a href=""https://www.baseball-reference.com/players/a/aparilu01.shtml"">Luis Aparicio</a>",CHA,27,672,625,90,170,6,220,45,38,53,33,.272,.313,.352,.665,.300,2.91
"<a href=""https://www.baseball-reference.com/players/a/archeji02.shtml"">Jim Archer</a>",KC1,29,72,63,2,4,0,5,2,2,0,19,.063,.091,.079,.170,.082,-.70
"<a href=""https://www.baseball-reference.com/players/a/ardelda01.shtml"">Dan Ardell</a>",LAA,20,6,4,1,1,0,1,0,1,0,2,.250,.400,.250,.650,.323,.00
"<a href=""https://www.baseball-reference.com/players/a/arrigge01.shtml"">Gerry Arrigo</a>",MIN,20,2,2,0,1,0,1,1,0,0,0,.500,.500,.500,1.000,.452,.04
"<a href=""https://www.baseball-reference.com/players/a/arroylu01.shtml"">Luis Arroyo</a>",NYA,34,28,25,2,7,0,9,0,0,0,4,.280,.280,.360,.640,.283,.21
"<a href=""https://www.baseball-reference.com/players/a/ashburi01.shtml"">Richie Ashburn</a>",CHN,34,368,307,49,79,0,94,19,55,7,27,.257,.373,.306,.679,.320,-.36
"<a href=""https://www.baseball-reference.com/players/a/asprobo01.shtml"">Bob Aspromonte</a>",LAN,23,62,58,7,14,0,17,2,4,0,12,.241,.290,.293,.583,.268,-.02
"<a href=""https://www.baseball-reference.com/players/a/asproke01.shtml"">Ken Aspromonte</a>",2,29,354,308,34,69,2,93,19,39,0,24,.224,.314,.302,.616,.277,.58
"<a href=""https://www.baseball-reference.com/players/a/averiea02.shtml"">Earl Averill</a>",LAA,29,392,323,56,86,21,158,59,62,1,70,.266,.384,.489,.873,.386,1.83
"<a href=""https://www.baseball-reference.com/players/b/baileed01.shtml"">Ed Bailey</a>",2,30,439,383,43,94,13,148,53,45,1,46,.245,.326,.386,.713,.312,.00
"<a href=""https://www.baseball-reference.com/players/b/bakerge02.shtml"">Gene Baker</a>",PIT,36,13,10,1,1,0,1,0,3,0,2,.100,.308,.100,.408,.194,-.03
"<a href=""https://www.baseball-reference.com/players/b/baldsja01.shtml"">Jack Baldschun</a>",PHI,24,13,11,0,0,0,0,0,1,0,7,.000,.083,.000,.083,.059,-.18
"<a href=""https://www.baseball-reference.com/players/b/bankser01.shtml"">Ernie Banks</a>",CHN,30,573,511,75,142,29,259,80,54,1,75,.278,.346,.507,.852,.359,4.56
"<a href=""https://www.baseball-reference.com/players/b/barbest01.shtml"">Steve Barber</a>",BAL,23,95,80,6,13,2,20,6,5,0,42,.162,.221,.250,.471,.218,.00
"<a href=""https://www.baseball-reference.com/players/b/barracu01.shtml"">Cuno Barragan</a>",CHN,29,31,28,3,6,1,9,2,2,0,7,.214,.267,.321,.588,.267,.06
"<a href=""https://www.baseball-reference.com/players/b/bassno01.shtml"">Norm Bass</a>",KC1,22,63,59,4,7,1,10,6,1,0,34,.119,.133,.169,.303,.137,-.18
"<a href=""https://www.baseball-reference.com/players/b/batteea01.shtml"">Earl Battey</a>",MIN,26,522,460,70,139,17,216,55,53,3,66,.302,.377,.470,.847,.375,3.13
"<a href=""https://www.baseball-reference.com/players/b/bauerha01.shtml"">Hank Bauer</a>",KC1,38,118,106,11,28,3,42,18,9,1,8,.264,.319,.396,.715,.319,-.41
"<a href=""https://www.baseball-reference.com/players/b/baumafr01.shtml"">Frank Baumann</a>",CHA,27,67,61,8,16,2,24,10,5,1,25,.262,.318,.393,.712,.320,.69
"<a href=""https://www.baseball-reference.com/players/b/baumeji01.shtml"">Jim Baumer</a>",CIN,30,25,24,0,3,0,3,0,0,0,9,.125,.125,.125,.250,.113,-.31
"<a href=""https://www.baseball-reference.com/players/b/bautaed01.shtml"">Ed Bauta</a>",SLN,26,4,4,0,2,0,2,0,0,0,1,.500,.500,.500,1.000,.452,.00
"<a href=""https://www.baseball-reference.com/players/b/becquju01.shtml"">Julio Becquer</a>",2,29,96,92,13,20,5,40,18,3,0,17,.217,.240,.435,.674,.286,-.51
"<a href=""https://www.baseball-reference.com/players/b/bellga01.shtml"">Gary Bell</a>",CLE,24,95,81,8,16,0,17,9,4,0,17,.198,.233,.210,.442,.206,.00
"<a href=""https://www.baseball-reference.com/players/b/bellgu01.shtml"">Gus Bell</a>",CIN,32,262,235,27,60,3,81,33,18,1,21,.255,.298,.345,.642,.281,.00
"<a href=""https://www.baseball-reference.com/players/b/berrayo01.shtml"">Yogi Berra</a>",NYA,36,437,395,62,107,22,184,61,35,2,28,.271,.330,.466,.795,.346,2.07
"<a href=""https://www.baseball-reference.com/players/b/bertedi01.shtml"">Dick Bertell</a>",CHN,25,287,267,20,73,2,88,33,15,0,33,.273,.308,.330,.637,.283,.02
"<a href=""https://www.baseball-reference.com/players/b/bertore01.shtml"">Reno Bertoia</a>",3,26,316,270,35,61,2,72,25,32,3,35,.226,.302,.267,.569,.262,-.44
"<a href=""https://www.baseball-reference.com/players/b/bevanha01.shtml"">Hal Bevan</a>",CIN,30,3,3,1,1,1,4,1,0,0,2,.333,.333,1.333,1.667,.691,.09
"<a href=""https://www.baseball-reference.com/players/b/bilkost01.shtml"">Steve Bilko</a>",LAA,32,354,294,49,82,20,160,59,58,1,81,.279,.395,.544,.940,.409,2.13
"<a href=""https://www.baseball-reference.com/players/b/blancjo01.shtml"">Johnny Blanchard</a>",NYA,28,275,243,38,74,21,149,54,27,1,28,.305,.382,.613,.995,.420,.00
"<a href=""https://www.baseball-reference.com/players/b/blasido01.shtml"">Don Blasingame</a>",2,29,505,451,60,100,1,129,21,41,4,39,.222,.288,.286,.574,.266,.00
"<a href=""https://www.baseball-reference.com/players/b/boakch01.shtml"">Chet Boak</a>",WS2,26,8,7,0,0,0,0,0,1,1,1,.000,.125,.000,.125,.089,-.07
"<a href=""https://www.baseball-reference.com/players/b/bolinbo01.shtml"">Bobby Bolin</a>",SFN,22,7,7,0,2,0,2,2,0,0,2,.286,.286,.286,.571,.258,.00
"<a href=""https://www.baseball-reference.com/players/b/bollifr01.shtml"">Frank Bolling</a>",ML1,29,658,585,86,153,15,222,56,57,7,62,.262,.329,.379,.708,.319,4.22
"<a href=""https://www.baseball-reference.com/players/b/bondwa01.shtml"">Walt Bond</a>",CLE,23,60,52,7,9,2,18,7,6,1,10,.173,.267,.346,.613,.276,-.09
"<a href=""https://www.baseball-reference.com/players/b/borosst01.shtml"">Steve Boros</a>",DET,24,485,396,51,107,5,144,62,68,4,42,.270,.382,.364,.746,.343,1.06
"<a href=""https://www.baseball-reference.com/players/b/bouched01.shtml"">Ed Bouchee</a>",CHN,28,387,319,49,79,12,133,38,58,1,77,.248,.371,.417,.788,.351,.70
"<a href=""https://www.baseball-reference.com/players/b/bouldca01.shtml"">Carl Bouldin</a>",WS2,21,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-.02
"<a href=""https://www.baseball-reference.com/players/b/bowmaer01.shtml"">Ernie Bowman</a>",SFN,25,40,38,10,8,0,12,2,1,2,8,.211,.231,.316,.547,.240,.20
"<a href=""https://www.baseball-reference.com/players/b/bowsfte01.shtml"">Ted Bowsfield</a>",LAA,26,55,51,5,7,0,10,2,2,0,19,.137,.170,.196,.366,.167,-.32
"<a href=""https://www.baseball-reference.com/players/b/boydbo01.shtml"">Bob Boyd</a>",2,41,93,89,10,21,0,23,12,2,0,9,.236,.247,.258,.506,.219,-.65
"<a href=""https://www.baseball-reference.com/players/b/boyercl02.shtml"">Clete Boyer</a>",NYA,24,578,504,61,113,11,175,55,63,1,83,.224,.308,.347,.656,.295,3.78
"<a href=""https://www.baseball-reference.com/players/b/boyerke01.shtml"">Ken Boyer</a>",SLN,30,663,589,109,194,24,314,95,68,6,91,.329,.397,.533,.930,.403,.00
"<a href=""https://www.baseball-reference.com/players/b/brandja01.shtml"">Jackie Brandt</a>",BAL,27,584,516,93,153,16,229,72,62,10,51,.297,.371,.444,.815,.364,.00
"<a href=""https://www.baseball-reference.com/players/b/breedma01.shtml"">Marv Breeding</a>",BAL,27,261,244,32,51,1,62,16,14,5,33,.209,.250,.254,.504,.230,.00
"<a href=""https://www.baseball-reference.com/players/b/bressed01.shtml"">Eddie Bressoud</a>",SFN,29,128,114,14,24,3,39,11,11,1,23,.211,.276,.342,.618,.264,-.56
"<a href=""https://www.baseball-reference.com/players/b/breweji01.shtml"">Jim Brewer</a>",CHN,23,25,22,1,4,0,4,0,2,0,10,.182,.250,.182,.432,.210,.05
"<a href=""https://www.baseball-reference.com/players/b/breweto01.shtml"">Tom Brewer</a>",BOS,29,15,14,7,4,0,7,2,0,0,3,.286,.267,.500,.767,.313,.10
"<a href=""https://www.baseball-reference.com/players/b/brickfr02.shtml"">Fritz Brickell</a>",LAA,26,55,49,3,6,0,6,3,6,0,9,.122,.218,.122,.341,.176,-.79
"<a href=""https://www.baseball-reference.com/players/b/bridgma01.shtml"">Marshall Bridges</a>",CIN,30,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-.04
"<a href=""https://www.baseball-reference.com/players/b/bridgro01.shtml"">Rocky Bridges</a>",LAA,33,260,229,20,55,2,68,15,26,1,37,.240,.320,.297,.617,.288,.16
"<a href=""https://www.baseball-reference.com/players/b/brighha01.shtml"">Harry Bright</a>",WS2,31,204,183,20,44,4,62,21,19,0,23,.240,.310,.339,.649,.294,.01
"<a href=""https://www.baseball-reference.com/players/b/brinked01.shtml"">Ed Brinkman</a>",WS2,19,12,11,0,1,0,1,0,1,0,1,.091,.167,.091,.258,.134,.00
"<a href=""https://www.baseball-reference.com/players/b/brocklo01.shtml"">Lou Brock</a>",CHN,22,12,11,1,1,0,1,0,1,0,3,.091,.167,.091,.258,.134,-.24
"<a href=""https://www.baseball-reference.com/players/b/brogler01.shtml"">Ernie Broglio</a>",SLN,25,70,62,3,9,0,10,5,3,0,11,.145,.182,.161,.343,.161,.00
"<a href=""https://www.baseball-reference.com/players/b/brosnji01.shtml"">Jim Brosnan</a>",CIN,31,15,13,1,2,0,2,1,1,0,6,.154,.214,.154,.368,.180,.00
"<a href=""https://www.baseball-reference.com/players/b/browndi01.shtml"">Dick Brown</a>",DET,26,336,308,32,82,16,146,45,22,0,57,.266,.312,.474,.786,.341,1.89
"<a href=""https://www.baseball-reference.com/players/b/brownha01.shtml"">Hal Brown</a>",BAL,36,57,50,3,7,0,9,1,3,0,11,.140,.185,.180,.365,.170,-.08
"<a href=""https://www.baseball-reference.com/players/b/brownpa01.shtml"">Paul Brown</a>",PHI,20,2,2,0,1,0,1,0,0,0,0,.500,.500,.500,1.000,.452,.03
"<a href=""https://www.baseball-reference.com/players/b/brucebo01.shtml"">Bob Bruce</a>",DET,28,12,9,1,1,0,2,1,2,0,2,.111,.273,.222,.495,.245,.09
"<a href=""https://www.baseball-reference.com/players/b/brutobi01.shtml"">Bill Bruton</a>",DET,35,668,596,99,153,17,229,63,61,22,66,.257,.327,.384,.712,.321,2.61
"<a href=""https://www.baseball-reference.com/players/b/bryanbi01.shtml"">Billy Bryan</a>",KC1,22,21,19,2,3,1,6,2,2,0,7,.158,.238,.316,.554,.252,-.04
"<a href=""https://www.baseball-reference.com/players/b/bucheje01.shtml"">Jerry Buchek</a>",SLN,19,93,90,6,12,0,14,9,0,0,28,.133,.151,.156,.306,.141,-1.97
"<a href=""https://www.baseball-reference.com/players/b/buddido01.shtml"">Don Buddin</a>",BOS,27,420,339,58,89,6,135,42,72,2,45,.263,.394,.398,.792,.357,.00
"<a href=""https://www.baseball-reference.com/players/b/buhlbo01.shtml"">Bob Buhl</a>",ML1,32,67,60,2,4,0,4,2,5,0,30,.067,.138,.067,.205,.110,.00
"<a href=""https://www.baseball-reference.com/players/b/bunniji01.shtml"">Jim Bunning</a>",DET,29,104,100,6,13,0,14,4,2,0,30,.130,.147,.140,.287,.133,.00
"<a href=""https://www.baseball-reference.com/players/b/burdele01.shtml"">Lew Burdette</a>",ML1,34,108,103,10,21,3,35,11,2,0,39,.204,.219,.340,.559,.246,.00
"<a href=""https://www.baseball-reference.com/players/b/burgesm01.shtml"">Smoky Burgess</a>",PIT,34,356,323,37,98,12,157,52,30,1,16,.303,.365,.486,.851,.368,.00
"<a href=""https://www.baseball-reference.com/players/b/burkele02.shtml"">Leo Burke</a>",LAA,27,5,5,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,.00
"<a href=""https://www.baseball-reference.com/players/b/burnspe01.shtml"">Pete Burnside</a>",WS2,30,38,34,1,2,0,2,1,1,0,15,.059,.086,.059,.145,.072,-.22
"<a href=""https://www.baseball-reference.com/players/b/burwedi01.shtml"">Dick Burwell</a>",CHN,21,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-.02
"<a href=""https://www.baseball-reference.com/players/b/busbyji01.shtml"">Jim Busby</a>",BAL,34,99,89,15,23,0,28,6,8,2,10,.258,.316,.315,.631,.289,.07
"<a href=""https://www.baseball-reference.com/players/b/buzhajo01.shtml"">John Buzhardt</a>",PHI,24,68,57,2,6,0,8,1,3,0,29,.105,.164,.140,.304,.148,.00
"<a href=""https://www.baseball-reference.com/players/c/callijo01.shtml"">Johnny Callison</a>",PHI,22,538,455,74,121,9,190,47,69,10,76,.266,.363,.418,.780,.347,1.92
"<a href=""https://www.baseball-reference.com/players/c/camildo02.shtml"">Doug Camilli</a>",LAN,24,31,30,3,4,3,13,4,1,0,9,.133,.161,.433,.595,.253,-.24
"<a href=""https://www.baseball-reference.com/players/c/cannich01.shtml"">Chris Cannizzaro</a>",SLN,23,2,2,0,1,0,1,0,0,0,0,.500,.500,.500,1.000,.452,.00
"<a href=""https://www.baseball-reference.com/players/c/cardele01.shtml"">Leo Cardenas</a>",CIN,22,216,198,23,61,5,96,24,15,1,39,.308,.353,.485,.838,.366,1.12
"<a href=""https://www.baseball-reference.com/players/c/cardwdo01.shtml"">Don Cardwell</a>",CHN,25,106,95,6,10,3,22,6,6,0,55,.105,.167,.232,.398,.183,.00
"<a href=""https://www.baseball-reference.com/players/c/careyan01.shtml"">Andy Carey</a>",2,29,304,266,41,68,3,105,25,26,0,47,.256,.329,.395,.724,.312,.48
"<a href=""https://www.baseball-reference.com/players/c/carreca01.shtml"">Cam Carreon</a>",CHA,23,253,229,32,62,4,81,27,21,0,24,.271,.331,.354,.684,.308,.57
"<a href=""https://www.baseball-reference.com/players/c/casalje01.shtml"">Jerry Casale</a>",2,27,17,16,2,6,1,11,2,1,0,7,.375,.412,.688,1.099,.430,.39
"<a href=""https://www.baseball-reference.com/players/c/cashno01.shtml"">Norm Cash</a>",DET,27,672,535,119,193,41,354,132,124,11,85,.361,.487,.662,1.148,.488,9.16
"<a href=""https://www.baseball-reference.com/players/c/causewa01.shtml"">Wayne Causey</a>",KC1,24,361,312,37,86,8,126,49,37,0,28,.276,.348,.404,.752,.338,.00
"<a href=""https://www.baseball-reference.com/players/c/cepedor01.shtml"">Orlando Cepeda</a>",SFN,23,636,585,105,182,46,356,142,39,12,91,.311,.362,.609,.970,.413,5.67
"<a href=""https://www.baseball-reference.com/players/c/cervbo01.shtml"">Bob Cerv</a>",2,36,191,175,20,41,8,75,26,13,1,25,.234,.289,.429,.718,.310,.00
"<a href=""https://www.baseball-reference.com/players/c/chacoel01.shtml"">Elio Chacon</a>",CIN,24,158,132,26,35,2,49,5,21,1,22,.265,.374,.371,.745,.344,.86
"<a href=""https://www.baseball-reference.com/players/c/chancde01.shtml"">Dean Chance</a>",LAA,20,5,5,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,-.09
"<a href=""https://www.baseball-reference.com/players/c/cheneto01.shtml"">Tom Cheney</a>",2,26,9,8,1,4,0,5,3,0,0,2,.500,.500,.625,1.125,.499,.22
"<a href=""https://www.baseball-reference.com/players/c/chitiha01.shtml"">Harry Chiti</a>",DET,28,13,12,0,1,0,1,0,1,0,2,.083,.154,.083,.237,.124,-.12
