Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abadijo01.shtml"">John Abadie</a>",2,24,49,49,4,11,0,11,5,0,1,3,0.22448979591836735,0.22448979591836735,0.22448979591836735,0.4489795918367347,0,-0.09
"<a href=""https://www.baseball-reference.com/players/a/addybo01.shtml"">Bob Addy</a>",PH2,33,310,310,60,80,0,96,43,0,16,2,0.25806451612903225,0.25806451612903225,0.3096774193548387,0.567741935483871,0,0.57
"<a href=""https://www.baseball-reference.com/players/a/allisar01.shtml"">Art Allison</a>",2,26,288,287,44,66,1,80,22,1,7,5,0.22996515679442509,0.2326388888888889,0.2787456445993031,0.511384533488192,0,-0.25
"<a href=""https://www.baseball-reference.com/players/a/allisdo01.shtml"">Doug Allison</a>",HR1,28,275,269,38,67,0,74,21,6,2,3,0.24907063197026022,0.26545454545454544,0.275092936802974,0.5405474822575194,0,1.43
"<a href=""https://www.baseball-reference.com/players/a/ansonca01.shtml"">Cap Anson</a>",PH1,23,330,326,84,106,0,127,58,4,11,2,0.32515337423312884,0.3333333333333333,0.3895705521472393,0.7229038854805726,0,2.46
"<a href=""https://www.baseball-reference.com/players/a/arundha01.shtml"">Harry Arundel</a>",BR2,20,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.07
"<a href=""https://www.baseball-reference.com/players/b/banckst01.shtml"">Studs Bancker</a>",NH1,?,72,72,3,11,0,11,2,0,1,3,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.3055555555555556,0,-0.21
"<a href=""https://www.baseball-reference.com/players/b/barloto01.shtml"">Tom Barlow</a>",2,?,9,9,1,1,0,1,0,0,0,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0,0.0
"<a href=""https://www.baseball-reference.com/players/b/barnero01.shtml"">Ross Barnes</a>",BS1,25,400,393,115,143,1,174,58,7,29,3,0.3638676844783715,0.375,0.44274809160305345,0.8177480916030535,0,4.89
"<a href=""https://www.baseball-reference.com/players/b/barnibi01.shtml"">Billy Barnie</a>",2,22,71,70,4,9,0,10,3,1,0,3,0.12857142857142856,0.14084507042253522,0.14285714285714285,0.28370221327967804,0,-0.24
"<a href=""https://www.baseball-reference.com/players/b/battijo01.shtml"">Joe Battin</a>",SL2,21,284,284,31,71,0,83,33,0,15,6,0.25,0.25,0.29225352112676056,0.5422535211267605,0,0
"<a href=""https://www.baseball-reference.com/players/b/bealsto01.shtml"">Tommy Beals</a>",BS1,24,158,155,38,41,0,55,16,3,1,1,0.2645161290322581,0.27848101265822783,0.3548387096774194,0.6333197223356473,0,0.64
"<a href=""https://www.baseball-reference.com/players/b/bechtge01.shtml"">George Bechtel</a>",2,26,227,225,45,63,0,78,27,2,2,4,0.28,0.28634361233480177,0.3466666666666667,0.6330102790014684,0,0.35
"<a href=""https://www.baseball-reference.com/players/b/bielaos01.shtml"">Oscar Bielaski</a>",CH2,28,203,201,21,48,0,49,11,2,5,5,0.23880597014925373,0.24630541871921183,0.24378109452736318,0.49008651324657504,0,0.17
"<a href=""https://www.baseball-reference.com/players/b/blongjo01.shtml"">Joe Blong</a>",SL1,21,68,68,3,10,0,12,5,0,1,7,0.14705882352941177,0.14705882352941177,0.17647058823529413,0.3235294117647059,0,-0.37
"<a href=""https://www.baseball-reference.com/players/b/bolan01.shtml""> Boland</a>",BR2,?,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.05
"<a href=""https://www.baseball-reference.com/players/b/bondto01.shtml"">Tommy Bond</a>",HR1,19,289,289,32,77,0,94,33,0,5,5,0.2664359861591695,0.2664359861591695,0.32525951557093424,0.5916955017301038,0,0.52
"<a href=""https://www.baseball-reference.com/players/b/booth01.shtml""> Booth</a>",NH1,?,2,2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,-0.03
"<a href=""https://www.baseball-reference.com/players/b/boothed01.shtml"">Eddie Booth</a>",NY2,?,281,281,33,56,0,67,18,0,4,2,0.199288256227758,0.199288256227758,0.23843416370106763,0.43772241992882566,0,-0.42
"<a href=""https://www.baseball-reference.com/players/b/bordejo01.shtml"">Joe Borden</a>",PH2,21,28,28,3,3,0,3,1,0,0,1,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.21428571428571427,0,-0.27
"<a href=""https://www.baseball-reference.com/players/b/boydbi01.shtml"">Bill Boyd</a>",BR2,22,152,151,14,44,1,58,10,1,0,0,0.2913907284768212,0.29605263157894735,0.3841059602649007,0.680158591843848,0,0.55
"<a href=""https://www.baseball-reference.com/players/b/bradlge01.shtml"">George Bradley</a>",SL2,22,255,254,28,62,0,75,24,1,3,19,0.2440944881889764,0.24705882352941178,0.2952755905511811,0.5423344140805928,0,0
"<a href=""https://www.baseball-reference.com/players/b/brady01.shtml"">Spike Brady</a>",CH2,20,4,4,1,1,0,3,0,0,0,0,0.25,0.25,0.75,1.0,0,0.05
"<a href=""https://www.baseball-reference.com/players/b/bradyst01.shtml"">Steve Brady</a>",2,23,95,95,7,13,0,13,3,0,5,5,0.1368421052631579,0.1368421052631579,0.1368421052631579,0.2736842105263158,0,-0.65
"<a href=""https://www.baseball-reference.com/players/b/brannmi01.shtml"">Mike Brannock</a>",CH2,23,9,9,2,1,0,1,0,0,2,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0,-0.06
"<a href=""https://www.baseball-reference.com/players/b/brownol01.shtml"">Oliver Brown</a>",BR2,26,10,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.13
"<a href=""https://www.baseball-reference.com/players/b/burdoja01.shtml"">Jack Burdock</a>",HR1,23,353,350,72,103,0,125,35,3,20,13,0.29428571428571426,0.3002832861189802,0.35714285714285715,0.6574261432618373,0,0
