Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/alvorbi01.shtml"">Billy Alvord</a>",SL5,21,6,5,0,0,0,0,0,1,0,2,.000,.167,.000,.167,.122,-.15
"<a href=""https://www.baseball-reference.com/players/a/andreed01.shtml"">Ed Andrews</a>",PHI,26,453,421,77,112,0,133,23,32,0,25,.266,.318,.316,.634,.302,.00
"<a href=""https://www.baseball-reference.com/players/a/andruwi01.shtml"">Wyman Andrus</a>",PRO,26,4,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-.08
"<a href=""https://www.baseball-reference.com/players/a/ansonca01.shtml"">Cap Anson</a>",CHN,33,498,464,100,144,7,214,108,34,0,13,.310,.357,.461,.819,.376,3.86
"<a href=""https://www.baseball-reference.com/players/b/bakerge01.shtml"">George Baker</a>",SL5,27,140,131,5,16,0,16,5,9,0,28,.122,.179,.122,.301,.154,-.86
"<a href=""https://www.baseball-reference.com/players/b/bakerno01.shtml"">Norm Baker</a>",LS2,22,90,87,15,18,0,20,5,2,0,0,.207,.233,.230,.463,.221,-.10
"<a href=""https://www.baseball-reference.com/players/b/baldwki01.shtml"">Kid Baldwin</a>",CN2,20,129,126,9,17,1,21,8,3,0,0,.135,.155,.167,.322,.153,-1.04
"<a href=""https://www.baseball-reference.com/players/b/baldwla01.shtml"">Lady Baldwin</a>",DTN,26,130,124,12,30,0,42,18,6,0,22,.242,.277,.339,.616,.286,.31
"<a href=""https://www.baseball-reference.com/players/b/barklsa01.shtml"">Sam Barkley</a>",SL4,27,445,418,67,112,3,159,53,25,0,0,.268,.312,.380,.693,.321,2.87
"<a href=""https://www.baseball-reference.com/players/b/bassech01.shtml"">Charley Bassett</a>",PRO,22,304,285,21,41,0,53,16,19,0,60,.144,.197,.186,.383,.188,.00
"<a href=""https://www.baseball-reference.com/players/b/bastich01.shtml"">Charlie Bastian</a>",PHI,27,424,389,63,65,4,98,29,35,0,82,.167,.236,.252,.488,.235,.92
"<a href=""https://www.baseball-reference.com/players/b/becanbu01.shtml"">Buck Becannon</a>",NY4,25,35,33,3,10,0,10,2,1,0,0,.303,.343,.303,.646,.311,.26
"<a href=""https://www.baseball-reference.com/players/b/begleed01.shtml"">Ed Bagley</a>",NY4,21,53,52,5,9,1,13,3,1,0,0,.173,.189,.250,.439,.203,-.03
"<a href=""https://www.baseball-reference.com/players/b/bellfr01.shtml"">Frank Bell</a>",BR3,22,30,29,5,5,0,7,2,0,0,0,.172,.200,.241,.441,.207,-.46
"<a href=""https://www.baseball-reference.com/players/b/bennech01.shtml"">Charlie Bennett</a>",DTN,30,396,349,49,94,5,159,60,47,0,37,.269,.356,.456,.812,.373,4.54
"<a href=""https://www.baseball-reference.com/players/b/boylehe01.shtml"">Henry Boyle</a>",SL5,24,271,258,24,52,1,66,21,13,0,38,.202,.240,.256,.496,.235,-.22
"<a href=""https://www.baseball-reference.com/players/b/bradyst01.shtml"">Steve Brady</a>",NY4,33,465,434,60,128,3,161,58,25,0,0,.295,.342,.371,.713,.335,2.55
"<a href=""https://www.baseball-reference.com/players/b/brennji01.shtml"">Jack Brennan</a>",SL5,21,11,10,0,1,0,1,1,1,0,1,.100,.182,.100,.282,.152,-.07
"<a href=""https://www.baseball-reference.com/players/b/briodfa01.shtml"">Fatty Briody</a>",SL5,26,227,215,14,42,1,54,17,12,0,23,.195,.238,.251,.489,.233,.51
"<a href=""https://www.baseball-reference.com/players/b/brougca01.shtml"">Cal Broughton</a>",2,24,59,58,2,7,0,8,2,1,0,0,.121,.136,.138,.274,.130,-.34
"<a href=""https://www.baseball-reference.com/players/b/broutda01.shtml"">Dan Brouthers</a>",BFN,27,441,407,87,146,7,221,59,34,0,10,.359,.408,.543,.951,.433,5.24
"<a href=""https://www.baseball-reference.com/players/b/brownjo01.shtml"">Joe Brown</a>",BL2,26,19,19,2,3,0,3,0,0,0,0,.158,.158,.158,.316,.148,-.12
"<a href=""https://www.baseball-reference.com/players/b/brownpe01.shtml"">Pete Browning</a>",LS2,24,506,481,98,174,9,255,73,25,0,0,.362,.393,.530,.923,.421,.00
"<a href=""https://www.baseball-reference.com/players/b/brownto01.shtml"">Tom Brown</a>",PT1,24,478,437,81,134,4,186,68,34,0,0,.307,.366,.426,.792,.368,.00
"<a href=""https://www.baseball-reference.com/players/b/bryange01.shtml"">George Bryant</a>",DTN,28,4,4,0,0,0,0,1,0,0,2,.000,.000,.000,.000,.000,-.09
"<a href=""https://www.baseball-reference.com/players/b/buffich01.shtml"">Charlie Buffinton</a>",BSN,24,341,338,26,81,1,102,33,3,0,26,.240,.246,.302,.548,.253,.08
"<a href=""https://www.baseball-reference.com/players/b/burdoja01.shtml"">Jack Burdock</a>",BSN,33,177,169,18,24,0,29,7,8,0,18,.142,.181,.172,.352,.171,.00
"<a href=""https://www.baseball-reference.com/players/b/burnsdi01.shtml"">Dick Burns</a>",SL5,21,57,54,2,12,0,16,4,3,0,8,.222,.263,.296,.559,.263,-.37
"<a href=""https://www.baseball-reference.com/players/b/burnsoy01.shtml"">Oyster Burns</a>",BL2,20,343,321,47,74,5,112,37,16,0,0,.231,.280,.349,.629,.293,.19
