Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbeybe01.shtml"">Bert Abbey</a>",CHN,24,43,39,3,5,0,5,4,2,1,7,0.1282051282051282,0.17073170731707318,0.1282051282051282,0.2989368355222014,0,0
"<a href=""https://www.baseball-reference.com/players/a/abbeych01.shtml"">Charlie Abbey</a>",WAS,27,589,523,95,164,7,247,101,58,31,38,0.3135755258126195,0.38945578231292516,0.4722753346080306,0.8617311169209558,0,2.23
"<a href=""https://www.baseball-reference.com/players/a/allenbo01.shtml"">Bob Allen</a>",PHI,26,175,154,27,40,0,58,19,17,4,11,0.2597402597402597,0.3372093023255814,0.37662337662337664,0.713832678948958,0,0.08
"<a href=""https://www.baseball-reference.com/players/a/anderjo01.shtml"">John Anderson</a>",BRO,20,67,63,14,19,1,29,19,3,7,3,0.30158730158730157,0.3333333333333333,0.4603174603174603,0.7936507936507936,0,-0.08
"<a href=""https://www.baseball-reference.com/players/a/anderva01.shtml"">Varney Anderson</a>",WAS,28,7,7,2,3,0,3,0,0,0,2,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,0,0.04
"<a href=""https://www.baseball-reference.com/players/a/ansonca01.shtml"">Cap Anson</a>",CHN,42,394,343,85,133,5,185,100,41,17,15,0.3877551020408163,0.4573643410852713,0.5393586005830904,0.9967229416683616,0,3.02
"<a href=""https://www.baseball-reference.com/players/b/bakerki01.shtml"">Kirtley Baker</a>",BLN,25,4,4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,-0.13
"<a href=""https://www.baseball-reference.com/players/b/ballar01.shtml"">Art Ball</a>",SLN,22,3,3,0,1,0,1,0,0,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,-0.01
"<a href=""https://www.baseball-reference.com/players/b/bannoji01.shtml"">Jimmy Bannon</a>",BSN,23,566,494,130,166,13,254,114,62,47,42,0.3360323886639676,0.4142857142857143,0.5141700404858299,0.9284557547715442,0,2.2
"<a href=""https://www.baseball-reference.com/players/b/becklja01.shtml"">Jake Beckley</a>",PIT,26,621,537,123,185,7,280,122,43,21,16,0.34450651769087526,0.41235392320534225,0.521415270018622,0.9337691932239642,0,0
"<a href=""https://www.baseball-reference.com/players/b/bierblo01.shtml"">Lou Bierbauer</a>",PIT,28,575,528,87,160,3,215,109,26,19,10,0.30303030303030304,0.33693693693693694,0.4071969696969697,0.7441339066339067,0,1.02
"<a href=""https://www.baseball-reference.com/players/b/blakeha01.shtml"">Harry Blake</a>",CL4,20,338,296,51,78,1,104,51,30,1,22,0.2635135135135135,0.3353658536585366,0.35135135135135137,0.686717205009888,0,-0.77
"<a href=""https://www.baseball-reference.com/players/b/blankfr01.shtml"">Fred Blank</a>",CIN,20,3,3,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,-0.09
"<a href=""https://www.baseball-reference.com/players/b/bonnefr01.shtml"">Frank Bonner</a>",BLN,24,138,118,27,38,0,52,24,17,12,5,0.3220338983050847,0.4117647058823529,0.4406779661016949,0.8524426719840479,0,0.44
"<a href=""https://www.baseball-reference.com/players/b/boydja01.shtml"">Jake Boyd</a>",WAS,20,22,21,1,3,0,3,1,1,2,4,0.14285714285714285,0.18181818181818182,0.14285714285714285,0.3246753246753247,0,-0.34
"<a href=""https://www.baseball-reference.com/players/b/boyleja01.shtml"">Jack Boyle</a>",PHI,28,577,510,103,153,4,208,89,46,23,27,0.3,0.3613595706618962,0.40784313725490196,0.7692027079167982,0,0.76
"<a href=""https://www.baseball-reference.com/players/b/breitte01.shtml"">Theodore Breitenstein</a>",SLN,25,224,182,27,40,0,51,13,31,3,19,0.21978021978021978,0.3395348837209302,0.2802197802197802,0.6197546639407104,0,-0.18
"<a href=""https://www.baseball-reference.com/players/b/brodist01.shtml"">Steve Brodie</a>",BLN,25,628,573,134,210,3,266,113,18,42,8,0.36649214659685864,0.3990066225165563,0.4642233856893543,0.8632300082059106,0,0
"<a href=""https://www.baseball-reference.com/players/b/broutda01.shtml"">Dan Brouthers</a>",BLN,36,615,525,137,182,9,294,128,67,38,9,0.3466666666666667,0.42546063651591287,0.56,0.9854606365159129,0,3.9
"<a href=""https://www.baseball-reference.com/players/b/brownpe01.shtml"">Pete Browning</a>",2,33,10,9,2,3,0,3,2,1,0,0,0.3333333333333333,0.4,0.3333333333333333,0.7333333333333334,0,-0.1
"<a href=""https://www.baseball-reference.com/players/b/brownst01.shtml"">Stub Brown</a>",BLN,23,24,23,3,2,0,2,1,0,1,5,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.17391304347826086,0,-0.44
"<a href=""https://www.baseball-reference.com/players/b/brownto01.shtml"">Tom Brown</a>",LS3,33,618,541,123,137,9,214,57,60,66,74,0.2532347504621072,0.33112582781456956,0.3955637707948244,0.726689598609394,0,-0.5
"<a href=""https://www.baseball-reference.com/players/b/brownwi01.shtml"">William Brown</a>",2,?,67,57,5,11,0,13,9,5,1,9,0.19298245614035087,0.25806451612903225,0.22807017543859648,0.48613469156762873,0,-0.29000000000000004
"<a href=""https://www.baseball-reference.com/players/b/buckldi01.shtml"">Dick Buckley</a>",2,35,282,249,23,63,2,87,29,12,1,16,0.25301204819277107,0.29545454545454547,0.3493975903614458,0.6448521358159913,0,-0.32
"<a href=""https://www.baseball-reference.com/players/b/burkeed01.shtml"">Eddie Burke</a>",NY1,27,633,574,124,176,4,233,77,39,36,35,0.30662020905923343,0.3611556982343499,0.4059233449477352,0.7670790431820851,0,0
"<a href=""https://www.baseball-reference.com/players/b/burkeje01.shtml"">Jesse Burkett</a>",CL4,25,618,523,138,187,8,266,94,84,28,27,0.3575525812619503,0.4473684210526316,0.5086042065009561,0.9559726275535876,0,3.54
"<a href=""https://www.baseball-reference.com/players/b/burnsoy01.shtml"">Oyster Burns</a>",BRO,29,569,513,107,182,5,257,109,44,30,18,0.35477582846003897,0.4089285714285714,0.5009746588693957,0.9099032302979672,0,3.12
"<a href=""https://www.baseball-reference.com/players/b/burrial01.shtml"">Al Burris</a>",PHI,20,4,4,0,2,0,2,0,0,0,0,0.5,0.5,0.5,1.0,0,0.05
"<a href=""https://www.baseball-reference.com/players/c/callani01.shtml"">Jimmy Callahan</a>",PHI,20,21,21,4,5,0,5,0,0,0,7,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.47619047619047616,0,-0.16
"<a href=""https://www.baseball-reference.com/players/c/campaco01.shtml"">Count Campau</a>",WAS,30,8,7,1,1,0,1,0,1,0,4,0.14285714285714285,0.25,0.14285714285714285,0.39285714285714285,0,-0.11
"<a href=""https://www.baseball-reference.com/players/c/campki01.shtml"">Kid Camp</a>",CHN,24,12,11,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,-0.29
"<a href=""https://www.baseball-reference.com/players/c/cample01.shtml"">Lew Camp</a>",CHN,26,35,33,1,6,0,8,1,1,0,6,0.18181818181818182,0.20588235294117646,0.24242424242424243,0.4483065953654189,0,-0.59
"<a href=""https://www.baseball-reference.com/players/c/canavji01.shtml"">Jim Canavan</a>",CIN,27,434,364,81,100,13,175,74,64,13,25,0.27472527472527475,0.38317757009345793,0.4807692307692308,0.8639468008626887,0,1.16
"<a href=""https://www.baseball-reference.com/players/c/carseki01.shtml"">Kid Carsey</a>",PHI,21,148,129,31,36,0,42,18,17,3,12,0.27906976744186046,0.3673469387755102,0.32558139534883723,0.6929283341243475,0,0.43
"<a href=""https://www.baseball-reference.com/players/c/cartwed01.shtml"">Ed Cartwright</a>",WAS,34,575,507,88,149,12,246,106,57,31,43,0.2938856015779093,0.3741258741258741,0.48520710059171596,0.8593329747175901,0,1.72
"<a href=""https://www.baseball-reference.com/players/c/chambel01.shtml"">Ice Box Chamberlain</a>",CIN,26,80,70,10,22,1,34,7,7,2,5,0.3142857142857143,0.37662337662337664,0.4857142857142857,0.8623376623376624,0,0.42
"<a href=""https://www.baseball-reference.com/players/c/childcu01.shtml"">Cupid Childs</a>",CL4,26,595,479,143,169,2,220,52,107,17,11,0.35281837160751567,0.4754653130287648,0.4592901878914405,0.9347555009202053,0,4.57
"<a href=""https://www.baseball-reference.com/players/c/clarkbo02.shtml"">Boileryard Clarke</a>",BLN,25,122,100,18,24,1,35,19,16,2,14,0.24,0.36134453781512604,0.35,0.711344537815126,0,-0.11
"<a href=""https://www.baseball-reference.com/players/c/clarkda01.shtml"">Dad Clarke</a>",NY1,29,41,37,4,8,0,12,3,4,1,4,0.21621621621621623,0.2926829268292683,0.32432432432432434,0.6170072511535927,0,0
"<a href=""https://www.baseball-reference.com/players/c/clarkda02.shtml"">Dad Clarkson</a>",SLN,27,105,88,11,16,0,18,7,16,1,28,0.18181818181818182,0.3142857142857143,0.20454545454545456,0.5188311688311689,0,0
"<a href=""https://www.baseball-reference.com/players/c/clarkfr01.shtml"">Fred Clarke</a>",LS3,21,345,314,55,86,7,132,48,26,26,27,0.27388535031847133,0.3372093023255814,0.42038216560509556,0.757591467930677,0,0.06
"<a href=""https://www.baseball-reference.com/players/c/clarkjo01.shtml"">John Clarkson</a>",CL4,32,65,55,8,11,1,14,7,6,1,9,0.2,0.2786885245901639,0.2545454545454545,0.5332339791356184,0,-0.29
"<a href=""https://www.baseball-reference.com/players/c/clausfr01.shtml"">Fritz Clausen</a>",CHN,25,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,-0.03
"<a href=""https://www.baseball-reference.com/players/c/clemeja01.shtml"">Jack Clements</a>",PHI,29,208,171,26,60,3,85,36,26,6,9,0.3508771929824561,0.4585365853658537,0.49707602339181284,0.9556126087576665,0,1.42
"<a href=""https://www.baseball-reference.com/players/c/colcoto01.shtml"">Tom Colcolough</a>",PIT,23,77,70,10,14,0,20,6,5,1,7,0.2,0.2631578947368421,0.2857142857142857,0.5488721804511278,0,-0.26
"<a href=""https://www.baseball-reference.com/players/c/comisch01.shtml"">Charlie Comiskey</a>",CIN,34,241,228,26,61,0,70,38,5,10,5,0.2675438596491228,0.2923728813559322,0.30701754385964913,0.5993904252155813,0,-1.31
"<a href=""https://www.baseball-reference.com/players/c/connafr01.shtml"">Frank Connaughton</a>",BSN,25,190,171,42,59,2,78,33,16,3,8,0.34502923976608185,0.4074074074074074,0.45614035087719296,0.8635477582846003,0,0.75
"<a href=""https://www.baseball-reference.com/players/c/connoro01.shtml"">Roger Connor</a>",2,36,534,462,93,146,8,255,93,59,19,17,0.31601731601731603,0.4015151515151515,0.551948051948052,0.9534632034632035,0,3.71
"<a href=""https://www.baseball-reference.com/players/c/cooledu01.shtml"">Duff Cooley</a>",SLN,21,224,206,35,61,1,69,21,12,7,16,0.2961165048543689,0.3348623853211009,0.33495145631067963,0.6698138416317805,0,0
"<a href=""https://www.baseball-reference.com/players/c/corcoto01.shtml"">Tommy Corcoran</a>",BRO,25,611,576,123,173,5,249,92,25,33,17,0.3003472222222222,0.32945091514143093,0.4322916666666667,0.7617425818080976,0,1.71
"<a href=""https://www.baseball-reference.com/players/c/cotehe01.shtml"">Henry Cote</a>",LS3,30,36,31,7,9,0,15,3,5,2,6,0.2903225806451613,0.3888888888888889,0.4838709677419355,0.8727598566308243,0,0.48
