Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/aberal01.shtml"">Al Aber</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnoteaberal01"" style=""display:none;""></input><label for=""footnoteaberal01"" class=""footnoteLabel"">2</label><div id=""footnoteDivaberal01"">CLE, DET</div></span>",25,27,23,2,3,0,3,2,3,0,6,.130,.231,.130,.361,.190,-0.12
"<a href=""https://www.baseball-reference.com/players/a/abramca01.shtml"">Cal Abrams</a>",PIT,29,512,448,66,128,15,195,43,58,4,70,.286,.368,.435,.803,.366,0.00
"<a href=""https://www.baseball-reference.com/players/a/adamsbo03.shtml"">Bobby Adams</a>",CIN,31,677,607,99,167,8,217,49,58,3,67,.275,.338,.357,.696,.323,0.00
"<a href=""https://www.baseball-reference.com/players/a/adcocjo01.shtml"">Joe Adcock</a>",ML1,25,640,590,71,168,18,267,80,42,3,82,.285,.334,.453,.787,.354,1.67
"<a href=""https://www.baseball-reference.com/players/a/addisbo01.shtml"">Bob Addis</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnoteaddisbo01"" style=""display:none;""></input><label for=""footnoteaddisbo01"" class=""footnoteLabel"">2</label><div id=""footnoteDivaddisbo01"">CHN, PIT</div></span>",27,17,15,2,2,0,3,1,2,0,2,.133,.235,.200,.435,.194,-0.02
"<a href=""https://www.baseball-reference.com/players/a/alomalu01.shtml"">Luis Aloma</a>",CHA,30,6,6,0,0,0,0,0,0,0,4,.000,.000,.000,.000,.000,-0.11
"<a href=""https://www.baseball-reference.com/players/a/anderfe01.shtml"">F. Anderson</a>",SLN,35,35,35,1,10,0,12,1,0,0,4,.286,.286,.343,.629,.284,-0.23
"<a href=""https://www.baseball-reference.com/players/a/antonbi01.shtml"">B. Antonello</a>",BRO,26,45,43,9,7,1,13,4,2,0,11,.163,.200,.302,.502,.225,-0.30
"<a href=""https://www.baseball-reference.com/players/a/antonjo02.shtml"">J. Antonelli</a>",ML1,23,69,62,7,11,0,13,4,3,0,14,.177,.215,.210,.425,.201,0.05
"<a href=""https://www.baseball-reference.com/players/a/ashburi01.shtml"">R. Ashburn</a>",PHI,26,702,622,110,205,2,254,57,61,14,35,.330,.394,.408,.802,.370,6.41
"<a href=""https://www.baseball-reference.com/players/a/astrojo01.shtml"">Joe Astroth</a>",PHA,30,289,260,28,77,3,105,24,27,1,12,.296,.367,.404,.771,.355,1.83
"<a href=""https://www.baseball-reference.com/players/a/atwelto01.shtml"">Toby Atwell</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnoteatwelto01"" style=""display:none;""></input><label for=""footnoteatwelto01"" class=""footnoteLabel"">2</label><div id=""footnoteDivatwelto01"">CHN, PIT</div></span>",29,252,213,21,51,1,62,25,33,0,19,.239,.349,.291,.640,.307,0.00
"<a href=""https://www.baseball-reference.com/players/a/avilabo01.shtml"">Bobby Avila</a>",CLE,29,633,559,85,160,8,212,55,58,10,27,.286,.355,.379,.735,.340,4.71
"<a href=""https://www.baseball-reference.com/players/a/aylwadi01.shtml"">Dick Aylward</a>",CLE,28,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.07
"<a href=""https://www.baseball-reference.com/players/b/babelo01.shtml"">Loren Babe</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnotebabelo01"" style=""display:none;""></input><label for=""footnotebabelo01"" class=""footnoteLabel"">2</label><div id=""footnoteDivbabelo01"">NYA, PHA</div></span>",25,401,361,36,83,2,110,26,35,0,22,.230,.302,.305,.606,.284,-1.45
"<a href=""https://www.baseball-reference.com/players/b/baczefr01.shtml"">F. Baczewski</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnotebaczefr01"" style=""display:none;""></input><label for=""footnotebaczefr01"" class=""footnoteLabel"">2</label><div id=""footnoteDivbaczefr01"">CHN, CIN</div></span>",27,52,47,4,9,1,12,2,1,0,15,.191,.208,.255,.464,.212,0.00
"<a href=""https://www.baseball-reference.com/players/b/baileed01.shtml"">Ed Bailey</a>",CIN,22,9,8,1,3,0,4,1,1,0,3,.375,.444,.500,.944,.429,0.00
"<a href=""https://www.baseball-reference.com/players/b/bakerfl01.shtml"">Floyd Baker</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnotebakerfl01"" style=""display:none;""></input><label for=""footnotebakerfl01"" class=""footnoteLabel"">2</label><div id=""footnoteDivbakerfl01"">WS1, BOS</div></span>",36,208,179,22,47,0,55,24,25,0,10,.263,.359,.307,.666,.320,-0.20
