Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,43,35,31,3,7,0,8,1,3,0,6,.226,.294,.258,.552,.270,0.06
"<a href=""https://www.baseball-reference.com/players/a/adamsbo01.shtml"">Bob Adams</a>",BOS,23,3,3,1,1,0,1,0,0,0,0,.333,.333,.333,.667,.312,0.02
"<a href=""https://www.baseball-reference.com/players/a/adamssp01.shtml"">Sparky Adams</a>",CHN,30,687,627,95,180,2,231,48,44,26,15,.287,.341,.368,.709,.332,0.00
"<a href=""https://www.baseball-reference.com/players/a/adamssp02.shtml"">S. Adams</a>",WS1,27,63,55,11,15,0,21,4,5,1,4,.273,.333,.382,.715,.332,0.09
"<a href=""https://www.baseball-reference.com/players/a/aldrivi01.shtml"">Vic Aldridge</a>",PIT,31,88,86,3,20,1,23,10,0,0,4,.233,.233,.267,.500,.230,-0.08
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">P. Alexander</a>",CHN,38,89,79,7,19,2,31,12,1,0,5,.241,.250,.392,.642,.285,0.25
"<a href=""https://www.baseball-reference.com/players/a/anderbi01.shtml"">B. Anderson</a>",BSN,29,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/a/archdma01.shtml"">M. Archdeacon</a>",CHA,26,12,9,2,1,0,1,0,2,0,1,.111,.273,.111,.384,.222,-0.09
"<a href=""https://www.baseball-reference.com/players/a/austiji01.shtml"">Jimmy Austin</a>",SLA,45,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/b/bagwebi01.shtml"">Bill Bagwell</a>",PHA,30,54,50,4,15,0,19,10,2,0,2,.300,.327,.380,.707,.326,-0.10
"<a href=""https://www.baseball-reference.com/players/b/ballowi01.shtml"">Win Ballou</a>",WS1,27,7,7,1,1,0,2,0,0,0,3,.143,.143,.286,.429,.185,-0.04
"<a href=""https://www.baseball-reference.com/players/b/bancrda01.shtml"">D. Bancroft</a>",BSN,34,560,479,75,153,2,204,49,64,7,22,.319,.400,.426,.826,.385,5.12
"<a href=""https://www.baseball-reference.com/players/b/barneje01.shtml"">Jesse Barnes</a>",BSN,32,87,81,11,16,1,19,10,3,0,6,.198,.226,.235,.461,.218,-0.05
"<a href=""https://www.baseball-reference.com/players/b/barnevi01.shtml"">V. Barnes</a>",NY1,28,91,89,4,9,0,9,0,0,0,26,.101,.101,.101,.202,.095,0.00
"<a href=""https://www.baseball-reference.com/players/b/barnhcl01.shtml"">C. Barnhart</a>",PIT,29,617,539,85,175,4,241,114,59,9,25,.325,.391,.447,.838,.387,2.52
"<a href=""https://www.baseball-reference.com/players/b/barrebi02.shtml"">Bill Barrett</a>",CHA,25,277,245,44,89,3,127,40,24,5,27,.363,.420,.518,.938,.427,0.00
"<a href=""https://www.baseball-reference.com/players/b/barrebo01.shtml"">Bob Barrett</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebarrebo01"" style=""display:none;""></input><label for=""footnotebarrebo01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbarrebo01"">CHN, BRO</div></span>",26,36,33,1,10,0,11,8,1,1,4,.303,.324,.333,.657,.297,-0.16
"<a href=""https://www.baseball-reference.com/players/b/bassljo01.shtml"">J. Bassler</a>",DET,30,433,344,40,96,0,121,52,74,1,6,.279,.408,.352,.760,.370,2.20
"<a href=""https://www.baseball-reference.com/players/b/batchjo01.shtml"">J. Batchelder</a>",BSN,26,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/b/baumgst01.shtml"">S. Baumgartner</a>",PHA,30,32,30,3,7,0,9,3,1,0,7,.233,.258,.300,.558,.259,0.00
"<a href=""https://www.baseball-reference.com/players/b/beallwa01.shtml"">Walter Beall</a>",NYA,25,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.06
"<a href=""https://www.baseball-reference.com/players/b/bedfoge01.shtml"">Gene Bedford</a>",CLE,28,3,3,1,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.08
"<a href=""https://www.baseball-reference.com/players/b/bellle01.shtml"">Les Bell</a>",SLN,23,639,586,80,167,11,247,88,43,4,47,.285,.334,.422,.755,.345,1.14
"<a href=""https://www.baseball-reference.com/players/b/bengera01.shtml"">Ray Benge</a>",CLE,23,5,5,1,2,0,2,0,0,0,1,.400,.400,.400,.800,.374,0.05
