Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/aaronha01.shtml"">Hank Aaron</a>",ML1,21,665,602,105,189,27,325,106,49,3,61,0.313953488372093,0.3662613981762918,0.5398671096345515,0.9061285078108433,0,6.24
"<a href=""https://www.baseball-reference.com/players/a/aberal01.shtml"">Al Aber</a>",DET,27,19,17,0,1,0,1,0,0,0,9,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0,-0.3
"<a href=""https://www.baseball-reference.com/players/a/abernte02.shtml"">Ted Abernathy</a>",WS1,22,30,26,1,4,0,4,0,0,0,6,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,0,0
"<a href=""https://www.baseball-reference.com/players/a/abramca01.shtml"">Cal Abrams</a>",BAL,31,407,309,56,75,6,111,32,89,2,69,0.24271844660194175,0.41336633663366334,0.3592233009708738,0.7725896376045371,0,1.83
"<a href=""https://www.baseball-reference.com/players/a/adamsbo03.shtml"">Bobby Adams</a>",2,33,201,171,31,43,2,66,23,24,2,25,0.25146198830409355,0.35175879396984927,0.38596491228070173,0.7377237062505511,0,1.93
"<a href=""https://www.baseball-reference.com/players/a/adcocjo01.shtml"">Joe Adcock</a>",ML1,27,324,288,40,76,15,135,45,31,0,44,0.2638888888888889,0.3385093167701863,0.46875,0.8072593167701863,0,0.62
"<a href=""https://www.baseball-reference.com/players/a/agganha01.shtml"">Harry Agganis</a>",BOS,26,94,83,11,26,0,38,10,10,2,10,0.3132530120481928,0.3829787234042553,0.4578313253012048,0.8408100487054602,0,0.78
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",CLE,24,4,4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,-0.08
"<a href=""https://www.baseball-reference.com/players/a/alstoto01.shtml"">Tom Alston</a>",SLN,29,8,8,0,1,0,1,0,0,0,0,0.125,0.125,0.125,0.25,0,-0.08
"<a href=""https://www.baseball-reference.com/players/a/altobjo01.shtml"">Joe Altobelli</a>",CLE,23,84,75,8,15,2,24,5,5,0,14,0.2,0.25925925925925924,0.32,0.5792592592592593,0,-0.55
"<a href=""https://www.baseball-reference.com/players/a/amalfjo01.shtml"">Joey Amalfitano</a>",NY1,21,24,22,8,5,0,8,1,2,0,2,0.22727272727272727,0.2916666666666667,0.36363636363636365,0.6553030303030303,0,-0.1
"<a href=""https://www.baseball-reference.com/players/a/amorosa01.shtml"">Sandy Amoros</a>",BRO,25,455,388,59,96,10,156,51,55,10,45,0.24742268041237114,0.3465783664459161,0.4020618556701031,0.7486402221160192,0,0
"<a href=""https://www.baseball-reference.com/players/a/andrejo01.shtml"">John Andre</a>",CHN,32,9,9,0,1,0,1,0,0,0,4,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0,-0.09
"<a href=""https://www.baseball-reference.com/players/a/antonjo02.shtml"">Johnny Antonelli</a>",NY1,25,90,82,8,17,4,30,15,3,0,18,0.2073170731707317,0.22988505747126436,0.36585365853658536,0.5957387160078498,0,0.21
