Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/b/beckebe01.shtml"">Beals Becker</a>",PHI,27,561,514,76,167,9,229,66,37,16,59,.325,.370,.446,.816,.390,3.15
"<a href=""https://www.baseball-reference.com/players/b/beckfr02.shtml"">Fred Beck</a>",CHF,27,621,555,51,155,11,219,77,44,9,66,.279,.341,.395,.736,.356,1.25
"<a href=""https://www.baseball-reference.com/players/b/beckzi01.shtml"">Zinn Beck</a>",SLN,28,504,457,42,106,3,152,45,28,14,32,.232,.282,.333,.615,.297,1.56
"<a href=""https://www.baseball-reference.com/players/b/bediehu01.shtml"">Hugh Bedient</a>",BOS,24,55,50,3,5,0,5,5,4,0,34,.100,.167,.100,.267,.143,-0.38
"<a href=""https://www.baseball-reference.com/players/b/bendech01.shtml"">Chief Bender</a>",PHA,30,70,62,4,9,1,13,8,4,0,13,.145,.197,.210,.407,.203,0.05
"<a href=""https://www.baseball-reference.com/players/b/bentlja01.shtml"">Jack Bentley</a>",WS1,19,40,40,7,11,0,13,4,0,0,5,.275,.275,.325,.600,.286,0.00
"<a href=""https://www.baseball-reference.com/players/b/bentoru01.shtml"">Rube Benton</a>",CIN,24,95,91,4,13,0,17,7,1,1,31,.143,.152,.187,.339,.162,-0.45
"<a href=""https://www.baseball-reference.com/players/b/benzjo01.shtml"">Joe Benz</a>",CHA,28,97,92,5,12,0,15,1,1,1,29,.130,.140,.163,.303,.146,-0.50
"<a href=""https://www.baseball-reference.com/players/b/bergecl01.shtml"">C. Berger</a>",PIT,19,14,13,2,1,0,1,0,1,0,4,.077,.143,.077,.220,.121,-0.33
"<a href=""https://www.baseball-reference.com/players/b/bergejo01.shtml"">Joe Berger</a>",CHA,27,166,148,11,23,0,28,3,13,2,9,.155,.224,.189,.413,.210,-0.34
"<a href=""https://www.baseball-reference.com/players/b/berghma01.shtml"">M. Berghammer</a>",CIN,26,123,112,15,25,0,27,6,10,4,18,.223,.287,.241,.528,.264,0.27
"<a href=""https://www.baseball-reference.com/players/b/berrycl01.shtml"">Claude Berry</a>",PTF,34,454,411,35,98,2,140,36,26,6,50,.238,.284,.341,.624,.300,0.71
"<a href=""https://www.baseball-reference.com/players/b/beschbo01.shtml"">Bob Bescher</a>",NY1,30,571,512,82,138,6,187,35,45,36,48,.270,.336,.365,.701,.341,2.58
"<a href=""https://www.baseball-reference.com/players/b/betzebr01.shtml"">Bruno Betzel</a>",SLN,19,10,9,2,0,0,0,0,1,0,1,.000,.100,.000,.100,.073,-0.06
"<a href=""https://www.baseball-reference.com/players/b/billiha01.shtml"">H. Billiard</a>",IND,30,40,38,1,7,0,8,1,2,1,14,.184,.225,.211,.436,.216,-0.11
"<a href=""https://www.baseball-reference.com/players/b/billijo01.shtml"">J. Billings</a>",CLE,22,9,8,2,2,0,3,0,1,1,1,.250,.333,.375,.708,.343,-0.15
"<a href=""https://www.baseball-reference.com/players/b/birmijo01.shtml"">J. Birmingham</a>",CLE,29,50,47,2,6,0,6,4,2,0,5,.128,.163,.128,.291,.148,-0.84
"<a href=""https://www.baseball-reference.com/players/b/bisholl01.shtml"">Lloyd Bishop</a>",CLE,24,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/b/bislari01.shtml"">R. Bisland</a>",CLE,24,64,57,9,6,0,7,2,6,2,2,.105,.190,.123,.313,.168,-0.43
"<a href=""https://www.baseball-reference.com/players/b/blackda01.shtml"">Dave Black</a>",CHF,20,8,7,0,2,0,2,0,1,0,0,.286,.375,.286,.661,.332,0.00
"<a href=""https://www.baseball-reference.com/players/b/blackle01.shtml"">L. Blackburne</a>",CHA,27,577,474,52,105,1,128,35,66,25,58,.222,.324,.270,.594,.300,2.21
"<a href=""https://www.baseball-reference.com/players/b/blairwa01.shtml"">Walter Blair</a>",BUF,30,416,378,22,92,0,107,33,32,6,64,.243,.304,.283,.587,.290,0.52
"<a href=""https://www.baseball-reference.com/players/b/blandfr01.shtml"">F. Blanding</a>",CLE,26,39,39,2,4,0,6,1,0,0,10,.103,.103,.154,.256,.120,-0.27
"<a href=""https://www.baseball-reference.com/players/b/blockbr01.shtml"">Bruno Block</a>",CHF,29,117,105,8,21,0,27,14,11,1,17,.200,.276,.257,.533,.266,-0.31
"<a href=""https://www.baseball-reference.com/players/b/bluejji01.shtml"">J. Bluejacket</a>",BRF,26,24,22,1,3,0,4,1,2,0,0,.136,.208,.182,.390,.199,0.00
"<a href=""https://www.baseball-reference.com/players/b/boardch01.shtml"">C. Boardman</a>",PHA,21,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,-0.04
"<a href=""https://www.baseball-reference.com/players/b/bodiepi01.shtml"">Ping Bodie</a>",CHA,26,383,327,21,75,3,103,29,21,12,35,.229,.278,.315,.593,.288,0.11
"<a href=""https://www.baseball-reference.com/players/b/boehlge01.shtml"">G. Boehler</a>",DET,22,18,17,2,3,0,5,3,1,1,4,.176,.222,.294,.516,.247,0.07
"<a href=""https://www.baseball-reference.com/players/b/boehljo01.shtml"">Joe Boehling</a>",WS1,23,79,71,10,17,0,21,7,5,0,17,.239,.299,.296,.594,.292,0.00
"<a href=""https://www.baseball-reference.com/players/b/bohenpa01.shtml"">Pat Bohen</a>",PIT,23,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/b/boldch01.shtml"">Charlie Bold</a>",SLA,19,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/b/boninlu01.shtml"">Luther Bonin</a>",BUF,26,85,76,6,14,0,20,4,7,3,11,.184,.253,.263,.516,.255,-0.48
"<a href=""https://www.baseball-reference.com/players/b/booeev01.shtml"">Everett Booe</a>",2,22,310,272,34,61,0,75,20,28,12,56,.224,.299,.276,.575,.284,0.00
"<a href=""https://www.baseball-reference.com/players/b/boonelu01.shtml"">Luke Boone</a>",NYA,24,413,370,34,82,0,94,21,31,10,41,.222,.285,.254,.539,.268,0.05
"<a href=""https://www.baseball-reference.com/players/b/bouchal01.shtml"">Al Boucher</a>",SLF,32,593,516,62,119,2,159,49,52,13,88,.231,.304,.308,.612,.301,-2.14
"<a href=""https://www.baseball-reference.com/players/b/bouchme01.shtml"">M. Boucher</a>",2,28,18,17,2,5,0,8,2,1,0,1,.294,.333,.471,.804,.307,-0.01
"<a href=""https://www.baseball-reference.com/players/b/bowdeti01.shtml"">Tim Bowden</a>",SLA,22,10,9,0,2,0,2,0,1,0,6,.222,.300,.222,.522,.265,-0.04
"<a href=""https://www.baseball-reference.com/players/b/bowmaab01.shtml"">Abe Bowman</a>",CLE,21,21,21,0,1,0,1,0,0,0,8,.048,.048,.048,.095,.046,-0.29
"<a href=""https://www.baseball-reference.com/players/b/bradlbi01.shtml"">Bill Bradley</a>",BRF,36,6,6,1,3,0,4,3,0,0,0,.500,.500,.667,1.167,.552,0.11
"<a href=""https://www.baseball-reference.com/players/b/bradlhu01.shtml"">Hugh Bradley</a>",PTF,29,480,427,41,131,0,163,61,27,7,27,.307,.359,.382,.741,.358,0.00
"<a href=""https://www.baseball-reference.com/players/b/brainfr01.shtml"">F. Brainard</a>",NY1,22,7,5,1,1,0,1,0,1,0,0,.200,.333,.200,.533,.282,0.01
"<a href=""https://www.baseball-reference.com/players/b/brennad01.shtml"">Ad Brennan</a>",CHF,26,34,32,2,8,0,11,3,0,0,6,.250,.250,.344,.594,.281,0.00
"<a href=""https://www.baseball-reference.com/players/b/bresnro01.shtml"">R. Bresnahan</a>",CHN,35,311,248,42,69,0,87,24,49,14,20,.278,.401,.351,.752,.373,2.52
"<a href=""https://www.baseball-reference.com/players/b/bressru01.shtml"">R. Bressler</a>",PHA,19,60,51,6,11,0,14,4,6,0,7,.216,.310,.275,.585,.293,0.48
"<a href=""https://www.baseball-reference.com/players/b/bretoji01.shtml"">Jim Breton</a>",CHA,22,269,231,21,49,0,60,24,24,9,42,.212,.292,.260,.552,.276,0.31
"<a href=""https://www.baseball-reference.com/players/b/bridwal01.shtml"">Al Bridwell</a>",SLF,30,478,381,46,90,1,109,33,71,9,18,.236,.359,.286,.645,.326,0.25
"<a href=""https://www.baseball-reference.com/players/b/bronkhe01.shtml"">H. Bronkie</a>",CHN,29,1,1,1,1,0,2,1,0,0,0,1.000,1.000,2.000,3.000,1.395,0.08
"<a href=""https://www.baseball-reference.com/players/b/brownbo01.shtml"">B. Brown</a>",2,25,71,64,1,8,0,13,3,4,0,27,.125,.176,.203,.380,.187,-0.27
"<a href=""https://www.baseball-reference.com/players/b/brownde01.shtml"">Delos Brown</a>",CHA,21,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/b/browndr01.shtml"">D. Brown</a>",KCF,29,69,58,4,11,0,14,5,7,1,6,.190,.277,.241,.518,.262,-0.25
"<a href=""https://www.baseball-reference.com/players/b/brownel01.shtml"">Elmer Brown</a>",BRO,30,13,12,1,1,0,1,0,0,0,7,.083,.083,.083,.167,.080,-0.16
"<a href=""https://www.baseball-reference.com/players/b/brownmo01.shtml"">M. Brown</a>",2,37,84,78,6,19,0,21,7,4,1,12,.244,.280,.269,.550,.258,0.35
"<a href=""https://www.baseball-reference.com/players/b/buesar01.shtml"">Art Bues</a>",CHN,26,50,45,3,10,0,13,4,5,1,6,.222,.300,.289,.589,.291,0.05
"<a href=""https://www.baseball-reference.com/players/b/burnsed01.shtml"">Ed Burns</a>",PHI,26,164,139,8,36,0,47,16,20,5,12,.259,.352,.338,.690,.339,0.27
"<a href=""https://www.baseball-reference.com/players/b/burnsge01.shtml"">George Burns</a>",NY1,24,669,561,100,170,3,234,60,89,62,53,.303,.403,.417,.820,.397,6.48
"<a href=""https://www.baseball-reference.com/players/b/burnsge02.shtml"">George Burns</a>",DET,21,544,478,55,139,5,186,57,32,23,56,.291,.351,.389,.740,.358,0.00
"<a href=""https://www.baseball-reference.com/players/b/bushdo01.shtml"">Donie Bush</a>",DET,26,721,596,97,150,0,176,32,112,35,54,.252,.373,.295,.668,.337,5.39
