Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/allenmy01.shtml"">Myron Allen</a>",NY1,29,4,4,0,0,0,0,1,0,0,2,.000,.000,.000,.000,.000,-0.09
"<a href=""https://www.baseball-reference.com/players/a/allisdo01.shtml"">Doug Allison</a>",BL2,36,3,3,2,2,0,2,0,0,0,0,.667,.667,.667,1.333,.612,0.08
"<a href=""https://www.baseball-reference.com/players/a/ansonca01.shtml"">Cap Anson</a>",CHN,31,431,413,70,127,0,173,68,18,0,9,.308,.336,.419,.755,.340,2.25
"<a href=""https://www.baseball-reference.com/players/b/bakelje01.shtml"">J. Bakley</a>",PH4,19,32,26,4,5,0,6,2,6,0,0,.192,.344,.231,.575,.291,0.00
"<a href=""https://www.baseball-reference.com/players/b/bakerge01.shtml"">George Baker</a>",BL2,25,22,22,0,5,0,5,0,0,0,0,.227,.227,.227,.455,.209,-0.21
"<a href=""https://www.baseball-reference.com/players/b/bakerno01.shtml"">Norm Baker</a>",PT1,20,12,12,1,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-0.20
"<a href=""https://www.baseball-reference.com/players/b/bakerph01.shtml"">Phil Baker</a>",BL2,26,129,121,22,33,1,40,0,8,0,0,.273,.318,.331,.648,.300,0.37
"<a href=""https://www.baseball-reference.com/players/b/barnibi01.shtml"">Billy Barnie</a>",BL2,30,57,55,7,11,0,11,0,2,0,0,.200,.228,.200,.428,.203,-0.76
"<a href=""https://www.baseball-reference.com/players/b/barrbo01.shtml"">Bob Barr</a>",PT1,26,147,142,12,35,0,45,0,5,0,0,.246,.272,.317,.589,.268,0.00
"<a href=""https://www.baseball-reference.com/players/b/battijo01.shtml"">Joe Battin</a>",PT1,29,399,388,42,83,1,107,0,11,0,0,.214,.236,.276,.511,.233,0.00
"<a href=""https://www.baseball-reference.com/players/b/benedar01.shtml"">Art Benedict</a>",PHI,21,15,15,3,4,0,5,4,0,0,4,.267,.267,.333,.600,.270,-0.07
"<a href=""https://www.baseball-reference.com/players/b/bennech01.shtml"">C. Bennett</a>",DTN,28,397,371,56,113,5,176,55,26,0,59,.305,.350,.474,.825,.367,4.92
"<a href=""https://www.baseball-reference.com/players/b/birchju01.shtml"">Jud Birchall</a>",PH4,27,468,448,95,108,1,123,24,20,0,0,.241,.274,.275,.548,.255,-0.93
"<a href=""https://www.baseball-reference.com/players/b/blakibo01.shtml"">B. Blakiston</a>",PH4,27,176,167,26,41,0,50,26,9,0,0,.246,.284,.299,.583,.269,0.00
"<a href=""https://www.baseball-reference.com/players/b/bloggwe01.shtml"">Wes Blogg</a>",PT1,?,34,34,0,5,0,5,0,0,0,0,.147,.147,.147,.294,.135,-0.13
"<a href=""https://www.baseball-reference.com/players/b/bradlge01.shtml"">G. Bradley</a>",2,30,336,328,47,78,1,101,37,8,0,1,.238,.256,.308,.564,.253,-0.34
"<a href=""https://www.baseball-reference.com/players/b/bradyst01.shtml"">Steve Brady</a>",NY4,31,443,432,69,117,0,141,0,11,0,0,.271,.289,.326,.615,.280,1.49
"<a href=""https://www.baseball-reference.com/players/b/breital01.shtml"">A. Breitenst</a>",PHI,25,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.04
"<a href=""https://www.baseball-reference.com/players/b/briodfa01.shtml"">Fatty Briody</a>",CL2,24,148,145,23,34,0,41,10,3,0,13,.234,.250,.283,.533,.243,0.31
"<a href=""https://www.baseball-reference.com/players/b/brougca01.shtml"">C. Broughton</a>",2,22,45,42,3,8,0,8,1,3,0,2,.190,.244,.190,.435,.212,0.00
