Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbated01.shtml"">Ed Abbaticchio</a>",BSN,27,637,579,76,148,3,195,54,40,24,55,.256,.309,.337,.646,.311,.00
"<a href=""https://www.baseball-reference.com/players/a/abbotfr01.shtml"">Fred Abbott</a>",CLE,29,141,130,14,22,0,30,12,6,2,27,.169,.206,.231,.437,.211,-.35
"<a href=""https://www.baseball-reference.com/players/a/altroni01.shtml"">Nick Altrock</a>",CHA,27,123,111,13,22,1,26,8,4,0,22,.198,.239,.234,.474,.233,.24
"<a href=""https://www.baseball-reference.com/players/a/amesre01.shtml"">Red Ames</a>",NY1,21,43,40,3,5,0,6,3,3,0,15,.125,.186,.150,.336,.171,.00
"<a href=""https://www.baseball-reference.com/players/a/anderjo01.shtml"">John Anderson</a>",NYA,30,598,558,62,155,3,215,82,23,20,37,.278,.313,.385,.699,.333,3.19
"<a href=""https://www.baseball-reference.com/players/a/applefr01.shtml"">Fred Applegate</a>",PHA,25,8,7,0,2,0,2,1,0,0,3,.286,.286,.286,.571,.272,.02
"<a href=""https://www.baseball-reference.com/players/a/archeji01.shtml"">Jimmy Archer</a>",PIT,21,20,20,1,3,0,3,1,0,0,4,.150,.150,.150,.300,.143,.00
"<a href=""https://www.baseball-reference.com/players/b/babbch01.shtml"">Charlie Babb</a>",BRO,31,595,521,49,138,0,162,53,53,34,72,.265,.345,.311,.656,.322,3.04
"<a href=""https://www.baseball-reference.com/players/b/baderar01.shtml"">Art Bader</a>",SLA,17,4,3,0,0,0,0,0,1,0,1,.000,.250,.000,.250,.180,-.03
"<a href=""https://www.baseball-reference.com/players/b/barclge01.shtml"">George Barclay</a>",2,28,503,468,46,96,1,119,38,14,17,42,.205,.241,.254,.495,.227,-1.64
"<a href=""https://www.baseball-reference.com/players/b/barreji01.shtml"">Jimmy Barrett</a>",DET,29,714,624,83,167,0,187,31,79,15,91,.268,.353,.300,.652,.321,3.14
"<a href=""https://www.baseball-reference.com/players/b/barrysh01.shtml"">Shad Barry</a>",2,25,428,385,44,94,1,110,29,28,14,25,.244,.300,.286,.586,.284,.00
"<a href=""https://www.baseball-reference.com/players/b/barthjo01.shtml"">John Barthold</a>",PHA,22,3,3,0,1,0,3,2,0,0,0,.333,.333,1.000,1.333,.601,.09
"<a href=""https://www.baseball-reference.com/players/b/batchem01.shtml"">Emil Batch</a>",BRO,24,98,94,9,24,2,35,7,1,6,9,.255,.271,.372,.643,.306,.46
"<a href=""https://www.baseball-reference.com/players/b/bayha01.shtml"">Harry Bay</a>",CLE,26,563,506,69,122,3,161,36,43,38,79,.241,.307,.318,.625,.304,2.10
"<a href=""https://www.baseball-reference.com/players/b/beaumgi01.shtml"">Ginger Beaumont</a>",PIT,27,673,615,97,185,3,230,54,34,28,22,.301,.338,.374,.712,.340,2.74
"<a href=""https://www.baseball-reference.com/players/b/becklja01.shtml"">Jake Beckley</a>",SLN,36,610,551,72,179,1,222,67,35,17,31,.325,.375,.403,.778,.372,4.21
"<a href=""https://www.baseball-reference.com/players/b/bemisha01.shtml"">Harry Bemis</a>",CLE,30,362,336,35,76,0,99,25,8,6,46,.226,.259,.295,.554,.266,.68
"<a href=""https://www.baseball-reference.com/players/b/bendech01.shtml"">Chief Bender</a>",PHA,20,87,79,8,18,0,25,5,5,3,12,.228,.282,.316,.599,.289,.46
"<a href=""https://www.baseball-reference.com/players/b/bergebi01.shtml"">Bill Bergen</a>",BRO,26,347,329,17,60,0,68,12,9,3,49,.182,.204,.207,.411,.198,-.61
