Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsgl01.shtml"">Glenn Adams</a>",TOR,34,73,66,2,17,1,24,11,4,0,5,.258,.288,.364,.651,.287,-0.54
"<a href=""https://www.baseball-reference.com/players/a/adamsri02.shtml"">Ricky Adams</a>",CAL,23,16,14,1,2,0,2,0,0,1,2,.143,.200,.143,.343,.170,-0.16
"<a href=""https://www.baseball-reference.com/players/a/aguaylu01.shtml"">Luis Aguayo</a>",PHI,23,63,56,11,15,3,29,7,5,1,7,.268,.339,.518,.857,.371,0.00
"<a href=""https://www.baseball-reference.com/players/a/aikenwi01.shtml"">W. Aikens</a>",KCA,27,519,466,50,131,17,213,74,45,0,70,.281,.345,.457,.802,.352,1.59
"<a href=""https://www.baseball-reference.com/players/a/allenga01.shtml"">G. Allenson</a>",BOS,27,307,264,25,54,6,83,33,38,0,39,.205,.306,.314,.620,.288,0.82
"<a href=""https://www.baseball-reference.com/players/a/allenne01.shtml"">Neil Allen</a>",NYN,24,9,6,1,1,0,1,0,2,0,2,.167,.375,.167,.542,.289,0.18
"<a href=""https://www.baseball-reference.com/players/a/almonbi01.shtml"">Bill Almon</a>",CHA,29,336,308,40,79,4,109,26,25,10,49,.256,.313,.354,.667,.303,0.00
"<a href=""https://www.baseball-reference.com/players/a/altampo01.shtml"">P. Altamirano</a>",PHI,30,4,4,1,1,0,1,0,0,0,0,.250,.250,.250,.500,.226,0.05
"<a href=""https://www.baseball-reference.com/players/a/andujjo01.shtml"">J. Andujar</a>",SLN,29,104,95,3,15,0,18,4,0,1,44,.158,.158,.189,.347,.155,-0.30
"<a href=""https://www.baseball-reference.com/players/a/armasto01.shtml"">Tony Armas</a>",OAK,28,578,536,58,125,28,232,89,33,2,128,.233,.275,.433,.708,.308,2.21
"<a href=""https://www.baseball-reference.com/players/a/ashbyal01.shtml"">Alan Ashby</a>",HOU,30,372,339,40,87,12,141,49,27,2,53,.257,.311,.416,.727,.320,0.65
"<a href=""https://www.baseball-reference.com/players/a/ayalabe01.shtml"">Benny Ayala</a>",BAL,31,133,128,17,39,6,63,24,5,1,14,.305,.331,.492,.823,.359,0.67
"<a href=""https://www.baseball-reference.com/players/b/backmwa01.shtml"">W. Backman</a>",NYN,22,312,261,37,71,3,97,22,49,8,47,.272,.387,.372,.759,.350,1.36
"<a href=""https://www.baseball-reference.com/players/b/bailobo01.shtml"">Bob Bailor</a>",NYN,30,404,376,44,104,0,120,31,20,20,17,.277,.313,.319,.633,.288,1.95
"<a href=""https://www.baseball-reference.com/players/b/baineha01.shtml"">H. Baines</a>",CHA,23,668,608,89,165,25,285,105,49,10,95,.271,.321,.469,.790,.342,0.00
"<a href=""https://www.baseball-reference.com/players/b/bairdo01.shtml"">Doug Bair</a>",SLN,32,15,13,0,1,0,1,0,0,0,3,.077,.077,.077,.154,.070,0.00
