Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abnersh01.shtml"">Shawn Abner</a>",SDN,22,89,83,6,15,2,24,5,4,0,19,0.18072289156626506,0.2247191011235955,0.2891566265060241,0.5138757276296195,0,0
"<a href=""https://www.baseball-reference.com/players/a/ackerji01.shtml"">Jim Acker</a>",ATL,29,6,5,0,2,0,2,0,1,0,1,0.4,0.5,0.4,0.9,0,0
"<a href=""https://www.baseball-reference.com/players/a/adducji01.shtml"">Jim Adduci</a>",ML4,28,97,94,8,25,1,36,15,0,0,15,0.26595744680851063,0.25773195876288657,0.3829787234042553,0.6407106821671419,0,0
"<a href=""https://www.baseball-reference.com/players/a/agostju01.shtml"">Juan Agosto</a>",HOU,30,6,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
"<a href=""https://www.baseball-reference.com/players/a/aguaylu01.shtml"">Luis Aguayo</a>",2,29,260,237,21,59,6,84,13,20,2,50,0.2489451476793249,0.3088803088803089,0.35443037974683544,0.6633106886271443,0,0
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">Rick Aguilera</a>",NYN,26,4,4,1,1,0,1,0,0,0,1,0.25,0.25,0.25,0.5,0,0
"<a href=""https://www.baseball-reference.com/players/a/aldremi01.shtml"">Mike Aldrete</a>",SFN,27,449,389,44,104,3,128,50,56,6,65,0.26735218508997427,0.35714285714285715,0.32904884318766064,0.6861917003305178,0,0
"<a href=""https://www.baseball-reference.com/players/a/alicelu01.shtml"">Luis Alicea</a>",SLN,22,330,297,20,63,1,84,24,25,1,32,0.21212121212121213,0.27607361963190186,0.2828282828282828,0.5589019024601847,0,0
"<a href=""https://www.baseball-reference.com/players/a/allanan01.shtml"">Andy Allanson</a>",CLE,26,474,434,44,114,5,140,50,25,5,63,0.2626728110599078,0.30472103004291845,0.3225806451612903,0.6273016752042088,0,0
"<a href=""https://www.baseball-reference.com/players/a/allenro02.shtml"">Rod Allen</a>",CLE,28,11,11,1,1,0,2,0,0,0,2,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0,0
"<a href=""https://www.baseball-reference.com/players/a/almonbi01.shtml"">Bill Almon</a>",PHI,35,31,26,1,3,0,5,1,3,0,11,0.11538461538461539,0.20689655172413793,0.19230769230769232,0.39920424403183025,0,0
"<a href=""https://www.baseball-reference.com/players/a/alomaro01.shtml"">Roberto Alomar</a>",SDN,20,611,545,84,145,9,208,41,47,24,83,0.26605504587155965,0.3277310924369748,0.381651376146789,0.7093824685837637,0,0
"<a href=""https://www.baseball-reference.com/players/a/alomasa02.shtml"">Sandy Alomar</a>",SDN,22,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0
"<a href=""https://www.baseball-reference.com/players/a/alvarjo01.shtml"">Jose Alvarez</a>",ATL,32,10,8,0,3,0,3,0,1,0,0,0.375,0.4444444444444444,0.375,0.8194444444444444,0,0
"<a href=""https://www.baseball-reference.com/players/a/anderbr01.shtml"">Brady Anderson</a>",2,24,364,325,31,69,1,93,21,23,10,75,0.2123076923076923,0.2719546742209632,0.28615384615384615,0.5581085203748093,0,0
