Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbated01.shtml"">E. Abbaticchio</a>",BSN,28,658,610,70,170,3,228,41,35,30,51,.279,.326,.374,.700,.337,0.00
"<a href=""https://www.baseball-reference.com/players/a/abbotfr01.shtml"">Fred Abbott</a>",PHI,30,143,128,9,25,0,33,12,6,4,23,.195,.248,.258,.506,.249,-0.18
"<a href=""https://www.baseball-reference.com/players/a/ablesha01.shtml"">Harry Ables</a>",SLA,21,10,10,0,0,0,0,0,0,0,4,.000,.000,.000,.000,.000,-0.16
"<a href=""https://www.baseball-reference.com/players/a/adamsri01.shtml"">Rick Adams</a>",WS1,26,27,23,1,4,0,4,0,4,0,5,.174,.296,.174,.470,.250,0.11
"<a href=""https://www.baseball-reference.com/players/a/altroni01.shtml"">Nick Altrock</a>",CHA,28,126,112,8,14,0,15,5,6,0,19,.125,.190,.134,.324,.170,-0.21
"<a href=""https://www.baseball-reference.com/players/a/amesre01.shtml"">Red Ames</a>",NY1,22,107,97,6,14,0,20,7,4,0,40,.144,.178,.206,.384,.187,0.00
"<a href=""https://www.baseball-reference.com/players/a/anderjo01.shtml"">J. Anderson</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnoteanderjo01"" style=""display:none;""></input><label for=""footnoteanderjo01"" class=""footnoteLabel"">2</label><div id=""footnoteDivanderjo01"">NYA, WS1</div></span>",31,536,499,62,139,1,180,52,30,31,38,.279,.323,.361,.684,.326,2.66
"<a href=""https://www.baseball-reference.com/players/a/armbrch01.shtml"">C. Armbruster</a>",BOS,24,111,91,13,18,0,22,6,18,3,14,.198,.336,.242,.578,.299,0.06
"<a href=""https://www.baseball-reference.com/players/a/arndtha01.shtml"">Harry Arndt</a>",SLN,26,451,415,40,101,2,130,36,24,13,37,.243,.290,.313,.603,.293,-0.32
"<a href=""https://www.baseball-reference.com/players/b/babbch01.shtml"">Charlie Babb</a>",BRO,32,279,235,27,44,0,56,17,27,10,38,.187,.303,.238,.541,.279,-0.58
"<a href=""https://www.baseball-reference.com/players/b/bakerer01.shtml"">Ernie Baker</a>",CIN,29,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.04
"<a href=""https://www.baseball-reference.com/players/b/barbeja01.shtml"">Jap Barbeau</a>",CLE,23,40,37,1,10,0,13,2,1,1,6,.270,.289,.351,.641,.305,0.02
"<a href=""https://www.baseball-reference.com/players/b/barclge01.shtml"">G. Barclay</a>",BSN,29,112,108,5,19,0,20,7,2,2,7,.176,.205,.185,.391,.193,-1.32
