playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
aberscl01,1949,1,CHN,NL,4,7,0,0,0,0,0,0,0,,0,2,,0,0,,1
abramca01,1949,1,BRO,NL,8,24,6,2,1,0,0,0,1,,7,6,,0,0,,1
adamsbo03,1949,1,CIN,NL,107,277,32,70,16,2,0,25,4,,26,36,,0,5,,6
adamshe01,1949,1,CHA,AL,56,208,26,61,5,3,0,16,1,2,9,16,,0,1,,3
adkinde01,1949,1,CHN,NL,30,20,1,4,1,0,1,2,0,,0,10,,0,0,,0
albreed01,1949,1,SLA,AL,1,2,0,0,0,0,0,0,0,0,1,1,,0,0,,1
anderan01,1949,1,SLA,AL,71,136,10,17,3,0,1,5,0,1,14,21,,0,2,,4
antonjo02,1949,1,BSN,NL,22,25,0,3,0,0,0,0,0,,1,9,,0,5,,0
applilu01,1949,1,CHA,AL,142,492,82,148,21,5,5,58,7,12,121,24,,0,6,,23
arftha01,1949,1,SLA,AL,6,5,1,1,1,0,0,2,0,0,0,1,,0,0,,0
ashburi01,1949,1,PHI,NL,154,662,84,188,18,11,1,37,9,,58,38,,1,7,,7
astrojo01,1949,1,PHA,AL,55,148,18,36,4,1,0,12,1,0,21,13,,0,1,,6
avilabo01,1949,1,CLE,AL,31,14,3,3,0,0,0,3,0,0,1,3,,0,0,,1
bakerbi01,1949,1,SLN,NL,20,30,2,4,1,0,0,4,0,,2,2,,0,0,,0
bakerfl01,1949,1,CHA,AL,125,388,38,101,15,4,1,40,3,1,84,32,,0,2,,3
bantaja01,1949,1,BRO,NL,48,46,2,5,1,0,0,1,0,,3,9,,0,1,,1
barnere02,1949,1,BRO,NL,38,47,3,10,1,0,0,2,0,,1,14,,0,3,,0
barrere01,1949,1,BSN,NL,23,5,0,1,0,0,0,0,0,,0,2,,0,0,,0
basgamo01,1949,1,PIT,NL,107,308,25,67,9,1,2,26,1,,31,32,,1,4,,7
battsma01,1949,1,BOS,AL,60,157,23,38,9,1,3,31,1,0,25,22,,1,0,,4
bauerha01,1949,1,NYA,AL,103,301,56,82,6,6,10,45,2,2,37,42,,1,5,,9
baumeji01,1949,1,CHA,AL,8,10,2,4,1,1,0,2,0,0,2,1,,2,0,,0
baumhfr01,1949,1,CIN,NL,27,81,12,19,5,3,1,8,0,,6,8,,1,3,,2
baumhfr01,1949,2,CHN,NL,58,164,15,37,4,2,1,15,2,,9,21,,1,4,,0
beardge01,1949,1,CLE,AL,32,45,3,5,0,0,0,1,0,0,2,11,,0,2,,0
beardte01,1949,1,PIT,NL,14,24,1,2,0,0,0,1,0,,2,2,,0,0,,0
beazljo01,1949,1,BSN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
behrmha01,1949,1,NY1,NL,43,13,0,1,0,0,0,0,0,,1,4,,0,0,,0
bentoal01,1949,1,CLE,AL,40,38,1,5,0,0,0,1,0,0,1,11,,0,3,,1
berarjo01,1949,1,CLE,AL,50,116,11,23,6,1,0,13,0,1,14,14,,2,2,,1
