Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotky01.shtml"">Kyle Abbott</a>",PHI,24,36,29,1,2,0,3,2,1,0,18,.069,.100,.103,.203,.098,-0.11
"<a href=""https://www.baseball-reference.com/players/a/abnersh01.shtml"">Shawn Abner</a>",CHA,26,228,208,21,58,1,73,16,12,1,35,.279,.323,.351,.674,.304,1.88
"<a href=""https://www.baseball-reference.com/players/a/afenitr01.shtml"">Troy Afenir</a>",CIN,28,40,34,3,6,0,11,4,5,0,12,.176,.282,.324,.606,.280,0.20
"<a href=""https://www.baseball-reference.com/players/a/agostju01.shtml"">Juan Agosto</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteagostju01"" style=""display:none;""></input><label for=""footnoteagostju01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivagostju01"">SLN, SEA</div></span>",34,4,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,-0.04
"<a href=""https://www.baseball-reference.com/players/a/alexama02.shtml"">M. Alexander</a>",BAL,21,5,5,1,1,0,1,0,0,0,3,.200,.200,.200,.400,.182,0.00
"<a href=""https://www.baseball-reference.com/players/a/alicelu01.shtml"">Luis Alicea</a>",SLN,26,302,265,26,65,2,102,32,27,2,40,.245,.320,.385,.705,.318,1.50
"<a href=""https://www.baseball-reference.com/players/a/allanan01.shtml"">A. Allanson</a>",ML4,30,28,25,6,8,0,9,0,1,3,2,.320,.346,.360,.706,.323,-0.13
"<a href=""https://www.baseball-reference.com/players/a/alomaro01.shtml"">R. Alomar</a>",TOR,24,671,571,105,177,8,244,76,87,49,52,.310,.405,.427,.832,.379,0.00
"<a href=""https://www.baseball-reference.com/players/a/alomasa02.shtml"">Sandy Alomar</a>",CLE,26,320,299,22,75,2,97,26,13,3,32,.251,.293,.324,.618,.280,0.00
"<a href=""https://www.baseball-reference.com/players/a/aloumo01.shtml"">Moises Alou</a>",MON,25,377,341,53,96,9,155,56,25,16,46,.282,.328,.455,.783,.350,2.49
"<a href=""https://www.baseball-reference.com/players/a/amarari01.shtml"">Rich Amaral</a>",SEA,30,109,100,9,24,1,30,7,5,4,16,.240,.276,.300,.576,.266,-0.37
"<a href=""https://www.baseball-reference.com/players/a/amaroru02.shtml"">Ruben Amaro</a>",PHI,27,426,374,43,82,7,130,34,37,11,54,.219,.303,.348,.651,.300,0.38
"<a href=""https://www.baseball-reference.com/players/a/anderbr01.shtml"">B. Anderson</a>",BAL,28,749,623,100,169,21,280,80,98,53,98,.271,.373,.449,.823,.366,5.18
"<a href=""https://www.baseball-reference.com/players/a/anderda02.shtml"">D. Anderson</a>",LAN,31,91,84,10,24,3,37,8,4,0,11,.286,.311,.440,.752,.335,0.12
"<a href=""https://www.baseball-reference.com/players/a/anderla02.shtml"">L. Andersen</a>",SDN,39,2,1,1,0,0,0,0,1,0,1,.000,.500,.000,.500,.353,0.03
"<a href=""https://www.baseball-reference.com/players/a/anthoer01.shtml"">Eric Anthony</a>",HOU,24,483,440,45,105,19,179,80,38,5,98,.239,.298,.407,.705,.315,1.07
"<a href=""https://www.baseball-reference.com/players/a/ariasal01.shtml"">Alex Arias</a>",CHN,24,113,99,14,29,0,35,7,11,0,13,.293,.375,.354,.729,.340,0.28
