Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,44,9,9,1,2,0,2,0,0,0,0,.222,.222,.222,.444,.209,-.01
"<a href=""https://www.baseball-reference.com/players/a/adamssp01.shtml"">Sparky Adams</a>",CHN,31,700,624,95,193,0,234,39,52,27,27,.309,.367,.375,.742,.352,.00
"<a href=""https://www.baseball-reference.com/players/a/adamssp02.shtml"">Spencer Adams</a>",NYA,28,28,25,7,3,0,4,1,3,1,7,.120,.214,.160,.374,.194,-.23
"<a href=""https://www.baseball-reference.com/players/a/aldrivi01.shtml"">Vic Aldridge</a>",PIT,32,75,71,8,16,0,19,7,0,1,6,.225,.225,.268,.493,.228,.03
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">Pete Alexander</a>",2,39,73,65,2,13,0,16,6,2,0,15,.200,.224,.246,.470,.211,-.04
"<a href=""https://www.baseball-reference.com/players/a/allenet01.shtml"">Ethan Allen</a>",CIN,22,13,13,3,4,0,5,0,0,0,3,.308,.308,.385,.692,.319,.00
"<a href=""https://www.baseball-reference.com/players/a/attredi01.shtml"">Dick Attreau</a>",PHI,29,69,61,9,14,0,17,5,6,0,5,.230,.299,.279,.577,.280,-.70
"<a href=""https://www.baseball-reference.com/players/a/austiji01.shtml"">Jimmy Austin</a>",SLA,46,2,2,1,1,0,2,1,0,1,0,.500,.500,1.000,1.500,.662,.08
"<a href=""https://www.baseball-reference.com/players/a/autrych02.shtml"">Chick Autry</a>",CLE,23,8,7,1,1,0,1,0,1,0,0,.143,.250,.143,.393,.211,-.06
"<a href=""https://www.baseball-reference.com/players/b/baeched01.shtml"">Ed Baecht</a>",PHI,19,14,14,1,2,0,2,0,0,0,6,.143,.143,.143,.286,.135,-.13
"<a href=""https://www.baseball-reference.com/players/b/ballowi01.shtml"">Win Ballou</a>",SLA,28,51,42,3,2,1,5,2,5,0,18,.048,.149,.119,.268,.145,-.45
"<a href=""https://www.baseball-reference.com/players/b/bancrda01.shtml"">Dave Bancroft</a>",BSN,35,541,453,70,141,1,174,44,64,3,29,.311,.399,.384,.783,.375,4.16
"<a href=""https://www.baseball-reference.com/players/b/barbeda01.shtml"">Dave Barbee</a>",PHA,21,50,47,7,8,1,14,5,2,0,4,.170,.220,.298,.518,.242,-.35
"<a href=""https://www.baseball-reference.com/players/b/barfocl01.shtml"">Clyde Barfoot</a>",DET,34,6,5,1,1,0,1,0,1,0,0,.200,.333,.200,.533,.281,.02
"<a href=""https://www.baseball-reference.com/players/b/barneho01.shtml"">Honey Barnes</a>",NYA,26,1,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,.745,.03
"<a href=""https://www.baseball-reference.com/players/b/barneje01.shtml"">Jesse Barnes</a>",BRO,33,61,59,3,14,0,15,4,1,0,5,.237,.250,.254,.504,.239,.10
"<a href=""https://www.baseball-reference.com/players/b/barnevi01.shtml"">Virgil Barnes</a>",NY1,29,57,56,1,3,0,3,1,0,0,15,.054,.054,.054,.107,.050,.00
"<a href=""https://www.baseball-reference.com/players/b/barnhcl01.shtml"">Clyde Barnhart</a>",PIT,30,234,203,26,39,0,42,10,23,1,13,.192,.278,.207,.484,.246,-1.67
"<a href=""https://www.baseball-reference.com/players/b/barrebi02.shtml"">Bill Barrett</a>",CHA,26,412,368,46,113,6,170,61,25,9,26,.307,.353,.462,.815,.375,.00
"<a href=""https://www.baseball-reference.com/players/b/bassljo01.shtml"">Johnny Bassler</a>",DET,31,227,174,20,53,0,63,22,45,0,6,.305,.447,.362,.810,.398,2.39
"<a href=""https://www.baseball-reference.com/players/b/baumgst01.shtml"">Stan Baumgartner</a>",PHA,31,4,3,0,1,0,2,2,0,0,0,.333,.333,.667,1.000,.441,.06
"<a href=""https://www.baseball-reference.com/players/b/beallwa01.shtml"">Walter Beall</a>",NYA,26,28,22,3,3,0,3,1,5,0,7,.136,.296,.136,.433,.243,.00
"<a href=""https://www.baseball-reference.com/players/b/beckcl01.shtml"">Clyde Beck</a>",CHN,26,91,81,10,16,1,19,4,7,0,15,.198,.261,.235,.496,.244,-.16
"<a href=""https://www.baseball-reference.com/players/b/bellhi01.shtml"">Hi Bell</a>",SLN,28,29,25,3,3,0,3,1,3,0,5,.120,.214,.120,.334,.181,-.12
"<a href=""https://www.baseball-reference.com/players/b/bellle01.shtml"">Les Bell</a>",SLN,24,666,581,85,189,17,301,100,54,9,62,.325,.383,.518,.901,.411,4.49
"<a href=""https://www.baseball-reference.com/players/b/bengera01.shtml"">Ray Benge</a>",CLE,24,3,3,1,1,0,2,0,0,0,0,.333,.333,.667,1.000,.441,.05
"<a href=""https://www.baseball-reference.com/players/b/bengobe01.shtml"">Benny Bengough</a>",NYA,27,95,84,9,32,0,38,14,7,1,4,.381,.435,.452,.887,.418,.92
"<a href=""https://www.baseball-reference.com/players/b/bennehe01.shtml"">Herschel Bennett</a>",SLA,29,254,225,33,60,1,81,26,22,2,21,.267,.337,.360,.697,.331,.06
"<a href=""https://www.baseball-reference.com/players/b/bentlja01.shtml"">Jack Bentley</a>",2,31,256,244,19,63,2,87,27,5,0,4,.258,.273,.357,.630,.263,-1.72
