Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsge01.shtml"">George Adams</a>",SR1,24,14,13,0,3,0,3,0,1,0,1,0.23076923076923078,0.2857142857142857,0.23076923076923078,0.5164835164835164,0,-0.05
"<a href=""https://www.baseball-reference.com/players/a/allenja01.shtml"">Jack Allen</a>",2,23,110,108,14,16,0,23,7,2,0,14,0.14814814814814814,0.16363636363636364,0.21296296296296297,0.3765993265993266,0,-0.35
"<a href=""https://www.baseball-reference.com/players/a/allisdo01.shtml"">Doug Allison</a>",PRO,32,5,5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,-0.09
"<a href=""https://www.baseball-reference.com/players/a/ansonca01.shtml"">Cap Anson</a>",CHN,27,229,227,40,72,0,94,34,2,0,2,0.31718061674008813,0.3231441048034934,0.41409691629955947,0.7372410211030529,0,2.15
"<a href=""https://www.baseball-reference.com/players/b/barnero01.shtml"">Ross Barnes</a>",CN1,29,339,323,55,86,1,102,30,16,0,25,0.26625386996904027,0.3008849557522124,0.3157894736842105,0.6166744294364229,0,1.68
"<a href=""https://www.baseball-reference.com/players/b/bondto01.shtml"">Tommy Bond</a>",BSN,23,263,257,35,62,0,67,21,6,0,8,0.24124513618677043,0.2585551330798479,0.2607003891050584,0.5192555221849062,0,0.02
"<a href=""https://www.baseball-reference.com/players/b/bradlge01.shtml"">George Bradley</a>",TRN,26,252,251,36,62,0,81,23,1,0,20,0.24701195219123506,0.25,0.32270916334661354,0.5727091633466135,0,0
"<a href=""https://www.baseball-reference.com/players/b/broutda01.shtml"">Dan Brouthers</a>",TRN,21,169,168,17,46,4,72,17,1,0,18,0.27380952380952384,0.2781065088757396,0.42857142857142855,0.7066779374471681,0,0.31
"<a href=""https://www.baseball-reference.com/players/b/brownle01.shtml"">Lew Brown</a>",2,21,255,250,25,65,2,93,41,5,0,28,0.26,0.27450980392156865,0.372,0.6465098039215686,0,1.0
"<a href=""https://www.baseball-reference.com/players/b/burdoja01.shtml"">Jack Burdock</a>",BSN,27,368,359,64,86,0,102,36,9,0,28,0.2395543175487465,0.25815217391304346,0.2841225626740947,0.5422747365871381,0,0
"<a href=""https://www.baseball-reference.com/players/b/burkemi01.shtml"">Mike Burke</a>",CN1,?,119,117,13,26,0,29,8,2,0,5,0.2222222222222222,0.23529411764705882,0.24786324786324787,0.4831573655103067,0,-0.32
"<a href=""https://www.baseball-reference.com/players/c/careyto01.shtml"">Tom Carey</a>",CL2,32,340,335,30,80,0,96,32,5,0,20,0.23880597014925373,0.25,0.2865671641791045,0.5365671641791045,0,0.62
"<a href=""https://www.baseball-reference.com/players/c/carpehi01.shtml"">Hick Carpenter</a>",SR1,23,263,261,30,53,0,59,20,2,0,15,0.20306513409961685,0.20912547528517111,0.2260536398467433,0.43517911513191443,0,-0.68
"<a href=""https://www.baseball-reference.com/players/c/caskied01.shtml"">Ed Caskin</a>",TRN,27,306,304,32,78,0,95,21,2,0,14,0.2565789473684211,0.26143790849673204,0.3125,0.573937908496732,0,1.31
"<a href=""https://www.baseball-reference.com/players/c/cassijo01.shtml"">John Cassidy</a>",TRN,?,39,37,4,7,0,8,1,2,0,4,0.1891891891891892,0.23076923076923078,0.21621621621621623,0.446985446985447,0,-0.18
"<a href=""https://www.baseball-reference.com/players/c/clappaa01.shtml"">Aaron Clapp</a>",TRN,22,152,146,24,39,0,54,18,6,0,10,0.2671232876712329,0.29605263157894735,0.3698630136986301,0.6659156452775774,0,0.19
"<a href=""https://www.baseball-reference.com/players/c/clappjo01.shtml"">John Clapp</a>",BFN,27,303,292,47,77,1,102,36,11,0,11,0.2636986301369863,0.29042904290429045,0.3493150684931507,0.6397441113974411,0,2.43
"<a href=""https://www.baseball-reference.com/players/c/cogswed01.shtml"">Ed Cogswell</a>",BSN,25,244,236,51,76,1,89,18,8,0,5,0.3220338983050847,0.3442622950819672,0.3771186440677966,0.7213809391497639,0,1.84
"<a href=""https://www.baseball-reference.com/players/c/creamge01.shtml"">George Creamer</a>",SR1,?,61,60,3,13,0,15,3,1,0,2,0.21666666666666667,0.22950819672131148,0.25,0.4795081967213115,0,-0.18
"<a href=""https://www.baseball-reference.com/players/c/crowlbi01.shtml"">Bill Crowley</a>",BFN,22,267,261,41,75,0,94,30,6,0,14,0.28735632183908044,0.30337078651685395,0.36015325670498083,0.6635240432218348,0,0
"<a href=""https://www.baseball-reference.com/players/d/dalryab01.shtml"">Abner Dalrymple</a>",CHN,21,337,333,47,97,0,124,23,4,0,29,0.2912912912912913,0.2997032640949555,0.37237237237237236,0.6720756364673279,0,0.16
"<a href=""https://www.baseball-reference.com/players/d/deckefr01.shtml"">Frank Decker</a>",SR1,22,10,10,0,1,0,1,0,0,0,3,0.1,0.1,0.1,0.2,0,-0.2
"<a href=""https://www.baseball-reference.com/players/d/dickebu01.shtml"">Buttercup Dickerson</a>",CN1,20,353,350,73,102,2,154,57,3,0,27,0.2914285714285714,0.29745042492917845,0.44,0.7374504249291784,0,0
"<a href=""https://www.baseball-reference.com/players/d/dolanto01.shtml"">Tom Dolan</a>",CHN,24,4,4,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0
"<a href=""https://www.baseball-reference.com/players/d/dorgami01.shtml"">Mike Dorgan</a>",SR1,25,274,270,38,72,1,96,17,4,0,13,0.26666666666666666,0.2773722627737226,0.35555555555555557,0.6329278183292781,0,0
"<a href=""https://www.baseball-reference.com/players/d/doschhe01.shtml"">Herm Doscher</a>",2,26,204,202,17,44,0,52,19,2,0,13,0.21782178217821782,0.22549019607843138,0.25742574257425743,0.4829159386526888,0,0.07
"<a href=""https://www.baseball-reference.com/players/e/edench01.shtml"">Charlie Eden</a>",CL2,24,359,353,40,96,3,150,34,6,0,20,0.2719546742209632,0.2841225626740947,0.42492917847025496,0.7090517411443497,0,1.39
"<a href=""https://www.baseball-reference.com/players/e/eggleda01.shtml"">Dave Eggler</a>",BFN,30,328,317,41,66,0,85,27,11,0,41,0.2082018927444795,0.2347560975609756,0.26813880126182965,0.5028948988228052,0,-0.91
"<a href=""https://www.baseball-reference.com/players/e/evansja01.shtml"">Jake Evans</a>",TRN,22,285,280,30,65,0,84,17,5,0,18,0.23214285714285715,0.24561403508771928,0.3,0.5456140350877192,0,1.53
"<a href=""https://www.baseball-reference.com/players/f/farreja02.shtml"">Jack Farrell</a>",2,21,295,292,45,86,1,101,26,3,0,13,0.2945205479452055,0.3016949152542373,0.3458904109589041,0.6475853262131415,0,0.72
"<a href=""https://www.baseball-reference.com/players/f/fergubo01.shtml"">Bob Ferguson</a>",TRN,34,127,123,18,31,0,40,4,4,0,3,0.25203252032520324,0.2755905511811024,0.3252032520325203,0.6007938032136226,0,0.56
"<a href=""https://www.baseball-reference.com/players/f/flintsi01.shtml"">Silver Flint</a>",CHN,23,330,324,46,92,1,129,41,6,0,44,0.2839506172839506,0.296969696969697,0.39814814814814814,0.6951178451178451,0,3.16
"<a href=""https://www.baseball-reference.com/players/f/foleycu01.shtml"">Curry Foley</a>",BSN,23,149,146,16,46,0,51,17,3,0,4,0.3150684931506849,0.3288590604026846,0.3493150684931507,0.6781741288958353,0,0.44
"<a href=""https://www.baseball-reference.com/players/f/foleywi01.shtml"">Will Foley</a>",CN1,23,220,218,22,46,0,53,25,2,0,16,0.21100917431192662,0.21818181818181817,0.24311926605504589,0.46130108423686406,0,-0.15
"<a href=""https://www.baseball-reference.com/players/f/forceda01.shtml"">Davy Force</a>",BFN,29,329,316,36,66,0,75,8,13,0,37,0.2088607594936709,0.24012158054711247,0.23734177215189872,0.4774633526990112,0,1.11
"<a href=""https://www.baseball-reference.com/players/f/fulmech01.shtml"">Chick Fulmer</a>",BFN,28,311,306,30,82,0,103,28,5,0,34,0.2679738562091503,0.2797427652733119,0.3366013071895425,0.6163440724628544,0,1.74
"<a href=""https://www.baseball-reference.com/players/g/galvipu01.shtml"">Pud Galvin</a>",BFN,22,266,265,34,66,0,89,27,1,0,56,0.2490566037735849,0.2518796992481203,0.33584905660377357,0.5877287558518939,0,0.09
"<a href=""https://www.baseball-reference.com/players/g/gardngi01.shtml"">Gid Gardner</a>",TRN,20,6,6,1,1,0,1,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0,0
"<a href=""https://www.baseball-reference.com/players/g/gerhajo01.shtml"">Joe Gerhardt</a>",CN1,24,316,313,22,62,1,83,39,3,0,19,0.19808306709265175,0.20569620253164558,0.26517571884984026,0.4708719213814858,0,-0.03
"<a href=""https://www.baseball-reference.com/players/g/gilliba01.shtml"">Barney Gilligan</a>",CL2,23,205,205,20,35,0,45,11,0,0,13,0.17073170731707318,0.17073170731707318,0.21951219512195122,0.3902439024390244,0,-1.31
"<a href=""https://www.baseball-reference.com/players/g/glassja01.shtml"">Jack Glasscock</a>",CL2,21,331,325,31,68,0,83,29,6,0,24,0.20923076923076922,0.22356495468277945,0.2553846153846154,0.4789495700673948,0,0
"<a href=""https://www.baseball-reference.com/players/g/goldsfr01.shtml"">Fred Goldsmith</a>",TRN,23,39,38,6,9,0,10,2,1,0,3,0.23684210526315788,0.2564102564102564,0.2631578947368421,0.5195681511470984,0,0
"<a href=""https://www.baseball-reference.com/players/g/gorege01.shtml"">George Gore</a>",CHN,25,274,266,43,70,0,95,32,8,0,30,0.2631578947368421,0.2846715328467153,0.35714285714285715,0.6418143899895725,0,0.84
"<a href=""https://www.baseball-reference.com/players/g/grossem01.shtml"">Emil Gross</a>",PRO,21,136,132,31,46,0,65,24,4,0,8,0.3484848484848485,0.36764705882352944,0.49242424242424243,0.8600713012477719,0,1.66
"<a href=""https://www.baseball-reference.com/players/g/gunklfr01.shtml"">Fred Gunkle</a>",CL2,21,3,3,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,-0.21
"<a href=""https://www.baseball-reference.com/players/h/haguebi01.shtml"">Bill Hague</a>",PRO,?,212,209,20,47,0,52,21,3,0,19,0.22488038277511962,0.2358490566037736,0.24880382775119617,0.4846528843549698,0,0.52
"<a href=""https://www.baseball-reference.com/players/h/hallal01.shtml"">Al Hall</a>",TRN,?,309,306,30,79,0,92,14,3,0,13,0.2581699346405229,0.26537216828478966,0.3006535947712418,0.5660257630560315,0,0.55
"<a href=""https://www.baseball-reference.com/players/h/hankifr01.shtml"">Frank Hankinson</a>",CHN,23,173,171,14,31,0,35,8,2,0,14,0.18128654970760233,0.1907514450867052,0.2046783625730994,0.3954298076598046,0,-0.78
"<a href=""https://www.baseball-reference.com/players/h/harbibi01.shtml"">Bill Harbridge</a>",CHN,24,18,18,2,2,0,2,1,0,0,5,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0,-0.34
"<a href=""https://www.baseball-reference.com/players/h/hawesbi01.shtml"">Bill Hawes</a>",BSN,25,157,155,19,31,0,40,9,2,0,13,0.2,0.21019108280254778,0.25806451612903225,0.46825559893158003,0,-0.74
"<a href=""https://www.baseball-reference.com/players/h/hawketh01.shtml"">Thorny Hawkes</a>",TRN,26,254,250,24,52,0,60,20,4,0,14,0.208,0.2204724409448819,0.24,0.4604724409448819,0,0.11
"<a href=""https://www.baseball-reference.com/players/h/hinespa01.shtml"">Paul Hines</a>",PRO,24,417,409,81,146,2,197,52,8,0,16,0.3569682151589242,0.36930455635491605,0.48166259168704156,0.8509671480419576,0,0
"<a href=""https://www.baseball-reference.com/players/h/hoffmhi01.shtml"">Sonny Hoffman</a>",CL2,?,6,6,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,-0.22
"<a href=""https://www.baseball-reference.com/players/h/holbebi01.shtml"">Bill Holbert</a>",2,24,245,244,12,50,0,50,23,1,0,21,0.20491803278688525,0.20816326530612245,0.20491803278688525,0.4130812980930077,0,0.39
"<a href=""https://www.baseball-reference.com/players/h/hornujo01.shtml"">Joe Hornung</a>",BFN,22,321,319,46,85,0,117,38,2,0,27,0.2664576802507837,0.27102803738317754,0.3667711598746082,0.6377991972577857,0,0.66
"<a href=""https://www.baseball-reference.com/players/h/hotalpe01.shtml"">Pete Hotaling</a>",CN1,22,381,369,64,103,1,144,27,12,0,17,0.2791327913279133,0.30183727034120733,0.3902439024390244,0.6920811727802317,0,1.87
"<a href=""https://www.baseball-reference.com/players/h/houcksa01.shtml"">Sadie Houck</a>",BSN,23,360,356,69,95,2,143,49,4,0,11,0.26685393258426965,0.275,0.40168539325842695,0.6766853932584269,0,1.38
"<a href=""https://www.baseball-reference.com/players/j/jonesch01.shtml"">Charley Jones</a>",BSN,27,384,355,85,112,9,181,62,29,0,38,0.3154929577464789,0.3671875,0.5098591549295775,0.8770466549295775,0,4.48
"<a href=""https://www.baseball-reference.com/players/k/kellyjo01.shtml"">John Kelly</a>",CL2,20,4,4,0,1,0,1,0,0,0,0,0.25,0.25,0.25,0.5,0,0.01
"<a href=""https://www.baseball-reference.com/players/k/kellyki01.shtml"">King Kelly</a>",CN1,21,353,345,78,120,2,170,47,8,0,14,0.34782608695652173,0.3626062322946176,0.4927536231884058,0.8553598554830234,0,0
"<a href=""https://www.baseball-reference.com/players/k/kellyki02.shtml"">Kick Kelly</a>",2,22,58,58,5,9,0,10,2,0,0,7,0.15517241379310345,0.15517241379310345,0.1724137931034483,0.3275862068965517,0,-0.78
"<a href=""https://www.baseball-reference.com/players/k/kemmlru01.shtml"">Rudy Kemmler</a>",PRO,19,7,7,0,1,0,1,0,0,0,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0,-0.14
"<a href=""https://www.baseball-reference.com/players/k/kennedo01.shtml"">Doc Kennedy</a>",CL2,25,195,193,19,56,1,71,18,2,0,10,0.29015544041450775,0.29743589743589743,0.36787564766839376,0.6653115451042912,0,1.79
"<a href=""https://www.baseball-reference.com/players/l/larkite01.shtml"">Terry Larkin</a>",CHN,?,236,228,26,50,0,66,18,8,0,24,0.21929824561403508,0.2457627118644068,0.2894736842105263,0.5352363960749331,0,-0.09
"<a href=""https://www.baseball-reference.com/players/l/libbyst01.shtml"">Steve Libby</a>",BFN,25,2,2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,-0.04
"<a href=""https://www.baseball-reference.com/players/m/maculji01.shtml"">Jimmy Macullar</a>",SR1,24,249,246,24,52,0,61,13,3,0,27,0.21138211382113822,0.22088353413654618,0.24796747967479674,0.4688510138113429,0,-0.53
"<a href=""https://www.baseball-reference.com/players/m/magnejo01.shtml"">John Magner</a>",CN1,?,4,4,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0,-0.08
"<a href=""https://www.baseball-reference.com/players/m/mansemi01.shtml"">Mike Mansell</a>",SR1,21,247,242,24,52,1,63,13,5,0,45,0.21487603305785125,0.23076923076923078,0.2603305785123967,0.4910998092816275,0,0
"<a href=""https://www.baseball-reference.com/players/m/manseto01.shtml"">Tom Mansell</a>",2,24,184,181,29,44,0,50,11,3,0,9,0.2430939226519337,0.2554347826086957,0.27624309392265195,0.5316778765313477,0,-0.36
"<a href=""https://www.baseball-reference.com/players/m/mathebo01.shtml"">Bobby Mathews</a>",PRO,27,180,173,25,35,1,40,10,7,0,12,0.2023121387283237,0.23333333333333334,0.23121387283236994,0.4645472061657033,0,0
"<a href=""https://www.baseball-reference.com/players/m/mccorha01.shtml"">Harry McCormick</a>",SR1,23,230,230,21,51,1,60,21,0,0,22,0.2217391304347826,0.2217391304347826,0.2608695652173913,0.4826086956521739,0,-0.25
"<a href=""https://www.baseball-reference.com/players/m/mccorji01.shtml"">Jim McCormick</a>",CL2,22,283,282,35,62,0,76,20,1,0,9,0.2198581560283688,0.2226148409893993,0.2695035460992908,0.49211838708869005,0,0
"<a href=""https://www.baseball-reference.com/players/m/mcgeami01.shtml"">Mike McGeary</a>",PRO,28,379,374,62,103,0,114,35,5,0,13,0.27540106951871657,0.2849604221635884,0.3048128342245989,0.5897732563881873,0,0
"<a href=""https://www.baseball-reference.com/players/m/mcguijo01.shtml"">John McGuinness</a>",SR1,?,51,51,7,15,0,18,4,0,0,6,0.29411764705882354,0.29411764705882354,0.35294117647058826,0.6470588235294118,0,0.19
"<a href=""https://www.baseball-reference.com/players/m/mcgunbi01.shtml"">Bill McGunnigle</a>",BFN,24,176,171,22,30,0,32,5,5,0,24,0.17543859649122806,0.19886363636363635,0.1871345029239766,0.38599813928761295,0,-0.74
"<a href=""https://www.baseball-reference.com/players/m/mcmanpa01.shtml"">Pat McManus</a>",TRN,19,8,8,0,1,0,1,0,0,0,2,0.125,0.125,0.125,0.25,0,-0.08
"<a href=""https://www.baseball-reference.com/players/m/mcveyca01.shtml"">Cal McVey</a>",CN1,29,362,354,64,105,0,135,55,8,0,13,0.2966101694915254,0.31215469613259667,0.3813559322033898,0.6935106283359864,0,1.89
"<a href=""https://www.baseball-reference.com/players/m/mitchbo01.shtml"">Bobby Mitchell</a>",CL2,23,109,109,11,16,0,22,6,0,0,14,0.14678899082568808,0.14678899082568808,0.2018348623853211,0.3486238532110092,0,-0.91
"<a href=""https://www.baseball-reference.com/players/m/morrijo01.shtml"">John Morrill</a>",BSN,24,362,348,56,98,0,126,49,14,0,32,0.28160919540229884,0.30939226519337015,0.3620689655172414,0.6714612307106116,0,2.28
"<a href=""https://www.baseball-reference.com/players/n/neaglja01.shtml"">Jack Neagle</a>",CN1,21,12,12,1,2,0,2,2,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0,0
"<a href=""https://www.baseball-reference.com/players/n/nelsoca01.shtml"">Candy Nelson</a>",TRN,30,114,106,17,28,0,37,10,8,0,4,0.2641509433962264,0.3157894736842105,0.3490566037735849,0.6648460774577953,0,0
"<a href=""https://www.baseball-reference.com/players/o/o'leada01.shtml"">Dan O'Leary</a>",PRO,22,7,7,1,3,0,3,2,0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,0,0.07
"<a href=""https://www.baseball-reference.com/players/o/o'rouji01.shtml"">Jim O'Rourke</a>",PRO,28,375,362,69,126,1,166,46,13,0,10,0.34806629834254144,0.37066666666666664,0.4585635359116022,0.8292302025782688,0,3.33
"<a href=""https://www.baseball-reference.com/players/o/o'roujo01.shtml"">John O'Rourke</a>",BSN,29,325,317,69,108,6,165,62,8,0,32,0.34069400630914826,0.3569230769230769,0.5205047318611987,0.8774278087842756,0,3.53
"<a href=""https://www.baseball-reference.com/players/o/osterch01.shtml"">Charlie Osterhout</a>",SR1,23,8,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.2
"<a href=""https://www.baseball-reference.com/players/p/peterjo01.shtml"">John Peters</a>",CHN,29,380,379,45,93,1,113,31,1,0,19,0.24538258575197888,0.24736842105263157,0.29815303430079154,0.5455214553534231,0,0.32
"<a href=""https://www.baseball-reference.com/players/p/phillbi01.shtml"">Bill Phillips</a>",CL2,22,367,365,58,99,0,122,29,2,0,20,0.27123287671232876,0.27520435967302453,0.33424657534246577,0.6094509350154903,0,0.61
"<a href=""https://www.baseball-reference.com/players/p/purcebl01.shtml"">Blondie Purcell</a>",2,25,330,327,42,83,0,95,29,3,0,16,0.25382262996941896,0.2606060606060606,0.290519877675841,0.5511259382819016,0,0
"<a href=""https://www.baseball-reference.com/players/q/questjo01.shtml"">Joe Quest</a>",CHN,26,343,334,38,69,0,87,22,9,0,33,0.20658682634730538,0.22740524781341107,0.26047904191616766,0.48788428972957876,0,0
"<a href=""https://www.baseball-reference.com/players/r/reillch01.shtml"">Charlie Reilley</a>",TRN,?,237,236,17,54,0,61,19,1,0,20,0.2288135593220339,0.2320675105485232,0.2584745762711864,0.4905420868197096,0,-0.67
"<a href=""https://www.baseball-reference.com/players/r/remseja01.shtml"">Jack Remsen</a>",CHN,29,154,152,14,33,0,41,8,2,0,23,0.21710526315789475,0.22727272727272727,0.26973684210526316,0.49700956937799046,0,0
