Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/akejo01.shtml"">John Ake</a>",BL2,22,53,52,1,10,0,12,2,0,0,0,.192,.208,.231,.438,.203,-0.32
"<a href=""https://www.baseball-reference.com/players/a/albergu01.shtml"">Gus Alberts</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotealbergu01"" style=""display:none;""></input><label for=""footnotealbergu01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivalbergu01"">PT1, WSU</div></span>",23,25,21,5,5,0,5,0,4,0,0,.238,.360,.238,.598,.301,0.01
"<a href=""https://www.baseball-reference.com/players/a/alexani01.shtml"">N. Alexander</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotealexani01"" style=""display:none;""></input><label for=""footnotealexani01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivalexani01"">KCU, SL4</div></span>",25,70,69,2,9,0,9,0,1,0,0,.130,.143,.130,.273,.129,-0.70
"<a href=""https://www.baseball-reference.com/players/a/allenhe01.shtml"">H. Allen</a>",PHI,21,3,3,0,2,0,2,0,0,0,0,.667,.667,.667,1.333,.617,0.08
"<a href=""https://www.baseball-reference.com/players/a/andreed01.shtml"">Ed Andrews</a>",PHI,25,429,420,74,93,0,118,23,9,0,42,.221,.238,.281,.519,.238,0.00
"<a href=""https://www.baseball-reference.com/players/a/andrewa01.shtml"">W. Andrews</a>",LS2,24,53,49,10,10,0,17,8,4,0,0,.204,.264,.347,.611,.280,0.12
"<a href=""https://www.baseball-reference.com/players/a/andrufr01.shtml"">Fred Andrus</a>",CHN,33,6,5,3,1,0,1,0,1,0,0,.200,.333,.200,.533,.275,0.01
"<a href=""https://www.baseball-reference.com/players/a/annisbi01.shtml"">Bill Annis</a>",BSN,27,96,96,17,17,0,19,3,0,0,8,.177,.177,.198,.375,.172,-0.90
"<a href=""https://www.baseball-reference.com/players/a/ansonca01.shtml"">Cap Anson</a>",CHN,32,504,475,108,159,21,258,102,29,0,13,.335,.373,.543,.916,.409,5.09
"<a href=""https://www.baseball-reference.com/players/a/ardnejo01.shtml"">Joe Ardner</a>",CL2,26,93,92,6,16,0,19,4,1,0,24,.174,.183,.207,.389,.179,-0.70
"<a href=""https://www.baseball-reference.com/players/a/arundha01.shtml"">H. Arundel</a>",PRO,29,4,3,2,1,0,1,1,1,0,1,.333,.500,.333,.833,.412,0.04
"<a href=""https://www.baseball-reference.com/players/a/arundtu01.shtml"">Tug Arundel</a>",TL1,22,50,47,6,4,0,4,0,3,0,0,.085,.140,.085,.225,.118,-0.18
