Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/aberscl01.shtml"">C. Aberson</a>",CHN,25,160,140,24,39,4,63,20,20,0,32,.279,.369,.450,.819,.379,0.45
"<a href=""https://www.baseball-reference.com/players/a/adamsbo03.shtml"">Bobby Adams</a>",CIN,25,253,217,39,59,4,86,20,25,9,23,.272,.358,.396,.754,.355,0.00
"<a href=""https://www.baseball-reference.com/players/a/adamsbu01.shtml"">Buster Adams</a>",PHI,32,209,182,21,45,2,64,15,26,2,29,.247,.341,.352,.693,.330,0.04
"<a href=""https://www.baseball-reference.com/players/a/adamsdi01.shtml"">Dick Adams</a>",PHA,27,93,89,9,18,2,32,11,2,0,18,.202,.220,.360,.579,.262,-0.24
"<a href=""https://www.baseball-reference.com/players/a/albrija01.shtml"">J. Albright</a>",PHI,26,112,99,9,23,2,33,5,10,1,11,.232,.303,.333,.636,.302,0.11
"<a href=""https://www.baseball-reference.com/players/a/applilu01.shtml"">Luke Appling</a>",CHA,40,572,503,67,154,8,207,49,64,8,28,.306,.386,.412,.797,.375,4.73
"<a href=""https://www.baseball-reference.com/players/a/auldsle01.shtml"">Tex Aulds</a>",BOS,26,4,4,0,1,0,1,0,0,0,1,.250,.250,.250,.500,.234,-0.02
"<a href=""https://www.baseball-reference.com/players/a/ayersbi01.shtml"">Bill Ayers</a>",NY1,27,10,8,0,2,0,3,2,0,0,3,.250,.250,.375,.625,.283,0.03
"<a href=""https://www.baseball-reference.com/players/b/bagbyji02.shtml"">Jim Bagby</a>",PIT,30,36,32,3,7,0,9,3,0,0,3,.219,.242,.281,.524,.246,0.04
"<a href=""https://www.baseball-reference.com/players/b/bahred01.shtml"">Ed Bahr</a>",PIT,27,26,23,0,2,0,2,0,0,0,8,.087,.087,.087,.174,.081,-0.35
"<a href=""https://www.baseball-reference.com/players/b/bakerfl01.shtml"">Floyd Baker</a>",CHA,30,439,371,61,98,0,116,22,66,9,28,.264,.375,.313,.688,.337,0.00
"<a href=""https://www.baseball-reference.com/players/b/bankhda01.shtml"">Dan Bankhead</a>",BRO,27,5,4,2,1,1,4,2,0,0,1,.250,.400,1.000,1.400,.587,0.14
"<a href=""https://www.baseball-reference.com/players/b/bantaja01.shtml"">Jack Banta</a>",BRO,22,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.04
"<a href=""https://www.baseball-reference.com/players/b/barnere02.shtml"">Rex Barney</a>",BRO,22,27,27,3,3,0,4,3,0,0,12,.111,.111,.148,.259,.119,-0.24
"<a href=""https://www.baseball-reference.com/players/b/barrere01.shtml"">Red Barrett</a>",BSN,32,80,72,6,8,0,13,4,1,0,12,.111,.123,.181,.304,.140,-0.49
"<a href=""https://www.baseball-reference.com/players/b/basined01.shtml"">E. Basinski</a>",PIT,24,182,161,15,32,4,54,17,18,0,27,.199,.279,.335,.615,.290,-0.64
"<a href=""https://www.baseball-reference.com/players/b/battsma01.shtml"">Matt Batts</a>",BOS,25,17,16,3,8,1,12,5,1,0,1,.500,.529,.750,1.279,.579,0.00
"<a href=""https://www.baseball-reference.com/players/b/baumhfr01.shtml"">F. Baumholtz</a>",CIN,28,711,643,96,182,5,247,45,56,6,53,.283,.341,.384,.726,.339,0.00
"<a href=""https://www.baseball-reference.com/players/b/beazljo01.shtml"">J. Beazley</a>",BSN,29,9,7,1,0,0,0,0,0,0,5,.000,.000,.000,.000,.000,-0.16
"<a href=""https://www.baseball-reference.com/players/b/beckehe02.shtml"">Heinz Becker</a>",CLE,31,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.05
"<a href=""https://www.baseball-reference.com/players/b/beggsjo01.shtml"">Joe Beggs</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebeggsjo01"" style=""display:none;""></input><label for=""footnotebeggsjo01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbeggsjo01"">CIN, NY1</div></span>",36,27,24,1,2,0,2,2,0,0,7,.083,.083,.083,.167,.078,-0.27
"<a href=""https://www.baseball-reference.com/players/b/behrmha01.shtml"">Hank Behrman</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebehrmha01"" style=""display:none;""></input><label for=""footnotebehrmha01"" class=""footnoteLabel"">3</label><div class=""footnoteDiv"" id=""footnoteDivbehrmha01"">BRO, PIT, BRO</div></span>",26,38,32,1,6,0,7,1,1,0,11,.188,.212,.219,.431,.204,-0.09
"<a href=""https://www.baseball-reference.com/players/b/bentoal01.shtml"">Al Benton</a>",DET,36,42,39,1,6,0,7,2,0,0,10,.154,.154,.179,.333,.154,-0.22
"<a href=""https://www.baseball-reference.com/players/b/berarjo01.shtml"">J. Berardino</a>",SLA,30,357,306,29,80,1,107,20,44,6,26,.261,.358,.350,.708,.339,0.74
"<a href=""https://www.baseball-reference.com/players/b/berrayo01.shtml"">Yogi Berra</a>",NYA,22,306,293,41,82,11,136,54,13,0,12,.280,.310,.464,.775,.353,0.97
"<a href=""https://www.baseball-reference.com/players/b/bevenbi01.shtml"">Bill Bevens</a>",NYA,30,63,58,2,7,0,8,1,2,0,31,.121,.150,.138,.288,.140,-0.37
"<a href=""https://www.baseball-reference.com/players/b/binksge01.shtml"">George Binks</a>",PHA,32,363,333,33,86,2,119,34,23,8,36,.258,.308,.357,.665,.311,0.08
"<a href=""https://www.baseball-reference.com/players/b/blackdo01.shtml"">Don Black</a>",CLE,30,70,66,2,12,0,14,8,1,0,14,.182,.194,.212,.406,.190,-0.10
"<a href=""https://www.baseball-reference.com/players/b/blackew01.shtml"">E. Blackwell</a>",CIN,24,114,106,5,13,0,15,4,1,0,17,.123,.131,.142,.272,.128,-0.67
"<a href=""https://www.baseball-reference.com/players/b/blattbu01.shtml"">B. Blattner</a>",NY1,27,175,153,28,40,0,53,13,21,4,19,.261,.351,.346,.697,.333,0.54
"<a href=""https://www.baseball-reference.com/players/b/bloodji01.shtml"">J. Bloodworth</a>",PIT,29,335,316,27,79,7,109,48,16,1,39,.250,.290,.345,.635,.298,-1.18
"<a href=""https://www.baseball-reference.com/players/b/bockmed01.shtml"">E. Bockman</a>",CLE,26,71,66,8,17,1,26,14,5,0,17,.258,.310,.394,.704,.325,0.17
"<a href=""https://www.baseball-reference.com/players/b/bonhati01.shtml"">Tiny Bonham</a>",PIT,33,55,45,4,7,0,8,4,3,0,5,.156,.224,.178,.402,.202,-0.06
"<a href=""https://www.baseball-reference.com/players/b/borowha01.shtml"">Hank Borowy</a>",CHN,31,59,56,5,7,0,10,6,2,0,14,.125,.169,.179,.348,.169,0.00
"<a href=""https://www.baseball-reference.com/players/b/boudrlo01.shtml"">Lou Boudreau</a>",CLE,29,623,538,79,165,4,228,67,67,1,10,.307,.388,.424,.811,.380,7.23
"<a href=""https://www.baseball-reference.com/players/b/bradybo01.shtml"">Bob Brady</a>",BSN,24,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/b/bragabo01.shtml"">Bobby Bragan</a>",BRO,29,43,36,3,7,0,9,3,7,1,3,.194,.326,.250,.576,.290,-0.05
"<a href=""https://www.baseball-reference.com/players/b/brancra01.shtml"">Ralph Branca</a>",BRO,21,113,97,8,12,0,13,9,7,0,34,.124,.183,.134,.317,.161,-0.56
"<a href=""https://www.baseball-reference.com/players/b/brazlal01.shtml"">Al Brazle</a>",SLN,33,68,64,6,14,0,15,5,1,0,5,.219,.231,.234,.465,.219,0.07
"<a href=""https://www.baseball-reference.com/players/b/brechha01.shtml"">H. Brecheen</a>",SLN,32,95,83,5,20,0,24,8,7,0,7,.241,.308,.289,.597,.287,0.56
"<a href=""https://www.baseball-reference.com/players/b/brisslo01.shtml"">Lou Brissie</a>",PHA,23,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,0.00
"<a href=""https://www.baseball-reference.com/players/b/brownbo03.shtml"">Bobby Brown</a>",NYA,22,175,150,21,45,1,56,18,21,0,9,.300,.390,.373,.763,.364,0.92
"<a href=""https://www.baseball-reference.com/players/b/brownto02.shtml"">Tommy Brown</a>",BRO,19,35,34,3,8,0,9,2,1,0,6,.235,.257,.265,.522,.246,0.00
"<a href=""https://www.baseball-reference.com/players/b/brownwa01.shtml"">Walter Brown</a>",SLA,32,13,11,0,0,0,0,0,2,0,4,.000,.154,.000,.154,.113,-0.09
"<a href=""https://www.baseball-reference.com/players/b/brownwi02.shtml"">W. Brown</a>",SLA,32,67,67,4,12,1,18,6,0,2,7,.179,.179,.269,.448,.204,-0.62
"<a href=""https://www.baseball-reference.com/players/b/budnimi01.shtml"">Mike Budnick</a>",NY1,27,4,4,1,1,0,1,0,0,0,0,.250,.250,.250,.500,.234,0.01
"<a href=""https://www.baseball-reference.com/players/b/burkhke01.shtml"">Ken Burkhart</a>",SLN,30,26,24,1,3,0,3,1,0,0,6,.125,.125,.125,.250,.117,0.00
"<a href=""https://www.baseball-reference.com/players/b/byrneto01.shtml"">Tommy Byrne</a>",NYA,27,1,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,.733,0.04
"<a href=""https://www.baseball-reference.com/players/c/cabalpu01.shtml"">P. Caballero</a>",PHI,19,8,7,2,1,0,1,0,1,0,0,.143,.250,.143,.393,.209,-0.04
"<a href=""https://www.baseball-reference.com/players/c/caldwea01.shtml"">E. Caldwell</a>",CHA,42,8,7,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,0.00
"<a href=""https://www.baseball-reference.com/players/c/camelha01.shtml"">Hank Camelli</a>",BSN,32,170,150,10,29,1,42,11,18,0,18,.193,.280,.280,.560,.271,-0.86
"<a href=""https://www.baseball-reference.com/players/c/candimi01.shtml"">Milo Candini</a>",WS1,29,21,18,2,3,0,4,1,1,0,3,.167,.211,.222,.433,.207,0.00
"<a href=""https://www.baseball-reference.com/players/c/carpebo01.shtml"">B. Carpenter</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecarpebo01"" style=""display:none;""></input><label for=""footnotecarpebo01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivcarpebo01"">NY1, CHN</div></span>",29,1,1,0,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,.936,0.00
"<a href=""https://www.baseball-reference.com/players/c/carysc01.shtml"">Scott Cary</a>",WS1,24,16,13,1,1,0,1,1,2,0,3,.077,.200,.077,.277,.160,-0.03
"<a href=""https://www.baseball-reference.com/players/c/casege01.shtml"">George Case</a>",WS1,31,89,80,11,12,0,13,2,8,5,8,.150,.227,.162,.390,.199,-0.81
"<a href=""https://www.baseball-reference.com/players/c/caseyhu01.shtml"">Hugh Casey</a>",BRO,33,21,18,0,1,0,1,1,1,0,2,.056,.105,.056,.161,.088,0.00
