Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotda01.shtml"">Dan Abbott</a>",TL2,28,7,7,0,1,0,3,1,0,1,0,.143,.143,.429,.571,.237,.00
"<a href=""https://www.baseball-reference.com/players/a/adamsji01.shtml"">Jim Adams</a>",SL4,?,4,4,0,1,0,1,0,0,0,0,.250,.250,.250,.500,.243,-.02
"<a href=""https://www.baseball-reference.com/players/a/allenbo01.shtml"">Bob Allen</a>",PHI,22,548,456,69,103,2,146,57,87,13,54,.226,.356,.320,.676,.342,3.99
"<a href=""https://www.baseball-reference.com/players/a/alvorbi01.shtml"">Billy Alvord</a>",TL2,26,517,495,69,135,2,186,52,22,21,0,.273,.304,.376,.679,.321,.97
"<a href=""https://www.baseball-reference.com/players/a/anderda01.shtml"">Dave Anderson</a>",2,21,54,51,5,4,0,4,0,1,0,13,.078,.130,.078,.208,.117,-.50
"<a href=""https://www.baseball-reference.com/players/a/andreed01.shtml"">Ed Andrews</a>",BRP,31,436,395,84,100,3,127,38,40,21,32,.253,.323,.322,.645,.319,-.97
"<a href=""https://www.baseball-reference.com/players/a/andreji01.shtml"">Jim Andrews</a>",CHN,25,227,202,32,38,3,55,17,23,11,41,.188,.278,.272,.550,.276,-.53
"<a href=""https://www.baseball-reference.com/players/a/ansonca01.shtml"">Cap Anson</a>",CHN,38,623,504,95,157,7,202,107,113,29,23,.312,.443,.401,.844,.420,5.67
"<a href=""https://www.baseball-reference.com/players/a/ardnejo01.shtml"">Joe Ardner</a>",CL4,32,342,323,28,72,0,87,35,17,9,40,.223,.266,.269,.535,.264,-.67
"<a href=""https://www.baseball-reference.com/players/b/bakelje01.shtml"">Jersey Bakley</a>",CLP,26,150,138,10,28,0,31,9,11,0,28,.203,.267,.225,.491,.251,.00
"<a href=""https://www.baseball-reference.com/players/b/bakerki01.shtml"">Kirtley Baker</a>",PIT,21,80,68,6,10,0,10,0,10,1,6,.147,.275,.147,.422,.240,.06
"<a href=""https://www.baseball-reference.com/players/b/bakerno01.shtml"">Norm Baker</a>",BL3,27,8,7,0,0,0,0,0,0,0,0,.000,.125,.000,.125,.102,-.09
"<a href=""https://www.baseball-reference.com/players/b/baldwki01.shtml"">Kid Baldwin</a>",2,25,170,162,10,32,0,37,22,7,4,6,.198,.235,.228,.464,.230,-.61
"<a href=""https://www.baseball-reference.com/players/b/baldwla01.shtml"">Lady Baldwin</a>",2,31,34,31,5,8,0,9,2,3,0,2,.258,.324,.290,.614,.308,.12
"<a href=""https://www.baseball-reference.com/players/b/baldwma01.shtml"">Mark Baldwin</a>",CHP,26,227,212,27,45,1,64,25,15,4,50,.212,.264,.302,.566,.274,.00
"<a href=""https://www.baseball-reference.com/players/b/barrbo01.shtml"">Bob Barr</a>",RC2,33,218,201,22,36,2,44,15,13,1,0,.179,.243,.219,.462,.235,.03
"<a href=""https://www.baseball-reference.com/players/b/bartsch01.shtml"">Charlie Bartson</a>",CHP,25,90,78,7,13,0,14,6,11,2,12,.167,.278,.179,.457,.249,-.25
"<a href=""https://www.baseball-reference.com/players/b/bassech01.shtml"">Charley Bassett</a>",NY1,27,446,410,52,98,0,127,54,29,14,25,.239,.300,.310,.610,.300,.00
"<a href=""https://www.baseball-reference.com/players/b/bastich01.shtml"">Charlie Bastian</a>",CHP,32,321,283,38,54,0,74,29,33,4,37,.191,.287,.261,.548,.279,-1.27
"<a href=""https://www.baseball-reference.com/players/b/battijo01.shtml"">Joe Battin</a>",SR2,36,127,119,15,25,0,29,13,8,8,0,.210,.260,.244,.504,.252,-.63
"<a href=""https://www.baseball-reference.com/players/b/beardol01.shtml"">Ollie Beard</a>",CIN,28,538,492,64,132,3,188,72,44,30,13,.268,.331,.382,.713,.342,4.39
"<a href=""https://www.baseball-reference.com/players/b/beatied01.shtml"">Ed Beatin</a>",CL4,23,203,191,25,27,1,40,21,12,2,43,.141,.192,.209,.402,.198,-.76
"<a href=""https://www.baseball-reference.com/players/b/becklja01.shtml"">Jake Beckley</a>",PTP,22,577,529,110,171,9,280,123,42,18,33,.323,.380,.529,.909,.420,.00
"<a href=""https://www.baseball-reference.com/players/b/beeched01.shtml"">Ed Beecher</a>",BFP,30,572,536,69,159,3,210,90,29,14,23,.297,.341,.392,.733,.351,.00
"<a href=""https://www.baseball-reference.com/players/b/bennech01.shtml"">Charlie Bennett</a>",BSN,35,355,281,59,60,3,90,40,72,6,56,.214,.377,.320,.698,.358,2.76
"<a href=""https://www.baseball-reference.com/players/b/bergetu01.shtml"">Tun Berger</a>",PIT,22,433,391,64,104,0,130,40,35,11,23,.266,.337,.332,.670,.331,1.14
"<a href=""https://www.baseball-reference.com/players/b/bierblo01.shtml"">Lou Bierbauer</a>",BRP,24,629,589,128,180,7,254,99,40,16,15,.306,.350,.431,.781,.369,2.41
"<a href=""https://www.baseball-reference.com/players/b/blauvhe01.shtml"">Harvey Blauvelt</a>",RC2,22,6,6,3,3,0,3,1,0,3,0,.500,.500,.500,1.000,.486,.10
"<a href=""https://www.baseball-reference.com/players/b/blighne01.shtml"">Ned Bligh</a>",2,26,113,102,11,21,1,26,14,11,1,0,.206,.283,.255,.538,.266,-.02
"<a href=""https://www.baseball-reference.com/players/b/bowesfr01.shtml"">Frank Bowes</a>",BR4,?,240,232,28,51,0,60,24,7,11,0,.220,.246,.259,.504,.246,-1.65
"<a href=""https://www.baseball-reference.com/players/b/bowmasu01.shtml"">Sumner Bowman</a>",2,23,44,40,7,12,0,13,4,4,0,5,.300,.364,.325,.689,.344,.31
"<a href=""https://www.baseball-reference.com/players/b/boyleja01.shtml"">Jack Boyle</a>",CHP,24,418,369,56,96,1,118,49,44,11,29,.260,.347,.320,.667,.334,.28
"<a href=""https://www.baseball-reference.com/players/b/brennji01.shtml"">Jack Brennan</a>",CLP,26,250,233,32,59,0,76,26,13,8,29,.253,.304,.326,.630,.307,-.62
"<a href=""https://www.baseball-reference.com/players/b/brigggr01.shtml"">Grant Briggs</a>",SR2,25,333,316,44,57,0,73,21,16,7,0,.180,.222,.231,.453,.223,-1.89
"<a href=""https://www.baseball-reference.com/players/b/brodist01.shtml"">Steve Brodie</a>",BSN,21,591,514,77,152,0,189,67,66,29,20,.296,.387,.368,.755,.375,.00
