Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/ackerji01.shtml"">Jim Acker</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnoteackerji01"" style=""display:none;""></input><label for=""footnoteackerji01"" class=""footnoteLabel"">2</label><div id=""footnoteDivackerji01"">TOR, ATL</div></span>",27,28,28,1,3,0,4,0,0,0,21,.107,.107,.143,.250,.110,-0.09
"<a href=""https://www.baseball-reference.com/players/a/adducji01.shtml"">Jim Adduci</a>",ML4,26,13,11,2,1,0,2,0,1,0,2,.091,.167,.182,.348,.166,-0.15
"<a href=""https://www.baseball-reference.com/players/a/aguaylu01.shtml"">Luis Aguayo</a>",PHI,27,146,133,17,28,4,48,13,8,1,26,.211,.267,.361,.628,.280,0.00
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">R. Aguilera</a>",NYN,24,57,51,4,8,2,14,6,3,0,12,.157,.204,.275,.478,.217,0.00
"<a href=""https://www.baseball-reference.com/players/a/aldremi01.shtml"">Mike Aldrete</a>",SFN,25,256,216,27,54,2,84,25,33,1,34,.250,.353,.389,.742,.331,0.00
"<a href=""https://www.baseball-reference.com/players/a/alexado01.shtml"">D. Alexander</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnotealexado01"" style=""display:none;""></input><label for=""footnotealexado01"" class=""footnoteLabel"">2</label><div id=""footnoteDivalexado01"">TOR, ATL</div></span>",35,45,38,2,8,0,9,5,0,0,8,.211,.205,.237,.442,.195,0.10
"<a href=""https://www.baseball-reference.com/players/a/allanan01.shtml"">A. Allanson</a>",CLE,24,323,293,30,66,1,82,29,14,10,36,.225,.260,.280,.539,.244,-1.04
"<a href=""https://www.baseball-reference.com/players/a/almonbi01.shtml"">Bill Almon</a>",PIT,33,230,196,29,43,7,75,27,30,11,38,.219,.319,.383,.701,.313,0.00
"<a href=""https://www.baseball-reference.com/players/a/amelued01.shtml"">Ed Amelung</a>",LAN,27,11,11,0,1,0,1,0,0,0,4,.091,.091,.091,.182,.082,-0.08
"<a href=""https://www.baseball-reference.com/players/a/anderda02.shtml"">D. Anderson</a>",LAN,25,241,216,31,53,1,65,15,22,5,39,.245,.314,.301,.615,.283,-0.03
