Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/allenmy01.shtml"">Myron Allen</a>",CL3,33,504,463,66,128,4,182,77,36,26,40,.276,.335,.393,.728,.340,0.81
"<a href=""https://www.baseball-reference.com/players/a/andreed01.shtml"">Ed Andrews</a>",PHI,28,488,464,110,151,4,196,67,21,57,21,.325,.359,.422,.781,.363,0.00
"<a href=""https://www.baseball-reference.com/players/a/ansonca01.shtml"">Cap Anson</a>",CHN,35,533,472,107,164,7,244,102,60,27,18,.347,.422,.517,.939,.430,5.46
"<a href=""https://www.baseball-reference.com/players/a/arundtu01.shtml"">Tug Arundel</a>",IN3,25,166,157,13,31,0,35,13,8,8,12,.197,.241,.223,.464,.227,-0.99
"<a href=""https://www.baseball-reference.com/players/a/atkinal01.shtml"">Al Atkinson</a>",PH4,26,64,59,8,12,1,17,5,5,3,12,.203,.266,.288,.554,.264,0.01
"<a href=""https://www.baseball-reference.com/players/b/baldwki01.shtml"">Kid Baldwin</a>",CN2,22,398,388,46,98,1,136,57,6,13,19,.253,.271,.351,.622,.285,-0.24
"<a href=""https://www.baseball-reference.com/players/b/baldwla01.shtml"">Lady Baldwin</a>",DTN,28,96,85,15,23,0,25,7,10,4,6,.271,.354,.294,.648,.323,0.38
"<a href=""https://www.baseball-reference.com/players/b/baldwma01.shtml"">Mark Baldwin</a>",CHN,23,149,139,18,26,4,41,17,10,4,42,.187,.242,.295,.537,.251,0.00
"<a href=""https://www.baseball-reference.com/players/b/barklsa01.shtml"">Sam Barkley</a>",PIT,29,374,340,44,76,1,97,35,30,6,24,.224,.294,.285,.579,.282,-0.34
"<a href=""https://www.baseball-reference.com/players/b/bassech01.shtml"">C. Bassett</a>",IN3,24,482,452,41,104,1,133,47,25,25,31,.230,.278,.294,.572,.273,0.00
"<a href=""https://www.baseball-reference.com/players/b/bastich01.shtml"">C. Bastian</a>",PHI,29,243,221,33,47,1,63,21,19,11,29,.213,.284,.285,.569,.276,-0.30
"<a href=""https://www.baseball-reference.com/players/b/beatied01.shtml"">Ed Beatin</a>",DTN,20,7,7,0,0,0,0,0,0,0,4,.000,.000,.000,.000,.000,-0.17
"<a href=""https://www.baseball-reference.com/players/b/becanbu01.shtml"">B. Becannon</a>",NY1,27,5,5,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,-0.13
"<a href=""https://www.baseball-reference.com/players/b/beeched01.shtml"">Ed Beecher</a>",PIT,27,178,169,15,41,2,55,22,7,8,8,.243,.281,.325,.606,.284,0.00
