Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/anderjo01.shtml"">J. Anderson</a>",MLA,27,607,576,90,190,8,274,99,24,35,21,.330,.360,.476,.836,.387,4.31
"<a href=""https://www.baseball-reference.com/players/b/bakerbo01.shtml"">Bock Baker</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnotebakerbo01"" style=""display:none;""></input><label for=""footnotebakerbo01"" class=""footnoteLabel"">2</label><div id=""footnoteDivbakerbo01"">CLE, PHA</div></span>",22,7,7,0,1,0,1,1,0,0,0,.143,.143,.143,.286,.136,-0.06
"<a href=""https://www.baseball-reference.com/players/b/barreji01.shtml"">J. Barrett</a>",DET,26,630,542,110,159,4,205,65,76,26,64,.293,.385,.378,.763,.369,2.89
"<a href=""https://www.baseball-reference.com/players/b/barrysh01.shtml"">Shad Barry</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnotebarrysh01"" style=""display:none;""></input><label for=""footnotebarrysh01"" class=""footnoteLabel"">2</label><div id=""footnoteDivbarrysh01"">BSN, PHI</div></span>",22,324,292,38,69,1,84,28,17,14,25,.236,.285,.288,.573,.275,0.00
"<a href=""https://www.baseball-reference.com/players/b/bayha01.shtml"">Harry Bay</a>",CIN,23,175,157,25,33,1,41,3,13,4,24,.210,.275,.261,.536,.263,-0.47
"<a href=""https://www.baseball-reference.com/players/b/beaumgi01.shtml"">G. Beaumont</a>",PIT,24,616,558,120,185,8,233,72,44,36,39,.332,.382,.418,.800,.379,3.68
"<a href=""https://www.baseball-reference.com/players/b/becker01.shtml"">Erve Beck</a>",CLE,22,567,539,78,156,6,216,79,23,7,29,.289,.320,.401,.720,.336,1.52
"<a href=""https://www.baseball-reference.com/players/b/becklja01.shtml"">Jake Beckley</a>",CIN,33,635,580,78,178,3,249,79,28,4,37,.307,.346,.429,.776,.362,3.79
"<a href=""https://www.baseball-reference.com/players/b/bergebi01.shtml"">Bill Bergen</a>",CIN,23,326,308,15,55,1,72,17,8,2,40,.179,.199,.234,.433,.205,-0.38
"<a href=""https://www.baseball-reference.com/players/b/bernacu01.shtml"">Curt Bernard</a>",NY1,23,83,76,11,17,0,21,6,7,2,11,.224,.289,.276,.565,.276,-0.28
"<a href=""https://www.baseball-reference.com/players/b/bernhbi01.shtml"">B. Bernhard</a>",PHA,30,118,107,8,20,0,28,8,8,0,14,.187,.243,.262,.505,.244,0.00
"<a href=""https://www.baseball-reference.com/players/b/bevilbe01.shtml"">Ben Beville</a>",BOS,23,7,7,2,2,0,4,1,0,0,0,.286,.286,.571,.857,.382,0.06
"<a href=""https://www.baseball-reference.com/players/b/bonege01.shtml"">George Bone</a>",MLA,26,47,43,6,13,0,15,6,4,0,2,.302,.362,.349,.711,.343,0.09
"<a href=""https://www.baseball-reference.com/players/b/bowerfr01.shtml"">F. Bowerman</a>",NY1,32,203,191,20,38,0,49,14,7,3,23,.199,.235,.257,.492,.235,-0.41
