playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
abernbi01,1952,1,CLE,AL,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0
abramca01,1952,1,BRO,NL,10,10,1,2,0,0,0,0,0,0,2,4,,0,0,,0
abramca01,1952,2,CIN,NL,71,158,23,44,9,2,2,13,1,0,19,25,,0,0,,1
adamsbo03,1952,1,CIN,NL,154,637,85,180,25,4,6,48,11,9,49,67,,0,8,,15
adcocjo01,1952,1,CIN,NL,117,378,43,105,22,4,13,52,1,4,23,38,,1,1,,10
addisbo01,1952,1,CHN,NL,93,292,38,86,13,2,1,20,4,4,23,30,,0,2,,5
alomalu01,1952,1,CHA,AL,25,7,0,0,0,0,0,0,0,0,0,2,,0,0,,0
amorosa01,1952,1,BRO,NL,20,44,10,11,3,1,0,3,1,0,5,14,,0,1,,0
arftha01,1952,1,SLA,AL,15,28,1,4,3,1,0,4,0,0,5,7,,0,0,,1
ashburi01,1952,1,PHI,NL,154,613,93,173,31,6,1,42,16,11,75,30,,2,11,,7
astrojo01,1952,1,PHA,AL,104,337,24,84,7,2,1,36,2,2,25,27,,2,6,,18
atkinja01,1952,1,BOS,AL,3,3,0,2,0,0,0,0,0,0,0,0,,0,0,,0
atwelto01,1952,1,CHN,NL,107,362,36,105,16,3,2,31,2,1,40,22,,1,2,,11
avilabo01,1952,1,CLE,AL,150,597,102,179,26,11,7,45,12,10,67,36,,1,19,,16
babelo01,1952,1,NYA,AL,12,21,1,2,1,0,0,0,1,0,4,4,,0,0,,0
bakerfl01,1952,1,WS1,AL,79,263,27,69,8,0,0,33,1,0,30,17,,2,3,,1
bambege01,1952,1,NY1,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bartito01,1952,1,PIT,NL,124,355,32,78,10,3,0,16,3,3,26,37,,0,5,,0
battsma01,1952,1,DET,AL,56,173,11,41,4,1,3,13,1,0,14,22,,1,2,,5
bauerha01,1952,1,NYA,AL,141,553,86,162,31,6,17,74,6,7,50,61,,3,9,,10
baumhfr01,1952,1,CHN,NL,103,409,59,133,17,4,4,35,5,7,27,27,,3,7,,5
