Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsjo01.shtml"">Joe Adams</a>",SLN,24,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/a/adkindo01.shtml"">Doc Adkins</a>",BOS,29,9,9,1,2,0,2,0,0,0,1,.222,.222,.222,.444,.213,-0.03
"<a href=""https://www.baseball-reference.com/players/a/altroni01.shtml"">Nick Altrock</a>",BOS,25,8,8,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,-0.17
"<a href=""https://www.baseball-reference.com/players/a/anderjo01.shtml"">J. Anderson</a>",SLA,28,551,524,60,149,4,202,85,21,15,9,.284,.316,.385,.701,.333,0.95
"<a href=""https://www.baseball-reference.com/players/a/arndtha01.shtml"">Harry Arndt</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnotearndtha01"" style=""display:none;""></input><label for=""footnotearndtha01"" class=""footnoteLabel"">2</label><div id=""footnoteDivarndtha01"">DET, BLA</div></span>",23,332,282,45,68,2,91,35,41,9,22,.241,.346,.323,.668,.328,-0.22
"<a href=""https://www.baseball-reference.com/players/a/atzja01.shtml"">Jake Atz</a>",WS1,22,12,10,1,1,0,1,0,0,0,0,.100,.100,.100,.200,.096,-0.09
"<a href=""https://www.baseball-reference.com/players/b/barclge01.shtml"">G. Barclay</a>",SLN,26,588,543,79,163,3,190,53,31,30,33,.300,.345,.350,.695,.336,0.00
"<a href=""https://www.baseball-reference.com/players/b/barreji01.shtml"">J. Barrett</a>",DET,27,594,509,93,154,4,197,44,74,24,61,.303,.397,.387,.784,.382,3.25
"<a href=""https://www.baseball-reference.com/players/b/barrysh01.shtml"">Shad Barry</a>",PHI,23,606,543,65,156,3,197,58,44,14,47,.287,.343,.363,.706,.341,0.00
"<a href=""https://www.baseball-reference.com/players/b/bayha01.shtml"">Harry Bay</a>","<span style=""white-space:nowrap""><input type=""checkbox"" id=""footnotebayha01"" style=""display:none;""></input><label for=""footnotebayha01"" class=""footnoteLabel"">2</label><div id=""footnoteDivbayha01"">CIN, CLE</div></span>",24,530,471,74,138,0,158,24,38,22,44,.293,.348,.335,.684,.333,1.62
"<a href=""https://www.baseball-reference.com/players/b/beanjo01.shtml"">Joe Bean</a>",NY1,28,196,182,13,40,0,44,5,5,9,19,.220,.249,.242,.490,.239,-0.06
"<a href=""https://www.baseball-reference.com/players/b/beaumgi01.shtml"">G. Beaumont</a>",PIT,25,599,541,100,193,0,226,67,39,33,40,.357,.404,.418,.822,.395,5.22
