Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/acostme01.shtml"">M. Acosta</a>",2,22,199,171,23,51,0,60,14,18,4,11,.298,.365,.351,.716,.352,-0.05
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,36,9,9,0,3,0,5,0,0,0,3,.333,.333,.556,.889,.419,0.12
"<a href=""https://www.baseball-reference.com/players/a/adamsbe01.shtml"">Bert Adams</a>",PHI,27,247,227,10,40,0,44,12,10,5,26,.176,.214,.194,.408,.205,-2.00
"<a href=""https://www.baseball-reference.com/players/a/adamswi01.shtml"">Willie Adams</a>",PHA,27,60,57,3,8,0,9,2,2,0,16,.140,.169,.158,.327,.164,-0.35
"<a href=""https://www.baseball-reference.com/players/a/agnewsa01.shtml"">Sam Agnew</a>",BOS,31,219,199,11,33,0,41,6,11,0,26,.166,.221,.206,.427,.216,0.16
"<a href=""https://www.baseball-reference.com/players/a/ainsmed01.shtml"">E. Ainsmith</a>",WS1,28,330,292,22,62,0,90,20,29,6,44,.212,.283,.308,.592,.292,0.00
"<a href=""https://www.baseball-reference.com/players/a/aldrivi01.shtml"">Vic Aldridge</a>",CHN,24,4,3,1,1,0,2,1,0,0,0,.333,.333,.667,1.000,.475,0.08
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">P. Alexander</a>",CHN,31,10,10,1,1,0,1,0,0,0,2,.100,.100,.100,.200,.097,-0.11
"<a href=""https://www.baseball-reference.com/players/a/allenni01.shtml"">Nick Allen</a>",CIN,29,101,96,6,25,0,31,5,4,0,7,.260,.297,.323,.620,.303,0.61
"<a href=""https://www.baseball-reference.com/players/a/altroni01.shtml"">Nick Altrock</a>",WS1,41,9,8,1,1,1,4,1,0,0,0,.125,.125,.500,.625,.306,0.06
"<a href=""https://www.baseball-reference.com/players/a/amesre01.shtml"">Red Ames</a>",SLN,35,75,64,1,10,0,11,4,7,1,14,.156,.239,.172,.411,.215,0.00
"<a href=""https://www.baseball-reference.com/players/a/anderfr01.shtml"">F. Anderson</a>",NY1,32,22,19,2,0,0,0,0,0,0,6,.000,.000,.000,.000,.000,-0.41
"<a href=""https://www.baseball-reference.com/players/a/anderge01.shtml"">G. Anderson</a>",SLN,28,154,132,20,39,0,53,6,15,0,7,.295,.380,.402,.782,.382,1.08
"<a href=""https://www.baseball-reference.com/players/a/archeji01.shtml"">Jimmy Archer</a>",3,35,113,106,9,22,0,30,5,3,0,14,.208,.243,.283,.526,.230,0.36
"<a href=""https://www.baseball-reference.com/players/a/austiji01.shtml"">Jimmy Austin</a>",SLA,38,442,367,42,97,0,119,20,53,18,32,.264,.359,.324,.683,.341,2.22
"<a href=""https://www.baseball-reference.com/players/a/ayersdo01.shtml"">Doc Ayers</a>",WS1,27,74,66,4,10,0,13,4,3,0,10,.152,.188,.197,.385,.192,0.00
"<a href=""https://www.baseball-reference.com/players/b/baderlo01.shtml"">King Bader</a>",BOS,30,9,9,0,1,0,1,0,0,0,3,.111,.111,.111,.222,.108,-0.10
"<a href=""https://www.baseball-reference.com/players/b/bagbyji01.shtml"">Jim Bagby</a>",CLE,28,108,99,5,21,0,24,8,6,1,9,.212,.257,.242,.500,.249,0.04
"<a href=""https://www.baseball-reference.com/players/b/bailebi01.shtml"">Bill Bailey</a>",DET,30,13,13,0,1,0,2,0,0,0,4,.077,.077,.154,.231,.110,-0.13
"<a href=""https://www.baseball-reference.com/players/b/bailefr01.shtml"">Fred Bailey</a>",BSN,22,4,4,1,1,0,1,0,0,0,1,.250,.250,.250,.500,.242,0.00
"<a href=""https://www.baseball-reference.com/players/b/bairddo01.shtml"">Doug Baird</a>",SLN,26,354,316,41,78,2,112,25,25,25,42,.247,.304,.354,.659,.322,0.00
"<a href=""https://www.baseball-reference.com/players/b/bakerfr01.shtml"">H. Baker</a>",NYA,32,556,504,65,154,6,206,62,38,8,13,.306,.357,.409,.765,.373,4.91
"<a href=""https://www.baseball-reference.com/players/b/bancrda01.shtml"">D. Bancroft</a>",PHI,27,561,499,69,132,0,159,26,54,11,36,.265,.338,.319,.656,.326,0.00
"<a href=""https://www.baseball-reference.com/players/b/barbawa01.shtml"">W. Barbare</a>",BOS,26,33,29,2,5,0,8,2,0,1,1,.172,.172,.276,.448,.214,-0.22
"<a href=""https://www.baseball-reference.com/players/b/barbetu01.shtml"">T. Barber</a>",CHN,24,135,123,11,29,0,36,10,9,3,16,.236,.293,.293,.586,.290,-0.28
"<a href=""https://www.baseball-reference.com/players/b/barneje01.shtml"">Jesse Barnes</a>",NY1,25,21,18,1,4,0,4,3,0,0,1,.222,.222,.222,.444,.215,0.00
"<a href=""https://www.baseball-reference.com/players/b/bashaal01.shtml"">Al Bashang</a>",BRO,29,5,5,0,1,0,1,0,0,0,0,.200,.200,.200,.400,.194,-0.03
"<a href=""https://www.baseball-reference.com/players/b/bassdo01.shtml"">Doc Bass</a>",BSN,19,1,1,1,1,0,1,0,0,1,0,1.000,1.000,1.000,2.000,.969,0.06
"<a href=""https://www.baseball-reference.com/players/b/bealljo01.shtml"">Johnny Beall</a>",SLN,36,56,49,2,11,0,12,6,3,0,6,.224,.269,.245,.514,.256,-0.17
"<a href=""https://www.baseball-reference.com/players/b/beckzi01.shtml"">Zinn Beck</a>",NYA,32,11,8,0,0,0,0,1,0,0,1,.000,.000,.000,.000,.000,-0.26
"<a href=""https://www.baseball-reference.com/players/b/bentoru01.shtml"">Rube Benton</a>",NY1,28,9,7,1,1,0,2,0,2,0,1,.143,.333,.286,.619,.321,0.07
"<a href=""https://www.baseball-reference.com/players/b/benzjo01.shtml"">Joe Benz</a>",CHA,32,55,51,3,11,0,12,5,0,0,14,.216,.216,.235,.451,.218,-0.09
"<a href=""https://www.baseball-reference.com/players/b/beschbo01.shtml"">Bob Bescher</a>",CLE,34,78,60,12,20,0,24,6,17,3,5,.333,.487,.400,.887,.441,0.80
"<a href=""https://www.baseball-reference.com/players/b/betzebr01.shtml"">Bruno Betzel</a>",SLN,23,248,230,18,51,0,71,13,12,8,16,.222,.260,.309,.569,.277,-0.21
"<a href=""https://www.baseball-reference.com/players/b/bigbeca01.shtml"">C. Bigbee</a>",PIT,23,369,310,47,79,1,99,19,42,19,10,.255,.344,.319,.663,.331,0.94
"<a href=""https://www.baseball-reference.com/players/b/billijo01.shtml"">J. Billings</a>",CLE,26,3,3,0,1,0,1,0,0,0,0,.333,.333,.333,.667,.323,0.01
"<a href=""https://www.baseball-reference.com/players/b/blackfr01.shtml"">F. Blackwell</a>",PIT,26,17,13,1,2,0,2,4,3,0,4,.154,.312,.154,.466,.259,-0.15
"<a href=""https://www.baseball-reference.com/players/b/blackle01.shtml"">L. Blackburne</a>",CIN,31,472,435,34,99,1,130,45,25,6,30,.228,.271,.299,.570,.279,1.10
"<a href=""https://www.baseball-reference.com/players/b/bluhmre01.shtml"">Red Bluhm</a>",BOS,24,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/b/bodiepi01.shtml"">Ping Bodie</a>",NYA,30,371,324,36,83,3,116,46,27,6,24,.256,.319,.358,.677,.332,1.24
"<a href=""https://www.baseball-reference.com/players/b/bolanbe01.shtml"">B. Boland</a>",DET,26,75,69,9,12,0,15,2,6,0,17,.174,.240,.217,.457,.232,0.02
"<a href=""https://www.baseball-reference.com/players/b/boonelu01.shtml"">Luke Boone</a>",PIT,28,105,91,7,18,0,21,3,8,1,6,.198,.263,.231,.493,.249,-0.23
"<a href=""https://www.baseball-reference.com/players/b/brennad01.shtml"">Ad Brennan</a>",2,30,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/b/bressru01.shtml"">R. Bressler</a>",CIN,23,68,62,10,17,0,22,6,5,0,4,.274,.328,.355,.683,.335,0.55
"<a href=""https://www.baseball-reference.com/players/b/brockjo01.shtml"">John Brock</a>",SLN,21,57,52,9,11,0,13,4,3,5,10,.212,.255,.250,.505,.250,-0.10
"<a href=""https://www.baseball-reference.com/players/b/bronkhe01.shtml"">H. Bronkie</a>",SLN,33,74,68,7,15,1,21,7,2,0,4,.221,.243,.309,.552,.269,0.29
"<a href=""https://www.baseball-reference.com/players/b/brottto01.shtml"">Tony Brottem</a>",SLN,27,5,4,0,0,0,0,0,1,0,0,.000,.200,.000,.200,.147,0.00
"<a href=""https://www.baseball-reference.com/players/b/burnsed01.shtml"">Ed Burns</a>",PHI,30,211,184,10,38,0,41,9,20,1,9,.207,.288,.223,.511,.261,0.23
"<a href=""https://www.baseball-reference.com/players/b/burnsge01.shtml"">George Burns</a>",NY1,28,522,465,80,135,4,181,51,43,40,37,.290,.354,.389,.743,.364,4.34
"<a href=""https://www.baseball-reference.com/players/b/burnsge02.shtml"">George Burns</a>",PHA,25,544,505,61,178,6,236,70,23,8,25,.352,.390,.467,.857,.415,0.00
"<a href=""https://www.baseball-reference.com/players/b/bushdo01.shtml"">Donie Bush</a>",DET,30,593,500,74,117,0,133,22,79,9,31,.234,.340,.266,.606,.309,-0.02
"<a href=""https://www.baseball-reference.com/players/b/bushjo01.shtml"">B. Bush</a>",BOS,25,105,98,8,27,0,34,14,6,0,11,.276,.317,.347,.664,.324,0.00
"<a href=""https://www.baseball-reference.com/players/c/cadorle01.shtml"">Leon Cadore</a>",BRO,26,5,4,0,0,0,0,0,1,0,2,.000,.200,.000,.200,.147,-0.04
"<a href=""https://www.baseball-reference.com/players/c/caldwra02.shtml"">Ray Caldwell</a>",NYA,30,169,151,14,44,1,57,18,13,2,23,.291,.352,.377,.729,.357,1.30
"<a href=""https://www.baseball-reference.com/players/c/canavhu01.shtml"">Hugh Canavan</a>",BSN,21,24,21,2,2,0,3,1,3,0,4,.095,.208,.143,.351,.191,-0.08
"<a href=""https://www.baseball-reference.com/players/c/careyma01.shtml"">Max Carey</a>",PIT,28,549,468,70,128,3,163,48,62,58,25,.274,.363,.348,.712,.353,0.00
