Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotgl01.shtml"">Glenn Abbott</a>",OAK,24,114&frac13;,5,5,0,109,61,54,12,50,51,4.251,4.345,1.391,1.02,0.00
"<a href=""https://www.baseball-reference.com/players/a/acostcy01.shtml"">Cy Acosta</a>",PHI,28,8&frac23;,0,0,1,9,7,6,2,3,2,6.231,6.480,1.385,0.67,-0.31
"<a href=""https://www.baseball-reference.com/players/a/alburvi01.shtml"">Vic Albury</a>",MIN,28,135,6,7,1,115,82,68,16,97,72,4.533,5.248,1.570,0.74,-0.50
"<a href=""https://www.baseball-reference.com/players/a/alexado01.shtml"">D. Alexander</a>",BAL,24,133&frac13;,8,8,1,127,47,45,7,47,46,3.038,3.632,1.305,0.98,0.00
"<a href=""https://www.baseball-reference.com/players/a/allenll01.shtml"">Lloyd Allen</a>",CHA,25,5&frac13;,0,2,0,8,7,7,2,6,2,11.812,9.310,2.625,0.33,-0.27
"<a href=""https://www.baseball-reference.com/players/a/anderla01.shtml"">L. Anderson</a>",ML4,22,30&frac13;,1,0,0,36,18,17,3,6,13,5.044,3.587,1.385,2.17,-0.02
"<a href=""https://www.baseball-reference.com/players/a/anderla02.shtml"">L. Andersen</a>",CLE,22,5&frac23;,0,0,0,4,3,3,0,2,4,4.765,2.231,1.059,2.00,0.00
"<a href=""https://www.baseball-reference.com/players/a/apodabo01.shtml"">Bob Apodaca</a>",NYN,25,84&frac23;,3,4,13,66,18,14,4,28,45,1.488,3.157,1.110,1.61,3.08
"<a href=""https://www.baseball-reference.com/players/a/arroyfe01.shtml"">F. Arroyo</a>",DET,23,53&frac13;,2,1,0,56,28,27,5,22,25,4.556,4.049,1.462,1.14,0.63
"<a href=""https://www.baseball-reference.com/players/a/augusje01.shtml"">J. Augustine</a>",ML4,22,26&frac23;,2,0,0,26,9,9,2,12,8,3.038,4.320,1.425,0.67,0.68
"<a href=""https://www.baseball-reference.com/players/a/austiri01.shtml"">Rick Austin</a>",ML4,28,40,2,3,2,32,19,18,3,32,30,4.050,4.461,1.600,0.94,0.41
