Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abernte02.shtml"">Ted Abernathy</a>",3,37,83,10,3,14,65,31,24,3,55,59,2.602,3.514,1.446,1.07,2.22
"<a href=""https://www.baseball-reference.com/players/a/acosted01.shtml"">Ed Acosta</a>",PIT,26,2&‌#8532;,0,0,1,5,4,4,1,2,1,13.500,7.155,2.625,.50,-.13
"<a href=""https://www.baseball-reference.com/players/a/aguirha01.shtml"">Hank Aguirre</a>",CHN,39,14,3,0,1,13,10,7,3,9,11,4.500,5.625,1.571,1.22,-.18
"<a href=""https://www.baseball-reference.com/players/a/akerja01.shtml"">Jack Aker</a>",NYA,29,70,4,2,16,57,19,16,3,20,36,2.057,2.860,1.100,1.80,.00
"<a href=""https://www.baseball-reference.com/players/a/allenll01.shtml"">Lloyd Allen</a>",CAL,20,24,1,1,0,23,7,7,0,11,12,2.625,2.892,1.417,1.09,.00
"<a href=""https://www.baseball-reference.com/players/a/arlinst01.shtml"">Steve Arlin</a>",SDN,24,12&‌#8532;,1,0,0,11,4,4,0,8,3,2.842,4.100,1.500,.38,.00
"<a href=""https://www.baseball-reference.com/players/a/arrigge01.shtml"">Gerry Arrigo</a>",CHA,29,13&‌#8531;,0,3,0,24,20,19,4,9,12,12.825,6.115,2.475,1.33,-.86
"<a href=""https://www.baseball-reference.com/players/a/austiri01.shtml"">Rick Austin</a>",CLE,23,67&‌#8532;,2,5,3,74,36,36,10,26,53,4.788,3.977,1.478,2.04,.19
"<a href=""https://www.baseball-reference.com/players/b/bahnsst01.shtml"">Stan Bahnsen</a>",NYA,25,232&‌#8532;,14,11,0,227,100,86,23,75,116,3.327,3.881,1.298,1.55,.00
"<a href=""https://www.baseball-reference.com/players/b/baldsja01.shtml"">Jack Baldschun</a>",SDN,33,13&‌#8531;,1,0,0,24,15,15,2,4,12,10.125,3.458,2.100,3.00,-.78
"<a href=""https://www.baseball-reference.com/players/b/baldwda01.shtml"">Dave Baldwin</a>",ML4,32,35&‌#8531;,2,1,1,25,11,10,4,18,26,2.547,4.284,1.217,1.44,1.00
"<a href=""https://www.baseball-reference.com/players/b/barbest01.shtml"">Steve Barber</a>",2,32,20&‌#8531;,0,2,0,27,16,14,3,11,14,6.197,4.522,1.869,1.27,-.36
"<a href=""https://www.baseball-reference.com/players/b/barbest02.shtml"">Steve Barber</a>",MIN,22,27&‌#8531;,0,0,2,26,14,14,1,18,14,4.610,3.847,1.610,.78,-.12
"<a href=""https://www.baseball-reference.com/players/b/beenefr01.shtml"">Fred Beene</a>",BAL,27,6,0,0,0,8,5,4,1,5,4,6.000,5.662,2.167,.80,.00
"<a href=""https://www.baseball-reference.com/players/b/behneme01.shtml"">Mel Behney</a>",CIN,22,10,0,2,0,15,11,5,1,8,2,4.500,5.644,2.300,.25,-.40
"<a href=""https://www.baseball-reference.com/players/b/belinbo01.shtml"">Bo Belinsky</a>",CIN,33,8,0,0,0,10,6,4,0,6,6,4.500,3.302,2.000,1.00,-.05
"<a href=""https://www.baseball-reference.com/players/b/bertafr01.shtml"">Frank Bertaina</a>",SLN,26,31&‌#8531;,1,2,0,36,16,11,1,15,14,3.160,3.552,1.628,.93,.37
"<a href=""https://www.baseball-reference.com/players/b/billija01.shtml"">Jack Billingham</a>",HOU,27,187&‌#8532;,13,9,0,190,102,83,10,63,134,3.980,2.745,1.348,2.13,.00
"<a href=""https://www.baseball-reference.com/players/b/blasiwa01.shtml"">Wade Blasingame</a>",HOU,26,77&‌#8532;,3,3,0,76,34,30,4,23,55,3.476,2.702,1.275,2.39,1.35
"<a href=""https://www.baseball-reference.com/players/b/blassst01.shtml"">Steve Blass</a>",PIT,28,196&‌#8532;,10,12,0,187,92,77,14,73,120,3.524,3.391,1.322,1.64,1.57
"<a href=""https://www.baseball-reference.com/players/b/bluevi01.shtml"">Vida Blue</a>",OAK,20,38&‌#8532;,2,0,0,20,12,9,0,12,35,2.095,1.626,.828,2.92,.84
"<a href=""https://www.baseball-reference.com/players/b/blylebe01.shtml"">Bert Blyleven</a>",MIN,19,164,10,9,0,143,66,58,17,47,135,3.183,3.162,1.159,2.87,2.16
"<a href=""https://www.baseball-reference.com/players/b/bolinbo01.shtml"">Bobby Bolin</a>",2,31,140,7,11,3,133,84,72,20,72,89,4.629,4.651,1.464,1.24,-.52
"<a href=""https://www.baseball-reference.com/players/b/borbope01.shtml"">Pedro Borbon</a>",CIN,23,17&‌#8531;,0,2,0,21,15,13,2,6,6,6.750,3.946,1.558,1.00,-.47
"<a href=""https://www.baseball-reference.com/players/b/bosmadi01.shtml"">Dick Bosman</a>",WS2,26,230&‌#8532;,16,12,0,212,81,77,16,71,134,3.004,3.284,1.227,1.89,.00
"<a href=""https://www.baseball-reference.com/players/b/bosweda01.shtml"">Dave Boswell</a>",MIN,25,68&‌#8532;,3,7,0,80,55,49,12,44,45,6.422,5.349,1.806,1.02,.00
"<a href=""https://www.baseball-reference.com/players/b/boutoji01.shtml"">Jim Bouton</a>",HOU,31,73&‌#8531;,4,6,0,84,53,44,5,33,49,5.400,3.439,1.595,1.48,-.82
"<a href=""https://www.baseball-reference.com/players/b/brabege01.shtml"">Gene Brabender</a>",ML4,28,128&‌#8532;,6,15,1,127,94,86,9,79,76,6.016,4.135,1.601,.96,-1.49
"<a href=""https://www.baseball-reference.com/players/b/bradlto01.shtml"">Tom Bradley</a>",CAL,23,69&‌#8532;,2,5,0,71,38,32,3,33,53,4.134,3.045,1.493,1.61,-.34
"<a href=""https://www.baseball-reference.com/players/b/brettke01.shtml"">Ken Brett</a>",BOS,21,139&‌#8531;,8,9,2,118,71,63,17,79,155,4.069,3.612,1.414,1.96,.00
"<a href=""https://www.baseball-reference.com/players/b/breweji01.shtml"">Jim Brewer</a>",LAN,32,89,7,6,24,66,36,31,10,33,91,3.135,3.176,1.112,2.76,.00
"<a href=""https://www.baseball-reference.com/players/b/brilene01.shtml"">Nelson Briles</a>",SLN,26,106&‌#8532;,6,7,0,129,84,74,14,36,59,6.244,4.101,1.547,1.64,.00
