Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/aasedo01.shtml"">Don Aase</a>",BAL,33,46&‌#8532;,0,0,0,40,22,21,4,37,28,4.050,5.173,1.650,.76,.38
"<a href=""https://www.baseball-reference.com/players/a/ackerji01.shtml"">Jim Acker</a>",ATL,29,42,0,4,0,45,26,22,6,14,25,4.714,4.327,1.405,1.79,-.32
"<a href=""https://www.baseball-reference.com/players/a/agostju01.shtml"">Juan Agosto</a>",HOU,30,91&‌#8532;,10,2,4,74,27,23,6,30,33,2.258,3.943,1.135,1.10,.00
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">Rick Aguilera</a>",NYN,26,24&‌#8532;,0,4,0,29,20,19,2,10,16,6.932,3.579,1.581,1.60,.00
"<a href=""https://www.baseball-reference.com/players/a/albagi01.shtml"">Gibson Alba</a>",SLN,28,3&‌#8531;,0,0,0,1,2,1,0,2,3,2.700,2.769,.900,1.50,-.03
"<a href=""https://www.baseball-reference.com/players/a/alexado01.shtml"">Doyle Alexander</a>",DET,37,229,14,11,0,260,122,110,30,46,126,4.323,3.868,1.336,2.74,.27
"<a href=""https://www.baseball-reference.com/players/a/allenne01.shtml"">Neil Allen</a>",NYA,30,117&‌#8531;,5,3,0,121,51,50,14,37,61,3.835,4.164,1.347,1.65,1.79
"<a href=""https://www.baseball-reference.com/players/a/alvarjo01.shtml"">Jose Alvarez</a>",ATL,32,102&‌#8531;,5,6,3,88,34,34,7,53,81,2.990,3.472,1.378,1.53,2.56
"<a href=""https://www.baseball-reference.com/players/a/anderal02.shtml"">Allan Anderson</a>",MIN,24,202&‌#8531;,16,9,0,199,70,55,14,37,83,2.446,3.307,1.166,2.24,5.20
"<a href=""https://www.baseball-reference.com/players/a/anderla02.shtml"">Larry Andersen</a>",HOU,35,82&‌#8532;,2,4,5,82,29,27,3,20,66,2.940,2.357,1.234,3.30,.00
"<a href=""https://www.baseball-reference.com/players/a/anderri02.shtml"">Rick Anderson</a>",KCA,31,34,2,1,0,41,17,16,3,9,9,4.235,4.077,1.471,1.00,.34
"<a href=""https://www.baseball-reference.com/players/a/andujjo01.shtml"">Joaquin Andujar</a>",HOU,35,78&‌#8532;,2,5,0,94,43,35,9,21,35,4.004,3.924,1.462,1.67,-.27
"<a href=""https://www.baseball-reference.com/players/a/aquinlu01.shtml"">Luis Aquino</a>",KCA,24,29,1,0,0,33,15,9,1,17,11,2.793,4.056,1.724,.65,.28
