Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotji01.shtml"">Jim Abbott</a>",MIL,31,82,2,8,0,110,71,63,14,42,37,6.915,5.790,1.854,.88,-1.13
"<a href=""https://www.baseball-reference.com/players/a/abbotpa01.shtml"">Paul Abbott</a>",SEA,31,72&‌#8532;,6,2,0,50,31,25,9,32,68,3.096,4.248,1.128,2.12,.00
"<a href=""https://www.baseball-reference.com/players/a/aceveju01.shtml"">Juan Acevedo</a>",SLN,29,102&‌#8531;,6,8,4,115,71,67,17,48,52,5.893,5.626,1.593,1.08,-.70
"<a href=""https://www.baseball-reference.com/players/a/adamste01.shtml"">Terry Adams</a>",CHN,26,65,6,3,13,60,33,29,9,28,57,4.015,4.494,1.354,2.04,.00
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">Rick Aguilera</a>",2,37,67&‌#8532;,9,4,14,54,25,22,8,12,45,2.926,3.820,.975,3.75,1.30
"<a href=""https://www.baseball-reference.com/players/a/aldresc01.shtml"">Scott Aldred</a>",2,31,56&‌#8532;,4,3,1,59,30,28,2,29,41,4.447,3.566,1.553,1.41,.19
"<a href=""https://www.baseball-reference.com/players/a/alfonan01.shtml"">Antonio Alfonseca</a>",FLO,27,77&‌#8532;,4,5,21,79,28,28,4,29,46,3.245,3.602,1.391,1.59,1.51
"<a href=""https://www.baseball-reference.com/players/a/almanar01.shtml"">Armando Almanza</a>",FLO,26,15&‌#8532;,0,1,0,8,4,3,1,9,20,1.723,2.931,1.085,2.22,.57
"<a href=""https://www.baseball-reference.com/players/a/almanca01.shtml"">Carlos Almanzar</a>",SDN,25,37&‌#8531;,0,0,0,48,32,31,6,15,30,7.473,4.510,1.688,2.00,-.58
"<a href=""https://www.baseball-reference.com/players/a/almonhe01.shtml"">Hector Almonte</a>",FLO,23,15,0,2,0,20,7,7,1,6,8,4.200,4.105,1.733,1.33,.15
"<a href=""https://www.baseball-reference.com/players/a/alvarju01.shtml"">Juan Alvarez</a>",ANA,25,3,0,1,0,1,1,1,0,4,4,3.000,4.558,1.667,1.00,.15
"<a href=""https://www.baseball-reference.com/players/a/alvarwi01.shtml"">Wilson Alvarez</a>",TBA,29,160,9,9,0,159,92,75,22,79,128,4.219,4.713,1.488,1.62,2.71
"<a href=""https://www.baseball-reference.com/players/a/anderbr02.shtml"">Brian Anderson</a>",ARI,27,130,8,2,1,144,69,66,18,28,75,4.569,4.403,1.323,2.68,1.21
"<a href=""https://www.baseball-reference.com/players/a/anderji02.shtml"">Jimmy Anderson</a>",PIT,23,29&‌#8531;,2,1,0,25,15,13,2,16,13,3.989,4.759,1.398,.81,.00
"<a href=""https://www.baseball-reference.com/players/a/anderma01.shtml"">Matt Anderson</a>",DET,22,38,2,1,0,33,27,24,8,35,32,5.684,7.053,1.789,.91,-.20
"<a href=""https://www.baseball-reference.com/players/a/ankieri01.shtml"">Rick Ankiel</a>",SLN,19,33,0,1,1,26,12,12,2,14,39,3.273,2.739,1.212,2.79,.97
"<a href=""https://www.baseball-reference.com/players/a/appieke01.shtml"">Kevin Appier</a>",2,31,209,16,14,0,230,131,120,27,84,131,5.167,4.657,1.502,1.56,1.36
"<a href=""https://www.baseball-reference.com/players/a/armasto02.shtml"">Tony Armas</a>",MON,21,6,0,1,0,8,4,1,0,2,2,1.500,3.439,1.667,1.00,.01
"<a href=""https://www.baseball-reference.com/players/a/arnolja01.shtml"">Jamie Arnold</a>",LAN,25,69,2,4,1,81,50,42,6,34,26,5.478,4.754,1.667,.76,.00
"<a href=""https://www.baseball-reference.com/players/a/arrojro01.shtml"">Rolando Arrojo</a>",TBA,33,140&‌#8532;,7,12,0,162,84,81,23,60,107,5.182,4.722,1.578,1.78,.00
"<a href=""https://www.baseball-reference.com/players/a/ashbyan01.shtml"">Andy Ashby</a>",SDN,31,206,14,10,0,204,95,87,26,54,132,3.801,4.198,1.252,2.44,.00
"<a href=""https://www.baseball-reference.com/players/a/assenpa01.shtml"">Paul Assenmacher</a>",CLE,38,33,2,1,0,50,32,30,6,17,29,8.182,4.962,2.030,1.71,-.92
"<a href=""https://www.baseball-reference.com/players/a/astacpe01.shtml"">Pedro Astacio</a>",COL,30,232,17,11,0,258,140,130,38,75,210,5.043,4.263,1.435,2.80,.00
