Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/andrufr01.shtml"">Fred Andrus</a>",CHN,33,9,1,0,0,11,3,2,1,2,2,2.000,5.016,1.444,1.00,0.33
"<a href=""https://www.baseball-reference.com/players/a/ansonca01.shtml"">Cap Anson</a>",CHN,32,1,0,1,0,3,4,2,2,1,1,18.000,21.296,4.000,1.00,-0.23
"<a href=""https://www.baseball-reference.com/players/a/arundha01.shtml"">H. Arundel</a>",PRO,29,9,1,0,0,8,2,1,0,4,4,1.000,3.778,1.333,1.00,0.35
"<a href=""https://www.baseball-reference.com/players/a/atkinal01.shtml"">Al Atkinson</a>",3,23,393&frac23;,20,26,0,373,247,147,8,54,247,3.361,2.617,1.085,4.57,-0.73
"<a href=""https://www.baseball-reference.com/players/a/aydelja01.shtml"">J. Aydelott</a>",IN2,22,106,5,7,0,129,100,58,0,29,30,4.925,3.515,1.491,1.03,-1.83
"<a href=""https://www.baseball-reference.com/players/b/bakelje01.shtml"">J. Bakley</a>",3,20,394&frac23;,16,30,0,443,338,188,0,81,226,4.287,2.762,1.328,2.79,0.00
"<a href=""https://www.baseball-reference.com/players/b/baldwla01.shtml"">Lady Baldwin</a>",MLU,25,17,1,1,0,7,5,5,0,1,21,2.647,.844,.471,21.00,0.02
"<a href=""https://www.baseball-reference.com/players/b/barrbo01.shtml"">Bob Barr</a>",2,27,413,12,34,0,471,327,181,11,50,207,3.944,2.866,1.262,4.14,-0.53
"<a href=""https://www.baseball-reference.com/players/b/bastich01.shtml"">C. Bastian</a>",WIL,26,6,0,0,0,6,5,2,0,0,2,3.000,2.605,1.000,&infin;,-0.03
"<a href=""https://www.baseball-reference.com/players/b/baueral01.shtml"">Al Bauer</a>",CL5,24,25,1,2,0,22,21,13,1,14,13,4.680,4.483,1.440,0.93,-0.49
"<a href=""https://www.baseball-reference.com/players/b/becanbu01.shtml"">B. Becannon</a>",NY4,24,6,1,0,0,2,2,1,0,2,2,1.500,3.645,.667,1.00,0.14
"<a href=""https://www.baseball-reference.com/players/b/beckfr01.shtml"">Frank Beck</a>",2,25,34,0,5,0,50,42,25,0,10,18,6.618,2.708,1.765,1.80,-0.72
"<a href=""https://www.baseball-reference.com/players/b/begleed01.shtml"">Ed Bagley</a>",NY1,20,266,12,18,0,296,209,123,9,99,104,4.162,4.032,1.485,1.05,-1.45
"<a href=""https://www.baseball-reference.com/players/b/blackbo01.shtml"">Bob Black</a>",KCU,21,123,4,9,0,127,79,44,1,17,93,3.220,2.315,1.171,5.47,-0.18
"<a href=""https://www.baseball-reference.com/players/b/blaisdi01.shtml"">D. Blaisdell</a>",KCU,22,26,0,3,0,49,39,25,0,4,8,8.654,3.140,2.038,2.00,-1.17
"<a href=""https://www.baseball-reference.com/players/b/bondto01.shtml"">Tommy Bond</a>",2,28,232,13,14,0,247,171,90,8,18,143,3.491,2.709,1.142,7.94,-1.58
"<a href=""https://www.baseball-reference.com/players/b/boylehe01.shtml"">Henry Boyle</a>",SLU,23,150,15,3,1,118,63,29,3,10,88,1.740,2.528,.853,8.80,1.23
"<a href=""https://www.baseball-reference.com/players/b/bradlge01.shtml"">G. Bradley</a>",CNU,31,342,25,15,0,350,203,103,7,23,168,2.711,2.758,1.091,7.30,1.14
"<a href=""https://www.baseball-reference.com/players/b/brillfr01.shtml"">Frank Brill</a>",DTN,20,103,2,10,0,148,98,63,7,26,18,5.505,4.472,1.689,0.69,-1.52
"<a href=""https://www.baseball-reference.com/players/b/browned01.shtml"">Ed Brown</a>",TL1,?,9,0,1,0,19,16,9,0,4,1,9.000,3.890,2.556,0.25,-0.39
"<a href=""https://www.baseball-reference.com/players/b/brownji01.shtml"">Jim Brown</a>",3,23,119,2,14,0,152,123,64,1,58,61,4.840,3.779,1.765,1.05,-3.40
"<a href=""https://www.baseball-reference.com/players/b/brownjo01.shtml"">Joe Brown</a>",CHN,25,50,4,2,0,56,36,26,4,7,27,4.680,3.632,1.260,3.86,-0.13
"<a href=""https://www.baseball-reference.com/players/b/brownle01.shtml"">Lew Brown</a>",BSU,26,1,0,0,1,6,7,4,0,1,0,36.000,4.700,7.000,0.00,-0.35
"<a href=""https://www.baseball-reference.com/players/b/brownpe01.shtml"">P. Browning</a>",LS2,23,0&frac13;,0,1,0,2,3,2,0,2,0,54.000,9.710,12.000,0.00,-0.21
"<a href=""https://www.baseball-reference.com/players/b/brownto01.shtml"">Tom Brown</a>",CL5,23,19,2,1,0,27,24,15,0,7,5,7.105,3.750,1.789,0.71,-0.93
