Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/b/bakerbo01.shtml"">Bock Baker</a>",2,22,14,0,2,0,29,24,12,0,12,1,7.714,4.735,2.929,.08,-.63
"<a href=""https://www.baseball-reference.com/players/b/bernhbi01.shtml"">Bill Bernhard</a>",PHA,30,257,17,10,0,328,169,129,6,50,58,4.518,3.320,1.471,1.16,.00
"<a href=""https://www.baseball-reference.com/players/b/bevilbe01.shtml"">Ben Beville</a>",BOS,23,9,0,2,0,8,7,4,0,9,1,4.000,5.518,1.889,.11,-.09
"<a href=""https://www.baseball-reference.com/players/b/brackja01.shtml"">Jack Bracken</a>",CLE,20,100,4,8,0,137,94,69,4,31,18,6.210,3.671,1.680,.58,-1.41
"<a href=""https://www.baseball-reference.com/players/b/bradlbi01.shtml"">Bill Bradley</a>",CLE,23,1,0,0,0,4,3,0,0,0,0,.000,2.924,4.000,&infin;,-.17
"<a href=""https://www.baseball-reference.com/players/b/braggdi01.shtml"">Dick Braggins</a>",CLE,23,32,1,2,0,44,28,17,1,15,1,4.781,4.510,1.844,.07,-.33
"<a href=""https://www.baseball-reference.com/players/b/breitte01.shtml"">Theodore Breitenstein</a>",SLN,32,15,0,3,0,24,26,11,1,14,3,6.600,5.884,2.533,.21,-.99
"<a href=""https://www.baseball-reference.com/players/b/bresnro01.shtml"">Roger Bresnahan</a>",BLA,22,6,0,1,0,10,8,4,0,4,3,6.000,3.790,2.333,.75,-.24
"<a href=""https://www.baseball-reference.com/players/b/burnsfa01.shtml"">Farmer Burns</a>",SLN,25,1,0,0,0,2,1,1,0,1,0,9.000,2.924,3.000,.00,-.05
"<a href=""https://www.baseball-reference.com/players/c/callani01.shtml"">Jimmy Callahan</a>",CHA,27,215&‌#8531;,15,8,0,195,94,58,4,50,70,2.424,3.093,1.138,1.40,4.40
"<a href=""https://www.baseball-reference.com/players/c/carribi01.shtml"">Bill Carrick</a>",WS1,27,324,14,22,0,367,198,135,12,93,70,3.750,3.648,1.420,.75,3.78
"<a href=""https://www.baseball-reference.com/players/c/carseki01.shtml"">Kid Carsey</a>",BRO,28,7,1,0,0,9,9,8,1,3,4,10.286,4.439,1.714,1.33,-.38
"<a href=""https://www.baseball-reference.com/players/c/casech01.shtml"">Charlie Case</a>",CIN,21,27,1,2,0,34,21,14,0,6,5,4.667,3.211,1.481,.83,-.32
"<a href=""https://www.baseball-reference.com/players/c/chesbja01.shtml"">Jack Chesbro</a>",PIT,27,287&‌#8532;,21,10,1,261,104,76,4,52,129,2.378,2.593,1.088,2.48,.00
"<a href=""https://www.baseball-reference.com/players/c/cristbi01.shtml"">Bill Cristall</a>",CLE,25,48&‌#8531;,1,5,0,54,42,26,1,30,12,4.841,4.307,1.738,.40,-.48
"<a href=""https://www.baseball-reference.com/players/c/cronija01.shtml"">Jack Cronin</a>",DET,27,219&‌#8532;,13,16,0,261,145,95,6,42,62,3.892,3.133,1.379,1.48,.00
"<a href=""https://www.baseball-reference.com/players/c/cunnibe01.shtml"">Bert Cunningham</a>",CHN,35,9,0,1,0,11,6,5,0,3,2,5.000,3.461,1.556,.67,-.05
"<a href=""https://www.baseball-reference.com/players/c/cuppyni01.shtml"">Nig Cuppy</a>",BOS,31,93&‌#8531;,4,6,0,111,58,43,1,14,22,4.146,2.976,1.339,1.57,.21
"<a href=""https://www.baseball-reference.com/players/d/deegadu01.shtml"">Dummy Deegan</a>",NY1,26,17,0,1,0,27,17,12,0,6,8,6.353,3.027,1.941,1.33,-.41
