Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbeybe01.shtml"">Bert Abbey</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteabbeybe01"" style=""display:none;""></input><label for=""footnoteabbeybe01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivabbeybe01"">CHN, BRO</div></span>",25,180,5,3,0,76,42,29,0,11,17,4.350,3.515,1.450,1.55,-0.03
"<a href=""https://www.baseball-reference.com/players/a/anderva01.shtml"">V. Anderson</a>",WAS,29,614,9,16,0,288,199,134,13,97,35,5.893,5.436,1.881,0.36,-0.63
"<a href=""https://www.baseball-reference.com/players/b/baileki01.shtml"">King Bailey</a>",CIN,25,24,1,0,0,13,8,5,0,0,0,5.625,3.378,1.625,&infin;,-0.06
"<a href=""https://www.baseball-reference.com/players/b/banksbi01.shtml"">Bill Yerrick</a>",BSN,21,21,1,0,0,7,2,0,0,4,4,.000,4.313,1.571,1.00,0.35
"<a href=""https://www.baseball-reference.com/players/b/bannoji01.shtml"">Jimmy Bannon</a>",BSN,24,9,0,0,0,4,2,2,0,2,1,6.000,4.977,2.000,0.50,0.05
"<a href=""https://www.baseball-reference.com/players/b/beamer01.shtml"">Ernie Beam</a>",PHI,28,74,0,2,3,33,33,31,1,25,3,11.311,6.901,2.351,0.12,-0.77
"<a href=""https://www.baseball-reference.com/players/b/borchge01.shtml"">G. Borchers</a>",LS3,26,2,0,1,0,1,2,2,0,3,0,27.000,16.284,6.000,0.00,-0.10
"<a href=""https://www.baseball-reference.com/players/b/boswean01.shtml"">Andy Boswell</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteboswean01"" style=""display:none;""></input><label for=""footnoteboswean01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivboswean01"">NY1, WAS</div></span>",21,192,3,4,0,85,67,42,2,41,30,5.906,4.830,1.969,0.73,-0.68
"<a href=""https://www.baseball-reference.com/players/b/boydja01.shtml"">Jake Boyd</a>",WAS,21,278,2,11,0,132,95,70,1,40,18,6.799,4.416,1.856,0.45,-0.61
"<a href=""https://www.baseball-reference.com/players/b/breitte01.shtml"">T. Breitenst</a>",SLN,26,1316,19,30,1,468,299,213,16,182,131,4.370,4.788,1.482,0.72,8.78
