playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
allenjo02,1933,1,NYA,AL,15,7,25,24,10,1,1,554,171,90,9,87,119,0.24,4.39,,10,4,0,804,1,96,,,
andreiv01,1933,1,BOS,AL,7,13,34,17,5,0,1,420,157,77,8,61,37,0.27,4.95,,0,1,0,639,9,96,,,
applepe01,1933,1,NYA,AL,0,0,1,0,0,0,0,6,3,0,0,1,0,0.37,0,,0,0,0,9,1,0,,,
aukerel01,1933,1,DET,AL,3,3,15,6,2,1,0,165,63,32,3,25,17,0.28,5.24,,0,2,0,251,7,34,,,
barredi01,1933,1,PHA,AL,4,4,15,7,3,0,0,211,74,45,2,49,26,0.27,5.76,,6,1,0,329,4,51,,,
beanbe01,1933,1,CLE,AL,1,2,27,2,0,0,0,211,80,41,6,20,41,0.3,5.25,,2,1,1,293,14,43,,,
beckbo01,1933,1,BRO,NL,12,20,43,35,15,3,1,771,270,101,9,69,89,0.26,3.54,,2,11,1,1114,7,128,,,
bellhi01,1933,1,NY1,NL,6,5,38,7,1,1,5,316,100,24,4,20,24,0.24,2.05,,0,2,1,433,21,31,,,
bengera01,1933,1,BRO,NL,10,17,37,30,16,2,1,686,238,87,11,55,74,0.26,3.42,,1,6,0,968,5,104,,,
bentola01,1933,1,CIN,NL,10,11,34,19,7,2,2,458,160,63,5,36,33,0.27,3.71,,5,3,0,645,10,70,,,
berlyja01,1933,1,PHI,NL,2,3,13,6,1,1,0,150,62,28,5,22,4,0.3,5.04,,2,2,0,231,4,30,,,
bettshu01,1933,1,BSN,NL,11,11,35,26,17,2,4,726,225,75,9,55,40,0.24,2.79,,1,0,0,986,7,79,,,
birkora01,1933,1,PIT,NL,4,2,9,8,3,1,0,152,43,13,1,17,20,0.22,2.31,,2,1,0,207,1,22,,,
blaehge01,1933,1,SLA,AL,15,19,38,36,14,3,0,767,283,134,24,69,63,0.28,4.72,,3,0,0,1091,2,146,,,
branded01,1933,1,BSN,NL,18,14,41,32,23,4,4,863,256,83,10,77,104,0.24,2.6,,2,3,1,1162,9,85,,,
braxtga01,1933,1,SLA,AL,0,1,5,1,0,0,0,25,11,9,0,8,5,0.28,9.72,,0,1,0,48,1,10,,,
