Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/aasedo01.shtml"">Don Aase</a>",BAL,31,245,6,7,34,71,29,27,6,28,67,2.976,3.114,1.212,2.39,2.27
"<a href=""https://www.baseball-reference.com/players/a/ackerji01.shtml"">Jim Acker</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteackerji01"" style=""display:none;""></input><label for=""footnoteackerji01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivackerji01"">TOR, ATL</div></span>",27,465,5,12,0,163,81,69,13,48,69,4.006,3.838,1.361,1.44,0.00
"<a href=""https://www.baseball-reference.com/players/a/agostju01.shtml"">Juan Agosto</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteagostju01"" style=""display:none;""></input><label for=""footnoteagostju01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivagostju01"">CHA, MIN</div></span>",28,75,1,4,1,49,30,24,1,18,12,8.640,3.980,2.680,0.67,0.00
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">R. Aguilera</a>",NYN,24,425,10,7,0,145,70,61,15,36,104,3.875,3.278,1.278,2.89,0.00
"<a href=""https://www.baseball-reference.com/players/a/akerfda01.shtml"">D. Akerfelds</a>",OAK,24,16,0,0,0,7,5,4,2,3,5,6.750,7.171,1.875,1.67,-0.13
"<a href=""https://www.baseball-reference.com/players/a/alexado01.shtml"">D. Alexander</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotealexado01"" style=""display:none;""></input><label for=""footnotealexado01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivalexado01"">TOR, ATL</div></span>",35,685,11,10,0,255,114,105,27,37,139,4.139,3.497,1.279,3.76,1.29
"<a href=""https://www.baseball-reference.com/players/a/allenne01.shtml"">Neil Allen</a>",CHA,28,339,7,2,0,101,50,48,8,38,57,3.823,3.665,1.230,1.50,1.90
"<a href=""https://www.baseball-reference.com/players/a/anderal02.shtml"">A. Anderson</a>",MIN,22,253,3,6,0,106,54,52,11,30,51,5.549,4.246,1.613,1.70,-0.08
"<a href=""https://www.baseball-reference.com/players/a/anderla02.shtml"">L. Andersen</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteanderla02"" style=""display:none;""></input><label for=""footnoteanderla02"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivanderla02"">PHI, HOU</div></span>",33,232,2,1,1,83,30,26,2,26,42,3.026,2.991,1.409,1.62,0.00
"<a href=""https://www.baseball-reference.com/players/a/anderri02.shtml"">R. Anderson</a>",NYN,29,149,2,1,1,45,17,15,3,11,21,2.718,3.388,1.128,1.91,0.84
"<a href=""https://www.baseball-reference.com/players/a/andujjo01.shtml"">J. Andujar</a>",OAK,33,466,12,7,1,139,70,66,23,56,72,3.824,4.880,1.255,1.29,1.53
"<a href=""https://www.baseball-reference.com/players/a/aquinlu01.shtml"">Luis Aquino</a>",TOR,22,34,1,1,0,14,8,8,2,3,5,6.353,4.907,1.500,1.67,-0.15
"<a href=""https://www.baseball-reference.com/players/a/armstmi01.shtml"">M. Armstrong</a>",NYA,32,26,0,1,0,13,9,9,4,5,8,9.346,8.475,2.077,1.60,-0.24
"<a href=""https://www.baseball-reference.com/players/a/arnolto01.shtml"">Tony Arnold</a>",BAL,27,76,0,2,0,25,15,10,0,11,7,3.553,3.565,1.421,0.64,0.01
"<a href=""https://www.baseball-reference.com/players/a/arnsbbr01.shtml"">B. Arnsberg</a>",NYA,22,24,0,0,0,13,3,3,1,1,3,3.375,3.820,1.750,3.00,0.15
"<a href=""https://www.baseball-reference.com/players/a/assenpa01.shtml"">P. Assenmacher</a>",ATL,25,205,7,3,7,61,23,19,5,26,56,2.502,3.221,1.273,2.15,1.97
"<a href=""https://www.baseball-reference.com/players/a/atherke01.shtml"">K. Atherton</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteatherke01"" style=""display:none;""></input><label for=""footnoteatherke01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivatherke01"">OAK, MIN</div></span>",27,291,6,10,10,100,47,44,11,46,67,4.082,4.224,1.505,1.46,-0.16
"<a href=""https://www.baseball-reference.com/players/b/bailesc01.shtml"">Scott Bailes</a>",CLE,24,338,10,10,7,123,70,62,12,43,60,4.953,4.163,1.473,1.40,-0.31
"<a href=""https://www.baseball-reference.com/players/b/bairdo01.shtml"">Doug Bair</a>",OAK,36,135,2,3,4,37,15,15,5,18,40,3.000,3.639,1.222,2.22,0.87
"<a href=""https://www.baseball-reference.com/players/b/balleja01.shtml"">Jay Baller</a>",CHN,25,161,2,4,5,58,37,32,7,28,42,5.366,4.278,1.602,1.50,-0.86
"<a href=""https://www.baseball-reference.com/players/b/bankhsc01.shtml"">S. Bankhead</a>",KCA,22,363,8,9,0,121,66,62,14,37,94,4.612,3.546,1.306,2.54,0.76
"<a href=""https://www.baseball-reference.com/players/b/bannifl01.shtml"">F. Bannister</a>",CHA,31,496,10,14,0,162,81,65,17,48,92,3.538,3.842,1.270,1.92,1.84
"<a href=""https://www.baseball-reference.com/players/b/bargagr01.shtml"">Greg Bargar</a>",SLN,27,82,0,2,0,36,19,17,3,10,12,5.598,4.030,1.683,1.20,-0.73
"<a href=""https://www.baseball-reference.com/players/b/beattji01.shtml"">Jim Beattie</a>",SEA,31,121,0,6,0,57,28,27,7,14,24,6.025,4.533,1.760,1.71,0.06
"<a href=""https://www.baseball-reference.com/players/b/beckwjo01.shtml"">Joe Beckwith</a>",LAN,31,55,0,0,0,28,16,14,5,6,13,6.873,5.636,1.855,2.17,-0.55
"<a href=""https://www.baseball-reference.com/players/b/bedrost01.shtml"">S. Bedrosian</a>",PHI,28,271,8,6,29,79,39,34,12,34,82,3.387,3.806,1.251,2.41,0.93
"<a href=""https://www.baseball-reference.com/players/b/beller01.shtml"">Eric Bell</a>",BAL,22,70,1,2,0,23,14,13,4,14,18,5.014,5.258,1.586,1.29,0.09
"<a href=""https://www.baseball-reference.com/players/b/berenbr01.shtml"">B. Berenyi</a>",NYN,31,119,2,2,0,47,30,28,5,22,30,6.353,4.405,1.739,1.36,-1.06
"<a href=""https://www.baseball-reference.com/players/b/berenju01.shtml"">J. Berenguer</a>",SFN,31,220,2,3,4,64,23,22,4,44,72,2.700,3.242,1.473,1.64,1.18
"<a href=""https://www.baseball-reference.com/players/b/bestka01.shtml"">Karl Best</a>",SEA,27,107,2,3,1,35,19,16,3,21,23,4.037,4.222,1.570,1.10,0.33
"<a href=""https://www.baseball-reference.com/players/b/bielemi01.shtml"">M. Bielecki</a>",PIT,26,446,6,11,0,149,87,77,10,83,83,4.661,4.147,1.561,1.00,0.00
"<a href=""https://www.baseball-reference.com/players/b/birkbmi01.shtml"">M. Birkbeck</a>",ML4,25,66,1,1,0,24,12,11,0,12,13,4.500,3.217,1.636,1.08,0.23
"<a href=""https://www.baseball-reference.com/players/b/birtsti01.shtml"">Tim Birtsas</a>",OAK,25,6,0,0,0,2,5,5,1,4,1,22.500,15.277,3.000,0.25,-0.19
"<a href=""https://www.baseball-reference.com/players/b/bittije01.shtml"">J. Bittiger</a>",PHI,24,44,1,1,0,16,10,9,2,7,8,5.523,4.611,1.568,1.14,-0.13
"<a href=""https://www.baseball-reference.com/players/b/blackbu02.shtml"">Buddy Black</a>",KCA,29,363,5,10,9,100,49,43,14,43,68,3.198,4.101,1.182,1.58,0.00
"<a href=""https://www.baseball-reference.com/players/b/bluevi01.shtml"">Vida Blue</a>",SFN,36,470,10,10,0,137,65,57,19,77,100,3.274,4.618,1.366,1.30,1.14
"<a href=""https://www.baseball-reference.com/players/b/blylebe01.shtml"">B. Blyleven</a>",MIN,35,815,17,14,0,262,134,121,50,58,215,4.009,4.116,1.178,3.71,4.23
"<a href=""https://www.baseball-reference.com/players/b/bockura01.shtml"">Randy Bockus</a>",SFN,25,21,0,0,0,7,5,2,1,6,4,2.571,5.794,1.857,0.67,-0.11
