Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/adkinde01.shtml"">Dewey Adkins</a>",CHN,31,247,2,4,0,98,58,52,10,39,43,5.684,4.363,1.664,1.10,-0.35
"<a href=""https://www.baseball-reference.com/players/a/albreed01.shtml"">Ed Albrecht</a>",SLA,20,15,1,0,0,1,3,3,0,4,1,5.400,4.918,1.000,0.25,0.06
"<a href=""https://www.baseball-reference.com/players/a/antonjo02.shtml"">J. Antonelli</a>",BSN,19,288,3,7,0,99,49,38,6,42,48,3.562,3.562,1.469,1.14,0.76
"<a href=""https://www.baseball-reference.com/players/b/bantaja01.shtml"">Jack Banta</a>",BRO,24,457,10,6,3,125,63,57,12,68,97,3.368,3.501,1.267,1.43,2.70
"<a href=""https://www.baseball-reference.com/players/b/barnere02.shtml"">Rex Barney</a>",BRO,24,422,9,8,1,108,75,69,15,89,80,4.415,4.759,1.400,0.90,0.30
"<a href=""https://www.baseball-reference.com/players/b/barrere01.shtml"">Red Barrett</a>",BSN,34,133,1,1,0,58,32,28,4,10,17,5.684,3.396,1.534,1.70,-0.42
"<a href=""https://www.baseball-reference.com/players/b/beardge01.shtml"">Gene Bearden</a>",CLE,28,381,8,8,0,140,77,72,6,92,41,5.102,4.576,1.827,0.45,0.00
"<a href=""https://www.baseball-reference.com/players/b/beazljo01.shtml"">J. Beazley</a>",BSN,31,6,0,0,0,0,0,0,0,0,0,.000,2.511,.000,&infin;,0.07
"<a href=""https://www.baseball-reference.com/players/b/behrmha01.shtml"">Hank Behrman</a>",NY1,28,214,3,3,0,64,46,39,5,52,25,4.921,4.946,1.626,0.48,-0.36
"<a href=""https://www.baseball-reference.com/players/b/bentoal01.shtml"">Al Benton</a>",CLE,38,407,9,6,10,116,33,32,7,51,41,2.123,3.755,1.231,0.80,4.79
"<a href=""https://www.baseball-reference.com/players/b/bickfve01.shtml"">V. Bickford</a>",BSN,28,692,16,11,0,246,125,109,20,106,101,4.253,4.030,1.526,0.95,0.96
"<a href=""https://www.baseball-reference.com/players/b/bicknch01.shtml"">C. Bicknell</a>",PHI,20,85,0,0,0,32,24,24,3,17,4,7.624,5.193,1.729,0.24,-0.31
"<a href=""https://www.baseball-reference.com/players/b/bilbrji01.shtml"">Jim Bilbrey</a>",SLA,25,3,0,0,0,1,2,2,0,3,0,18.000,11.343,4.000,0.00,-0.06
"<a href=""https://www.baseball-reference.com/players/b/blackew01.shtml"">E. Blackwell</a>",CIN,26,230,5,5,1,80,36,36,7,34,55,4.226,3.454,1.487,1.62,1.57
"<a href=""https://www.baseball-reference.com/players/b/bonhati01.shtml"">Tiny Bonham</a>",PIT,35,267,7,4,0,81,43,42,11,23,25,4.247,4.446,1.169,1.09,1.37
"<a href=""https://www.baseball-reference.com/players/b/borowha01.shtml"">Hank Borowy</a>",PHI,33,580,12,12,0,188,99,90,19,63,43,4.190,4.400,1.298,0.68,0.00
"<a href=""https://www.baseball-reference.com/players/b/bowmaro01.shtml"">Roger Bowman</a>",NY1,21,19,0,0,0,6,3,3,1,7,4,4.263,6.722,2.053,0.57,0.07
"<a href=""https://www.baseball-reference.com/players/b/boyercl01.shtml"">Cloyd Boyer</a>",SLN,21,10,0,0,0,5,4,4,0,7,0,10.800,8.399,3.600,0.00,-0.09
"<a href=""https://www.baseball-reference.com/players/b/bradlfr01.shtml"">Fred Bradley</a>",CHA,28,6,0,0,0,4,3,3,0,3,0,13.500,6.436,3.500,0.00,-0.16
"<a href=""https://www.baseball-reference.com/players/b/brancra01.shtml"">Ralph Branca</a>",BRO,23,560,13,5,1,181,100,91,21,91,109,4.388,4.236,1.457,1.20,0.49
"<a href=""https://www.baseball-reference.com/players/b/brazlal01.shtml"">Al Brazle</a>",SLN,35,619,14,8,0,208,85,73,18,61,75,3.184,3.722,1.304,1.23,3.96
"<a href=""https://www.baseball-reference.com/players/b/brechha01.shtml"">H. Brecheen</a>",SLN,34,644,14,11,1,207,96,80,18,65,88,3.354,3.591,1.267,1.35,2.98
"<a href=""https://www.baseball-reference.com/players/b/brisslo01.shtml"">Lou Brissie</a>",PHA,25,688,16,11,3,220,113,109,20,118,118,4.278,4.097,1.474,1.00,0.00
"<a href=""https://www.baseball-reference.com/players/b/bruneja01.shtml"">Jack Bruner</a>",CHA,24,23,1,2,0,10,7,7,0,8,4,8.217,4.659,2.348,0.50,-0.22
"<a href=""https://www.baseball-reference.com/players/b/burkhke01.shtml"">Ken Burkhart</a>",CIN,32,85,0,0,1,29,10,10,2,10,8,3.176,4.000,1.376,0.80,0.77
"<a href=""https://www.baseball-reference.com/players/b/buxtora01.shtml"">Ralph Buxton</a>",NYA,38,80,0,1,2,22,13,12,3,16,14,4.050,4.867,1.425,0.88,0.16
"<a href=""https://www.baseball-reference.com/players/b/byrneto01.shtml"">Tommy Byrne</a>",NYA,29,588,15,7,0,125,84,81,11,179,129,3.719,4.608,1.551,0.72,2.41
"<a href=""https://www.baseball-reference.com/players/c/cainbo01.shtml"">Bob Cain</a>",CHA,24,33,0,0,1,7,3,3,0,5,5,2.455,2.995,1.091,1.00,0.44
"<a href=""https://www.baseball-reference.com/players/c/calvepa01.shtml"">Paul Calvert</a>",WS1,31,482,6,17,1,175,111,97,11,86,52,5.434,4.263,1.624,0.60,-0.17
"<a href=""https://www.baseball-reference.com/players/c/candimi01.shtml"">Milo Candini</a>",WS1,31,17,0,0,1,4,3,3,0,1,1,4.765,2.704,.882,1.00,0.04
"<a href=""https://www.baseball-reference.com/players/c/carraal01.shtml"">A. Carrasquel</a>",CHA,36,11,0,0,0,8,6,6,1,4,1,14.727,7.442,3.273,0.25,-0.50
