Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotji01.shtml"">Jim Abbott</a>",CAL,23,243,18,11,0,222,85,78,14,73,158,2.889,3.146,1.214,2.16,0.00
"<a href=""https://www.baseball-reference.com/players/a/abbotky01.shtml"">Kyle Abbott</a>",CAL,23,19&frac23;,1,2,0,22,11,10,2,13,12,4.576,4.799,1.780,0.92,0.18
"<a href=""https://www.baseball-reference.com/players/a/abbotpa01.shtml"">Paul Abbott</a>",MIN,23,47&frac13;,3,1,0,38,27,25,5,36,43,4.754,4.749,1.563,1.19,0.00
"<a href=""https://www.baseball-reference.com/players/a/ackerji01.shtml"">Jim Acker</a>",TOR,32,88&frac13;,3,5,1,77,53,51,16,36,44,5.196,5.501,1.279,1.22,-0.47
"<a href=""https://www.baseball-reference.com/players/a/agostju01.shtml"">Juan Agosto</a>",SLN,33,86,5,3,2,92,52,46,4,39,34,4.814,3.766,1.523,0.87,0.00
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">R. Aguilera</a>",MIN,29,69,4,5,42,44,20,18,3,30,61,2.348,2.917,1.072,2.03,0.00
"<a href=""https://www.baseball-reference.com/players/a/akerfda01.shtml"">D. Akerfelds</a>",PHI,29,49&frac23;,2,1,0,49,30,29,5,27,31,5.255,4.319,1.530,1.15,-0.43
"<a href=""https://www.baseball-reference.com/players/a/aldresc01.shtml"">Scott Aldred</a>",DET,23,57&frac13;,2,4,0,58,37,33,9,30,35,5.180,5.277,1.535,1.17,0.00
"<a href=""https://www.baseball-reference.com/players/a/alexage01.shtml"">G. Alexander</a>",TEX,23,89&frac13;,5,3,0,93,56,52,11,48,50,5.239,4.846,1.578,1.04,-0.36
"<a href=""https://www.baseball-reference.com/players/a/allisda01.shtml"">Dana Allison</a>",OAK,24,11,1,1,0,16,9,9,0,5,4,7.364,3.471,1.909,0.80,-0.36
"<a href=""https://www.baseball-reference.com/players/a/alvarwi01.shtml"">W. Alvarez</a>",CHA,21,56&frac13;,3,2,0,47,26,22,9,29,32,3.515,5.518,1.349,1.10,0.45
"<a href=""https://www.baseball-reference.com/players/a/anderal02.shtml"">A. Anderson</a>",MIN,27,134&frac13;,5,11,0,148,82,74,24,42,51,4.958,5.270,1.414,1.21,-0.22
"<a href=""https://www.baseball-reference.com/players/a/anderla02.shtml"">L. Andersen</a>",SDN,38,47,3,4,13,39,13,12,0,13,40,2.298,1.988,1.106,3.08,1.15
"<a href=""https://www.baseball-reference.com/players/a/appieke01.shtml"">Kevin Appier</a>",KCA,23,207&frac23;,13,10,0,205,97,79,13,61,158,3.424,2.995,1.281,2.59,3.25
"<a href=""https://www.baseball-reference.com/players/a/aquinlu01.shtml"">Luis Aquino</a>",KCA,27,157,8,4,3,152,67,60,10,47,80,3.439,3.486,1.268,1.70,3.11
"<a href=""https://www.baseball-reference.com/players/a/armstja01.shtml"">J. Armstrong</a>",CIN,26,139&frac23;,7,13,0,158,90,85,25,54,93,5.477,4.953,1.518,1.72,-1.02
"<a href=""https://www.baseball-reference.com/players/a/arnsbbr01.shtml"">B. Arnsberg</a>",TEX,27,9&frac23;,0,1,0,10,9,9,5,5,8,8.379,9.818,1.552,1.60,-0.21
"<a href=""https://www.baseball-reference.com/players/a/ashbyan01.shtml"">Andy Ashby</a>",PHI,23,42,1,5,0,41,28,28,5,19,26,6.000,4.307,1.429,1.37,0.00
"<a href=""https://www.baseball-reference.com/players/a/assenpa01.shtml"">P. Assenmacher</a>",CHN,30,102&frac23;,7,8,15,85,41,37,10,31,117,3.244,2.667,1.130,3.77,1.42
"<a href=""https://www.baseball-reference.com/players/a/augusdo01.shtml"">Don August</a>",ML4,27,138&frac13;,9,8,0,166,87,84,18,47,62,5.465,4.561,1.540,1.32,-0.34
"<a href=""https://www.baseball-reference.com/players/a/austiji02.shtml"">Jim Austin</a>",ML4,27,8&frac23;,0,0,0,8,8,8,1,11,3,8.308,6.717,2.192,0.27,-0.28
"<a href=""https://www.baseball-reference.com/players/a/averyst01.shtml"">Steve Avery</a>",ATL,21,210&frac13;,18,8,0,189,89,79,21,65,137,3.380,3.751,1.208,2.11,5.18
"<a href=""https://www.baseball-reference.com/players/b/bailesc01.shtml"">Scott Bailes</a>",CAL,29,51&frac23;,1,2,0,41,26,24,5,22,41,4.181,3.588,1.219,1.86,0.40
"<a href=""https://www.baseball-reference.com/players/b/ballaje01.shtml"">Jeff Ballard</a>",BAL,27,123&frac23;,6,12,0,153,91,77,16,28,37,5.604,4.525,1.464,1.32,-1.91
"<a href=""https://www.baseball-reference.com/players/b/bankhsc01.shtml"">S. Bankhead</a>",SEA,27,60&frac23;,3,6,0,73,35,33,8,21,28,4.896,4.535,1.549,1.33,0.25
"<a href=""https://www.baseball-reference.com/players/b/bankswi01.shtml"">Willie Banks</a>",MIN,22,17&frac13;,1,1,0,21,15,11,1,12,16,5.712,3.733,1.904,1.33,0.00
"<a href=""https://www.baseball-reference.com/players/b/bannifl01.shtml"">F. Bannister</a>",CAL,36,25,0,0,0,25,12,11,5,10,16,3.960,5.519,1.400,1.60,0.27
