Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/allenjo02.shtml"">Johnny Allen</a>",NYA,29,71&frac23;,5,2,0,62,30,23,3,32,54,2.888,3.415,1.312,1.69,0.00
"<a href=""https://www.baseball-reference.com/players/a/andreiv01.shtml"">Ivy Andrews</a>",SLA,27,139,4,11,3,166,84,72,7,65,51,4.662,4.440,1.662,0.78,2.20
"<a href=""https://www.baseball-reference.com/players/a/armbror01.shtml"">O. Armbrust</a>",WS1,26,12&frac23;,1,0,0,10,3,3,1,3,3,2.132,4.485,1.026,1.00,0.57
"<a href=""https://www.baseball-reference.com/players/a/aukerel01.shtml"">Elden Auker</a>",DET,23,205,15,7,1,234,103,78,9,56,86,3.424,3.625,1.415,1.54,2.35
"<a href=""https://www.baseball-reference.com/players/b/babicjo01.shtml"">J. Babich</a>",BRO,21,135,7,11,1,148,76,63,5,51,62,4.200,3.772,1.474,1.22,0.19
"<a href=""https://www.baseball-reference.com/players/b/barneju01.shtml"">Junie Barnes</a>",CIN,22,0&frac13;,0,0,0,0,0,0,0,1,0,.000,15.429,3.000,0.00,0.04
"<a href=""https://www.baseball-reference.com/players/b/barredi01.shtml"">Dick Barrett</a>",BSN,27,32&frac13;,1,3,0,50,27,24,2,12,14,6.680,4.101,1.918,1.17,-0.65
"<a href=""https://www.baseball-reference.com/players/b/beanbe01.shtml"">Belve Bean</a>",CLE,29,51&frac13;,5,1,0,53,25,22,2,21,20,3.857,3.911,1.442,0.95,0.88
"<a href=""https://www.baseball-reference.com/players/b/beckbo01.shtml"">B. Beck</a>",BRO,29,57,2,6,0,72,50,47,6,32,24,7.421,4.988,1.825,0.75,-1.42
"<a href=""https://www.baseball-reference.com/players/b/bellhi01.shtml"">Hi Bell</a>",NY1,36,54,4,3,6,72,25,22,2,12,9,3.667,3.800,1.556,0.75,0.41
"<a href=""https://www.baseball-reference.com/players/b/bengera01.shtml"">Ray Benge</a>",BRO,32,227,14,12,0,252,124,109,11,61,64,4.322,3.941,1.379,1.05,1.10
