Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/aasedo01.shtml"">Don Aase</a>",CAL,24,556,9,10,2,200,104,99,19,77,96,4.808,4.231,1.495,1.25,1.45
"<a href=""https://www.baseball-reference.com/players/a/abbotgl01.shtml"">Glenn Abbott</a>",SEA,28,350,4,10,0,138,78,67,19,38,25,5.169,5.310,1.509,0.66,0.00
"<a href=""https://www.baseball-reference.com/players/a/alexado01.shtml"">D. Alexander</a>",TEX,28,340,5,7,0,114,65,56,3,69,50,4.447,3.993,1.615,0.72,0.00
"<a href=""https://www.baseball-reference.com/players/a/allarbr01.shtml"">Brian Allard</a>",TEX,21,100,1,3,0,36,17,16,4,13,14,4.320,4.682,1.470,1.08,0.29
"<a href=""https://www.baseball-reference.com/players/a/allenne01.shtml"">Neil Allen</a>",NYN,21,297,6,10,8,100,46,39,4,47,65,3.545,3.357,1.485,1.38,0.00
"<a href=""https://www.baseball-reference.com/players/a/anderla02.shtml"">L. Andersen</a>",CLE,26,50,0,0,0,25,14,14,3,4,7,7.560,4.769,1.740,1.75,0.00
"<a href=""https://www.baseball-reference.com/players/a/andermi01.shtml"">M. Anderson</a>",PHI,28,3,0,0,0,2,0,0,0,0,2,.000,-.084,2.000,&infin;,0.03
"<a href=""https://www.baseball-reference.com/players/a/anderri01.shtml"">R. Anderson</a>",NYA,25,7,0,0,0,1,1,1,0,4,0,3.857,10.690,2.143,0.00,0.03
"<a href=""https://www.baseball-reference.com/players/a/andujjo01.shtml"">J. Andujar</a>",HOU,26,582,12,12,4,168,86,74,7,88,77,3.433,3.762,1.320,0.88,0.97
"<a href=""https://www.baseball-reference.com/players/a/arroyfe01.shtml"">F. Arroyo</a>",DET,27,36,1,1,0,17,11,11,3,4,7,8.250,5.548,1.750,1.75,-0.55
"<a href=""https://www.baseball-reference.com/players/a/atkinbi01.shtml"">B. Atkinson</a>",MON,24,41,2,0,1,9,4,3,0,4,7,1.976,2.588,.951,1.75,0.24
"<a href=""https://www.baseball-reference.com/players/a/augusje01.shtml"">J. Augustine</a>",ML4,26,257,9,6,5,95,38,33,6,30,41,3.467,3.672,1.459,1.37,1.43
"<a href=""https://www.baseball-reference.com/players/b/babcobo01.shtml"">Bob Babcock</a>",TEX,29,16,0,0,0,7,7,6,1,7,6,10.125,6.239,2.625,0.86,-0.42
"<a href=""https://www.baseball-reference.com/players/b/bacsimi01.shtml"">Mike Bacsik</a>",MIN,27,197,4,2,0,61,39,32,6,29,33,4.386,4.254,1.371,1.14,-0.04
