Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotji01.shtml"">Jim Abbott</a>",CAL,24,211,7,15,0,208,73,65,12,68,130,2.773,3.204,1.308,1.91,0.00
"<a href=""https://www.baseball-reference.com/players/a/abbotky01.shtml"">Kyle Abbott</a>",PHI,24,133&frac13;,1,14,0,147,80,76,20,45,88,5.130,4.375,1.440,1.96,-1.31
"<a href=""https://www.baseball-reference.com/players/a/abbotpa01.shtml"">Paul Abbott</a>",MIN,24,11,0,0,0,12,4,4,1,5,13,3.273,2.699,1.545,2.60,0.00
"<a href=""https://www.baseball-reference.com/players/a/ackerji01.shtml"">Jim Acker</a>",SEA,33,30&frac23;,0,0,0,45,19,18,4,12,11,5.283,4.720,1.859,0.92,-0.04
"<a href=""https://www.baseball-reference.com/players/a/agostju01.shtml"">Juan Agosto</a>",2,34,50,2,4,0,66,36,34,2,12,25,6.120,2.838,1.560,2.08,-1.08
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">R. Aguilera</a>",MIN,30,66&frac23;,2,6,41,60,28,21,7,17,52,2.835,3.309,1.155,3.06,0.00
"<a href=""https://www.baseball-reference.com/players/a/aldresc01.shtml"">Scott Aldred</a>",DET,24,65,3,8,0,80,51,49,12,33,34,6.785,5.435,1.738,1.03,0.00
"<a href=""https://www.baseball-reference.com/players/a/alexage01.shtml"">G. Alexander</a>",TEX,24,1&frac23;,1,0,0,5,5,5,1,1,1,27.000,8.178,3.600,1.00,-0.34
"<a href=""https://www.baseball-reference.com/players/a/alvarwi01.shtml"">W. Alvarez</a>",CHA,22,100&frac13;,5,3,1,103,64,58,12,65,66,5.203,4.865,1.674,1.02,-1.34
"<a href=""https://www.baseball-reference.com/players/a/anderla02.shtml"">L. Andersen</a>",SDN,39,35,1,1,2,26,14,13,2,8,35,3.343,2.131,.971,4.38,0.14
"<a href=""https://www.baseball-reference.com/players/a/appieke01.shtml"">Kevin Appier</a>",KCA,24,208&frac13;,15,8,0,167,59,57,10,68,150,2.462,2.919,1.128,2.21,8.00
