playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
aldrivi01,1917,1,CHN,NL,6,6,30,6,1,1,2,320,100,37,1,37,44,0.25,3.12,,5,2,0,445,13,52,,,
alexape01,1917,1,PHI,NL,30,13,45,44,34,8,0,1164,336,79,4,56,200,0.23,1.83,,2,6,0,1529,0,107,,,
allenfr01,1917,1,BSN,NL,3,11,29,14,2,0,0,336,124,49,3,47,56,0.29,3.94,,4,6,0,490,6,61,,,
amesre01,1917,1,SLN,NL,15,10,43,19,10,2,3,627,189,63,2,57,62,0.24,2.71,,5,3,0,847,17,75,,,
anderfr01,1917,1,NY1,NL,8,8,38,18,8,1,3,486,122,26,1,34,69,0.2,1.44,,5,2,0,632,15,40,,,
anderwa01,1917,1,PHA,AL,0,0,14,2,0,0,0,116,32,13,0,21,10,0.24,3.03,,1,1,0,163,9,16,,,
ayersdo01,1917,1,WS1,AL,11,10,40,15,12,3,1,623,192,50,3,59,78,0.25,2.17,,4,8,0,816,21,67,,,
baconed01,1917,1,PHA,AL,0,0,1,0,0,0,0,18,5,4,0,7,0,0.23,6,,0,0,0,28,1,7,,,
baderlo01,1917,1,BOS,AL,2,0,15,1,0,0,1,115,48,10,1,18,14,0.3,2.35,,1,1,0,176,12,14,,,
bagbyji01,1917,1,CLE,AL,23,13,49,37,26,8,7,962,277,70,6,73,83,0.23,1.96,,2,6,0,1266,10,90,,,
barneje01,1917,1,BSN,NL,13,21,50,33,27,2,1,885,261,88,3,50,107,0.24,2.68,,3,3,0,1166,12,115,,,
bendech01,1917,1,PHI,NL,8,2,20,10,8,4,2,339,84,21,1,26,43,0.21,1.67,,3,7,0,436,9,24,,,
bentoru01,1917,1,NY1,NL,15,9,35,25,14,3,3,645,190,65,5,41,70,0.23,2.72,,3,7,0,865,8,78,,,
benzjo01,1917,1,CHA,AL,7,3,19,13,7,2,0,284,76,26,1,23,25,0.22,2.47,,2,2,0,371,4,36,,,
boehljo01,1917,1,CLE,AL,1,6,12,7,1,0,0,139,50,24,1,16,11,0.29,4.66,,1,3,1,191,3,27,,,
bolanbe01,1917,1,DET,AL,16,11,43,28,13,3,6,714,192,71,0,95,89,0.22,2.68,,0,6,0,952,14,89,,,
bradyne01,1917,1,NYA,AL,1,0,2,1,0,0,0,27,6,2,0,5,4,0.18,2,,0,0,0,37,1,2,,,
bressru01,1917,1,CIN,NL,0,0,2,1,0,0,0,27,15,6,0,5,2,0.42,6,,0,0,0,44,1,11,,,
bushjo01,1917,1,PHA,AL,11,17,37,31,17,4,2,700,207,64,3,111,121,0.24,2.47,,7,1,0,1025,5,101,,,
cadorle01,1917,1,BRO,NL,13,13,37,30,21,1,3,792,231,72,3,63,115,0.24,2.45,,4,7,0,1067,6,86,,,
caldwra02,1917,1,NYA,AL,13,16,32,29,21,1,0,708,199,75,8,76,102,0.23,2.86,,0,6,0,935,2,92,,,
carlsha01,1917,1,PIT,NL,7,11,34,17,9,1,1,484,140,52,0,49,68,0.24,2.9,,2,4,0,657,14,64,,,
cartepa01,1917,1,CHN,NL,5,8,23,13,6,0,2,340,115,41,2,19,34,0.27,3.26,,1,3,1,453,3,47,,,
chenela01,1917,1,BRO,NL,8,12,35,24,14,1,2,631,185,55,4,73,102,0.23,2.35,,11,5,0,869,4,80,,,
cicoted01,1917,1,CHA,AL,28,12,49,35,29,7,4,1040,246,59,2,70,150,0.2,1.53,,1,3,2,1288,9,76,,,
coombja01,1917,1,BRO,NL,7,11,31,14,9,0,0,423,147,62,7,49,34,0.28,3.96,,0,8,1,600,15,76,,,
coopewi01,1917,1,PIT,NL,17,11,40,34,23,7,1,893,276,78,4,54,99,0.25,2.36,,1,4,0,1159,5,96,,,
couchjo01,1917,1,DET,AL,0,0,3,0,0,0,0,40,13,4,0,1,1,0.25,2.7,,0,0,0,52,0,16,,,
coumbfr01,1917,1,CLE,AL,8,6,34,10,4,1,5,403,119,32,0,35,30,0.25,2.14,,2,3,1,514,14,54,,,
covelha01,1917,1,DET,AL,4,6,16,11,2,0,0,207,70,20,0,14,15,0.26,2.61,,1,2,0,280,1,39,,,
covelst01,1917,1,CLE,AL,19,14,45,36,24,9,4,895,202,60,3,94,133,0.19,1.81,,3,1,0,1142,8,78,,,
craftmo01,1917,1,WS1,AL,0,0,8,0,0,0,1,42,17,6,0,8,2,0.31,3.86,,2,0,0,62,5,10,,,
crumca01,1917,1,BSN,NL,0,0,1,0,0,0,0,3,1,0,0,1,0,0.25,0,,1,0,0,22,1,5,,,
culloni01,1917,1,NYA,AL,5,9,30,18,5,2,1,439,161,54,2,31,27,0.3,3.32,,4,2,0,559,7,70,,,
cunnige01,1917,1,DET,AL,2,7,44,8,4,0,4,417,113,45,2,51,49,0.22,2.91,,4,4,0,561,24,73,,,
danfoda01,1917,1,CHA,AL,11,6,50,9,1,1,9,519,155,51,1,74,79,0.24,2.65,,2,3,1,716,26,56,,,
