Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/aceveju01.shtml"">Juan Acevedo</a>",NYN,27,47&‌#8532;,3,1,0,52,24,19,6,22,33,3.587,4.487,1.552,1.50,.06
"<a href=""https://www.baseball-reference.com/players/a/acrema01.shtml"">Mark Acre</a>",OAK,28,15&‌#8532;,2,0,0,21,10,10,1,8,12,5.745,3.861,1.851,1.50,.01
"<a href=""https://www.baseball-reference.com/players/a/adamsjo02.shtml"">Joel Adamson</a>",ML4,25,76&‌#8531;,5,3,0,78,36,30,13,19,56,3.537,4.420,1.271,2.95,.88
"<a href=""https://www.baseball-reference.com/players/a/adamste01.shtml"">Terry Adams</a>",CHN,24,74,2,9,18,91,43,38,3,40,64,4.622,3.465,1.770,1.60,.00
"<a href=""https://www.baseball-reference.com/players/a/adamswi02.shtml"">Willie Adams</a>",OAK,24,58&‌#8531;,3,5,0,73,53,53,9,32,37,8.177,5.172,1.800,1.16,-.96
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">Rick Aguilera</a>",MIN,35,68&‌#8531;,5,4,26,65,29,29,9,22,68,3.820,3.712,1.273,3.09,.00
"<a href=""https://www.baseball-reference.com/players/a/alberjo01.shtml"">Jose Alberro</a>",TEX,28,28&‌#8531;,0,3,0,37,33,25,4,17,11,7.941,5.647,1.906,.65,-1.05
"<a href=""https://www.baseball-reference.com/players/a/aldresc01.shtml"">Scott Aldred</a>",MIN,29,77&‌#8531;,2,10,0,102,66,66,20,28,33,7.681,6.627,1.681,1.18,.00
"<a href=""https://www.baseball-reference.com/players/a/alfonan01.shtml"">Antonio Alfonseca</a>",FLO,25,25&‌#8532;,1,3,0,36,16,14,3,10,19,4.909,4.092,1.792,1.90,-.34
"<a href=""https://www.baseball-reference.com/players/a/almanca01.shtml"">Carlos Almanzar</a>",TOR,23,3&‌#8531;,0,1,0,1,1,1,1,1,4,2.700,5.956,.600,4.00,.09
"<a href=""https://www.baseball-reference.com/players/a/alvarwi01.shtml"">Wilson Alvarez</a>",2,27,212,13,11,0,180,97,82,18,91,179,3.481,3.767,1.278,1.97,3.53
"<a href=""https://www.baseball-reference.com/players/a/anderbr02.shtml"">Brian Anderson</a>",CLE,25,48,4,2,0,55,28,25,7,11,22,4.688,4.831,1.375,2.00,.36
"<a href=""https://www.baseball-reference.com/players/a/andujlu01.shtml"">Luis Andujar</a>",TOR,24,50,0,6,0,76,45,36,9,21,28,6.480,5.359,1.940,1.33,-1.00
"<a href=""https://www.baseball-reference.com/players/a/appieke01.shtml"">Kevin Appier</a>",KCA,29,235&‌#8532;,9,13,0,215,96,89,24,74,196,3.399,3.671,1.226,2.65,5.56
"<a href=""https://www.baseball-reference.com/players/a/arochre01.shtml"">Rene Arocha</a>",SFN,33,10&‌#8531;,0,0,0,17,14,13,2,5,7,11.323,5.121,2.129,1.40,-.70
"<a href=""https://www.baseball-reference.com/players/a/ashbyan01.shtml"">Andy Ashby</a>",SDN,29,200&‌#8532;,9,11,0,207,108,92,17,49,144,4.126,3.427,1.276,2.94,.00
"<a href=""https://www.baseball-reference.com/players/a/assenpa01.shtml"">Paul Assenmacher</a>",CLE,36,49,5,0,4,43,17,16,5,15,53,2.939,3.129,1.184,3.53,1.54
"<a href=""https://www.baseball-reference.com/players/a/astacpe01.shtml"">Pedro Astacio</a>",2,28,202&‌#8531;,12,10,0,200,98,93,24,61,166,4.137,3.777,1.290,2.72,.00
"<a href=""https://www.baseball-reference.com/players/a/averyst01.shtml"">Steve Avery</a>",BOS,27,96&‌#8532;,6,7,0,127,76,69,15,49,51,6.424,5.457,1.821,1.04,-.91
"<a href=""https://www.baseball-reference.com/players/a/ayalabo01.shtml"">Bobby Ayala</a>",SEA,27,96&‌#8532;,10,5,8,91,45,41,14,41,92,3.817,4.314,1.366,2.24,.00
"<a href=""https://www.baseball-reference.com/players/a/aybarma01.shtml"">Manny Aybar</a>",SLN,25,68,2,4,0,66,33,32,8,29,41,4.235,4.577,1.397,1.41,.00
"<a href=""https://www.baseball-reference.com/players/b/baileco01.shtml"">Cory Bailey</a>",SFN,26,9&‌#8532;,0,1,0,15,9,9,1,4,5,8.379,4.568,1.966,1.25,-.29
"<a href=""https://www.baseball-reference.com/players/b/bailero01.shtml"">Roger Bailey</a>",COL,26,191,9,10,0,210,103,91,27,70,84,4.288,5.015,1.466,1.20,3.74
"<a href=""https://www.baseball-reference.com/players/b/bailesc01.shtml"">Scott Bailes</a>",TEX,35,22,1,0,0,18,9,7,2,10,14,2.864,4.464,1.273,1.40,.39
"<a href=""https://www.baseball-reference.com/players/b/baldwja01.shtml"">James Baldwin</a>",CHA,25,200,12,15,0,205,128,117,19,83,140,5.265,4.103,1.440,1.69,.46
"<a href=""https://www.baseball-reference.com/players/b/bankswi01.shtml"">Willie Banks</a>",NYA,28,14,3,0,0,9,3,3,0,6,8,1.929,3.032,1.071,1.33,.00
"<a href=""https://www.baseball-reference.com/players/b/barrima01.shtml"">Manuel Barrios</a>",HOU,22,3,0,0,0,6,4,4,0,3,3,12.000,3.868,3.000,1.00,-.17
"<a href=""https://www.baseball-reference.com/players/b/batchri01.shtml"">Rich Batchelor</a>",2,30,28&‌#8532;,3,1,0,40,23,19,2,14,18,5.965,3.854,1.884,1.29,-.40
"<a href=""https://www.baseball-reference.com/players/b/batismi01.shtml"">Miguel Batista</a>",CHN,26,36&‌#8531;,0,5,0,36,24,23,4,24,27,5.697,4.942,1.651,1.12,.00
"<a href=""https://www.baseball-reference.com/players/b/bautijo01.shtml"">Jose Bautista</a>",2,32,52&‌#8532;,2,2,0,70,42,39,8,14,23,6.665,4.759,1.595,1.64,-.58
"<a href=""https://www.baseball-reference.com/players/b/beckero01.shtml"">Robbie Beckett</a>",COL,24,1&‌#8532;,0,0,0,1,1,1,0,1,2,5.400,2.503,1.200,2.00,.02
"<a href=""https://www.baseball-reference.com/players/b/beckro01.shtml"">Rod Beck</a>",SFN,28,70,7,4,37,67,31,27,7,8,53,3.471,3.152,1.071,6.62,.00
"<a href=""https://www.baseball-reference.com/players/b/beechma01.shtml"">Matt Beech</a>",PHI,25,136&‌#8532;,4,9,0,147,81,77,25,57,120,5.071,4.866,1.493,2.11,.40
"<a href=""https://www.baseball-reference.com/players/b/belchti01.shtml"">Tim Belcher</a>",KCA,35,213&‌#8531;,13,12,0,242,128,119,31,70,113,5.020,4.865,1.462,1.61,1.07
"<a href=""https://www.baseball-reference.com/players/b/belinst01.shtml"">Stan Belinda</a>",CIN,30,99&‌#8531;,1,5,1,84,42,41,11,33,114,3.715,2.979,1.178,3.45,.00
"<a href=""https://www.baseball-reference.com/players/b/beltrri01.shtml"">Rigo Beltran</a>",SLN,27,54&‌#8531;,1,2,1,47,25,21,3,17,50,3.479,2.926,1.178,2.94,.00
"<a href=""https://www.baseball-reference.com/players/b/benesal01.shtml"">Alan Benes</a>",SLN,25,161&‌#8532;,9,9,0,128,60,52,13,68,160,2.895,3.370,1.212,2.35,3.47
"<a href=""https://www.baseball-reference.com/players/b/benesan01.shtml"">Andy Benes</a>",SLN,29,177,10,7,0,149,64,61,9,61,175,3.102,2.739,1.186,2.87,4.08
"<a href=""https://www.baseball-reference.com/players/b/benitar01.shtml"">Armando Benitez</a>",BAL,24,73&‌#8531;,4,5,9,49,22,20,7,43,106,2.455,3.178,1.255,2.47,.00
"<a href=""https://www.baseball-reference.com/players/b/benjami01.shtml"">Mike Benjamin</a>",BOS,31,1,0,0,0,0,0,0,0,0,0,.000,3.109,.000,&infin;,.03
"<a href=""https://www.baseball-reference.com/players/b/bennesh01.shtml"">Shayne Bennett</a>",MON,25,22&‌#8532;,0,1,0,21,9,8,2,9,8,3.176,4.783,1.324,.89,.26
"<a href=""https://www.baseball-reference.com/players/b/bereja01.shtml"">Jason Bere</a>",CHA,26,28&‌#8532;,4,2,0,20,15,15,4,17,21,4.709,5.094,1.291,1.24,.00
"<a href=""https://www.baseball-reference.com/players/b/bergmse01.shtml"">Sean Bergman</a>",SDN,27,99,2,4,0,126,72,67,11,38,74,6.091,4.065,1.657,1.95,.00
"<a href=""https://www.baseball-reference.com/players/b/bertomi01.shtml"">Mike Bertotti</a>",CHA,27,3&‌#8532;,0,0,0,9,3,3,0,2,4,7.364,2.746,3.000,2.00,-.02
"<a href=""https://www.baseball-reference.com/players/b/bevilbr01.shtml"">Brian Bevil</a>",KCA,25,16&‌#8531;,1,2,1,16,13,12,1,9,13,6.612,3.790,1.531,1.44,-.40
"<a href=""https://www.baseball-reference.com/players/b/bielemi01.shtml"">Mike Bielecki</a>",ATL,37,57&‌#8531;,3,7,2,56,33,26,9,21,60,4.081,4.073,1.343,2.86,-.59
"<a href=""https://www.baseball-reference.com/players/b/blairwi01.shtml"">Willie Blair</a>",DET,31,175,16,8,0,186,85,81,18,46,90,4.166,4.166,1.326,1.96,3.81
"<a href=""https://www.baseball-reference.com/players/b/blaziro01.shtml"">Ron Blazier</a>",PHI,25,53&‌#8532;,1,1,0,62,31,30,8,21,42,5.031,4.602,1.547,2.00,-.11
"<a href=""https://www.baseball-reference.com/players/b/bochtdo01.shtml"">Doug Bochtler</a>",SDN,26,60&‌#8531;,3,6,2,51,35,32,3,50,46,4.773,4.679,1.674,.92,.00
"<a href=""https://www.baseball-reference.com/players/b/boehrbr01.shtml"">Brian Boehringer</a>",NYA,28,48,3,2,0,39,16,14,4,32,53,2.625,3.994,1.479,1.66,1.56
"<a href=""https://www.baseball-reference.com/players/b/boggswa01.shtml"">Wade Boggs</a>",NYA,39,1,0,0,0,0,0,0,0,1,1,.000,4.320,1.000,1.00,.04
"<a href=""https://www.baseball-reference.com/players/b/bohanbr01.shtml"">Brian Bohanon</a>",NYN,28,94&‌#8531;,6,4,0,95,49,40,9,34,66,3.816,3.894,1.367,1.94,.00
"<a href=""https://www.baseball-reference.com/players/b/bonesri01.shtml"">Ricky Bones</a>",2,28,96,4,8,0,133,81,72,12,36,44,6.750,4.643,1.760,1.22,-1.64
"<a href=""https://www.baseball-reference.com/players/b/borlato02.shtml"">Toby Borland</a>",2,28,16&‌#8532;,0,1,1,17,14,14,2,21,8,7.560,7.060,2.280,.38,-.25
"<a href=""https://www.baseball-reference.com/players/b/borowjo01.shtml"">Joe Borowski</a>",2,26,26,2,3,0,29,13,12,2,20,8,4.154,5.849,1.885,.40,.00
"<a href=""https://www.baseball-reference.com/players/b/boskish01.shtml"">Shawn Boskie</a>",BAL,30,77,6,6,1,95,57,55,14,26,50,6.429,5.036,1.571,1.92,-.87
"<a href=""https://www.baseball-reference.com/players/b/bottari01.shtml"">Ricky Bottalico</a>",PHI,27,74,2,5,34,68,31,30,7,42,89,3.649,3.549,1.486,2.12,1.18
"<a href=""https://www.baseball-reference.com/players/b/botteke01.shtml"">Kent Bottenfield</a>",CHN,28,84,2,3,2,82,39,36,13,35,74,3.857,4.555,1.393,2.11,.60
"<a href=""https://www.baseball-reference.com/players/b/boveemi01.shtml"">Mike Bovee</a>",ANA,23,3&‌#8531;,0,0,0,3,2,2,1,1,5,5.400,4.879,1.200,5.00,.01
"<a href=""https://www.baseball-reference.com/players/b/bowersh01.shtml"">Shane Bowers</a>",MIN,25,19,0,3,0,27,20,17,2,8,7,8.053,4.715,1.842,.88,-.54
"<a href=""https://www.baseball-reference.com/players/b/brandma01.shtml"">Mark Brandenburg</a>",BOS,26,41,0,2,0,49,25,25,3,16,34,5.488,3.407,1.585,2.12,-.12
"<a href=""https://www.baseball-reference.com/players/b/brantje01.shtml"">Jeff Brantley</a>",CIN,33,11&‌#8532;,1,1,1,9,5,5,2,7,16,3.857,3.876,1.371,2.29,.18
"<a href=""https://www.baseball-reference.com/players/b/brewebi01.shtml"">Billy Brewer</a>",2,29,24,1,2,0,19,11,11,3,13,17,4.125,4.991,1.333,1.31,.29
"<a href=""https://www.baseball-reference.com/players/b/brocado01.shtml"">Doug Brocail</a>",DET,30,78,3,4,2,74,31,28,10,36,60,3.231,4.565,1.410,1.67,2.17
"<a href=""https://www.baseball-reference.com/players/b/brockch01.shtml"">Chris Brock</a>",ATL,27,30&‌#8532;,0,0,0,34,23,19,2,19,16,5.576,4.720,1.728,.84,-.50
"<a href=""https://www.baseball-reference.com/players/b/brownke01.shtml"">Kevin Brown</a>",FLO,32,237&‌#8531;,16,8,0,214,77,71,10,66,205,2.692,2.583,1.180,3.11,6.97
"<a href=""https://www.baseball-reference.com/players/b/bruskji01.shtml"">Jim Bruske</a>",SDN,32,44&‌#8532;,4,1,0,37,22,18,4,25,32,3.627,4.508,1.388,1.28,.65
"<a href=""https://www.baseball-reference.com/players/b/bulliji01.shtml"">Jim Bullinger</a>",MON,31,155&‌#8531;,7,12,0,165,106,96,17,74,87,5.562,4.624,1.539,1.18,-1.56
"<a href=""https://www.baseball-reference.com/players/b/burbada01.shtml"">Dave Burba</a>",CIN,30,160,11,10,0,157,88,84,22,73,131,4.725,4.463,1.438,1.79,.00
"<a href=""https://www.baseball-reference.com/players/b/burkejo03.shtml"">John Burkett</a>",TEX,32,189&‌#8531;,9,12,0,240,106,96,20,30,139,4.563,3.405,1.426,4.63,2.35
"<a href=""https://www.baseball-reference.com/players/b/burkejo04.shtml"">John Burke</a>",COL,27,59,2,5,0,83,46,43,13,26,39,6.559,5.498,1.847,1.50,-.36
