Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbeybe01.shtml"">Bert Abbey</a>",BRO,26,493,8,8,0,210,135,94,7,48,37,5.148,4.224,1.570,0.77,-0.67
"<a href=""https://www.baseball-reference.com/players/a/abbeych01.shtml"">C. Abbey</a>",WAS,29,6,0,0,0,6,3,1,0,0,0,4.500,3.425,3.000,&infin;,-0.09
"<a href=""https://www.baseball-reference.com/players/a/anderva01.shtml"">V. Anderson</a>",WAS,30,27,0,1,0,23,16,13,0,3,0,13.000,4.180,2.889,0.00,-0.47
"<a href=""https://www.baseball-reference.com/players/b/banksbi01.shtml"">Bill Yerrick</a>",BSN,22,69,0,3,0,42,31,27,2,13,6,10.565,5.210,2.391,0.46,-0.79
"<a href=""https://www.baseball-reference.com/players/b/bowency01.shtml"">Cy Bowen</a>",NY1,25,36,0,1,0,12,13,8,0,9,3,6.000,4.472,1.750,0.33,-0.24
"<a href=""https://www.baseball-reference.com/players/b/boydja01.shtml"">Jake Boyd</a>",WAS,22,96,1,2,0,45,34,24,0,15,6,6.750,3.868,1.875,0.40,-0.44
"<a href=""https://www.baseball-reference.com/players/b/breitte01.shtml"">T. Breitenst</a>",SLN,27,1019,18,26,0,376,236,169,12,138,114,4.478,4.398,1.513,0.83,3.82
"<a href=""https://www.baseball-reference.com/players/b/briggbu01.shtml"">B. Briggs</a>",CHN,20,582,12,8,1,202,129,93,6,108,84,4.314,4.415,1.598,0.78,2.56
"<a href=""https://www.baseball-reference.com/players/c/campfsa01.shtml"">S. Campfield</a>",NY1,28,81,1,1,0,31,15,12,1,6,6,4.000,3.910,1.370,1.00,0.52
"<a href=""https://www.baseball-reference.com/players/c/carseki01.shtml"">Kid Carsey</a>",PHI,23,562,11,11,1,273,164,117,4,72,36,5.621,4.272,1.842,0.50,-0.83
"<a href=""https://www.baseball-reference.com/players/c/chambel01.shtml"">I. Chamberlain</a>",CL4,28,33,0,1,0,21,12,9,0,5,2,7.364,4.037,2.364,0.40,-0.22
"<a href=""https://www.baseball-reference.com/players/c/clarkda01.shtml"">Dad Clarke</a>",NY1,31,1053,17,24,1,431,246,166,9,60,66,4.256,3.798,1.399,1.10,0.00
"<a href=""https://www.baseball-reference.com/players/c/clarkda02.shtml"">Dad Clarkson</a>",BLN,29,141,4,2,0,72,40,26,1,18,7,4.979,4.351,1.915,0.39,-0.29
"<a href=""https://www.baseball-reference.com/players/c/clausfr01.shtml"">F. Clausen</a>",LS3,27,33,0,2,0,17,13,8,1,6,4,6.545,4.588,2.091,0.67,-0.24
"<a href=""https://www.baseball-reference.com/players/c/corbejo01.shtml"">Joe Corbett</a>",BLN,20,123,3,0,1,31,17,10,0,17,28,2.195,2.909,1.171,1.65,1.24
"<a href=""https://www.baseball-reference.com/players/c/cunnibe01.shtml"">B. Cunningham</a>",LS3,30,568,7,14,1,242,168,107,6,74,37,5.086,4.332,1.669,0.50,-0.52
"<a href=""https://www.baseball-reference.com/players/c/cuppyni01.shtml"">Nig Cuppy</a>",CL4,26,1074,25,14,1,388,173,124,8,75,86,3.117,3.813,1.293,1.15,9.67
"<a href=""https://www.baseball-reference.com/players/d/daubda01.shtml"">Dan Daub</a>",BRO,28,675,12,11,0,255,120,90,4,63,53,3.600,3.923,1.413,0.84,4.33
"<a href=""https://www.baseball-reference.com/players/d/daviswi01.shtml"">Wiley Davis</a>",CIN,20,13,1,1,0,8,4,4,0,2,1,8.308,4.232,2.308,0.50,-0.05
"<a href=""https://www.baseball-reference.com/players/d/dohened01.shtml"">Ed Doheny</a>",NY1,22,325,6,7,0,112,78,54,3,59,39,4.486,4.560,1.578,0.66,0.57
"<a href=""https://www.baseball-reference.com/players/d/dolanco01.shtml"">Cozy Dolan</a>",BSN,23,123,1,4,0,55,44,22,1,27,14,4.829,4.747,2.000,0.52,0.00
"<a href=""https://www.baseball-reference.com/players/d/donahre01.shtml"">Red Donahue</a>",SLN,23,801,7,24,0,376,235,172,6,98,70,5.798,4.108,1.775,0.71,0.00
"<a href=""https://www.baseball-reference.com/players/d/dwyerfr01.shtml"">Frank Dwyer</a>",CIN,28,866,24,11,1,321,144,101,8,60,57,3.149,3.909,1.320,0.95,7.24
"<a href=""https://www.baseball-reference.com/players/e/ehretre01.shtml"">Red Ehret</a>",CIN,27,830,18,14,0,298,147,105,5,74,60,3.416,3.944,1.345,0.81,6.12
"<a href=""https://www.baseball-reference.com/players/e/emigch01.shtml"">Charlie Emig</a>",LS3,21,24,0,1,0,12,17,7,1,7,1,7.875,6.175,2.375,0.14,-0.36
