playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
adamsba01,1919,1,PIT,NL,17,10,34,29,23,6,1,790,213,58,1,23,92,0.22,1.98,,2,3,0,1017,5,66,,,
adamswi01,1919,1,PHA,AL,0,0,1,0,0,0,0,14,7,2,1,2,0,0.38,3.86,,0,1,0,21,1,2,,,
alexape01,1919,1,CHN,NL,16,11,30,27,20,9,1,705,180,45,3,38,121,0.21,1.72,,1,0,0,906,3,51,,,
altroni01,1919,1,WS1,AL,0,0,1,0,0,0,0,0,4,0,0,0,0,1,,,0,0,0,4,0,4,,,
amesre01,1919,1,SLN,NL,3,5,23,7,1,0,1,210,88,38,1,25,19,0.31,4.89,,3,1,0,314,10,44,,,
amesre01,1919,2,PHI,NL,0,2,3,2,1,0,1,48,26,11,0,3,4,0.4,6.19,,1,0,0,71,1,12,,,
anderwa01,1919,1,PHA,AL,1,0,3,0,0,0,0,42,13,6,0,8,10,0.24,3.86,,0,1,0,90,3,10,,,
ayersdo01,1919,1,WS1,AL,0,6,11,5,0,0,1,131,52,14,0,17,12,0.31,2.89,,0,4,0,185,4,31,,,
ayersdo01,1919,2,DET,AL,5,3,24,5,3,1,0,281,88,28,2,31,32,0.25,2.69,,1,3,1,378,10,34,,,
bagbyji01,1919,1,CLE,AL,17,11,35,32,21,0,3,724,258,75,3,44,61,0.27,2.8,,2,4,0,987,3,96,,,
bailesw01,1919,1,CHN,NL,3,5,21,5,0,0,0,214,75,25,2,20,19,0.28,3.15,,0,3,0,292,10,30,,,
barneje01,1919,1,NY1,NL,25,9,38,34,23,4,1,887,263,79,8,35,92,0.23,2.4,,2,2,0,1178,4,98,,,
barnevi01,1919,1,NY1,NL,0,0,1,0,0,0,0,6,6,4,0,1,1,0.54,18,,0,0,0,12,1,4,,,
baynebi01,1919,1,SLA,AL,1,1,2,2,1,0,0,36,16,7,0,6,0,0.32,5.25,,0,0,0,56,0,8,,,
bentoru01,1919,1,NY1,NL,17,11,35,28,11,1,2,627,181,61,5,52,53,0.23,2.63,,4,4,0,848,6,71,,,
benzjo01,1919,1,CHA,AL,0,0,1,0,0,0,0,6,2,0,0,0,0,0.25,0,,0,0,0,8,1,1,,,
bolanbe01,1919,1,DET,AL,14,16,35,30,18,1,1,728,222,82,7,80,71,0.25,3.04,,4,3,0,960,5,93,,,
boldebi01,1919,1,SLN,NL,0,1,3,1,0,0,0,36,17,7,0,4,4,0.34,5.25,,0,1,0,56,0,7,,,
booneda01,1919,1,PHA,AL,0,1,3,2,0,0,0,44,24,11,0,10,1,0.37,6.75,,1,0,0,74,1,14,,,
bressru01,1919,1,CIN,NL,2,4,13,4,1,0,0,125,37,16,1,8,13,0.24,3.46,,1,0,0,163,7,19,,,
bushjo01,1919,1,BOS,AL,0,0,3,2,0,0,0,27,11,5,0,4,3,0.32,5,,1,0,0,38,0,5,,,
cadorle01,1919,1,BRO,NL,14,12,35,27,16,3,0,752,228,66,5,39,94,0.24,2.37,,3,6,0,996,7,80,,,
caldwra02,1919,1,BOS,AL,7,4,18,12,6,1,0,259,92,38,1,31,23,0.27,3.96,,2,3,0,363,5,66,,,
caldwra02,1919,2,CLE,AL,5,1,6,6,4,1,0,158,33,10,1,19,24,0.18,1.71,,1,2,0,203,0,18,,,
cantwmi01,1919,1,PHI,NL,1,3,5,3,2,0,0,82,36,17,1,9,6,0.34,5.6,,0,2,0,119,2,19,,,
carlsha01,1919,1,PIT,NL,8,10,22,14,7,1,0,423,114,35,0,39,49,0.24,2.23,,1,2,0,531,7,41,,,
cartepa01,1919,1,CHN,NL,5,4,28,7,2,0,1,255,81,25,1,28,17,0.25,2.65,,0,2,0,359,20,36,,,
causere01,1919,1,NY1,NL,9,3,19,16,6,0,0,315,99,43,5,38,25,0.25,3.69,,0,2,0,444,2,52,,,
causere01,1919,2,BSN,NL,4,5,10,10,3,0,0,207,81,35,1,20,14,0.3,4.57,,1,1,0,291,0,38,,,
chenela01,1919,1,BRO,NL,1,3,9,4,2,0,0,117,45,18,1,14,14,0.3,4.15,,2,2,0,173,2,21,,,
chenela01,1919,2,BSN,NL,0,2,8,2,0,0,0,99,35,13,0,15,13,0.29,3.55,,3,0,0,136,4,20,,,
chenela01,1919,3,PHI,NL,2,5,9,6,5,0,0,172,69,29,2,28,25,0.31,4.55,,3,1,0,261,2,34,,,
cicoted01,1919,1,CHA,AL,29,7,40,35,30,5,1,920,256,62,5,49,110,0.22,1.82,,1,2,0,1176,5,77,,,
coopewi01,1919,1,PIT,NL,19,13,35,32,27,4,1,860,229,85,10,74,106,0.22,2.67,,5,15,0,1147,3,97,,,
coumbfr01,1919,1,CLE,AL,1,1,8,2,0,0,1,71,32,14,2,9,7,0.34,5.32,,0,0,0,101,4,15,,,
courtha01,1919,1,WS1,AL,3,0,4,3,2,1,0,79,25,8,0,19,6,0.26,2.73,,0,0,0,112,1,9,,,
covelst01,1919,1,CLE,AL,24,12,43,34,24,4,4,858,286,83,2,60,118,0.26,2.61,,5,5,0,1138,9,99,,,
craftmo01,1919,1,WS1,AL,0,3,16,2,0,0,1,146,59,21,2,18,17,0.3,3.88,,1,2,0,211,9,28,,,
cunnige01,1919,1,DET,AL,1,1,17,0,0,0,1,143,54,26,0,15,11,0.29,4.91,,2,5,0,205,15,36,,,
danfoda01,1919,1,CHA,AL,1,2,15,1,0,0,1,125,58,36,1,20,17,0.33,7.78,,0,1,0,195,9,44,,,
daussho01,1919,1,DET,AL,21,9,34,32,22,2,0,769,262,101,9,63,73,0.26,3.55,,1,5,0,1049,1,125,,,
davenda01,1919,1,SLA,AL,2,11,24,16,5,0,0,370,135,54,4,41,37,0.28,3.94,,1,2,0,525,3,74,,,
demaral01,1919,1,BSN,NL,6,6,25,13,6,0,3,384,147,54,8,35,34,0.3,3.8,,2,1,1,544,11,66,,,
doakbi01,1919,1,SLN,NL,13,14,31,29,13,3,0,608,182,70,5,55,69,0.24,3.11,,5,2,0,822,2,87,,,
douglph01,1919,1,CHN,NL,10,6,25,19,8,4,0,485,133,36,0,34,63,0.23,2,,3,2,1,641,5,52,,,
douglph01,1919,2,NY1,NL,2,4,8,6,4,0,0,154,53,12,0,6,21,0.26,2.1,,0,1,0,216,2,22,,,
dubucje01,1919,1,NY1,NL,6,4,36,5,1,0,3,396,119,39,4,37,32,0.24,2.66,,1,2,0,542,22,49,,,
dumonge01,1919,1,BOS,AL,0,4,13,2,0,0,0,106,45,17,1,19,12,0.32,4.33,,5,1,0,158,5,21,,,
eckerch01,1919,1,PHA,AL,0,1,2,1,1,0,0,48,17,7,1,3,6,0.27,3.94,,0,0,0,66,1,9,,,
ehmkeho01,1919,1,DET,AL,17,10,33,31,20,2,0,746,255,88,5,107,79,0.27,3.18,,3,6,0,1043,2,114,,,
ellerho01,1919,1,CIN,NL,19,9,38,30,16,7,2,745,216,66,7,50,137,0.23,2.39,,0,4,1,987,8,80,,,
engeljo01,1919,1,CLE,AL,0,0,1,0,0,0,0,0,0,0,0,3,0,0,,,0,0,0,3,0,3,,,
enzmajo01,1919,1,CLE,AL,3,2,14,4,2,0,0,166,67,14,0,8,13,0.31,2.28,,2,2,0,225,4,29,,,
ericker01,1919,1,DET,AL,0,2,3,2,0,0,0,44,17,11,0,10,4,0.29,6.75,,3,1,0,69,1,17,,,
ericker01,1919,2,WS1,AL,6,11,20,15,7,1,0,396,130,58,7,63,86,0.25,3.95,,5,7,1,581,5,69,,,
evansbi01,1919,1,PIT,NL,0,4,7,3,2,0,0,110,41,23,1,18,15,0.29,5.65,,0,0,0,166,3,25,,,
faberre01,1919,1,CHA,AL,11,9,25,20,9,0,0,487,185,69,7,45,45,0.28,3.83,,2,8,0,718,3,92,,,
faethto01,1919,1,CLE,AL,0,0,6,0,0,0,0,55,13,1,0,10,7,0.22,0.49,,0,0,0,68,4,4,,,
faircra01,1919,1,PHI,NL,0,0,2,0,0,0,0,6,5,2,0,0,0,0.62,9,,1,0,0,10,2,2,,,
fillida01,1919,1,BSN,NL,6,13,32,19,9,0,2,559,185,70,2,39,50,0.27,3.38,,1,2,0,774,12,80,,,
fishecl01,1919,1,WS1,AL,0,0,2,0,0,0,0,12,8,6,0,3,1,0.42,13.5,,0,0,0,22,1,6,,,
fishera01,1919,1,CIN,NL,14,5,26,20,12,5,1,523,141,42,5,38,41,0.22,2.17,,1,1,1,682,3,55,,,
gallibe01,1919,1,SLA,AL,12,14,34,25,14,1,1,667,220,89,10,92,83,0.26,3.6,,5,8,1,932,9,106,,,
gearybo01,1919,1,PHA,AL,0,3,9,2,1,0,0,97,32,17,1,18,9,0.26,4.73,,0,0,1,139,5,22,,,
gerneed01,1919,1,CIN,NL,1,0,5,1,0,0,0,51,22,6,0,3,2,0.33,3.18,,0,2,0,74,4,10,,,
gilled01,1919,1,WS1,AL,1,1,16,2,0,0,0,112,38,20,0,21,7,0.26,4.82,,2,2,1,169,11,25,,,
goodwma01,1919,1,SLN,NL,11,9,33,17,7,0,0,537,163,50,3,33,48,0.24,2.51,,3,8,1,726,8,66,,,
grevebi01,1919,1,PHA,AL,0,0,5,2,0,0,0,36,15,19,0,18,3,0.3,14.25,,1,1,0,68,2,20,,,
grimebu01,1919,1,BRO,NL,10,11,25,21,13,1,0,544,179,70,2,60,82,0.25,3.47,,7,3,3,791,4,97,,,
haidha01,1919,1,SLA,AL,0,0,1,0,0,0,0,6,5,4,0,3,1,0.55,18,,0,0,0,12,0,5,,,
hamilea01,1919,1,PIT,NL,8,11,28,19,9,1,1,481,167,59,3,49,39,0.28,3.31,,4,5,0,674,9,73,,,
harpeha01,1919,1,WS1,AL,6,21,35,31,8,0,0,624,220,86,3,97,87,0.28,3.72,,9,8,2,879,4,119,,,
hastybo01,1919,1,PHA,AL,0,2,2,2,1,0,0,36,15,7,1,4,5,0.3,5.25,,1,0,0,53,0,10,,,
hendrcl01,1919,1,CHN,NL,10,14,33,25,15,2,0,619,208,60,3,42,69,0.26,2.62,,4,9,0,859,4,79,,,
heniola01,1919,1,BRO,NL,0,0,1,0,0,0,0,9,2,2,0,2,2,0.2,6,,0,0,0,12,1,2,,,
hillca01,1919,1,PIT,NL,0,0,4,0,0,0,0,15,12,5,0,1,1,0.48,9,,1,0,0,27,3,6,,,
hoggbr01,1919,1,PHI,NL,5,12,22,19,13,0,0,451,163,74,7,55,48,0.29,4.43,,4,5,1,645,2,85,,,
horstos01,1919,1,SLN,NL,0,1,6,2,0,0,0,45,14,5,0,12,5,0.26,3,,1,0,0,67,1,6,,,
hovlied01,1919,1,WS1,AL,0,0,3,0,0,0,0,17,12,8,0,9,3,0.48,12.71,,1,0,0,34,0,10,,,
hoytwa01,1919,1,BOS,AL,4,6,13,11,6,1,0,316,99,38,1,22,28,0.26,3.25,,1,0,0,423,2,42,,,
hubbebi01,1919,1,NY1,NL,1,1,2,2,2,0,0,55,19,4,0,2,3,0.26,1.96,,0,2,0,78,0,4,,,
jacobel01,1919,1,PHI,NL,6,10,17,15,13,0,0,386,150,55,5,44,37,0.3,3.85,,2,6,2,557,2,66,,,
jacobel01,1919,2,SLN,NL,3,6,17,8,4,1,1,256,81,24,2,25,31,0.26,2.53,,2,5,1,346,7,30,,,
jamesbi01,1919,1,DET,AL,1,0,2,1,0,0,0,28,12,6,0,7,3,0.32,5.79,,1,0,0,42,0,6,,,
jamesbi01,1919,2,BOS,AL,3,5,13,7,4,0,0,218,74,33,2,39,12,0.28,4.09,,2,3,0,306,4,42,,,
jamesbi01,1919,3,CHA,AL,3,2,5,5,3,2,0,118,39,11,0,14,11,0.28,2.52,,0,2,0,155,0,12,,,
jamesbi02,1919,1,BSN,NL,0,0,1,0,0,0,0,16,6,2,0,2,1,0.27,3.38,,0,0,0,24,1,2,,,
jamiech01,1919,1,CLE,AL,0,0,4,1,0,0,0,39,12,8,0,8,0,0.25,5.54,,0,0,0,56,2,9,,,
jaspehi01,1919,1,CLE,AL,4,5,12,10,5,0,0,248,83,33,1,28,25,0.26,3.59,,0,0,0,303,1,40,,,
johnsji02,1919,1,PHA,AL,9,15,34,25,12,0,0,606,222,81,8,62,67,0.29,3.61,,4,3,1,829,7,106,,,
johnswa01,1919,1,WS1,AL,20,14,39,29,27,7,2,871,235,48,0,51,147,0.21,1.49,,4,7,1,1155,10,73,,,
jonesjo01,1919,1,NY1,NL,0,0,2,0,0,0,1,20,9,4,0,3,3,0.31,5.4,,1,1,0,35,1,4,,,
jonessa01,1919,1,BOS,AL,12,20,35,31,21,5,1,735,258,102,4,95,67,0.27,3.75,,5,7,0,1029,4,120,,,
jordari01,1919,1,WS1,AL,0,0,1,1,0,0,0,12,6,5,1,2,2,0.35,11.25,,0,0,0,19,0,5,,,
kalliru01,1919,1,DET,AL,0,0,12,1,0,0,1,67,28,14,0,8,3,0.32,5.64,,3,1,0,95,9,15,,,
keatira01,1919,1,BSN,NL,7,11,22,13,9,1,0,408,129,45,2,45,48,0.26,2.98,,6,2,0,559,7,61,,,
keefeda01,1919,1,PHA,AL,0,1,1,1,1,0,0,27,8,4,0,3,5,0.24,4,,0,0,0,36,0,4,,,
kerrdi01,1919,1,CHA,AL,13,7,39,17,10,1,0,637,208,68,2,64,79,0.25,2.88,,2,2,1,868,20,78,,,
kinnewa01,1919,1,PHA,AL,9,15,43,21,13,0,2,608,199,82,7,91,97,0.26,3.64,,4,8,2,858,21,110,,,
kirchmi01,1919,1,PHA,AL,0,0,2,0,0,0,0,24,15,7,0,3,2,0.42,7.88,,1,0,0,38,1,8,,,
klepfed01,1919,1,CLE,AL,0,0,5,0,0,0,0,22,12,6,1,6,7,0.37,7.36,,0,0,0,38,2,14,,,
koeniwi01,1919,1,SLN,NL,0,0,1,0,0,0,0,0,2,2,0,1,0,1,,,0,0,0,3,0,2,,,
koober01,1919,1,SLA,AL,2,3,25,4,0,0,0,198,77,34,3,23,11,0.29,4.64,,2,2,0,285,7,37,,,
leifile01,1919,1,SLA,AL,6,4,19,9,6,2,0,276,96,30,4,25,18,0.27,2.93,,0,4,0,385,6,40,,,
leonadu01,1919,1,DET,AL,14,13,29,28,18,4,0,652,212,67,7,65,102,0.25,2.77,,4,7,0,908,1,89,,,
lovesl01,1919,1,DET,AL,6,4,22,8,4,0,1,269,92,30,3,40,46,0.27,3.01,,1,6,0,380,10,40,,,
lowdegr01,1919,1,SLA,AL,0,0,7,0,0,0,0,36,6,1,0,4,6,0.17,0.75,,1,5,0,43,4,2,,,
lowdegr01,1919,2,CHA,AL,5,5,20,11,5,0,0,290,95,30,0,43,43,0.26,2.79,,2,4,0,402,2,44,,,
luquedo01,1919,1,CIN,NL,10,3,30,9,6,2,3,318,89,31,2,36,40,0.23,2.63,,0,2,0,429,15,35,,,
mamaual01,1919,1,BRO,NL,10,12,30,22,16,2,0,598,174,59,2,66,80,0.24,2.66,,4,4,0,808,7,89,,,
