Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotgl01.shtml"">Glenn Abbott</a>",OAK,23,96,5,7,0,89,38,32,4,34,38,3.000,3.314,1.281,1.12,.00
"<a href=""https://www.baseball-reference.com/players/a/acostcy01.shtml"">Cy Acosta</a>",CHA,27,45&‌#8532;,0,3,3,43,22,19,3,18,19,3.745,3.470,1.336,1.06,.35
"<a href=""https://www.baseball-reference.com/players/a/akerja01.shtml"">Jack Aker</a>",2,33,58,2,2,2,50,29,23,7,23,25,3.569,4.455,1.259,1.09,.10
"<a href=""https://www.baseball-reference.com/players/a/alburvi01.shtml"">Vic Albury</a>",MIN,27,164,8,9,0,159,83,75,19,80,85,4.116,4.464,1.457,1.06,1.38
"<a href=""https://www.baseball-reference.com/players/a/alexado01.shtml"">Doyle Alexander</a>",BAL,23,114&‌#8531;,6,9,0,127,65,51,7,43,40,4.015,3.693,1.487,.93,.00
"<a href=""https://www.baseball-reference.com/players/a/allenll01.shtml"">Lloyd Allen</a>",2,24,29,0,2,0,31,26,24,2,30,21,7.448,4.795,2.103,.70,-.34
"<a href=""https://www.baseball-reference.com/players/a/anderla01.shtml"">Larry Anderson</a>",ML4,21,2&‌#8531;,0,0,0,2,0,0,0,1,3,.000,1.250,1.286,3.00,.07
"<a href=""https://www.baseball-reference.com/players/a/apodabo01.shtml"">Bob Apodaca</a>",NYN,24,103,6,6,3,92,47,40,7,42,54,3.495,3.599,1.301,1.29,1.39
"<a href=""https://www.baseball-reference.com/players/a/arlinst01.shtml"">Steve Arlin</a>",2,28,107&‌#8532;,3,12,1,144,80,74,6,59,38,6.186,4.087,1.885,.64,-.75
"<a href=""https://www.baseball-reference.com/players/b/bahnsst01.shtml"">Stan Bahnsen</a>",CHA,29,216&‌#8531;,12,15,0,230,128,113,17,110,102,4.701,4.125,1.572,.93,.00
"<a href=""https://www.baseball-reference.com/players/b/baneydi01.shtml"">Dick Baney</a>",CIN,27,41,1,0,1,51,27,25,4,17,12,5.488,4.414,1.659,.71,-.79
"<a href=""https://www.baseball-reference.com/players/b/barbest01.shtml"">Steve Barber</a>",SFN,36,13&‌#8532;,0,1,1,13,12,8,0,12,13,5.268,3.260,1.829,1.08,-.54
"<a href=""https://www.baseball-reference.com/players/b/barera01.shtml"">Ray Bare</a>",SLN,25,24&‌#8531;,1,2,0,25,17,16,2,9,6,5.918,4.330,1.397,.67,-.47
"<a href=""https://www.baseball-reference.com/players/b/barrifr01.shtml"">Francisco Barrios</a>",CHA,21,2,0,0,0,7,6,6,0,2,2,27.000,3.160,4.500,1.00,-.21
"<a href=""https://www.baseball-reference.com/players/b/barrji01.shtml"">Jim Barr</a>",SFN,26,239&‌#8532;,13,9,2,223,81,73,17,47,84,2.741,3.389,1.127,1.79,6.34
"<a href=""https://www.baseball-reference.com/players/b/barrst01.shtml"">Steve Barr</a>",BOS,22,9,1,0,0,7,4,4,0,6,3,4.000,3.981,1.444,.50,.14
"<a href=""https://www.baseball-reference.com/players/b/beardmi01.shtml"">Mike Beard</a>",ATL,24,9&‌#8531;,0,0,0,5,3,3,1,1,7,2.893,2.459,.643,7.00,.15
"<a href=""https://www.baseball-reference.com/players/b/beenefr01.shtml"">Fred Beene</a>",2,31,83,4,4,3,77,48,43,8,28,45,4.663,3.700,1.265,1.61,.06
"<a href=""https://www.baseball-reference.com/players/b/bellje01.shtml"">Jerry Bell</a>",ML4,26,14,1,0,0,17,6,4,2,5,4,2.571,5.037,1.571,.80,.12
"<a href=""https://www.baseball-reference.com/players/b/bibbyji01.shtml"">Jim Bibby</a>",TEX,29,264,19,19,0,255,146,139,25,113,149,4.739,3.879,1.394,1.32,.00
"<a href=""https://www.baseball-reference.com/players/b/billija01.shtml"">Jack Billingham</a>",CIN,31,212&‌#8531;,19,11,0,233,105,93,16,64,103,3.942,3.404,1.399,1.61,.00
"<a href=""https://www.baseball-reference.com/players/b/birddo01.shtml"">Doug Bird</a>",KCA,24,92&‌#8531;,7,6,10,100,31,28,6,27,62,2.729,2.916,1.375,2.30,.00
