Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,28,245,18,9,0,217,95,61,4,60,101,2.241,2.370,1.131,1.68,3.66
"<a href=""https://www.baseball-reference.com/players/a/albercy01.shtml"">Cy Alberts</a>",SLN,28,27&frac23;,1,2,0,35,22,19,1,20,10,6.181,4.164,1.988,0.50,-0.56
"<a href=""https://www.baseball-reference.com/players/a/amesre01.shtml"">Red Ames</a>",NY1,27,190&frac13;,12,11,0,161,78,47,3,63,94,2.222,2.440,1.177,1.49,0.00
"<a href=""https://www.baseball-reference.com/players/a/anderwi01.shtml"">W. Anderson</a>",CIN,23,17&frac13;,0,0,0,16,15,9,0,17,11,4.673,3.823,1.904,0.65,-0.68
"<a href=""https://www.baseball-reference.com/players/a/arellfr01.shtml"">F. Arellanes</a>",BOS,28,100,4,7,0,106,41,32,1,24,33,2.880,2.420,1.300,1.38,0.78
"<a href=""https://www.baseball-reference.com/players/a/atkinto01.shtml"">Tommy Atkins</a>",PHA,22,57,3,2,2,53,33,17,0,23,29,2.684,2.460,1.333,1.26,-0.79
"<a href=""https://www.baseball-reference.com/players/b/backmle01.shtml"">Les Backman</a>",SLN,22,116,6,7,2,117,55,39,4,53,41,3.026,3.347,1.466,0.77,0.85
"<a href=""https://www.baseball-reference.com/players/b/bailebi01.shtml"">Bill Bailey</a>",SLA,22,192&frac13;,3,18,0,186,133,71,2,97,90,3.322,2.870,1.471,0.93,-3.01
"<a href=""https://www.baseball-reference.com/players/b/barbefr01.shtml"">F. Barberich</a>",BOS,28,5,0,0,0,7,6,4,0,2,0,7.200,3.442,1.800,0.00,-0.32
"<a href=""https://www.baseball-reference.com/players/b/bargecy01.shtml"">Cy Barger</a>",BRO,25,271&frac23;,15,15,1,267,105,87,2,107,87,2.882,2.907,1.377,0.81,4.17
"<a href=""https://www.baseball-reference.com/players/b/beebefr01.shtml"">Fred Beebe</a>",CIN,30,214&frac13;,12,14,0,193,101,73,3,94,93,3.065,2.852,1.339,0.99,1.21
"<a href=""https://www.baseball-reference.com/players/b/bellge01.shtml"">George Bell</a>",BRO,35,310,10,27,1,267,127,91,4,82,102,2.642,2.593,1.126,1.24,4.33
"<a href=""https://www.baseball-reference.com/players/b/bendech01.shtml"">Chief Bender</a>",PHA,26,250,23,5,0,182,63,44,1,47,155,1.584,1.564,.916,3.30,5.05
"<a href=""https://www.baseball-reference.com/players/b/bentoru01.shtml"">Rube Benton</a>",CIN,20,38,0,1,0,44,34,20,1,23,15,4.737,3.475,1.763,0.65,-1.30
"<a href=""https://www.baseball-reference.com/players/b/bergehe01.shtml"">H. Berger</a>",CLE,28,65&frac13;,3,4,0,57,25,22,0,32,24,3.031,2.927,1.362,0.75,0.63
"<a href=""https://www.baseball-reference.com/players/b/blandfr01.shtml"">F. Blanding</a>",CLE,22,45&frac13;,2,2,0,43,19,14,0,12,25,2.779,1.767,1.213,2.08,0.55
"<a href=""https://www.baseball-reference.com/players/b/boydra01.shtml"">Ray Boyd</a>",SLA,23,14&frac13;,0,2,0,16,10,7,0,5,6,4.395,2.322,1.465,1.20,-0.23
"<a href=""https://www.baseball-reference.com/players/b/brennad01.shtml"">Ad Brennan</a>",PHI,22,73&frac13;,2,0,0,72,36,19,2,28,28,2.332,2.927,1.364,1.00,0.00
"<a href=""https://www.baseball-reference.com/players/b/bresnro01.shtml"">R. Bresnahan</a>",SLN,31,3&frac13;,0,0,0,6,1,0,0,1,0,.000,3.069,2.100,0.00,0.07
"<a href=""https://www.baseball-reference.com/players/b/brownbu01.shtml"">Buster Brown</a>",BSN,28,263,9,23,2,251,113,78,4,94,88,2.669,2.893,1.312,0.94,4.00
"<a href=""https://www.baseball-reference.com/players/b/brownfr02.shtml"">F. Browning</a>",DET,27,49,2,2,3,51,22,14,0,10,16,2.571,2.284,1.245,1.60,0.07
